,Concept_ID,hr,lbe
0,Auge::N,oko,я
1,Ohr::N,uho,вичӏи
2,Nase::N,nos,май
3,Mund::N,usta,кьацӏ
4,Zahn::N,zub,ккарччи
5,Zunge::N,jezik,маз
6,Lippe::N,usna,мурччи
7,Wange::N,obraz,чӏав
8,Gesicht::N,lice,лажин
9,Stirn::N,čelo,ненттабакӏ
10,Haar::N,kosa,чӏара
11,Schnurrbart::N,brkovi,ссирссилтту
12,Bart::N,brada,чӏири
13,Kinn::N,brada,лунттубакӏ
14,Kinn::N,podbradak,лунттубакӏ
15,Kiefer[Anatomie]::N,čeljust,ххинчулул
16,Kehle::N,grlo,кьакьари
17,Hals::N,vrat,ссурссу
18,Genick::N,zatiljak,махъабакӏ
19,Kopf::N,glava,бакӏ
20,Rücken::N,leđa,ттиликӏ
21,Rücken::N,hrbat,ттиликӏ
22,Bauch::N,trbuh,лякьа
23,Nabel::N,pupak,цӏумуккутӏ
24,Busen::N,sisa,ккукку
25,Busen::N,njedra,ккукку
26,Brust::N,prsa,хъазам
27,Schulter::N,rame,хъачӏ
28,Schulter::N,pleći,хъачӏ
29,Arm::N,ruka,ка
30,Ellenbogen::N,lakat,ссюрхъ
31,Hand::N,ruka,бартка
32,Handfläche::N,dlan,хъат
33,Handfläche::N,dlan,битӏянхъ
34,Finger::N,prst,кӏисса
35,Fingernagel::N,nokat,михь
36,Nagel[Anatomie]::N,nokat,михь
37,Zeh::N,nozni prst,кӏисса
38,Fuß::N,noga,чӏанччан
39,Fuß::N,stopalo,чӏанччан
40,Ferse::N,peta,никъа
41,Knie::N,koljeno,ник
42,Oberschenkel::N,bedro,жира
43,Bein::N,noga,ччан
44,Körper::N,tijelo,чурх
45,Haut::N,put,бурчу
46,Haut::N,koža,бурчу
47,Blut::N,krv,оь
48,Ader::N,žila,тунну
49,Sehne::N,tetiva,хьхьа
50,Knochen::N,kost,ттаркӏ
51,Herz::N,srce,дакӏ
52,Herz::N,srce,къюкӏ
53,Magen::N,stomak,лякьа
54,Magen::N,želudac,лякьа
55,Leber::N,jetra,
56,Atem::N,dah,ссихӏ ласаву
57,Atem::N,dah,ссихӏ бигьаву
58,Hunger::N,glad,ккаши
59,Träne::N,suza,макь
60,Geschmack::N,ukus,тӏин
61,Geschmack::N,ukus,тӏааьн
62,Geruch::N,njuh,кьанкь
63,Geruch::N,miris,кьанкь
64,Schlaf::N,san,шану
65,Traum::N,san,макӏру
66,Himmel::N,nebo,ссав
67,Sonne::N,sunce,баргъ
68,Mond::N,mjesec,барз
69,Stern::N,zvijezda,цӏуку
70,Luft::N,zrak,гьава
71,Wind::N,vjetar,марч
72,Welle::N,val,щатӏи
73,Welle::N,talas,щатӏи
74,Wasser::N,voda,щин
75,Stein::N,kamen,чару
76,Boden::N,tlo,аьрщи
77,Boden::N,zemlja,аьрщи
78,Erde::N,zemlja,аьрщи
79,Staub::N,prah,ххит
80,Staub::N,prašina,ххит
81,Rauch::N,dim,пуркӏу
82,Funke::N,iskra,пиягь
83,Funke::N,varnica,пиягь
84,Feuer::N,vatra,цӏу
85,Licht::N,svjetlo,чани
86,Schatten::N,hlad,ххют
87,Schatten::N,sjena,ххют
88,Wetter::N,vrijeme,гьава
89,Nebel::N,magla,шархь ттурлу
90,Wolke::N,oblak,ттурлу
91,Regen::N,kiša,гъарал
92,Schnee::N,snijeg,марххала
93,Eis::N,led,микӏ
94,Frost::N,mraz,дяркъу
95,Frost::N,mraz,замгьар
96,Kälte::N,studen,дяркъу
97,Kälte::N,hladnoća,дяркъу
98,Hitze::N,vrućina,кӏиришиву
99,Raureif::N,inje,сил
100,Raureif::N,inje,бурса
101,Regenbogen::N,duga,ссурул ккуртта
102,Donner::N,grom,къув
103,Donner::N,grmljavina,къув
104,Strömung::N,struja,экьинанаву
105,Strömung::N,strujanje,экьинанаву
106,Tropfen::N,kap,кӏунтӏ
107,Tropfen::N,kaplja,кӏунтӏ
108,Schaum::N,pjena,хьама
109,Schmutz::N,nečistoća,кьяркьи
110,Schmutz::N,prljavština,кьяркьи
111,See::N,jezero,бяр
112,Sumpf::N,bara,кунцӏа
113,Moor::N,močvara,
114,Wiese::N,livada,кьан
115,Wald::N,šuma,вацӏа
116,Hügel::N,brijeg,бакӏу
117,Hügel::N,brežuljak,бакӏу
118,Anhöhe::N,uzvišica,
119,Berg::N,brdo,зунтту
120,Gipfel::N,vrh,мицӏ
121,Höhle::N,pećina,нух
122,Höhle::N,spilja,нух
123,Abhang::N,obronak,сун
124,Abhang::N,nizbrdica,сун
125,Quelle::N,izvor,дайдихьу
126,Quelle::N,izvor,бакӏ
127,Quelle::N,vrelo,дайдихьу
128,Quelle::N,vrelo,бакӏ
129,Bach::N,potok,чӏрир нех
130,Fluss::N,rijeka,нех
131,Ufer::N,obala,зума
132,Küste::N,obala,зумаинхалу
133,Küste::N,obala,зуманицӏалу
134,Küste::N,morska obala,зумаинхалу
135,Küste::N,morska obala,зуманицӏалу
136,Festland::N,kopno,кьири
137,Meer::N,more,хьхьири
138,Bucht::N,zaliv,
139,Insel::N,ada,жазира
140,Insel::N,otok,жазира
141,Blume::N,cvijet,тӏутӏи
142,Gras::N,trava,уртту
143,Wurzel::N,korijen,мархха
144,Baum::N,drvo,мурхь
145,Baum::N,stablo,мурхь
146,Stamm::N,deblo,ттарцӏ
147,Stamm::N,stablo,ттарцӏ
148,Rinde::N,kora,ккамара
149,Ast::N,grana,матӏи
150,Zweig::N,grana,къяртта
151,Blatt::N,list,чӏапӏи
152,Birke::N,breza,кӏялахӏи
153,Birke::N,breza,кӏялахӏилул мурхь
154,Kiefer[Baum]::N,bor,ттар
155,Kiefer[Baum]::N,bor,ттарлил мурхь
156,Weide[Baum]::N,iva,щавщи
157,Weide[Baum]::N,vŕba,щавщи
