,Concept_ID,xal,kl
0,Auge::N,нүдн,isi
1,Ohr::N,чикн,siut
2,Nase::N,хамр,
3,Mund::N,амн,paaq
4,Mund::N,амн,qaneq
5,Zahn::N,шүдн,kigut
6,Zunge::N,келн,oqaq
7,Lippe::N,урл,qarloq
8,Wange::N,халх,ersaq
9,Gesicht::N,нүр,kiinaq
10,Stirn::N,маңна,qaaq
11,Haar::N,үсн,meqqoq
12,Schnurrbart::N,сахл,
13,Bart::N,сахл,umik
14,Bart::N,өргнә сахл,umik
15,Kinn::N,өргн,talloq
16,Kiefer[Anatomie]::N,өргн,alleroq
17,Kehle::N,хол,malaq
18,Hals::N,күзүн,qungaseq
19,Genick::N,гиҗг,pukusuk
20,Kopf::N,толһа,niaqoq
21,Rücken::N,нурһн,qimerlut
22,Bauch::N,гесн,naaq
23,Nabel::N,киисн,qalaseq
24,Busen::N,көкн,iviangeq
25,Brust::N,чееҗ,iviangeq
26,Schulter::N,ээм,ersik
27,Schulter::N,ээм,assaqqoq
28,Arm::N,һар,taleq
29,Ellenbogen::N,тоха,ikusik
30,Hand::N,баһлцг,assak
31,Handfläche::N,альхн,itumak
32,Finger::N,хурһн,inuak
33,Finger::N,һарин хурһн,inuak
34,Fingernagel::N,хумсн,kikiak
35,Nagel[Anatomie]::N,хумсн,kukik
36,Zeh::N,хурһн,isigak
37,Zeh::N,көлин хурһн,isigak
38,Fuß::N,тавг,
39,Ferse::N,өскә,kimmik
40,Knie::N,өвдг,seeqqoq
41,Oberschenkel::N,һуй,uppat
42,Oberschenkel::N,һуй,quttoraq
43,Bein::N,көл,isigak
44,Körper::N,махмуд,timi
45,Haut::N,арсн,mattak
46,Blut::N,цусн,aak
47,Ader::N,судцн,taqaq
48,Sehne::N,шүрүсн,ujalu
49,Sehne::N,шүрүсн,ujaloq
50,Knochen::N,ясн,saanikut
51,Gehirn::N,экн,qarasaq
52,Herz::N,зүркн,uummat
53,Magen::N,гесн,aqajaroq
54,Leber::N,элкн,tinguk
