,Concept_ID,mhr,ab
0,Auge::N,шинча́,ала
1,Ohr::N,пы́лыш,алымҳа
2,Nase::N,нер,аҧынҵа
3,Mund::N,умша́,аҧышə
4,Zahn::N,пӱй,ахаҧыц
5,Zunge::N,йы́лме,абз
6,Lippe::N,тӱ́рвӧ,ақьышə
7,Wange::N,шӱ́ргӧ,аӡамҩа
8,Gesicht::N,чури́й,аҿы
9,Stirn::N,саҥга́,алахь
10,Haar::N,ӱп,ахəыц
11,Schnurrbart::N,ӧ́рыш,аҧаҵа
12,Bart::N,понда́ш,ажакьа
13,Kinn::N,оҥыла́ш,ацламкəыгə
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,ацламҳəа
15,Kiefer[Anatomie]::N,пӱйората́,ацламҳəа
16,Kehle::N,лога́р,ахəда
17,Hals::N,шӱй,ахəда
18,Genick::N,шӱйло́дыш,ахəдаџьал
19,Kopf::N,вуй,ахы
20,Rücken::N,туп,азқəа
21,Bauch::N,мӱ́шкыр,амгəа
22,Nabel::N,кы́лымде,аҷапан
23,Busen::N,чы́зе,агəыҧҳəы
24,Brust::N,оҥ,агəышҧы
25,Schulter::N,ва́че,ажəҩахыр
26,Arm::N,кид,амахəар
27,Ellenbogen::N,кынерву́й,амашьхəылҵ
28,Hand::N,кид,анапы
29,Hand::N,копа́,анапы
30,Handfläche::N,со́во,анапсаргəыҵа
31,Finger::N,парня́,анацəа
32,Fingernagel::N,кидкӱ́ч,анапхыц
33,Fingernagel::N,парнягӱ́ч,анапхыц
34,Nagel[Anatomie]::N,кӱч,ашьапхыц
35,Zeh::N,йолварня́,ашьацəа
36,Fuß::N,йол,ашьапсыргəыҵа
37,Fuß::N,йолкопа́,ашьапсыргəыҵа
38,Ferse::N,тага́н,ашьхəа
39,Knie::N,пулву́й,ашьамхы
40,Oberschenkel::N,э́рде,ауаҭəа
41,Bein::N,йол,ашьапы
42,Körper::N,кап,ацəеижь
43,Haut::N,кова́ште,ацəа
44,Blut::N,вӱр,ашьа
45,Ader::N,шӧн,ада
46,Sehne::N,шӧн,адаш
47,Sehne::N,кӱсе́н,адаш
48,Knochen::N,лу,абаҩ
49,Gehirn::N,вем,ахшлыбаҩ
50,Gehirn::N,вем,ахшыбаҩ
51,Gehirn::N,вуйве́м,ахшлыбаҩ
52,Gehirn::N,вуйве́м,ахшыбаҩ
53,Herz::N,шӱм,агəы
54,Magen::N,пага́р,аца
55,Magen::N,пага́р,ацар
56,Leber::N,мокш,агəаҵəа
57,Atem::N,шӱ́лыш,аҧсыҧлагаҩгара
58,Hunger::N,шужыма́ш,амла
59,Träne::N,шинчавӱ́д,алабжыш
60,Geschmack::N,там,агьама
61,Geruch::N,пуш,афҩы
62,Schlaf::N,о́мо,ацəа
63,Traum::N,йӱдо́мо,аҧхыӡ
64,Himmel::N,кава́,ажəҩан
65,Sonne::N,ке́че,амра
66,Mond::N,ты́лзе,амза
67,Stern::N,шӱ́дыр,аеҵəа
68,Luft::N,юж,аҳаир
69,Wind::N,марде́ж,аҧша
70,Welle::N,то́лкын,ацəқəырҧа
71,Wasser::N,вӱд,аӡы
72,Stein::N,кӱ,ахаҳə
73,Boden::N,рок,адгьыл
74,Erde::N,мла́нде,адгьыл
75,Staub::N,пура́к,асаба
76,Rauch::N,шикш,алҩа
77,Funke::N,сеске́м,акəиц
78,Funke::N,сеске́м,ацҧхь
79,Funke::N,тулйы́п,акəиц
80,Funke::N,тулйы́п,ацҧхь
81,Feuer::N,тул,амца
82,Licht::N,со́то,алашара
83,Schatten::N,ӱ́мыл,ашəшьыра
84,Wetter::N,иге́че,амш
85,Nebel::N,тӱтыра́,анаҟəа
86,Wolke::N,пыл,аҧсҭҳəа
87,Regen::N,йӱр,ақəа
88,Schnee::N,лум,асы
89,Eis::N,ий,аҵаа
90,Frost::N,чатлама́,аҵаа
91,Kälte::N,йӱ́штӧ,ахьҭа
92,Hitze::N,шо́кшо,ашоура
93,Raureif::N,пӧрш,аҵааҧшқа
94,Raureif::N,по́кшым,аҵааҧшқа
95,Regenbogen::N,шонанпы́л,ацəаҟəа
96,Donner::N,кӱ́дырчӧ,адыд
97,Strömung::N,йо́гын,аиасра
98,Strömung::N,йо́гын,амҩасра
99,Tropfen::N,чӱча́лтыш,ацəыкəбар
100,Schaum::N,шоҥ,ашəах
101,Schmutz::N,лавыра́,алымт
102,See::N,ер,аӡиа
103,Sumpf::N,лӱ́кӧ,аӡмах
104,Moor::N,куп,
105,Wiese::N,о́лык,адəы
106,Wald::N,чодыра́,абна
107,Hügel::N,арка́,ахəы
108,Anhöhe::N,тӧва́,аҳаракыра
109,Anhöhe::N,кӱкшака́,аҳаракыра
110,Berg::N,ку́рык,ашьха
111,Gipfel::N,чаҥга́,ацəқəа
112,Gipfel::N,курыкву́й,ацəқəа
113,Höhle::N,пеще́р,аҳаҧы
114,Höhle::N,курыкпо́мыш,аҳаҧы
115,Abhang::N,та́йыл,анаара
116,Quelle::N,важ,аҵҵырҭа
117,Quelle::N,вӱдшинча́,аҵҵырҭа
118,Bach::N,изэҥе́р,акəараҷҷа
119,Fluss::N,эҥе́р,аӡиас
120,Ufer::N,сер,ахықə
121,Küste::N,вӱдтӱ́р,ахықə
122,Festland::N,мла́нде,абарра
123,Meer::N,те́ҥыз,амшын
124,Bucht::N,икса́,аӡбжьахала
125,Insel::N,отро́,адгьылбжьаха
126,Blume::N,пеле́дыш,ашəҭ
127,Gras::N,шу́до,аҳасакьын
128,Wurzel::N,вож,адац
129,Baum::N,пуше́ҥге,аҵла
130,Stamm::N,йы́тыр,ашьапы
131,Rinde::N,шӱм,ацəа
132,Ast::N,укш,амахə
133,Ast::N,укш,амахəҭа
134,Zweig::N,торма́к,амахə
135,Zweig::N,торма́к,амахəҭа
136,Blatt::N,лышта́ш,абҕьы
137,Birke::N,куэ́,аҵааҵла
138,Kiefer[Baum]::N,пӱ́нчӧ,амза
139,Weide[Baum]::N,уа́,аҧслыш
140,Tanne::N,кож,аҧсаӡ
141,Horn::N,шур,атəыҩа
142,Feder::N,пы́стыл,ахӡы
143,Fell::N,кова́ште,ацəа
144,Flügel::N,шу́лдыр,амҵəыжəа
145,Klaue::N,кӱч,ашьапхыц
146,Kralle::N,ла́па,
147,Kralle::N,копа́,
148,Schwanz::N,поч,аҵыхəа
149,Ei::N,му́но,акəтаӷь
150,Nest::N,пыжа́ш,аҭра
151,Nest::N,пыжа́ш,аҵысҭра
152,Bau::N,пыжа́ш,аҭыҩра
153,Tier::N,я́нлык,аҧстəы
154,Tier::N,я́нлык,агыгшəыг
155,Tier::N,живо́тный,аҧстəы
156,Tier::N,живо́тный,агыгшəыг
157,Herde::N,кӱ́тӱ,агəарҭа
158,Herde::N,тӱшка́,агəарҭа
159,Kuh::N,ушка́л,ажə
160,Bulle::N,ӱ́шкыж,ацə
161,Pferd::N,и́мне,аҽы
162,Schaf::N,шо́рык,ауаса
163,Schwein::N,сӧсна́,аҳəа
164,Hund::N,пий,ала
165,Katze::N,пы́рыс,ацгəы
166,Bär::N,маска́,амшə
167,Eichhörnchen::N,ур,аеш
168,Elch::N,шо́рдо,аҽаҩа
169,Fuchs::N,ры́выж,абгахəыҷы
170,Hase::N,мера́ҥ,ажьа
171,Maus::N,коля́,аҳəынаҧ
172,Wolf::N,пи́ре,абгаду
173,Vogel::N,ка́йык,аҧсаатə
174,Schwarm::N,каша́к,
175,Huhn::N,чы́ве,акəты
176,Hahn::N,агыта́н,арбаҕь
177,Gans::N,ко́мбо,аҟыз
178,Adler::N,карагу́ш,ауарба
179,Ente::N,лу́до,акəата
180,Eule::N,тумна́,аты
181,Kranich::N,турня́,апҟа
182,Krähe::N,кора́к,аҟəараан
183,Kuckuck::N,куку́,акəыкəу
184,Schwan::N,йӱ́ксӧ,агьад
185,Fisch::N,кол,аҧсыӡ
186,Barsch::N,ола́ҥге,ацəыбла
187,Hecht::N,нуж,ахиаала
188,Hecht::N,чорта́н,ахиаала
189,Schlange[Tier]::N,ки́шке,амаҭ
190,Wurm::N,шукш,ахəа
191,Wurm::N,шукш,ахəац
192,Spinne::N,эҥыре́мыш,абызкаҭаҳа
193,Ameise::N,ку́тко,ашышкамс
194,Laus::N,тий,аҵа
195,Mücke::N,шыҥа́,акəыбры
196,Fliege::N,ка́рме,амҵ
197,Schmetterling::N,лы́ве,аҧарҧалыкь
198,Beere::N,мӧр,аргуц
199,Apfel::N,олма́,аҵəа
200,Pilz::N,по́ҥго,акəкəбаа
201,Zwiebel::N,шога́н,аџьымшьы
202,Zwiebel::N,шога́н,аџьымшьхы
203,Saat::N,нӧ́шмӧ,ажəла
204,Saat::N,туш,ажəла
205,Korn::N,шу́рно,арыц
206,Heu::N,шу́до,аҭəа
207,Schale::N,шӱм,ацəа
208,Grube::N,выне́м,ажра
209,Grube::N,выне́м,атыша
210,Falle::N,лӧ́дӧ,арыҧҟьа
211,Schlinge::N,о́птыш,аҟəараҟəантə
212,Schlinge::N,шӧрга́лтыш,аҟəараҟəантə
213,Spur::N,кыша́,ашьҭа
214,Asche::N,ло́мыж,ахəа
215,Dreck::N,лавыра́,аҳəынҵəа
216,Dreck::N,лавыра́,аҟьамсар
217,Eisen::N,кӱ́ртньӧ,аиха
218,Gold::N,шӧ́ртньӧ,ахьы
219,Silber::N,ший,аразны
220,Kohle::N,мландышӱ́й,арацəа
221,Glas::N,янда́,асаркьа
222,Lehm::N,шун,анышəаҧшь
223,Sand::N,ошма́,аҧслымӡ
224,Mensch::N,еҥ,ауаҩы
225,Mensch::N,айде́ме,ауаҩы
226,Mann::N,пӧръе́ҥ,ахаҵа
227,Frau::N,ӱдырама́ш,аҧҳəыс
228,Kind::N,аза́,ахəыҷы
229,Junge::N,рве́зе,аҷкəын
230,Junge::N,рве́зе,ахаҵарҧыс
231,Mädchen::N,ӱдыра́ш,аӡӷаб
232,Familie::N,еш,аҭаацəа
233,Großvater::N,коча́,абду
234,Großmutter::N,кова́,анду
235,Eltern::N,ача́-ава́,ани аби
236,Vater::N,ача́,аб
237,Mutter::N,ава́,ан
238,Sohn::N,э́рге,аҧа
239,Tochter::N,ӱ́дыр,аҧҳа
240,Bruder::N,иза́,аиашьа
241,Bruder::N,шо́льо,аиашьа
242,Schwester::N,ака́,Аҳəшьа
243,Onkel::N,иза́,абиашьа
244,Onkel::N,иза́,аншьа
245,Tante::N,кока́,абиаҳəшьа
246,Ehemann::N,мари́й,ахаҵа
247,Ehemann::N,мари́й,аҧшəма
248,Ehefrau::N,ва́те,аҧҳəыс
249,Freude::N,куа́н,агəырӷьара
250,Freude::N,куаныма́ш,агəырӷьара
251,Gelächter::N,во́штылтыш,ачча
252,Gelächter::N,во́штылтыш,аччара
253,Glück::N,пиа́л,аразҟы
254,Kummer::N,о́йго,агəырҩа
255,Wunsch::N,ку́мыл,агəхəтəы
256,Wunsch::N,ку́мыл,аҭахра
257,Lust::N,ку́мыл,агəазыҳəара
258,Geist::N,ӧрт,аҧсы
259,Geist::N,чон,аҧсы
260,Gedanke::N,ой,ахəыцырҭа
261,Gedanke::N,шоныма́ш,ахəыцырҭа
262,Gedächtnis::N,шарныма́ш,агəынкылара
263,Verstand::N,уш,ахшыҩ
264,Sinn::N,смысл,аҵакы
265,Grund::N,ама́л,амзыз
266,Wahrheit::N,чын,аиаша
267,Gespräch::N,мутланыма́ш,аиҿцәажәара
268,Märchen::N,йома́к,алакə
269,Erzählung::N,ойлыма́ш,ажәабжь
270,Nachricht::N,увертарыма́ш,адырраҭара
271,Neuigkeit::N,уве́р,ажәабжь ҿыц
272,Name::N,лӱм,ахьӡ
273,Rätsel::N,ту́што,ацуфара
274,Rede::N,ойлыма́ш,ажәа
275,Sprache::N,йы́лме,абызшəа
276,Stimme::N,йӱк,абжьы
277,Wort::N,ой,ажәа
278,Wort::N,мут,ажәа
279,Zeichen::N,ти́ште,адырга
280,Zeichen::N,знак,адырга
281,Ruf::N,ӱжма́ш,аҿҭы
282,Lärm::N,лӱшкыма́ш,ашьҭыбжь
283,Lärm::N,йӱк-йӱа́н,ашьҭыбжь
284,Laut::N,йӱк,ашьҭыбжь
285,Ton::N,йӱксе́м,атон
286,Lied::N,му́ро,ашəа
287,Ruhe::N,ты́мык,аҭынчра
288,Leute::N,еҥ-влак,ауаа
289,Volk::N,ка́лык,ажəлар
290,Arbeit::N,паша́,аусура
291,Gast::N,уна́,асас
292,Geschenk::N,пӧле́к,аҳамҭа
293,Geschenk::N,пӧле́к,аҿанҵа
294,Spiel::N,мо́дыш,ахəмарра
295,Spiel::N,модма́ш,ахəмарра
296,Gesellschaft::N,тӱшка́,агəыҧ
297,Hilfe::N,по́лыш,ацхыраара
298,Freund::N,таҥ,аҩыза
299,Freund::N,йолта́ш,аҩыза
300,Kamerad::N,таҥ,Аҧхнагьла
301,Angelegenheit::N,паша́,аус
302,Anzahl::N,чот,ахыҧхьаӡара
303,Art::N,вид,ахкы
304,Stück::N,ка́тыш,аҽыҭ
305,Stück::N,ла́стык,аҽыҭ
306,Teil::N,ужа́ш,ахəҭа
307,Hälfte::N,пел,абжа
308,Hälfte::N,пе́ле,абжа
309,Kreis::N,ты́ртыш,агьагьа
310,Kreuz::N,ыре́с,аџьар
311,Linie::N,ли́ний,аицтәар
312,Strich::N,коре́ш,ацəаҳəа
313,Abstand::N,кокла́,абжьара
314,Entfernung::N,тора́,абжьара
315,Entfernung::N,ку́жыт,абжьара
316,Gegend::N,кунде́м,аҭыҧ
317,Platz::N,ку́мдык,аҭыҧ
318,Ort::N,вер,аҭыҧ
319,Ort::N,о́лмо,аҭыҧ
320,Seite::N,ӧ́рдыж,аган
321,Mitte::N,покше́л,агəҭа
322,Gegenstand::N,наста́,амаҭəар
323,Sache::N,наста́,
324,Rand::N,тӱр,аҵкар
325,Kante::N,тӱр,авардым
326,Ecke::N,лук,акəакь
327,Spitze::N,вуй,аҧынҵа
328,Ende::N,муча́ш,анаӡара
329,Loch::N,рож,акылҵəара
330,Winkel::N,лук,агҿаҩра
331,Winkel::N,лук,акəындхə
332,Winkel::N,лук,акəакь
333,Muster::N,пеза́к,аҟҟа
334,Muster::N,узо́р,аҟҟа
335,Muster::N,ӱ́лгӧ,аҟҟа
336,Größe::N,кӱ́кшыт,изаҟароу
337,Länge::N,ку́тыш,аура
338,Höhe::N,кӱ́кшыт,агылара
339,Gewicht::N,не́лыт,акапан
340,Menge::N,чот,
341,Haufen::N,кы́шыл,ачаҟəа
342,Reihe::N,рада́м,ацəаҳəа
343,Boot::N,пуш,анышь
344,Ruder::N,эшка́к,ажəҩа
345,Schlitten::N,тер,ашəаҩауардын
346,Schlitten::N,изде́р,ашəаҩауардын
347,Ski::N,е́че,ашəаҩа
348,Ski::N,е́че,ашьахаха
349,Lagerfeuer::N,туло́то,еиқуу амца
350,Last::N,нӧ́лтыш,ахьанҭара
351,Gang::N,ошкылма́ш,аныҟəара
352,Schritt::N,о́шкыл,ашьаҿа
353,Norden::N,йӱдйыма́л,аҩада
354,Süden::N,кечывалве́л,алада
355,Westen::N,касве́л,амраҭашəара
356,Osten::N,эрве́л,амрагылара
357,Holz::N,пу,амҿымаҭəахə
358,Brett::N,оҥа́,аӷəы
359,Platte::N,аста́р,ахаҳәцәы
360,Stütze::N,чара́к,аҵаргəа
361,Stütze::N,чара́к,агəышьаҟа
362,Stange::N,лома́ш,акьат
363,Stock::N,тоя́,алаба
364,Stab::N,вара́,акьат
365,Stab::N,кашта́,акьат
366,Rohr::N,пуч,абыкь
367,Haus::N,пӧрт,аҩны
368,Heim::N,мӧ́ҥгӧ,аҭаацəа
369,Ofen::N,комака́,аҳақə
370,Ofen::N,комака́,ауаџьаҟ
371,Ofen::N,комака́,афрына
372,Fußboden::N,кӱва́р,адашьма
373,Tisch::N,ӱсте́л,аишәа
374,Stuhl::N,пӱке́н,аҟəардə
375,Wiege::N,шепка́,агара
376,Bett::N,ва́кшыш,акаруаҭ
377,Regal::N,шӧ́рлык,акыӷəра
378,Kiste::N,шо́ндык,аидчаҧала
379,Kiste::N,я́шлык,аидчаҧала
380,Fenster::N,окна́,аҧенџьыр
381,Tür::N,омса́,ашə
382,Tor::N,капка́,агəашə
383,Zaun::N,сава́р,аанда
384,Dach::N,леве́дыш,ахыб
385,Leiter::N,тошка́лтыш,амардуан
386,Besen::N,ӱштерво́штыр,аҧссага
387,Spaten::N,ко́льмо,ажыга
388,Schaufel::N,сово́к,аҭəарӷəы
389,Schaufel::N,су́ско,аҭəарӷəы
390,Gabel::N,ви́лке,ачқьыҧ
391,Löffel::N,па́не,амҳаҵə
392,Löffel::N,совла́,амҳаҵə
393,Messer::N,кӱ́зӧ,аҳəызба
394,Nagel::N,пуда́,аҵəымӷ
395,Netz::N,вапш,акаҭа
396,Haken::N,са́гыле,аҵəаҳə
397,Griff::N,кыл,амаа
398,Schloss::N,кӧгӧ́н,асаҧаҭ
399,Bild::N,сӱре́т,асахьа
400,Figur::N,фигу́р,афигура
401,Puppe::N,курча́к,акьанџьа
402,Beutel::N,меша́к,асакь
403,Bündel::N,арша́ш,аҿаҳəара
404,Tasche::N,сумка́,арҭмаҟ
405,Eimer::N,ведра́,аведра
406,Deckel::N,ко́мдыш,ахҩа
407,Geschirr::N,а́те,ачысмаҭəа
408,Sack::N,куль,асакь
409,Sack::N,меша́к,асакь
410,Tasse::N,чу́кыр,аҵəца
411,Tasse::N,чашка́,аҵəца
412,Topf::N,ми́ске,акаструлиа
413,Kessel::N,под,ачуан
414,Essen::N,ко́чкыш,
415,Nahrung::N,ку́рго,афатə
416,Speise::N,ко́чкыш,афатə
417,Fleisch::N,шыл,акəац
418,Getreide::N,шу́рно,ачакуа
419,Brei::N,пу́чымыш,ақашь
420,Brot::N,ки́нде,ача
421,Scheibe::N,ка́тыш,аҽыҭ
422,Scheibe::N,ка́тыш,аҿаҵа
423,Fett::N,коя́,ашша
424,Butter::N,ӱй,ахəша
425,Öl::N,ӱй,азеҭ
426,Salz::N,шинча́л,аџьыка
427,Suppe::N,шӱр,асуҧ
428,Honig::N,мӱй,ацха
429,Milch::N,шӧр,ахш
430,Tee::N,чай,ачаи
431,Leder::N,сура́н,ацəа
432,Leder::N,шӱ́штӧ,ацəа
433,Wolle::N,пун,аласа
434,Stoff::N,куэ́м,Аба
435,Stoff::N,посто́,Аба
436,Nadel::N,и́ме,агəыр
437,Faden::N,шӱ́ртӧ,арахəыц
438,Knopf::N,по́лдыш,аҳəынҵəра
439,Knoten::N,пышке́м,аиқəҳəала
440,Farbe::N,чия́,ашəыга
441,Kleidung::N,чие́м,амаҭəа
442,Kleidung::N,вурге́м,амаҭəа
443,Hemd::N,ту́выр,акьаҿ
444,Kragen::N,сога́,ахəда
445,Ärmel::N,шокш,амаӷра
446,Hose::N,йола́ш,аиқəа
447,Gürtel::N,ӱ́штӧ,амаҟа
448,Mütze::N,упш,ахылҧа
449,Schuh::N,боти́нке,аимаа
450,Stiefel::N,кем,амагə
451,Ring::N,шерга́ш,амацəаз
452,Band::N,тасма́,алента
453,Band::N,ле́нте,алента
454,Kamm::N,шерге́,ахҳəа
455,Spiegel::N,вошто́нчыш,асаркьа
456,Riemen::N,кӱзанӱ́штӧ,аа
457,Schnur::N,кере́м,ашаха
458,Schnur::N,кандыра́,ашаха
459,Leine::N,вӱра́ҥ,аҕура
460,Decke::N,леве́дыш,ахыза
461,Decke::N,одея́л,ахыза
462,Kissen::N,кӱ́пчык,ахчы
463,Tuch::N,шо́выч,акасы
464,Handtuch::N,со́лык,ампахьшьы
465,Kraft::N,вий,амч
466,Kraft::N,куа́т,амч
467,Stärke::N,куа́т,амч
468,Stärke::N,карма́н,амч
469,Gesundheit::N,таза́лык,агəабзиара
470,Krankheit::N,чер,ачымазара
471,Schmerz::N,ко́рштыш,ахьаа
472,Wunde::N,су́сыр,ахəра
473,Fieber::N,йӱштыму́ж,ашоура
474,Fieber::N,лихора́дке,ашоура
475,Arznei::N,эм,ахəшə
476,Brücke::N,кӱва́р,ацҳа
477,Brunnen::N,вӱдвыне́м,аҵыџь
478,Weide::N,нурше́р,аҳəырҭа
479,Pfad::N,йолго́рно,амхəасҭа
480,Pfad::N,сокма́к,амхəасҭа
481,Weg::N,ко́рно,амҩа
482,Straße::N,ко́рно,амҩа
483,Dorf::N,ял,ақыҭа
484,Stadt::N,ола́,ақалақь
485,Brief::N,се́рыш,ашəҟəы
486,Buch::N,книга́,ашəҟəы
487,Buchstabe::N,буква́,анбан
488,Zeitung::N,газе́т,агазеҭ
489,Leben::N,и́лыш,аҧсҭазаара
490,Tod::N,колыма́ш,аҧсра
491,Grab::N,шӱга́р,анышəынҭра
