,Concept_ID,cy,no
0,Auge::N,llygad,øye
1,Ohr::N,clust,øre
2,Nase::N,trwyn,nese
3,Mund::N,ceg,munn
4,Zahn::N,dant,tann
5,Zunge::N,tafod,tunge
6,Lippe::N,gwefus,leppe
7,Wange::N,boch,kinn
8,Gesicht::N,wyneb,fjes
9,Gesicht::N,wyneb,ansikt
10,Stirn::N,talcen,panne
11,Haar::N,blew,hår
12,Schnurrbart::N,mwstas,bart
13,Bart::N,barf,skjegg
14,Kinn::N,gên,hake
15,Kiefer[Anatomie]::N,gên,kjeve
16,Kehle::N,gwddf,strupe
17,Hals::N,gwddf,hals
18,Genick::N,gwar,nakke
19,Genick::N,gwegil,nakke
20,Kopf::N,pen,hode
21,Rücken::N,cefn,rygg
22,Bauch::N,bol,buk
23,Bauch::N,bol,mage
24,Nabel::N,bogail,navle
25,Busen::N,bron,barm
26,Brust::N,brest,bryst
27,Schulter::N,ysgwydd,skulder
28,Arm::N,braich,arm
29,Ellenbogen::N,penelin,albue
30,Hand::N,llaw,hånd
31,Handfläche::N,palf,håndflate
32,Finger::N,bys,finger
33,Fingernagel::N,ewin,fingernegl
34,Nagel[Anatomie]::N,ewin,negl
35,Zeh::N,bys troed,tå
36,Fuß::N,troed,fot
37,Ferse::N,sawdl,hæl
38,Knie::N,glin,kne
39,Oberschenkel::N,clun,lår
40,Bein::N,coes,bein
41,Körper::N,corff,kropp
42,Körper::N,corff,legeme
43,Haut::N,croen,hud
44,Haut::N,croen,skinn
45,Blut::N,gwaed,blod
46,Ader::N,gwythïen,åre
47,Sehne::N,gewyn,sene
48,Knochen::N,asgwrn,bein
49,Knochen::N,asgwrn,knokkel
50,Gehirn::N,ymennydd,hjerne
51,Herz::N,calon,hjerte
52,Magen::N,cylla,mage
53,Magen::N,stumog,mage
54,Leber::N,iau,lever
55,Atem::N,anadl,pust
56,Hunger::N,newyn,sult
57,Träne::N,deigryn,tåre
58,Geschmack::N,cyflas,smak
59,Geruch::N,aroglau,lukt
60,Schlaf::N,cwsg,søvn
61,Traum::N,breuddwyd,drøm
62,Himmel::N,awyr,himmel
63,Sonne::N,haul,sol
64,Mond::N,lleuad,måne
65,Stern::N,seren,stjerne
66,Luft::N,awyr,luft
67,Wind::N,gwynt,vind
68,Welle::N,ton,bølge
69,Wasser::N,dŵr,vann
70,Stein::N,carreg,stein
71,Boden::N,llawr,bakke
72,Erde::N,pridd,jord
73,Staub::N,llwch,støv
74,Rauch::N,mwg,røyk
75,Funke::N,gwreichioni,gnist
76,Feuer::N,tân,ild
77,Licht::N,golau,lys
78,Schatten::N,cysgod,skygge
79,Wetter::N,tywydd,vær
80,Nebel::N,niwl,tåke
81,Wolke::N,cwmwl,sky
82,Regen::N,glaw,regn
83,Schnee::N,ôd,snø
84,Schnee::N,eira,snø
85,Eis::N,iâ,is
86,Frost::N,rhew,frost
87,Kälte::N,oerni,kulde
88,Kälte::N,annwyd,kulde
89,Hitze::N,gwres,hete
90,Raureif::N,barrug,rimfrost
91,Regenbogen::N,enfys,regnbue
92,Donner::N,tyrfau,torden
93,Strömung::N,cerrynt,strømning
94,Tropfen::N,dafn,dråpe
95,Tropfen::N,diferyn,dråpe
96,Schaum::N,ewyn,skum
97,Schmutz::N,baw,søl
98,Schmutz::N,baw,skitt
99,Schmutz::N,budreddi,søl
100,Schmutz::N,budreddi,skitt
101,See::N,llyn,sjø
102,Sumpf::N,cors,sump
103,Sumpf::N,cors,myrlende
104,Moor::N,rhos,myr
105,Moor::N,rhos,myrhei
106,Wiese::N,dôl,eng
107,Wald::N,coedwig,skog
108,Hügel::N,bryn,haug
109,Hügel::N,bryn,bakke
110,Anhöhe::N,bryn,haug
111,Anhöhe::N,bryn,bakke
