,Concept_ID,ce,be
0,Auge::N,бӏаьрг,вока
1,Ohr::N,лерг,вуха
2,Nase::N,мара,нос
3,Mund::N,бага,рот
4,Zahn::N,церг,зуб
5,Zunge::N,мотт,язык
6,Lippe::N,балда,губа
7,Wange::N,бесни,шчака
8,Gesicht::N,юьхь,твар
9,Stirn::N,хьаж,лоб
10,Haar::N,мас,волас
11,Haar::N,мас,валасы
12,Schnurrbart::N,мекх,вус
13,Schnurrbart::N,мекх,вусы
14,Bart::N,маж,барада
15,Kinn::N,чӏениг,падбародак
16,Kiefer[Anatomie]::N,мочхал,сківіца
17,Kehle::N,къамкъарг,горла
18,Hals::N,ворта,шыя
19,Genick::N,кӏесаркӏаг,патыліца
20,Kopf::N,корта,галава
21,Rücken::N,букъ,спіна
22,Bauch::N,кийра,жывот
23,Nabel::N,цӏонга,пупок
24,Busen::N,зударийн накха,грудзі
25,Brust::N,накха,грудзі
26,Schulter::N,белш,плячо
27,Arm::N,пхьарс,рука
28,Ellenbogen::N,пхьаьрсан гола,локаць
29,Hand::N,куьг,кісць
30,Handfläche::N,кераюкъ,далонь
31,Finger::N,пӏелг,палец
32,Fingernagel::N,мӏара,ногаць
33,Nagel[Anatomie]::N,мӏара,ногаць
34,Zeh::N,кога пӏелг,палец
35,Fuß::N,ког,нага
36,Ferse::N,кӏажа,пята
37,Ferse::N,кӏажа,пятка
38,Knie::N,гола,калена
39,Oberschenkel::N,варе,бядро
40,Oberschenkel::N,варе,сцягно
41,Bein::N,ког,нага
42,Körper::N,хӏума,цела
43,Haut::N,чкъор,скура
44,Blut::N,цӏий,кроў
45,Ader::N,пха,вена
46,Ader::N,пха,сасуд
47,Sehne::N,хьорзам,жыла
48,Sehne::N,хьорзам,цеціва
49,Sehne::N,хьорзам,сухажылле
50,Knochen::N,даьӏахк,косць
51,Gehirn::N,хье,мозг
52,Herz::N,дог,сэрца
53,Magen::N,зорх,страўнік
54,Leber::N,доӏах,печань
55,Atem::N,садеӏар,дыханне
56,Hunger::N,мацалла,голад
57,Träne::N,бӏаьрхи,сляза
58,Geschmack::N,чам,смак
59,Geruch::N,хьожа,пах
60,Schlaf::N,наб,сон
61,Traum::N,гӏан,сон
62,Himmel::N,стигал,неба
63,Sonne::N,малх,сонца
64,Mond::N,бутт,месяц
65,Stern::N,седа,зорка
66,Luft::N,xӏаваъ,паветра
67,Wind::N,мох,вецер
68,Welle::N,тулгӏе,хваля
69,Wasser::N,хи,вада
70,Stein::N,тӏулг,камень
71,Boden::N,цӏенкъа,глеба
72,Erde::N,латта,зямля
73,Staub::N,чан,пыл
74,Rauch::N,кӏур,дым
75,Funke::N,суй,іскра
76,Feuer::N,цӏе,агонь
77,Licht::N,серло,святло
78,Schatten::N,ӏиндагӏ,цень
79,Wetter::N,хенан хӏоттам,пагода
80,Wetter::N,хенан хӏоттам,надворʼе
81,Nebel::N,дохк,туман
82,Wolke::N,марха,воблака
83,Regen::N,догӏа,дождж
84,Schnee::N,ло,снег
85,Eis::N,ша,лёд
86,Frost::N,шело,мароз
87,Kälte::N,шело,холад
88,Hitze::N,йовхо,спёка
89,Raureif::N,йис,іней
90,Regenbogen::N,стелаӏад,вясёлка
91,Donner::N,ткъес,гром
92,Strömung::N,дӏаэхар,цячэнне
93,Strömung::N,дӏасалелар,цячэнне
94,Tropfen::N,тӏадам,кропля
95,Schaum::N,чопа,пена
96,Schmutz::N,хатт,гразь
97,See::N,ӏам,возера
98,Sumpf::N,уьшал,багна
99,Moor::N,уьшал,балота
100,Wiese::N,бай,луг
101,Wald::N,хьун,лес
102,Hügel::N,гу,узгорак
103,Hügel::N,шу,узгорак
104,Hügel::N,барз,узгорак
105,Anhöhe::N,акъари,узвышша
106,Berg::N,лам,гара
107,Gipfel::N,бохь,вяршыня
108,Höhle::N,хьех,пячора
109,Abhang::N,басе,схіл
110,Quelle::N,шовда,крыніца
111,Bach::N,татол,ручай
112,Fluss::N,хи,рака
113,Ufer::N,хийист,бераг
114,Küste::N,йист,узбярэжжа
115,Festland::N,латта,суша
116,Meer::N,xӏорд,мора
117,Bucht::N,чож,бухта
118,Insel::N,гӏайре,востраў
119,Blume::N,зезаг,кветка
120,Gras::N,буц,трава
121,Wurzel::N,орам,корань
122,Baum::N,дитт,дрэва
123,Stamm::N,гӏад,ствол
124,Stamm::N,тайпа,ствол
125,Rinde::N,кевстиг,кара
126,Ast::N,га,сук
127,Zweig::N,га,галіна
128,Blatt::N,гӏа,ліст
129,Birke::N,дакх,бяроза
130,Kiefer[Baum]::N,бага,хвоя
131,Kiefer[Baum]::N,бага,сасна
132,Weide[Baum]::N,дак,вярба
133,Tanne::N,база,яліна
134,Horn::N,маӏа,рог
135,Feder::N,пелаг,пяро
136,Fell::N,цӏока,шкура
137,Flügel::N,тӏам,крыло
138,Klaue::N,мӏара,кіпцюр
139,Kralle::N,тlод,лапа
140,Schwanz::N,цӏога,хвост
141,Ei::N,xӏoa,яйка
142,Nest::N,бен,гняздо
143,Bau::N,lуьрг,нара
144,Tier::N,дийнат,жывёла
145,Herde::N,жа,статак
146,Kuh::N,етт,карова
147,Bulle::N,сту,бык
148,Pferd::N,говр,конь
149,Schaf::N,жий,авечка
150,Schaf::N,уьстагӏ,авечка
151,Schwein::N,хьакха,свіння
152,Hund::N,жӏаьла,сабака
153,Katze::N,цициг,кошка
154,Bär::N,ча,мядзведзь
155,Eichhörnchen::N,тарсал,вавёрка
156,Elch::N,сай,лось
157,Fuchs::N,цхьогал,ліса
158,Hase::N,пхьагал,заяц
159,Maus::N,дахка,мыш
160,Wolf::N,борз,воўк
161,Vogel::N,олхазар,птах
162,Vogel::N,олхазар,птушка
163,Huhn::N,котам,курыца
164,Hahn::N,нӏаьна,певень
165,Hahn::N,боргӏал,певень
166,Gans::N,гӏаз,гусь
167,Adler::N,aьрзу,арол
168,Ente::N,бад,качка
169,Eule::N,бухӏа,сава
170,Kranich::N,гӏаргӏули,жораў
171,Kranich::N,гӏаргӏули,журавель
172,Krähe::N,къиг,варона
173,Kuckuck::N,aттйокх,зязюля
174,Schwan::N,гӏургӏаз,лебедзь
175,Fisch::N,чӏара,рыба
176,Barsch::N,окунь,акунь
177,Hecht::N,гӏазкхийн чӏара,шчупак
178,Schlange[Tier]::N,лаьхьа,змяя
179,Wurm::N,нӏаьна,чарвяк
180,Spinne::N,гезг,павук
181,Ameise::N,зингат,мурашка
182,Laus::N,меза,вош
183,Laus::N,гӏениг,вош
184,Mücke::N,чуьрк,камар
185,Fliege::N,моза,муха
186,Schmetterling::N,полла,матыль
187,Beere::N,цӏазам,ягада
188,Apfel::N,ӏаж,яблык
189,Pilz::N,жӏаьлин нускал,грыб
190,Zwiebel::N,xох,цыбуля
191,Saat::N,чlу,семя
192,Korn::N,буьртиг,зерне
193,Heu::N,йол,сена
194,Schale::N,пардо,шалупінне
195,Grube::N,ор,яма
196,Falle::N,кӏело,пастка
197,Spur::N,лар,след
198,Asche::N,чим,попел
199,Dreck::N,мода,бруд
200,Eisen::N,эчиг,жалеза
201,Gold::N,деши,золата
202,Silber::N,дети,сребра
203,Kohle::N,кӏора,вугаль
204,Glas::N,aнгали,шкло
205,Lehm::N,поппар,гліна
206,Sand::N,гӏум,пясок
207,Mensch::N,адам,чалавек
208,Mann::N,майра,мужчына
209,Frau::N,зуда,жанчына
210,Kind::N,бер,дзіця
211,Junge::N,жимха,хлопчык
212,Mädchen::N,жима йоӏ,дзяўчынка
213,Familie::N,доьзал,сямʼя
214,Großvater::N,ненада,дзядуля
215,Großmutter::N,денана,бабуля
216,Eltern::N,да-нана,бацькі
217,Vater::N,да,бацька
218,Mutter::N,нана,маці
219,Sohn::N,кӏант,сын
220,Tochter::N,йоӏ,дачка
221,Bruder::N,ваша,брат
222,Schwester::N,йиша,сястра
223,Onkel::N,деваша,дзядзька
224,Tante::N,дейиша,цётка
225,Ehemann::N,майра,муж
226,Ehefrau::N,зуда,жонка
227,Freude::N,самукъа,радасць
228,Freude::N,хазахетар,радасць
229,Gelächter::N,белам,смех
230,Glück::N,ирс,шчасце
231,Kummer::N,бала,гора
232,Wunsch::N,лаам,жаданне
233,Lust::N,лаам,цяга
234,Geist::N,са,дух
235,Gedanke::N,ойла,думка
236,Gedächtnis::N,диццадалар,памяць
237,Verstand::N,хьекъал,розум
238,Sinn::N,маьӏна,сэнс
239,Grund::N,бахьана,зачэпка
240,Wahrheit::N,бакъдерг,праўда
241,Gespräch::N,къамел,размова
242,Märchen::N,туьйра,казка
243,Erzählung::N,дийцар,расказ
244,Erzählung::N,дийцар,апавяданне
245,Nachricht::N,хаам,вестка
246,Nachricht::N,хаам,паведамленне
247,Neuigkeit::N,керланиг,навіна
248,Name::N,цӏе,імя
249,Rätsel::N,хӏетал-метал,загадка
250,Rede::N,къамел,прамова
251,Sprache::N,мотт,мова
252,Stimme::N,aз,голас
253,Wort::N,дош,слова
254,Zeichen::N,билгало,знак
255,Ruf::N,кхайкхар,кліч
256,Lärm::N,гӏовгӏа,шум
257,Laut::N,аз,гук
258,Ton::N,aз,гучанне
259,Lied::N,илли,песня
260,Ruhe::N,тийналла,спакой
261,Leute::N,нах,людзі
262,Volk::N,халкъ,народ
263,Arbeit::N,болх,праца
264,Arbeit::N,болх,работа
265,Gast::N,хьаша,госць
266,Geschenk::N,совгӏат,падарунак
267,Spiel::N,ловзар,гульня
268,Gesellschaft::N,юкъаралла,таварыства
269,Hilfe::N,гӏо,дапамога
270,Freund::N,доттагl,друг
271,Freund::N,доттагl,сябар
272,Kamerad::N,накъост,прыяцель
273,Angelegenheit::N,гӏуллакх,справа
274,Anzahl::N,терахь,колькасць
275,Stück::N,юьхк,кусок
276,Stück::N,юьхк,кавалак
277,Teil::N,дакъа,частка
278,Hälfte::N,ах,палова
279,Hälfte::N,ах,палавіна
280,Kreis::N,го,круг
281,Kreuz::N,жӏара,крыж
282,Linie::N,сиз,лінія
283,Strich::N,сиз,рыса
284,Abstand::N,юкъ,прамежак
285,Gegend::N,мeттиг,мясцовасць
286,Platz::N,майда,месца
287,Ort::N,меттиг,месца
288,Seite::N,aгӏo,бок
289,Mitte::N,юкъ,сярэдзіна
290,Gegenstand::N,хӏума,прадмет
291,Sache::N,хӏума,рэч
292,Rand::N,йист,край
293,Kante::N,йист,руб
294,Kante::N,йист,кант
295,Ecke::N,са,вугал
296,Spitze::N,ралла,кончык
297,Ende::N,юьхьиг,канец
298,Loch::N,ӏуьрг,дзірка
299,Winkel::N,са,вугал
300,Muster::N,дагар,узор
301,Muster::N,тӏамар,узор
302,Größe::N,барам,памер
303,Länge::N,йохалла,даўжыня
304,Höhe::N,локхалла,вышыня
305,Gewicht::N,йозалла,вага
306,Menge::N,дукхалла,колькасць
307,Haufen::N,сал,куча
308,Haufen::N,оьла,куча
309,Reihe::N,рагӏ,рад
310,Reihe::N,могӏа,рад
311,Boot::N,кема,лодка
312,Ruder::N,пийсиг,вясло
313,Schlitten::N,салаз,сані
314,Ski::N,когсалаз,лыжа
315,Lagerfeuer::N,цӏе,вогнішча
316,Last::N,дукъ,цяжар
317,Gang::N,лелар,ход
318,Schritt::N,гӏулч,шаг
319,Schritt::N,гӏулч,крок
320,Norden::N,къилбаседе,поўнач
321,Süden::N,къилбе,поўдзень
322,Westen::N,малхбузе,захад
323,Osten::N,малхбале,усход
324,Holz::N,дечиг,дрэва
325,Holz::N,дечиг,драўніна
326,Brett::N,у,дошка
327,Platte::N,у,пліта
328,Stütze::N,гӏopтоp,падпорка
329,Stange::N,гӏуркх,жэрдка
330,Stock::N,ӏаса,палка
331,Stab::N,гӏаж,шост
332,Rohr::N,биргӏа,труба
333,Haus::N,цӏа,дом
334,Heim::N,кхерч,дом
335,Heim::N,кхерч,хата
336,Ofen::N,кхерч,печ
