,Concept_ID,cs,mrj
0,Auge::N,oko,сӹнзӓ
1,Ohr::N,ucho,пӹлӹш
2,Nase::N,nos,нер
3,Mund::N,pusa,ышма
4,Zahn::N,zub,пӱ
5,Zunge::N,jazyk,йӹлмӹ
6,Lippe::N,ret,тӹрвӹ
7,Wange::N,tvář,шӹргӹ
8,Gesicht::N,obličej,лицӓ
9,Stirn::N,čelo,лепкӓ
10,Haar::N,vlas,ӱп
11,Haar::N,vlasy,ӱп
12,Schnurrbart::N,kníry,öрш
13,Bart::N,vousy,пандаш
14,Kinn::N,brada,онгылаш
15,Kiefer[Anatomie]::N,čelist,пӱ арата
16,Kehle::N,hrdlo,логер
17,Hals::N,krk,шӱ
18,Genick::N,týl,ланга
19,Kopf::N,hlava,вуй
20,Rücken::N,záda,туп
21,Rücken::N,hřbet,туп
22,Bauch::N,břicho,мӹшкӹр
23,Nabel::N,pupek,кӹлӹмдӹ
24,Busen::N,ňadra,цӹзӹ
25,Brust::N,prsa,мел
26,Schulter::N,plece,ӹнгӹжӓ
27,Schulter::N,rameno,ӹнгӹжӓ
28,Arm::N,ruka,кид
29,Ellenbogen::N,loket,кӹнервуй
30,Hand::N,ruka,лапа
31,Handfläche::N,dlaň,кид лапа
32,Finger::N,prst,парня
33,Fingernagel::N,nehet,кӹч
34,Nagel[Anatomie]::N,nehet,кӹч
35,Zeh::N,prst u nohy,парня
36,Fuß::N,noha,ял лапа
37,Ferse::N,pata,ялгавал
38,Ferse::N,pata,ял кавал
39,Knie::N,koleno,пылвуй
40,Oberschenkel::N,stehno,ӓрдӹ
41,Bein::N,noha,ял
42,Körper::N,tělo,монгыр
43,Haut::N,kůže,кавашты
44,Blut::N,krev,вӹр
45,Ader::N,céva,вӹршӓр
46,Sehne::N,šlacha,кукшышӱн
47,Knochen::N,kost,лу
48,Gehirn::N,mozek,вим
49,Herz::N,srdce,шӱм
50,Magen::N,žaludek,шӱм
51,Leber::N,játra,мокш
52,Atem::N,dech,шӱлӹш
53,Hunger::N,hlad,шужымаш
