,Concept_ID,se,mhr
0,Auge::N,tjelmie,шинча́
1,Auge::N,tjalmme,шинча́
2,Auge::N,čalbmi,шинча́
3,Auge::N,čalme,шинча́
4,Auge::N,čâ´lmm,шинча́
5,Auge::N,ча̄лльм,шинча́
6,Ohr::N,bieljie,пы́лыш
7,Ohr::N,biellje,пы́лыш
8,Ohr::N,beallji,пы́лыш
9,Ohr::N,pelji,пы́лыш
10,Ohr::N,pe´llj,пы́лыш
11,Ohr::N,пе̄лльй,пы́лыш
12,Nase::N,njuenie,нер
13,Nase::N,njunnje,нер
14,Nase::N,njunni,нер
15,Nase::N,njuṇe,нер
16,Nase::N,njuu´nn,нер
17,Nase::N,нюннҍ,нер
18,Mund::N,njaelmie,умша́
19,Mund::N,njálmme,умша́
20,Mund::N,njálbmi,умша́
21,Mund::N,njälmi,умша́
22,Mund::N,njä´lmm,умша́
23,Mund::N,ня̄лльм,умша́
24,Zahn::N,baenie,пӱй
25,Zahn::N,bádne,пӱй
26,Zahn::N,bátni,пӱй
27,Zahn::N,pääṇi,пӱй
28,Zahn::N,pää´nn,пӱй
29,Zahn::N,па̄ннҍ,пӱй
30,Zunge::N,njoektjeme,йы́лме
31,Zunge::N,njuovtjav,йы́лме
32,Zunge::N,njuovčča,йы́лме
33,Zunge::N,njuovčâ,йы́лме
34,Zunge::N,njuhččâm,йы́лме
35,Zunge::N,нюхчем,йы́лме
36,Lippe::N,bangseme,тӱ́рвӧ
37,Lippe::N,njálmmerabdda,тӱ́рвӧ
38,Lippe::N,bavssa,тӱ́рвӧ
39,Lippe::N,poovsâ,тӱ́рвӧ
40,Lippe::N,põõus,тӱ́рвӧ
41,Lippe::N,пэ̄кс,тӱ́рвӧ
42,Wange::N,skiehrie,шӱ́ргӧ
43,Wange::N,nierra,шӱ́ргӧ
44,Wange::N,muohtu,шӱ́ргӧ
45,Wange::N,nieṛâ,шӱ́ргӧ
46,Wange::N,njiõrr,шӱ́ргӧ
47,Wange::N,нӣрр,шӱ́ргӧ
48,Gesicht::N,ååredæjja,чури́й
49,Gesicht::N,muohto,чури́й
50,Gesicht::N,muođut,чури́й
51,Gesicht::N,ámadadju,чури́й
52,Gesicht::N,muáđuh,чури́й
53,Gesicht::N,muâđ,чури́й
54,Gesicht::N,ка̄ссв,чури́й
55,Stirn::N,gaalloe,саҥга́
56,Stirn::N,gállo,саҥга́
57,Stirn::N,gállu,саҥга́
58,Stirn::N,kállu,саҥга́
59,Stirn::N,käll,саҥга́
60,Stirn::N,вуэххьц,саҥга́
61,Haar::N,voepte,ӱп
62,Haar::N,vuoppta,ӱп
63,Haar::N,vuokta,ӱп
64,Haar::N,vuop'tâ,ӱп
65,Haar::N,vuõpt,ӱп
66,Haar::N,вӯппт,ӱп
67,Schnurrbart::N,bijjie-skaavtjoe,ӧ́рыш
68,Schnurrbart::N,njunjevuolskávttjá,ӧ́рыш
69,Schnurrbart::N,seamu,ӧ́рыш
70,Schnurrbart::N,siämu,ӧ́рыш
71,Schnurrbart::N,ää´bben,ӧ́рыш
72,Schnurrbart::N,о̄а̄бпан,ӧ́рыш
73,Bart::N,skaavtja,понда́ш
74,Bart::N,skaavtjoe,понда́ш
75,Bart::N,skávttjá,понда́ш
76,Bart::N,seamu,понда́ш
77,Bart::N,siämu,понда́ш
78,Bart::N,seäm,понда́ш
79,Bart::N,ся̄м,понда́ш
80,Kinn::N,gaejpie,оҥыла́ш
81,Kinn::N,gájbbe,оҥыла́ш
82,Kinn::N,gáibi,оҥыла́ш
83,Kinn::N,käibi,оҥыла́ш
84,Kinn::N,käi´bb,оҥыла́ш
85,Kinn::N,ка̄ййп,оҥыла́ш
86,Kiefer[Anatomie]::N,gaejpie,пӱйдӱ́ҥ
87,Kiefer[Anatomie]::N,gaejpie,пӱйората́
88,Kiefer[Anatomie]::N,oalol,пӱйдӱ́ҥ
89,Kiefer[Anatomie]::N,oalol,пӱйората́
90,Kiefer[Anatomie]::N,oaloldákte,пӱйдӱ́ҥ
91,Kiefer[Anatomie]::N,oaloldákte,пӱйората́
92,Kiefer[Anatomie]::N,gáibi,пӱйдӱ́ҥ
93,Kiefer[Anatomie]::N,gáibi,пӱйората́
94,Kiefer[Anatomie]::N,uá'lultähti,пӱйдӱ́ҥ
95,Kiefer[Anatomie]::N,uá'lultähti,пӱйората́
96,Kiefer[Anatomie]::N,vuâl'lõš,пӱйдӱ́ҥ
97,Kiefer[Anatomie]::N,vuâl'lõš,пӱйората́
98,Kiefer[Anatomie]::N,вуаллнешш,пӱйдӱ́ҥ
99,Kiefer[Anatomie]::N,вуаллнешш,пӱйората́
100,Kehle::N,gealoe,лога́р
101,Kehle::N,tjåttå,лога́р
102,Kehle::N,njiello,лога́р
103,Kehle::N,čotta,лога́р
104,Kehle::N,čuudâ,лога́р
105,Kehle::N,čoodd,лога́р
106,Kehle::N,чонт,лога́р
107,Kehle::N,кэ̄ҏс,лога́р
108,Hals::N,tjeapohke,шӱй
109,Hals::N,tjiebet,шӱй
110,Hals::N,čeabet,шӱй
111,Hals::N,čiäppát,шӱй
112,Hals::N,čeäppat,шӱй
113,Hals::N,ча̄пэх,шӱй
