,Concept_ID,ru,it
0,Auge::N,глаз,occhio
1,Ohr::N,ухо,orecchio
2,Nase::N,нос,naso
3,Mund::N,рот,bocca
4,Zahn::N,зуб,dente
5,Zunge::N,язык,lingua
6,Lippe::N,губа,labbro
7,Wange::N,щека,guancia
8,Gesicht::N,лицо,viso
9,Gesicht::N,лицо,faccia
10,Stirn::N,лоб,fronte
11,Haar::N,волос,capello
12,Haar::N,волосы,capello
13,Schnurrbart::N,ус,baffi
14,Schnurrbart::N,ус,mustacchi
15,Schnurrbart::N,усы,baffi
16,Schnurrbart::N,усы,mustacchi
17,Bart::N,борода,barba
18,Kinn::N,подбородок,mento
19,Kiefer[Anatomie]::N,челюсть,mascella
20,Kehle::N,горло,gola
21,Hals::N,шея,collo
22,Genick::N,затылок,nuca
23,Kopf::N,голова,capo
24,Kopf::N,голова,testa
25,Rücken::N,спина,dorso
26,Rücken::N,спина,schiena
27,Bauch::N,живот,ventre
28,Nabel::N,пупок,ombelico
29,Busen::N,женская грудь,seno
30,Brust::N,грудь,petto
31,Schulter::N,плечо,spalla
32,Arm::N,рука,braccio
33,Ellenbogen::N,локоть,gomito
34,Hand::N,кисть,mano
35,Handfläche::N,ладонь,palma
36,Finger::N,палец,dito
37,Fingernagel::N,ноготь,unghia
38,Nagel[Anatomie]::N,ноготь,unghia
39,Zeh::N,палец,dito del piede
40,Fuß::N,ступня,piede
41,Ferse::N,пята,tallone
42,Ferse::N,пята,calcagno
43,Ferse::N,пятка,tallone
44,Ferse::N,пятка,calcagno
45,Knie::N,колено,ginocchio
46,Oberschenkel::N,бедро,fèmore
47,Bein::N,нога,gamba
48,Körper::N,тело,corpo
49,Haut::N,кожа,pelle
50,Blut::N,кровь,sangue
51,Ader::N,вена,vena
52,Ader::N,сосуд,vena
53,Sehne::N,жила,tèndine
54,Sehne::N,тетива,tèndine
55,Sehne::N,сухожилие,tèndine
56,Knochen::N,кость,osso
57,Gehirn::N,мозг,cervello
58,Herz::N,сердце,cuore
59,Magen::N,желудок,stòmaco
60,Leber::N,печень,fegato
