,Concept_ID,os,sk
0,Auge::N,цӕст,oko
1,Ohr::N,хъус,ucho
2,Nase::N,фындз,nos
3,Mund::N,дзых,ústa
4,Zahn::N,дӕндаг,zub
5,Zunge::N,ӕвзаг,jazyk
6,Lippe::N,был,pera
7,Wange::N,рус,líce
8,Wange::N,уадул,líce
9,Wange::N,ӕхсӕрфарс,líce
10,Gesicht::N,цӕсгом,tvár
11,Gesicht::N,цӕсгом,obličaj
12,Stirn::N,ных,čelo
13,Haar::N,хил,vlas
14,Schnurrbart::N,рихи,fúzy
15,Bart::N,зачъе,brada
16,Kinn::N,роцъо,brada
17,Kiefer[Anatomie]::N,ӕфсӕр,čeľusť
18,Kehle::N,хъуыр,hrdlo
19,Hals::N,къубал,krk
20,Genick::N,къӕбут,väzy
21,Kopf::N,сӕр,hlava
22,Rücken::N,фӕсонтӕ,chrbát
23,Bauch::N,гуыбын,brucho
24,Nabel::N,бикъ,pupok
25,Busen::N,дзидзи,prsia
26,Brust::N,риу,hruď
27,Schulter::N,уӕхск,plece
28,Arm::N,цонг,rameno
29,Ellenbogen::N,рæмбын,lakeť
30,Hand::N,къух,ruka
31,Handfläche::N,армытъӕпӕн,dlaň
32,Finger::N,ӕнруылдз,prst
33,Fingernagel::N,ных,necht
34,Nagel[Anatomie]::N,ных,necht
35,Zeh::N,къух,prst na nohe
36,Fuß::N,фад,noha
37,Ferse::N,зӕвӕт,päta
38,Knie::N,уӕраг,koleno
39,Oberschenkel::N,агъд,stehno
40,Bein::N,зӕнг,noha
41,Körper::N,буар,telo
42,Haut::N,царм,koža
43,Blut::N,туг,krv
44,Ader::N,дадзин,žila
45,Ader::N,тугдадзин,žila
46,Sehne::N,хъиутæ,šľacha
47,Sehne::N,нуар,šľacha
48,Knochen::N,стӕг,kosť
49,Gehirn::N,магъз,mozog
50,Herz::N,зӕрдӕ,srdce
51,Magen::N,ахсӕн,žalúdok
52,Leber::N,игæр,pečeň
53,Atem::N,улӕфт,dych
54,Hunger::N,стонг,hlad
55,Träne::N,цæссыг,slza
56,Geschmack::N,ад,chuť
57,Geruch::N,смаг,pach
58,Schlaf::N,хуыссӕг,spánok
59,Traum::N,фын,sen
60,Himmel::N,арв,nebo
61,Himmel::N,уӕларв,nebo
62,Sonne::N,хур,slnko
63,Mond::N,мӕй,mesiac
64,Stern::N,стъалы,hviezda
65,Luft::N,уӕлдӕф,vzduch
66,Wind::N,дымгӕ,vietor
67,Welle::N,уылӕн,vlna
68,Wasser::N,дон,voda
69,Stein::N,дур,kameň
70,Boden::N,зӕхх,zem
71,Boden::N,зӕхх,pôda
72,Erde::N,сыджыт,zem
73,Staub::N,рыг,prach
74,Rauch::N,фӕздӕг,dym
75,Funke::N,цӕхӕр,iskra
76,Feuer::N,зынг,oheň
77,Licht::N,рухс,svetlo
78,Schatten::N,аууон,tieň
79,Wetter::N,боныхъӕд,počasie
80,Nebel::N,мигъ,hmla
81,Wolke::N,ӕврагъ,oblak
82,Wolke::N,ӕврагъ,mračno
83,Regen::N,уарын,dážď
84,Schnee::N,мит,sneh
85,Eis::N,их,ľad
86,Frost::N,ихæн,mráz
87,Kälte::N,уазал,zima
88,Kälte::N,уазал,chlad
89,Hitze::N,ӕнтӕф,horúčava
90,Raureif::N,халас,srieň
91,Raureif::N,халас,inovať
92,Regenbogen::N,арвырон,dúha
93,Regenbogen::N,арвырдын,dúha
94,Donner::N,æрвнæрын,hrom
95,Strömung::N,цыд,prúdenie
96,Tropfen::N,æртах,kvapka
97,Schaum::N,фынк,pena
98,Schmutz::N,цъыф,špina
99,Schmutz::N,цъыф,nečistota
100,See::N,цад,jazero
101,Sumpf::N,цъыфдзаст,bahno
102,Moor::N,цъыфдзаст,močiar
103,Wiese::N,уыгӕрдӕн,lúka
104,Wald::N,хъӕд,les
105,Wald::N,хъӕд,hora
106,Hügel::N,обау,vŕšok
107,Hügel::N,къуыбыр,vŕšok
108,Anhöhe::N,уæлвæз,výšina
109,Anhöhe::N,уæлвæз,vyvýšenina
110,Anhöhe::N,уæлхох,výšina
111,Anhöhe::N,уæлхох,vyvýšenina
112,Berg::N,хох,hora
113,Gipfel::N,цъупп,vrchol
114,Höhle::N,лӕгӕт,jaskyňa
115,Abhang::N,къул,úbočie
116,Quelle::N,суадон,prameň
117,Bach::N,мӕсчъыдон,potok
118,Fluss::N,дон,rieka
119,Fluss::N,цӕугӕдон,rieka
120,Ufer::N,был,breh
121,Küste::N,донбыл,pobrežie
122,Festland::N,сурзæхх,pevnina
123,Meer::N,денджыз,more
124,Bucht::N,донбакæлæн,záliv
125,Bucht::N,донбакæлæн,zátoka
126,Insel::N,сакъадах,ostrov
127,Blume::N,дидинӕг,kvet
128,Blume::N,дидинӕг,kvetina
129,Gras::N,кӕрдӕг,tráva
130,Wurzel::N,уидаг,koreň
131,Baum::N,бӕлас,strom
132,Stamm::N,хӕтӕл,kmeň
133,Rinde::N,цъар,kôra
134,Ast::N,арх,konár
135,Zweig::N,къалиу,vetva
136,Blatt::N,сыф,list
137,Birke::N,бæрз,breza
138,Kiefer[Baum]::N,нӕзы,sosna
139,Kiefer[Baum]::N,нӕзы,borovica
140,Weide[Baum]::N,хӕрис,vŕba
141,Tanne::N,наз,jedľa
142,Horn::N,сыкъа,roh
143,Feder::N,сис,pero
144,Fell::N,царм,koža
145,Fell::N,царм,kožušina
146,Flügel::N,базыр,krídlo
147,Klaue::N,ных,paznecht
148,Kralle::N,дзӕмбы,pazúr
149,Schwanz::N,къӕдзил,chvost
150,Ei::N,айк,vajce
151,Ei::N,айк,vajíčko
152,Nest::N,ахстон,hniezdo
153,Bau::N,хуынкъ,nora
154,Tier::N,сырд,zviera
155,Tier::N,цӕрӕгой,zviera
156,Herde::N,дзуг,stádo
157,Herde::N,рӕгъау,stádo
158,Kuh::N,хъуг,krava
159,Bulle::N,гал,býk
160,Pferd::N,бӕх,kôň
161,Schaf::N,фыс,ovca
162,Schwein::N,хуы,sviňa
163,Hund::N,куыдз,pes
164,Katze::N,гӕды,mačka
165,Bär::N,арс,medveď
166,Eichhörnchen::N,æхсæрæг,veverička
167,Elch::N,цæгатаг саг,los
168,Fuchs::N,рувас,líška
169,Hase::N,тæрхъус,zajac
170,Maus::N,мыст,myš
171,Wolf::N,бирӕгъ,vlk
172,Vogel::N,цъиу,vták
173,Vogel::N,маргъ,vták
174,Schwarm::N,бал,roj
175,Huhn::N,карк,kurča
176,Huhn::N,карк,sliepka
177,Hahn::N,уасӕг,kohút
178,Gans::N,хъаз,hus
179,Adler::N,цӕргӕс,orol
180,Ente::N,ацц,kačka
181,Ente::N,ацц,kačica
182,Eule::N, уыг,sova
183,Eule::N,сидахъ,sova
184,Kranich::N,зырнæг,žeriav
185,Kranich::N,хърихъупп,žeriav
186,Krähe::N,халон,vrana
187,Kuckuck::N,гаккук,kukučka
188,Schwan::N,доныхъаз,labuť
189,Fisch::N,кӕсаг,ryba
190,Barsch::N,окунь,ostriež
191,Hecht::N,хихор кӕсаг,šťuka
192,Schlange[Tier]::N,калм,had
193,Wurm::N,зулкъ,červ
194,Wurm::N,къуыдыргалм,červ
195,Spinne::N,хӕлуарӕг,pavúk
196,Ameise::N,мæлдзыг,mravec
197,Laus::N,сыст,voš
198,Mücke::N,къогъо,komár
199,Fliege::N,бындз,mucha
200,Schmetterling::N,гæлæбу,motýľ
