,Concept_ID,kl,ba
0,Auge::N,isi,күҙ
1,Ohr::N,siut,ҡолаҡ
2,Mund::N,paaq,ауыҙ
3,Mund::N,qaneq,ауыҙ
4,Zahn::N,kigut,теш
5,Zunge::N,oqaq,тел
6,Lippe::N,qarloq,ирен
7,Wange::N,ersaq,яцаҡтар
8,Gesicht::N,kiinaq,бит
9,Stirn::N,qaaq,маңлай
10,Haar::N,meqqoq,сәс
11,Bart::N,umik,һаҡал
12,Kinn::N,talloq,эйэк
13,Kiefer[Anatomie]::N,alleroq,яңаҡ һөйәге
14,Kehle::N,malaq,тамаҡ
15,Hals::N,qungaseq,муйын
16,Genick::N,pukusuk,соңҡа
17,Kopf::N,niaqoq,баш
18,Rücken::N,qimerlut,арҡа
19,Bauch::N,naaq,ҡорһаҡ
20,Nabel::N,qalaseq,кендек
21,Busen::N,iviangeq,күкрәк
22,Brust::N,iviangeq,түш
23,Schulter::N,ersik,яурын
24,Schulter::N,assaqqoq,яурын
25,Arm::N,taleq,ҡул
26,Ellenbogen::N,ikusik,терһәк
27,Hand::N,assak,ҡул
28,Hand::N,assak,ҡул суғы
29,Handfläche::N,itumak,ус төбө
30,Finger::N,inuak,бармаҡ
31,Fingernagel::N,kikiak,тырнаҡ
32,Nagel[Anatomie]::N,kukik,тырнаҡ
33,Zeh::N,isigak,бармаҡ
34,Ferse::N,kimmik,үксә
35,Knie::N,seeqqoq,тубыҡ
36,Oberschenkel::N,uppat,сандыр
37,Oberschenkel::N,quttoraq,сандыр
38,Bein::N,isigak,аяҡ
39,Körper::N,timi,тән
40,Haut::N,mattak,тире
41,Blut::N,aak,ҡан
42,Ader::N,taqaq,тамыр
43,Sehne::N,ujalu,һеңер
44,Sehne::N,ujalu,тарамыш
45,Sehne::N,ujaloq,һеңер
46,Sehne::N,ujaloq,тарамыш
47,Knochen::N,saanikut,һойәк
48,Gehirn::N,qarasaq,мейе
49,Herz::N,uummat,йорәк
50,Magen::N,aqajaroq,ашҡаҙан
51,Leber::N,tinguk,бауыр
52,Atem::N,anerneq,һулыш
53,Hunger::N,kaanneq,аслыҡ
54,Träne::N,qia,күҙ иәше
55,Träne::N,qiak,күҙ иәше
56,Geschmack::N,qilanaartuut,тәм
57,Geruch::N,tipi,еҫ
58,Geruch::N,tipik,еҫ
59,Traum::N,sinnattoq,төш
60,Traum::N,sinnattugaq,төш
61,Himmel::N,qilak,күк
62,Sonne::N,seqineq,ҡояш
63,Mond::N,qaammat,ай
64,Stern::N,ulloriaq,йондоҙ
65,Luft::N,silaannaq,һауа
66,Wind::N,anori,ел
67,Wind::N,anorsarik,ел
68,Welle::N,aalappaa,тулҡын
69,Wasser::N,imeq,һыу
70,Stein::N,ujarak,таш
71,Boden::N,nateq,тупраҡ
72,Erde::N,issoq,балсҡ
73,Staub::N,pujualanerit,туҙан
74,Staub::N,pujoralanerit,туҙан
75,Rauch::N,iseq,төтөн
76,Rauch::N,pujoq,төтөн
77,Funke::N,illoorneq,осҡон
78,Feuer::N,inneq,ут
79,Licht::N,qaamaneq,яҡтылыҡ
80,Schatten::N,tarraq,күләгә
81,Wetter::N,sila,һауа торошо
82,Nebel::N,pujoq,төман
83,Wolke::N,nuia,болот
84,Regen::N,sialuk,ямғыр
85,Schnee::N,aput,ҡар
86,Eis::N,siku,боҙ
87,Frost::N,issi,һалҡын
88,Frost::N,issik,һалҡын
89,Kälte::N,issi,һыуыҡ
90,Hitze::N,kianneq,томра
91,Hitze::N,kianneq,эҫелек
92,Hitze::N,kiassuseq,томра
93,Hitze::N,kiassuseq,эҫелек
94,Raureif::N,kaneq,ҡырау
95,Regenbogen::N,neriusaaq,йәйғор
96,Donner::N,kalleq,күк күкрәү
97,Tropfen::N,kuseriarneq,тамсы
98,Schaum::N,qapuk,күбек
99,Schmutz::N,minguk,батҡаҡ
100,See::N,taseq,күл
101,Sumpf::N,maqulluk,һаҙлык
102,Wiese::N,masarsuk,болон
103,Hügel::N,qattuneq,түбә
104,Hügel::N,majuariaq,түбә
105,Hügel::N,majorajaaq,түбә
106,Hügel::N,qaqqannguaq,түбә
107,Berg::N,qaqqaq,тау
108,Höhle::N,qaarusuk,мәмерйә
109,Abhang::N,ippik,ипкен
110,Abhang::N,sivinganeq,ипкен
111,Abhang::N,sivingajaaq,ипкен
112,Abhang::N,kussangajaaq,ипкен
113,Bach::N,kuunnguaq,шишмә
114,Fluss::N,kuuk,йылға
115,Ufer::N,sissap sinaa,яр
116,Küste::N,sineriak,яр буйы
117,Meer::N,imaq,диңгез
118,Bucht::N,ikeq,бухта
119,Bucht::N,kangerluk,бухта
120,Bucht::N,kangerliumaneq,бухта
121,Insel::N,qeqertaq,үтрау
122,Blume::N,naasoq,сәскә
123,Gras::N,ivigaq,үлән
124,Wurzel::N,niulutaq,тамыр
125,Baum::N,orpik,ағас
126,Stamm::N,kanaartaq,олон
127,Stamm::N,kanaartaq,көбәк
128,Rinde::N,ameraq,ҡабыҡ
129,Ast::N,avalequt,ботаҡ
130,Zweig::N,avalequt,ботаҡ
131,Zweig::N,avalequt,тармаҡ
132,Blatt::N,pilutaq,япраҡ
133,Birke::N,patitsit,ҡайын
134,Weide[Baum]::N,palleq,тал
135,Tanne::N,orsuerneq,шыршы
136,Horn::N,nassuk,мөғөҙ
137,Feder::N,suluk,ҡауырһын
138,Fell::N,ameq,тире
139,Flügel::N,suluk,ҡанат
140,Flügel::N,isaroq,ҡанат
141,Klaue::N,kukik,тырнаҡ
142,Kralle::N,kukik,аяҡ
143,Schwanz::N,pamioq,ҡойроҡ
144,Schwanz::N,paperuusaq,ҡойроҡ
145,Ei::N,mannik,йомортҡа
146,Nest::N,ullut,оя
147,Bau::N,ini,оң
148,Tier::N,uumasoq,жайуан
149,Tier::N,uumasoq,йыртҡыс
150,Herde::N,unguukkat,көтөү
151,Kuh::N,ussik,һыйыр
152,Bulle::N,angukulak,үгеҙ
153,Bulle::N,anguteralak,үгеҙ
154,Bulle::N,angutikulooq,үгеҙ
155,Schaf::N,sava,һарыҡ
156,Schwein::N,puuluki,сусҡа
157,Hund::N,qimmeq,эт
158,Katze::N,puisaaq,бесәй
159,Bär::N,allaq,айыу
160,Eichhörnchen::N,sissinnguaq,тейен
161,Fuchs::N,terianniaq,төлкө
162,Hase::N,ukaleq,ҡуян
163,Maus::N,teriannguaq,сысҡан
164,Wolf::N,amaroq,бүре
165,Vogel::N,timmiaq,ҡош
166,Huhn::N,kukkukooq,тауыҡ
167,Huhn::N,marloraaqaaq,тауыҡ
168,Hahn::N,kiasiusaq,әтәс
169,Gans::N,nerleq,ҡаҙ
170,Adler::N,nattoralik,бөркөт
171,Eule::N,uppik,өкө
172,Eule::N,uppik,ябалаҡ
173,Kranich::N,qorlorfik,торна
174,Krähe::N,tuluatsiaq,ҡарға
175,Kuckuck::N,kukkooq,кәкүк
176,Schwan::N,qussuk,аҡҡош
177,Fisch::N,aalisagaq,балыҡ
178,Schlange[Tier]::N,pulateriarsuk,йылан
179,Schlange[Tier]::N,pulateriaarsuk,йылан
180,Spinne::N,aasiaq,үрмәксе
181,Spinne::N,nissavaarsuk,үрмәксе
182,Ameise::N,uniaaluk,ҡырмыҫҡа
183,Laus::N,kumak,бет
184,Mücke::N,ippernaq,серәкәй
185,Fliege::N,ippernaq,себен
186,Schmetterling::N,paluaq,күбәләк
187,Schmetterling::N,pakkaluaq,күбәләк
188,Schmetterling::N,utsuppaluaq,күбәләк
189,Schmetterling::N,taqaleqisaaq,күбәләк
190,Beere::N,paarmaq,еләк
191,Beere::N,paarngaq,еләк
192,Apfel::N,iipili,алма
193,Pilz::N,anngiusaq,бәшмәк
194,Zwiebel::N,uanitsoq,һуган
195,Saat::N,naatsiiassaq,орлоҡ
196,Korn::N,maannineq,иген
197,Schale::N,niutsivik,ҡабыҡ
198,Schale::N,ilulissaq qaartussaq,ҡабыҡ
199,Grube::N,itersaq,соҡор
200,Falle::N,pualavoq,тоҙак
201,Falle::N,pualavoq,ҡапҡан
202,Schlinge::N,orseq,тоҙак
203,Schlinge::N,norloq,тоҙак
204,Spur::N,tumaa,әҫер
205,Asche::N,arsat,көл
206,Dreck::N,minguk,батҡаҡ
207,Eisen::N,savimineq,тимер
208,Eisen::N,saffiugassaq,тимер
209,Gold::N,kuulti,алтын
210,Silber::N,siilviuvoq,көмөш
211,Kohle::N,aamarsuit aamaruutissat,күмер
212,Glas::N,igalaaq,быяла
213,Glas::N,imertarfik,быяла
214,Glas::N,igalaamineq,быяла
215,Lehm::N,marraq,балсыҡ
216,Sand::N,sioqqat,ҡом
217,Mensch::N,inuk,кеше
218,Mensch::N,silamiu,кеше
219,Mann::N,angut,ир
220,Frau::N,arnaq,ҡатын
221,Kind::N,meeraq,бала
222,Junge::N,nukappiaraq,малай
223,Mädchen::N,arnannguaq,ҡыҙ
224,Mädchen::N,arnannguaq,ҡыҙыҡай
225,Familie::N,ilaqutakka,ғаилә
226,Familie::N,ilaqutariit,ғаилә
227,Großvater::N,aatak,олатай
228,Großmutter::N,aanaq,әбәй
229,Eltern::N,angajoqqaat,ата-әсә
230,Vater::N,ataata,атай
231,Vater::N,ataataq,атай
232,Mutter::N,anaana,әсә
233,Sohn::N,erneq,ул
234,Tochter::N,panik,ҡыҙ
235,Bruder::N,ani,агай
236,Bruder::N,aqqaluk,агай
237,Bruder::N,qatanngut,агай
238,Schwester::N,naja,алай
