,Concept_ID,pl,et
0,Auge::N,oko,silm
1,Ohr::N,ucho,kõrv
2,Nase::N,nos,nina
3,Mund::N,usta,suu
4,Zahn::N,ząb,hammas
5,Zunge::N,język,keel
6,Lippe::N,warga,huul
7,Wange::N,policzek,põsk
8,Gesicht::N,twarz,nägu
9,Stirn::N,czoło,otsmik
10,Haar::N,włos,juus
11,Haar::N,włosy,juus
12,Schnurrbart::N,wąsy,vurrud
13,Schnurrbart::N,wąsy,vuntsid
14,Bart::N,broda,habe
15,Kinn::N,podbródek,lõug
16,Kiefer[Anatomie]::N,czeluść,lõualuu
17,Kehle::N,gardło,kõri
18,Hals::N,szyja,kael
19,Genick::N,kark,kukal
20,Kopf::N,głowa,pea
21,Rücken::N,plecy,selg
22,Rücken::N,grzbiet,selg
23,Bauch::N,brzuch,kõht
24,Nabel::N,pępek,naba
25,Busen::N,biust,rind
26,Brust::N,pierś,rind
27,Schulter::N,bark,õlg
28,Schulter::N,ramię,õlg
29,Arm::N,ręka,käsivars
30,Arm::N,ramię,käsivars
31,Ellenbogen::N,łokieć,küünarnukk
32,Hand::N,dłoń,käsi
33,Handfläche::N,dłoń,pihk
34,Finger::N,palec,sõrm
35,Fingernagel::N,paznokieć,küüs
36,Nagel[Anatomie]::N,paznokieć,küüs
37,Zeh::N,palec,varvas
38,Fuß::N,stopa,jalg
39,Ferse::N,pięta,kand
40,Knie::N,kolano,põlv
41,Oberschenkel::N,udo,reis
42,Bein::N,noga,jalg
43,Körper::N,ciało,ihu
44,Körper::N,ciało,keha
45,Haut::N,skóra,nahk
46,Blut::N,krew,veri
47,Ader::N,żyła,veen
48,Sehne::N,ścięgno,kõõlus
49,Knochen::N,kość,luu
50,Gehirn::N,mózg,aju
51,Herz::N,serce,süda
52,Magen::N,żołądek,magu
53,Leber::N,wątroba,maks
54,Atem::N,dech,hingeõhk
55,Atem::N,dech,hingamine
56,Atem::N,oddech,hingeõhk
57,Atem::N,oddech,hingamine
58,Hunger::N,głód,nälg
59,Träne::N,łza,pisar
60,Geschmack::N,smak,maitse
61,Geruch::N,woń,lõhn
62,Geruch::N,zapach,lõhn
63,Schlaf::N,sen,uni
64,Traum::N,sen,unenägu
65,Himmel::N,niebo,taevas
66,Sonne::N,słońce,päike
67,Mond::N,księżyc,kuu
68,Stern::N,gwiazda,täht
69,Luft::N,powietrze,õhk
70,Wind::N,wiatr,tuul
71,Welle::N,fala,laine
72,Wasser::N,woda,vesi
73,Stein::N,kamień,kivi
74,Boden::N,grunt,maa
75,Boden::N,grunt,pinnas
76,Erde::N,ziemia,maa
77,Staub::N,pył,põrm
78,Staub::N,kurz,põrm
79,Rauch::N,dym,suits
80,Funke::N,iskra,säde
81,Feuer::N,ogień,tuli
82,Licht::N,światło,valgus
83,Schatten::N,cień,vari
84,Wetter::N,pogoda,ilm
85,Nebel::N,mgła,udu
86,Wolke::N,obłok,pilv
87,Wolke::N,chmura,pilv
88,Regen::N,deszcz,sadu
89,Schnee::N,śnieg,lumi
90,Eis::N,lód,jää
91,Frost::N,mróz,pakane
92,Kälte::N,chłód,külm
93,Kälte::N,chłód,külmus
94,Hitze::N,gorąco,kuumus
95,Hitze::N,gorąco,palavus
96,Raureif::N,szron,härmatis
97,Regenbogen::N,tęcza,vikerkaar
98,Donner::N,grzmot,kõu
99,Donner::N,grzmot,müristamine
100,Strömung::N,nurt,voolus
101,Strömung::N,nurt,jõevool
102,Tropfen::N,kropla,tilk
103,Schaum::N,piana,vaht
104,Schmutz::N,brud,pori
105,Schmutz::N,brud,mustus
106,See::N,jezioro,järv
107,Sumpf::N,bagno,soo
108,Moor::N,bagno,raba
109,Wiese::N,łąka,aas
110,Wiese::N,łąka,nurm
111,Wald::N,las,mets
112,Hügel::N,pagórek,küngas
113,Anhöhe::N,wzgórze,küngas
114,Berg::N,góra,mägi
