,Concept_ID,sah,ar
0,Auge::N,харах,عين
1,Ohr::N,кулгаах,أذن
2,Nase::N,мурун,أنف
3,Mund::N,айах,فم
4,Zahn::N,тиис,سن
5,Zunge::N,тыл,لسان
6,Lippe::N,уос,شفة
7,Wange::N,иэдэс,خد
8,Wange::N,иэдэс,وجنة
9,Gesicht::N,сирэй,وجه
10,Stirn::N,сүүс,جبين
11,Haar::N,баттах,شعر
12,Schnurrbart::N,уос бытыга,شارب
13,Bart::N,сэҥийэ бытыга,لحية
14,Kinn::N,сэҥийэ,ذقن
15,Kiefer[Anatomie]::N,сыҥаах,فك
16,Kehle::N,тамах,حلق
17,Kehle::N,күөмэй,حلق
18,Hals::N,моой,عنق
19,Hals::N,моой,رقبة
20,Genick::N,кэтэх,قفا
21,Kopf::N,бас,رأس
22,Rücken::N,көҕүс,ظهر
23,Bauch::N,ис,بطن
24,Nabel::N,киин,سرة
25,Busen::N,эмиий,ثدي
26,Brust::N,түөс,صدر
27,Schulter::N,сарын,كتف
28,Arm::N,илии,ذراع
29,Ellenbogen::N,тоҕонох,كوع
30,Hand::N,илии,يد
31,Handfläche::N,ытыс,كف
32,Finger::N,тарбах,إصبع
33,Fingernagel::N,тыҥырах,ظفر
34,Nagel[Anatomie]::N,тыҥырах,ظفر
35,Zeh::N,тарбах,إصبع القدم
36,Fuß::N,уллуҥах,قدم
37,Ferse::N,тилэх,كعب
38,Knie::N,тобук,ركبة
39,Knie::N,дьилбэк,ركبة
40,Oberschenkel::N,уллук,فخذ
41,Oberschenkel::N,өттүк,فخذ
42,Bein::N,атах,ساق
43,Körper::N,бэйэ,جسم
44,Haut::N,тирии,بشرة
45,Blut::N,хаан,دم
46,Ader::N,вена,عرق
47,Ader::N,күөх_тымыр,عرق
48,Sehne::N,иҥиир,طنب
49,Knochen::N,уҥуох,عظم
50,Knochen::N,уҥгуох,عظم
51,Gehirn::N,мэйии,دماغ
52,Herz::N,сүрэх,قلب
53,Magen::N,куртах,معدة
54,Leber::N,быар,كبد
55,Atem::N,тыын,نفس
56,Hunger::N,аас,جوع
57,Träne::N,харах уута,دمعة
58,Geschmack::N,амтан,طعم
59,Geschmack::N,амтан,مذاق
60,Geruch::N,сыт,رائحة
61,Schlaf::N,утуйуу,نوم
62,Schlaf::N,утуйуу,منام
63,Traum::N,түүл,حلم
64,Himmel::N,халлаан,سماء
65,Sonne::N,күн,شمس
66,Mond::N,ый,قمر
67,Stern::N,сулус,نجم
68,Stern::N,сулус,كوكب
69,Luft::N,салгын,هواء
70,Wind::N,тыал,ريح
71,Welle::N,долгун,موجة
72,Welle::N,балхаан,موجة
73,Wasser::N,уу,ماء
74,Stein::N,таас,حجر
75,Boden::N,сир,تراب
76,Erde::N,буор,أرض
77,Staub::N,быыл,غبار
78,Rauch::N,буруо,دخان
79,Funke::N,кыым,شرارة
80,Feuer::N,уот,نار
81,Licht::N,уот,نور
82,Licht::N,уот,ضوء
83,Schatten::N,күлүк,ظل
84,Schatten::N,күлүк,فيء
85,Wetter::N,күн-дьыл,جو
86,Wetter::N,күн-дьыл,طقس
87,Nebel::N,туман,ضباب
88,Wolke::N,былыт,غيمة
89,Wolke::N,былыт,سحابة
90,Regen::N,самыыр,مطر
91,Schnee::N,хаар,ثلج
92,Eis::N,муус,جليد
93,Frost::N,тымныы,صقيع
94,Kälte::N,тымныы,برد
95,Hitze::N,куйаас,حر
96,Hitze::N,куйаас,حرارة
97,Raureif::N,кырыа,صقيع
98,Regenbogen::N,кустук,قوس قزح
99,Donner::N,этиҥ,رعد
100,Strömung::N,сүүрүк,تيار
101,Tropfen::N,таммах,قطرة
102,Tropfen::N,хааппыла,قطرة
103,Schaum::N,күүгэн,زبد
104,Schaum::N,күүгэн,رغوة
105,Schmutz::N,кир,وسخ
106,See::N,күөл,بحيرة
107,Sumpf::N,бадараан,مستنقع
108,Moor::N,дьэбэрэ,مستنقع
109,Wiese::N,ходуһа,مرج
110,Wald::N,ойуур,غابة
111,Hügel::N,булгунньах,تل
112,Anhöhe::N,үрдэл,تل
113,Berg::N,хайа,جبل
114,Gipfel::N,чыпчаал,قمة
115,Höhle::N,хайа_хаспаҕа,كهف
116,Höhle::N,көҥүс,كهف
117,Abhang::N,эниэ,منحدر
118,Quelle::N,дьүүктэ,منبع
119,Bach::N,үрүйэ,مجرى
120,Fluss::N,өрүс,نهر
121,Ufer::N,биэрэк,ضفة
122,Küste::N,кытыл,ساحل
123,Festland::N,кураанах сир,بر
124,Meer::N,муора,بحر
125,Bucht::N,хомо,خليج
126,Bucht::N,бухта,خليج
127,Insel::N,арыы,جزيرة
128,Blume::N,сибэкки,زهرة
129,Gras::N,от,حشيش
130,Wurzel::N,силис,أصل
131,Baum::N,мас,شجرة
132,Stamm::N,умнас,جذع
133,Rinde::N,хатырык,قشرة
134,Ast::N,мутук,فرع
135,Zweig::N,лабаа,غصن
136,Blatt::N,сэбирдэх,ورقة
137,Birke::N,хатыҥ,قضبان
138,Kiefer[Baum]::N,бэс,صنوبرة
139,Weide[Baum]::N,үөт,صفصاف
140,Weide[Baum]::N,талах,صفصاف
141,Tanne::N,харыйа,شوح
142,Tanne::N,харыйа,تبوب
143,Horn::N,муос,قرن
144,Feder::N,куорсун,ريشة
145,Fell::N,тирии,فرو
146,Flügel::N,кынат,جناح
147,Klaue::N,тыҥырах,مخلب
148,Kralle::N,баппаҕай,مخلب
149,Schwanz::N,кутурук,ذيل
150,Ei::N,сымыыт,بيض
151,Nest::N,уйа,عش
152,Bau::N,хороон,جحر
153,Tier::N,кыыл,حيوان
154,Tier::N,харамай,حيوان
155,Herde::N,үөр,قطيع
156,Kuh::N,ынах,بقرة
157,Bulle::N,оҕус,ثور
158,Pferd::N,сылгы,خيل
159,Schaf::N,овца,شاة
160,Schwein::N,сибиинньэ,خنزير
161,Hund::N,ыт,كلب
162,Katze::N,куоска,قطة
