,Concept_ID,ce,is
0,Auge::N,бӏаьрг,auga
1,Ohr::N,лерг,eyra
2,Nase::N,мара,nef
3,Mund::N,бага,munnur
4,Zahn::N,церг,tönn
5,Zunge::N,мотт,tunga
6,Lippe::N,балда,vör
7,Wange::N,бесни,kinn
8,Wange::N,бесни,vangi
9,Gesicht::N,юьхь,andlit
10,Stirn::N,хьаж,enni
11,Haar::N,мас,hár
12,Schnurrbart::N,мекх,yfirskegg
13,Bart::N,маж,skegg
14,Kinn::N,чӏениг,haka
15,Kiefer[Anatomie]::N,мочхал,kjálki
16,Kiefer[Anatomie]::N,мочхал,skoltur
17,Kehle::N,къамкъарг,kverk
18,Hals::N,ворта,háls
19,Genick::N,кӏесаркӏаг,hnakki
20,Kopf::N,корта,höfuð
21,Rücken::N,букъ,hryggur
22,Bauch::N,кийра,kviður
23,Nabel::N,цӏонга,nafli
24,Busen::N,зударийн накха,barmur
25,Brust::N,накха,brjóst
26,Schulter::N,белш,öxl
27,Arm::N,пхьарс,armur
28,Ellenbogen::N,пхьаьрсан гола,olnbogi
29,Hand::N,куьг,hönd
30,Handfläche::N,кераюкъ,lófi
31,Finger::N,пӏелг,fingur
32,Fingernagel::N,мӏара,fingurnögl
33,Nagel[Anatomie]::N,мӏара,nögl
34,Zeh::N,кога пӏелг,tá
35,Fuß::N,ког,fótur
36,Ferse::N,кӏажа,hæll
37,Knie::N,гола,kné
38,Oberschenkel::N,варе,læri
39,Bein::N,ког,fótleggur
40,Körper::N,хӏума,búkur
41,Körper::N,хӏума,líkami
42,Haut::N,чкъор,húð
43,Haut::N,чкъор,skinn
44,Blut::N,цӏий,blóð
45,Ader::N,пха,æð
46,Sehne::N,хьорзам,sin
47,Knochen::N,даьӏахк,bein
48,Gehirn::N,хье,heili
49,Herz::N,дог,hjarta
50,Magen::N,зорх,magi
51,Leber::N,доӏах,lifur
52,Atem::N,садеӏар,andi
53,Atem::N,садеӏар,andardráttur
54,Hunger::N,мацалла,hungur
55,Träne::N,бӏаьрхи,tár
56,Geschmack::N,чам,smekkur
57,Geruch::N,хьожа,lykt
58,Schlaf::N,наб,svefn
59,Traum::N,гӏан,draumur
60,Himmel::N,стигал,himinn
61,Sonne::N,малх,sól
62,Mond::N,бутт,tungl
63,Stern::N,седа,stjarna
64,Luft::N,xӏаваъ,loft
65,Wind::N,мох,vindur
66,Welle::N,тулгӏе,alda
67,Welle::N,тулгӏе,bylgja
68,Wasser::N,хи,vatn
69,Stein::N,тӏулг,steinn
70,Boden::N,цӏенкъа,botn
71,Erde::N,латта,jörð
72,Staub::N,чан,ryk
73,Staub::N,чан,duft
74,Rauch::N,кӏур,reykur
75,Funke::N,суй,neisti
76,Feuer::N,цӏе,eldur
77,Licht::N,серло,ljós
78,Schatten::N,ӏиндагӏ,skuggi
79,Wetter::N,хенан хӏоттам,veður
80,Nebel::N,дохк,þoka
81,Wolke::N,марха,ský
82,Regen::N,догӏа,regn
83,Schnee::N,ло,snjór
84,Eis::N,ша,ís
85,Frost::N,шело,frost
86,Kälte::N,шело,kuldi
87,Hitze::N,йовхо,hiti
88,Raureif::N,йис,hrím
89,Regenbogen::N,стелаӏад,regnbogi
90,Donner::N,ткъес,þruma
91,Strömung::N,дӏаэхар,straumur
92,Strömung::N,дӏасалелар,straumur
93,Tropfen::N,тӏадам,dropi
94,Schaum::N,чопа,froða
95,Schmutz::N,хатт,óhreinindi
96,See::N,ӏам,stöðuvatn
97,Sumpf::N,уьшал,fen
98,Moor::N,уьшал,mýri
99,Wiese::N,бай,engi
100,Wald::N,хьун,skógur
101,Hügel::N,гу,hæð
102,Hügel::N,гу,hóll
103,Hügel::N,шу,hæð
104,Hügel::N,шу,hóll
105,Hügel::N,барз,hæð
106,Hügel::N,барз,hóll
107,Anhöhe::N,акъари,hæð
108,Anhöhe::N,акъари,hóll
109,Berg::N,лам,fell
110,Berg::N,лам,fjall
111,Gipfel::N,бохь,tindur
112,Höhle::N,хьех,hellir
113,Abhang::N,басе,hlíð
114,Abhang::N,басе,brekka
115,Quelle::N,шовда,lind
116,Quelle::N,шовда,uppspretta
117,Bach::N,татол,lækur
118,Fluss::N,хи,á
119,Fluss::N,хи,fljót
120,Ufer::N,хийист,árbakki
121,Ufer::N,хийист,sjávarbakki
122,Küste::N,йист,strönd
123,Festland::N,латта,meginland
124,Meer::N,xӏорд,haf
125,Meer::N,xӏорд,sjór
126,Bucht::N,чож,vík
127,Insel::N,гӏайре,eyja
128,Blume::N,зезаг,blóm
129,Gras::N,буц,gras
130,Wurzel::N,орам,rót
131,Baum::N,дитт,tré
132,Stamm::N,гӏад,stofn
133,Stamm::N,тайпа,stofn
134,Rinde::N,кевстиг,börkur
135,Ast::N,га,grein
136,Zweig::N,га,angi
137,Zweig::N,га,kvistur
138,Blatt::N,гӏа,blað
139,Birke::N,дакх,birki
140,Kiefer[Baum]::N,бага,fura
141,Weide[Baum]::N,дак,víðir
142,Tanne::N,база,greni
143,Horn::N,маӏа,horn
144,Feder::N,пелаг,fjöður
145,Fell::N,цӏока,skinn
146,Flügel::N,тӏам,vængur
147,Klaue::N,мӏара,kló
148,Kralle::N,тlод,kló
149,Schwanz::N,цӏога,rófa
150,Schwanz::N,цӏога,skott
151,Ei::N,xӏoa,egg
152,Nest::N,бен,hreiður
153,Bau::N,lуьрг,greni
154,Bau::N,lуьрг,bæli
155,Tier::N,дийнат,dýr
156,Herde::N,жа,hjörð
157,Kuh::N,етт,kýr
158,Bulle::N,сту,boli
159,Pferd::N,говр,hestur
160,Schaf::N,жий,kind
161,Schaf::N,уьстагӏ,kind
162,Schwein::N,хьакха,svín
163,Hund::N,жӏаьла,hundur
164,Katze::N,цициг,köttur
165,Bär::N,ча,björn
166,Eichhörnchen::N,тарсал,íkorni
167,Elch::N,сай,elgur
168,Fuchs::N,цхьогал,refur
169,Hase::N,пхьагал,héri
170,Maus::N,дахка,mús
171,Wolf::N,борз,úlfur
172,Vogel::N,олхазар,fugl
173,Huhn::N,котам,hæna
174,Hahn::N,нӏаьна,hani
175,Hahn::N,боргӏал,hani
176,Gans::N,гӏаз,gæs
177,Adler::N,aьрзу,örn
178,Ente::N,бад,önd
179,Eule::N,бухӏа,uggla
180,Kranich::N,гӏаргӏули,trana
181,Krähe::N,къиг,kráka
182,Kuckuck::N,aттйокх,gaukur
183,Schwan::N,гӏургӏаз,svanur
184,Fisch::N,чӏара,fiskur
185,Barsch::N,окунь,aborri
186,Hecht::N,гӏазкхийн чӏара,gedda
187,Schlange[Tier]::N,лаьхьа,naðra
188,Wurm::N,нӏаьна,ormur
189,Spinne::N,гезг,kónguló
190,Ameise::N,зингат,maur
191,Laus::N,меза,lús
192,Laus::N,гӏениг,lús
193,Mücke::N,чуьрк,mý
194,Mücke::N,чуьрк,mýfluga
195,Fliege::N,моза,fluga
196,Schmetterling::N,полла,fiðrildi
197,Beere::N,цӏазам,ber
198,Apfel::N,ӏаж,epli
199,Pilz::N,жӏаьлин нускал,sveppur
200,Zwiebel::N,xох,laukur
201,Saat::N,чlу,fræ
202,Saat::N,чlу,útsæði
203,Korn::N,буьртиг,korn
204,Heu::N,йол,hey
205,Schale::N,пардо,hýði
206,Grube::N,ор,gryfja
207,Falle::N,кӏело,gildra
208,Spur::N,лар,spor
209,Asche::N,чим,aska
210,Dreck::N,мода,óþverri
211,Eisen::N,эчиг,járn
212,Gold::N,деши,gull
213,Silber::N,дети,silfur
214,Kohle::N,кӏора,kol
215,Glas::N,aнгали,gler
216,Lehm::N,поппар,leir
217,Sand::N,гӏум,sandur
218,Mensch::N,адам,maður
219,Mensch::N,адам,manneskja
220,Mann::N,майра,maður
221,Mann::N,майра,karlmaður
222,Frau::N,зуда,kona
223,Kind::N,бер,barn
224,Kind::N,бер,krakki
225,Junge::N,жимха,drengur
226,Mädchen::N,жима йоӏ,stelpa
227,Familie::N,доьзал,fjölskylda
228,Großvater::N,ненада,afi
229,Großmutter::N,денана,amma
230,Eltern::N,да-нана,foreldrar
231,Vater::N,да,faðir
232,Mutter::N,нана,móðir
233,Sohn::N,кӏант,sonur
234,Tochter::N,йоӏ,dóttir
235,Bruder::N,ваша,bróðir
236,Schwester::N,йиша,systir
237,Onkel::N,деваша,föðurbróðir
238,Tante::N,дейиша,frænka
239,Tante::N,дейиша,móðursystir
240,Ehemann::N,майра,eiginmaður
241,Ehefrau::N,зуда,eiginkona
242,Freude::N,самукъа,gleði
243,Freude::N,хазахетар,gleði
244,Gelächter::N,белам,hlátur
245,Glück::N,ирс,gæfa
246,Kummer::N,бала,sorg
247,Wunsch::N,лаам,ósk
248,Lust::N,лаам,fýsn
249,Lust::N,лаам,löngun
250,Geist::N,са,andi
251,Gedanke::N,ойла,hugsun
252,Gedächtnis::N,диццадалар,minni
253,Verstand::N,хьекъал,vit
254,Sinn::N,маьӏна,merking
255,Grund::N,бахьана,ástæða
256,Wahrheit::N,бакъдерг,sannleikur
257,Gespräch::N,къамел,samtal
258,Märchen::N,туьйра,ævintýri
259,Erzählung::N,дийцар,saga
260,Nachricht::N,хаам,frétt
261,Neuigkeit::N,керланиг,frétt
262,Name::N,цӏе,nafn
263,Rätsel::N,хӏетал-метал,gáta
264,Rede::N,къамел,ræða
265,Sprache::N,мотт,mál
266,Sprache::N,мотт,tungumál
267,Stimme::N,aз,rödd
268,Wort::N,дош,orð
269,Zeichen::N,билгало,tákn
270,Zeichen::N,билгало,merki
271,Ruf::N,кхайкхар,kall
272,Lärm::N,гӏовгӏа,hávaði
273,Laut::N,аз,hljóð
274,Ton::N,aз,tónn
275,Lied::N,илли,ljóð
276,Lied::N,илли,söngur
277,Ruhe::N,тийналла,ró
278,Ruhe::N,тийналла,kyrrð
279,Leute::N,нах,fólk
280,Volk::N,халкъ,þjóð
281,Arbeit::N,болх,vinna
282,Gast::N,хьаша,gestur
283,Geschenk::N,совгӏат,gjöf
284,Spiel::N,ловзар,leikur
285,Gesellschaft::N,юкъаралла,selskapur
286,Hilfe::N,гӏо,hjálp
287,Freund::N,доттагl,vinur
288,Kamerad::N,накъост,félagi
289,Angelegenheit::N,гӏуллакх,mál
290,Angelegenheit::N,гӏуллакх,málefni
291,Anzahl::N,терахь,tala
292,Anzahl::N,терахь,fjöldi
293,Stück::N,юьхк,biti
294,Stück::N,юьхк,stykki
295,Teil::N,дакъа,hluti
296,Teil::N,дакъа,partur
297,Hälfte::N,ах,helmingur
298,Kreis::N,го,hringur
299,Kreuz::N,жӏара,kross
300,Kreuz::N,жӏара,krossmark
301,Linie::N,сиз,lína
302,Strich::N,сиз,strik
303,Abstand::N,юкъ,millibil
304,Gegend::N,мeттиг,hérað
305,Platz::N,майда,pláss
306,Ort::N,меттиг,staður
307,Seite::N,aгӏo,hlið
308,Mitte::N,юкъ,miðja
309,Gegenstand::N,хӏума,hlutur
310,Sache::N,хӏума,mál
311,Rand::N,йист,brún
312,Kante::N,йист,rönd
313,Ecke::N,са,horn
314,Spitze::N,ралла,oddur
315,Ende::N,юьхьиг,endi
316,Loch::N,ӏуьрг,gat
317,Loch::N,ӏуьрг,hola
318,Winkel::N,са,skot
319,Winkel::N,са,krókur
320,Muster::N,дагар,munstur
321,Muster::N,тӏамар,munstur
322,Größe::N,барам,stærð
323,Länge::N,йохалла,lengd
324,Höhe::N,локхалла,hæð
325,Gewicht::N,йозалла,vigt
326,Gewicht::N,йозалла,þyngd
327,Menge::N,дукхалла,magn
328,Haufen::N,сал,hrúga
329,Haufen::N,сал,haugur
330,Haufen::N,оьла,hrúga
331,Haufen::N,оьла,haugur
332,Reihe::N,рагӏ,röð
333,Reihe::N,могӏа,röð
334,Boot::N,кема,bátur
335,Ruder::N,пийсиг,ár
336,Schlitten::N,салаз,sleði
337,Ski::N,когсалаз,skíði
338,Lagerfeuer::N,цӏе,varðeldur
339,Last::N,дукъ,byrði
340,Last::N,дукъ,farmur
341,Gang::N,лелар,ganga
342,Schritt::N,гӏулч,skref
343,Norden::N,къилбаседе,norður
344,Süden::N,къилбе,suður
345,Westen::N,малхбузе,vestur
346,Osten::N,малхбале,austur
347,Holz::N,дечиг,viður
348,Brett::N,у,fjöl
349,Platte::N,у,flötur
350,Stütze::N,гӏopтоp,stoð
351,Stange::N,гӏуркх,stöng
352,Stock::N,ӏаса,prik
353,Stock::N,ӏаса,stafur
354,Stab::N,гӏаж,prik
355,Stab::N,гӏаж,stafur
356,Rohr::N,биргӏа,rör
357,Rohr::N,биргӏа,pípa
358,Haus::N,цӏа,hús
359,Heim::N,кхерч,heimili
360,Ofen::N,кхерч,ofn
361,Fußboden::N,цӏенкъа,gólf
362,Tisch::N,шун,borð
363,Stuhl::N,гӏант,stóll
364,Wiege::N,ага,vagga
365,Bett::N,маьнга,rúm
366,Bett::N,маьнга,hvíla
367,Regal::N,терхи,hilla
368,Kiste::N,яьшка,kassi
369,Fenster::N,кор,gluggi
370,Tür::N,неӏ,dyr
371,Tür::N,неӏ,hurð
372,Tor::N,ков,hlið
373,Zaun::N,керт,girðing
374,Zaun::N,керт,limgarður
375,Dach::N,тхов,þak
376,Leiter::N,лами,stigi
377,Besen::N,нуй,sópur
378,Spaten::N,бел,spaði
379,Schaufel::N,аьшкал,skófla
380,Gabel::N,мӏара,gaffall
381,Löffel::N,ӏайг,skeið
382,Messer::N,урс,hnífur
383,Nagel::N,хьостам,nögl
384,Netz::N,бой,net
385,Haken::N,мӏара,krókur
386,Schloss::N,чӏега,lás
387,Bild::N,сурт,mynd
388,Puppe::N,тайниг,brúða
389,Beutel::N,гали,poki
390,Beutel::N,гали,baggi
391,Bündel::N,кочар,böggull
392,Tasche::N,тӏоьрмиг,veski
393,Eimer::N,чийлик,fata
394,Deckel::N,негӏар,lok
395,Geschirr::N,пхьегӏа,leirtau
396,Sack::N,гали,sekkur
397,Tasse::N,кад,bolli
398,Topf::N,яй,pottur
399,Kessel::N,яй,ketill
400,Essen::N,юург,matur
401,Nahrung::N,кхача,fæða
402,Speise::N,юург,réttur
403,Speise::N,юург,matarréttur
404,Fleisch::N,жижиг,kjöt
405,Getreide::N,буьртиг,korn
406,Brei::N,xудар,grautur
407,Brot::N,бепиг,brauð
408,Brot::N,кхаллар,brauð
409,Scheibe::N,цастар,sneið
410,Fett::N,мохь,fita
411,Butter::N,налха,smjör
412,Öl::N,даьтта,olía
413,Salz::N,туьха,salt
414,Suppe::N,чорпа,súpa
415,Honig::N,моз,hunang
416,Milch::N,шура,mjólk
417,Tee::N,чай,te
418,Leder::N,цӏока,skinn
419,Wolle::N,тӏapгӏa,ull
420,Stoff::N,кӏади,dúkur
421,Nadel::N,маха,nál
422,Faden::N,тай,þráður
423,Knopf::N,нуьйда,tala
424,Knopf::N,нуьйда,hnappur
425,Knoten::N,шад,hnútur
426,Farbe::N,сир,málning
427,Farbe::N,басар,málning
428,Kleidung::N,бедар,búningur
429,Kleidung::N,бедар,klæðnaður
430,Hemd::N,коч,skyrta
431,Kragen::N,кач,kragi
432,Kragen::N,кач,flibbi
433,Ärmel::N,пхьош,ermi
434,Hose::N,хеча,buxur
435,Gürtel::N,доьхка,belti
436,Mütze::N,куй,húfa
437,Schuh::N,мача,skór
438,Stiefel::N,этка,stígvél
439,Ring::N,чӏуг,hringur
440,Band::N,лента,band
441,Kamm::N,ехк,greiða
442,Spiegel::N,куьзга,spegill
443,Riemen::N,доьхка,ól
444,Riemen::N,доьхка,reim
445,Schnur::N,муш,snúra
446,Leine::N,кочатосу доьхка,band
447,Decke::N,юргӏа,teppi
448,Kissen::N,гIайба,koddi
449,Tuch::N,исхар,klútur
