,Concept_ID,ro,uz
0,Auge::N,ochi,ko'z
1,Ohr::N,ureche,quloq
2,Nase::N,nas,burun
3,Mund::N,gură,og'iz
4,Zahn::N,dinte,tish
5,Zunge::N,limbă,til
6,Lippe::N,buză,dudoq
7,Wange::N,bucă,bet
8,Wange::N,obraz,bet
9,Gesicht::N,față,yuz
10,Gesicht::N,figură,yuz
11,Stirn::N,frunte,manglay
12,Haar::N,păr,soch
13,Schnurrbart::N,mustață,mo'ylov
14,Bart::N,barbă,soqol
15,Kinn::N,bărbie,ängak
16,Kiefer[Anatomie]::N,falcă,iyak
17,Kehle::N,beregată,bo'g'iz
18,Hals::N,gât,bo'yin
19,Genick::N,ceafă,gardan
20,Kopf::N,cap,bosh
21,Rücken::N,dos,orqa
22,Rücken::N,spate,orqa
23,Rücken::N,spinare,orqa
24,Bauch::N,burtă,qorin
25,Bauch::N,pântece,qorin
26,Nabel::N,buric,kindik
27,Busen::N,sân,ämchak
28,Brust::N,piept,ko'krak
29,Schulter::N,umăr,elka
30,Schulter::N,spate,elka
31,Arm::N,braț,bilak
32,Ellenbogen::N,cot,tirsak
33,Hand::N,mână,qo'l
34,Handfläche::N,palmă,kaft
35,Finger::N,deget,barmoq
36,Fingernagel::N,unghie,tirnoq
37,Nagel[Anatomie]::N,unghie,tirnoq
38,Zeh::N,deget de la picior,oyoq barmog'i
39,Fuß::N,picior,oyoq
40,Ferse::N,călcâi,tovon
41,Knie::N,genunchi,tiz
42,Oberschenkel::N,coapsă,son
43,Bein::N,picior,oyoq
44,Körper::N,corp,badna
45,Haut::N,piele,teri
46,Blut::N,sânge,qon
47,Ader::N,vână,qon tomir
48,Ader::N,arteră,qon tomir
49,Sehne::N,tendon,tomir
50,Knochen::N,os,suyak
51,Gehirn::N,creier,miya
52,Herz::N,inimă,qalb
53,Magen::N,stomac,oshqozon
54,Leber::N,ficat,bag'ir
55,Atem::N,răsuflare,dam
56,Atem::N,respirație,dam
57,Hunger::N,foame,ochlik
58,Träne::N,lacrimă,yosh
59,Geschmack::N,gust,tam
60,Geruch::N,miros,jid
