,Concept_ID,bg,lt
0,Auge::N,око,akis
1,Ohr::N,ухо,ausis
2,Nase::N,нос,nosis
3,Mund::N,уста,burna
4,Zahn::N,зъб,dantis
5,Zunge::N,език,liežuvis
6,Lippe::N,устна,lūpa
7,Wange::N,буза,žandas
8,Wange::N,буза,skruostas
9,Gesicht::N,лице,veidas
10,Gesicht::N,образ,veidas
11,Stirn::N,чело,kakta
12,Haar::N,коса,plaukai
13,Haar::N,косъм,plaukai
14,Schnurrbart::N,мустаци,ūsai
15,Bart::N,брада,barzda
16,Kinn::N,брада,smakras
17,Kinn::N,брадичка,smakras
18,Kiefer[Anatomie]::N,челюст,žandikaulis
19,Kehle::N,гърло,gerklė
20,Hals::N,врат,kaklas
21,Genick::N,тил,sprandas
22,Kopf::N,глава,galva
23,Rücken::N,гръб,nugara
24,Bauch::N,корем,pilvas
25,Nabel::N,пъп,bamba
26,Busen::N,бозка,krūtinė
27,Brust::N,гръд,krūtis
28,Schulter::N,рамо,petys
29,Schulter::N,плещи,petys
30,Arm::N,ръка,ranka
31,Ellenbogen::N,лакът,alkūnė
32,Hand::N,ръка,ranka
33,Hand::N,ръка,plaštaka
34,Hand::N,китка,ranka
35,Hand::N,китка,plaštaka
36,Handfläche::N,длан,delnas
37,Handfläche::N,длан,plaštaka
38,Finger::N,пръст,pirštas
39,Fingernagel::N,нокът,nagas
40,Nagel[Anatomie]::N,нокът,nagas
41,Zeh::N,пръст на крак,pirštas
42,Fuß::N,крак,pėda
43,Fuß::N,нога,pėda
44,Ferse::N,пета,kulnas
45,Knie::N,коляно,kelis
46,Oberschenkel::N,бедро,kulšis
47,Oberschenkel::N,бедро,šlaunis
48,Bein::N,крак,koja
49,Bein::N,нога,koja
50,Körper::N,тяло,kūnas
51,Haut::N,кожа,oda
52,Blut::N,кръв,kraujas
53,Ader::N,вена,kraujagyslė
54,Ader::N,артерия,kraujagyslė
55,Sehne::N,жила,sausgyslė
56,Sehne::N,сухожилие,sausgyslė
57,Knochen::N,кост,kaulas
