,Concept_ID,sah,ml
0,Auge::N,харах,കണ്ണ്
1,Ohr::N,кулгаах,ചെവി
2,Nase::N,мурун,മൂക്ക്
3,Mund::N,айах,വായ
4,Zahn::N,тиис,പല്ല്
5,Zunge::N,тыл,നാക്ക്
6,Lippe::N,уос,ചുണ്ട്
7,Wange::N,иэдэс,കവിൾത്തടം
8,Gesicht::N,сирэй,മുഖം
9,Stirn::N,сүүс,നെറ്റി
10,Haar::N,баттах,തലമുടി
11,Schnurrbart::N,уос бытыга,മീശ
12,Bart::N,сэҥийэ бытыга,താടിരോമം
13,Kinn::N,сэҥийэ,താടി
14,Kiefer[Anatomie]::N,сыҥаах,താടിയെല്ല്
15,Kehle::N,тамах,കണ്ഠനാളം
16,Kehle::N,күөмэй,കണ്ഠനാളം
17,Hals::N,моой,കഴുത്ത്
18,Genick::N,кэтэх,പിടലി
19,Kopf::N,бас,തല
20,Rücken::N,көҕүс,മുതുക്
21,Bauch::N,ис,നയറ്
22,Nabel::N,киин,നാഭി
23,Busen::N,эмиий,സ്തനം
24,Brust::N,түөс,സ്തനം
25,Schulter::N,сарын,തോൾ
26,Arm::N,илии,കൈ
27,Ellenbogen::N,тоҕонох,കൈമുട്ട്
28,Hand::N,илии,കൈ
29,Handfläche::N,ытыс,ഉള്ളം കൈ
30,Finger::N,тарбах,വിരൽ
31,Fingernagel::N,тыҥырах,നഖം
32,Nagel[Anatomie]::N,тыҥырах,നഖം
33,Zeh::N,тарбах,കാൽവിരൽ
34,Fuß::N,уллуҥах,കാൽപ്പാദം
35,Ferse::N,тилэх,ഉപ്പൂറ്റി
36,Knie::N,тобук,കാൽമുട്ട്
37,Knie::N,дьилбэк,കാൽമുട്ട്
38,Oberschenkel::N,уллук,തുട
39,Oberschenkel::N,өттүк,തുട
40,Bein::N,атах,കാൽ
41,Körper::N,бэйэ,ശരീരം
42,Haut::N,тирии,ചർമ്മം
43,Blut::N,хаан,രക്തം
44,Ader::N,вена,ഞരമ്പ്
45,Ader::N,күөх_тымыр,ഞരമ്പ്
46,Sehne::N,иҥиир,സ്നായു
47,Knochen::N,уҥуох,അസ്ഥി
48,Knochen::N,уҥгуох,അസ്ഥി
49,Gehirn::N,мэйии,തലച്ചോറ്
50,Herz::N,сүрэх,ഹൃദയം
51,Magen::N,куртах,വയർ
52,Leber::N,быар,കരൾ
53,Atem::N,тыын,ശ്വാസം
54,Hunger::N,аас,വിശപ്പ്
55,Träne::N,харах уута,കണ്ണീർ
56,Geschmack::N,амтан,രുചി
57,Geruch::N,сыт,ഗന്ധം
58,Schlaf::N,утуйуу,ഉറകും
59,Traum::N,түүл,സ്വപ്നം
60,Himmel::N,халлаан,ആകാശം
61,Sonne::N,күн,സൂര്യൻ
62,Mond::N,ый,ചന്ദ്രൻ
63,Stern::N,сулус,നക്ഷത്രം
64,Luft::N,салгын,കാറ്റ്
65,Wind::N,тыал,കാറ്റ്
66,Welle::N,долгун,തിരമാല
67,Welle::N,балхаан,തിരമാല
68,Wasser::N,уу,വെള്ളം
69,Stein::N,таас,ശില
70,Stein::N,таас,കല്ല്
71,Boden::N,сир,തറ
72,Boden::N,сир,നിലം
73,Erde::N,буор,മണ്ണ്
74,Staub::N,быыл,പൊടി
75,Rauch::N,буруо,പുക
76,Funke::N,кыым,തീപ്പൊരി
77,Feuer::N,уот,തീ
78,Licht::N,уот,വിളക്ക്
79,Licht::N,уот,സൂര്യപ്രകാശം
80,Schatten::N,күлүк,തണൽ
81,Wetter::N,күн-дьыл,കാലാവസ്ഥ
82,Nebel::N,туман,മൂടൽമഞ്ഞ്
83,Wolke::N,былыт,മേഘം
84,Regen::N,самыыр,മഴ
85,Schnee::N,хаар,മഞ്ഞ്
86,Eis::N,муус,ഐസ്
87,Frost::N,тымныы,മൂടൽമഞ്ഞ്
88,Kälte::N,тымныы,തണുപ്പ്
89,Hitze::N,куйаас,ചൂട്
90,Raureif::N,кырыа,കോടമഞ്ഞ്
91,Regenbogen::N,кустук,മഴവില്ല്
92,Donner::N,этиҥ,ഇടി
93,Strömung::N,сүүрүк,പ്രവാഹം
94,Tropfen::N,таммах,തുള്ളി
95,Tropfen::N,хааппыла,തുള്ളി
96,Schaum::N,күүгэн,നുര
97,Schmutz::N,кир,അഴുക്ക്
98,See::N,күөл,തടാകം
99,Sumpf::N,бадараан,ചതുപ്പുനിലം
100,Moor::N,дьэбэрэ,പാഴ്നിലം
101,Wiese::N,ходуһа,പുൽത്തകിടി
102,Wald::N,ойуур,വനം
103,Wald::N,ойуур,കാട്
104,Hügel::N,булгунньах,കുന്ന്
105,Anhöhe::N,үрдэл,ഉയർന്ന ഭൂമി
106,Berg::N,хайа,പർവ്വതം
107,Gipfel::N,чыпчаал,ഉച്ചകോടി
108,Höhle::N,хайа_хаспаҕа,ഗുഹ
109,Höhle::N,көҥүс,ഗുഹ
110,Abhang::N,эниэ,ചരിവ്
111,Quelle::N,дьүүктэ,ഉറവിടം
112,Bach::N,үрүйэ,അരുവി
113,Fluss::N,өрүс,നദി
114,Ufer::N,биэрэк,തീരം
115,Küste::N,кытыл,കടൽത്തീരം
116,Festland::N,кураанах сир,കര
117,Meer::N,муора,കടൽ
118,Bucht::N,хомо,ഉൾക്കടല്
119,Bucht::N,бухта,ഉൾക്കടല്
120,Insel::N,арыы,ദ്വീപ്
121,Blume::N,сибэкки,പൂവ്
122,Gras::N,от,പുല്ല്
123,Wurzel::N,силис,വേര്
124,Baum::N,мас,മരം
125,Stamm::N,умнас,തായ്ത്തടി
126,Rinde::N,хатырык,പട്ട
127,Ast::N,мутук,ശാഖ
128,Zweig::N,лабаа,ശാഖ
129,Blatt::N,сэбирдэх,ഇല
130,Birke::N,хатыҥ,പൂവരശ്
131,Kiefer[Baum]::N,бэс,പൈൻമരം
132,Weide[Baum]::N,үөт,വില്ലോ
133,Weide[Baum]::N,талах,വില്ലോ
134,Tanne::N,харыйа,ദേവദാരു
135,Horn::N,муос,മൃഗത്തിൻറെ കൊമ്പ്
136,Feder::N,куорсун,തൂവൽ
137,Fell::N,тирии,മൃദുരോമം
138,Flügel::N,кынат,ചിറക്
139,Klaue::N,тыҥырах,നഖം
140,Kralle::N,баппаҕай,നഖം
141,Schwanz::N,кутурук,വാൽ
142,Ei::N,сымыыт,മുട്ട
143,Nest::N,уйа,കൂട്
144,Bau::N,хороон,മാളം
145,Tier::N,кыыл,മൃഗം
146,Tier::N,харамай,മൃഗം
147,Herde::N,үөр,കൂട്ടം
148,Kuh::N,ынах,പശു
149,Bulle::N,оҕус,കാള
150,Pferd::N,сылгы,കുതിര
151,Schaf::N,овца,ആട്
152,Schwein::N,сибиинньэ,പന്നി
153,Hund::N,ыт,നായ്
154,Katze::N,куоска,പൂച്ച
155,Bär::N,эһэ,കരടി
156,Eichhörnchen::N,тииҥ,അണ്ണാൻ
157,Elch::N,тайах,കടമാന്
158,Fuchs::N,саһыл,കുറുക്കൻ
159,Hase::N,куобах,മുയൽ
160,Maus::N,кутуйах,ചുണ്ടലി
161,Wolf::N,бөрө,ചെന്നായ
162,Vogel::N,көтөр,പക്ഷി
163,Schwarm::N,бөлөх,കൂട്ടം
164,Huhn::N,куурусса,കോഴി
165,Hahn::N,бөтүүк,പൂവൻകോഴി
166,Gans::N,хаас,അരയന്നം
167,Adler::N,хотой,കഴുകൻ
168,Ente::N,кус,താറാവ്
169,Eule::N,мэкчиргэ,മൂങ്ങ
170,Kranich::N,туруйа,കൊക്ക്
171,Krähe::N,тураах,കാക്ക
172,Kuckuck::N,кэҕэ,കുയിൽ
173,Schwan::N,куба,അരയന്നം
174,Fisch::N,балык,മത്സ്യം
175,Barsch::N,алыһар,ഒരിനം മത്സ്യം
176,Hecht::N,сордон,ഒരു മത്സ്യം
177,Schlange[Tier]::N,моҕой,പാമ്പ്
178,Schlange[Tier]::N,эриэн үөн,പാമ്പ്
179,Wurm::N,үөн,വിര
180,Spinne::N,ооҕуй,ചിലന്തി
181,Ameise::N,кымырдаҕас,ഉറുമ്പ്
182,Laus::N,быт,പേന്
183,Mücke::N,кумаар,മശകം
184,Fliege::N,сахсырҕа,ഈച്ച
185,Schmetterling::N,лыах,ചിത്രശലഭം
186,Schmetterling::N,үрүмэччи,ചിത്രശലഭം
187,Beere::N,отон,ബെറി
188,Apfel::N,яблоко,ആപ്പിൾ
189,Pilz::N,тэллэй,കൂൺ
190,Zwiebel::N,луук,സവാള
191,Saat::N,сиэмэ,വിത്ത്
192,Korn::N,сиэмэ,ധാന്യം
193,Heu::N,от,വയ്ക്കോൽ
194,Schale::N,хах,തൊലി
195,Grube::N,дьаама,കുഴി
196,Falle::N,сохсо,കെണി
197,Schlinge::N,уктаа,കുടുക്ക്
198,Spur::N,суол,ചുവട്
199,Asche::N,күл,ചാരം
200,Dreck::N,бадараан,അഴുക്ക്
201,Eisen::N,тимир,ഇരുമ്പ്
202,Gold::N,көмүс,സ്വർണ്ണം
203,Gold::N,кыһыл көмүс,സ്വർണ്ണം
204,Silber::N,көмүс,വെള്ളി
205,Silber::N,үрүҥ көмүс,വെള്ളി
206,Kohle::N,чох,കൽക്കരി
207,Glas::N,өстүөкүлэ,ഗ്ലാസ്
208,Lehm::N,туой,കളിമണ്ണ്
209,Sand::N,кумах,മണൽ
210,Mensch::N,киһи,മനുഷ്യർ
211,Mann::N,эр,പുരുഷൻ
