,Concept_ID,is,is
0,Auge::N,auga,auga
1,Ohr::N,eyra,eyra
2,Nase::N,nef,nef
3,Mund::N,munnur,munnur
4,Zahn::N,tönn,tönn
5,Zunge::N,tunga,tunga
6,Lippe::N,vör,vör
7,Wange::N,kinn,kinn
8,Wange::N,kinn,vangi
9,Wange::N,vangi,kinn
10,Wange::N,vangi,vangi
11,Gesicht::N,andlit,andlit
12,Stirn::N,enni,enni
13,Haar::N,hár,hár
14,Schnurrbart::N,yfirskegg,yfirskegg
15,Bart::N,skegg,skegg
16,Kinn::N,haka,haka
17,Kiefer[Anatomie]::N,kjálki,kjálki
18,Kiefer[Anatomie]::N,kjálki,skoltur
19,Kiefer[Anatomie]::N,skoltur,kjálki
20,Kiefer[Anatomie]::N,skoltur,skoltur
21,Kehle::N,kverk,kverk
22,Hals::N,háls,háls
23,Genick::N,hnakki,hnakki
24,Kopf::N,höfuð,höfuð
25,Rücken::N,hryggur,hryggur
26,Bauch::N,kviður,kviður
27,Nabel::N,nafli,nafli
28,Busen::N,barmur,barmur
29,Brust::N,brjóst,brjóst
30,Schulter::N,öxl,öxl
31,Arm::N,armur,armur
32,Ellenbogen::N,olnbogi,olnbogi
33,Hand::N,hönd,hönd
34,Handfläche::N,lófi,lófi
35,Finger::N,fingur,fingur
36,Fingernagel::N,fingurnögl,fingurnögl
37,Nagel[Anatomie]::N,nögl,nögl
38,Zeh::N,tá,tá
39,Fuß::N,fótur,fótur
40,Ferse::N,hæll,hæll
41,Knie::N,kné,kné
42,Oberschenkel::N,læri,læri
43,Bein::N,fótleggur,fótleggur
44,Körper::N,búkur,búkur
45,Körper::N,búkur,líkami
46,Körper::N,líkami,búkur
47,Körper::N,líkami,líkami
48,Haut::N,húð,húð
49,Haut::N,húð,skinn
50,Haut::N,skinn,húð
51,Haut::N,skinn,skinn
52,Blut::N,blóð,blóð
53,Ader::N,æð,æð
54,Sehne::N,sin,sin
55,Knochen::N,bein,bein
56,Gehirn::N,heili,heili
57,Herz::N,hjarta,hjarta
58,Magen::N,magi,magi
59,Leber::N,lifur,lifur
60,Atem::N,andi,andi
61,Atem::N,andi,andardráttur
62,Atem::N,andardráttur,andi
63,Atem::N,andardráttur,andardráttur
64,Hunger::N,hungur,hungur
65,Träne::N,tár,tár
66,Geschmack::N,smekkur,smekkur
67,Geruch::N,lykt,lykt
68,Schlaf::N,svefn,svefn
69,Traum::N,draumur,draumur
70,Himmel::N,himinn,himinn
71,Sonne::N,sól,sól
72,Mond::N,tungl,tungl
73,Stern::N,stjarna,stjarna
74,Luft::N,loft,loft
75,Wind::N,vindur,vindur
76,Welle::N,alda,alda
77,Welle::N,alda,bylgja
78,Welle::N,bylgja,alda
79,Welle::N,bylgja,bylgja
80,Wasser::N,vatn,vatn
81,Stein::N,steinn,steinn
82,Boden::N,botn,botn
83,Erde::N,jörð,jörð
84,Staub::N,ryk,ryk
85,Staub::N,ryk,duft
86,Staub::N,duft,ryk
87,Staub::N,duft,duft
88,Rauch::N,reykur,reykur
89,Funke::N,neisti,neisti
90,Feuer::N,eldur,eldur
91,Licht::N,ljós,ljós
92,Schatten::N,skuggi,skuggi
93,Wetter::N,veður,veður
94,Nebel::N,þoka,þoka
95,Wolke::N,ský,ský
96,Regen::N,regn,regn
97,Schnee::N,snjór,snjór
98,Eis::N,ís,ís
99,Frost::N,frost,frost
100,Kälte::N,kuldi,kuldi
101,Hitze::N,hiti,hiti
102,Raureif::N,hrím,hrím
103,Regenbogen::N,regnbogi,regnbogi
104,Donner::N,þruma,þruma
105,Strömung::N,straumur,straumur
106,Tropfen::N,dropi,dropi
107,Schaum::N,froða,froða
108,Schmutz::N,óhreinindi,óhreinindi
109,See::N,stöðuvatn,stöðuvatn
110,Sumpf::N,fen,fen
111,Moor::N,mýri,mýri
112,Wiese::N,engi,engi
113,Wald::N,skógur,skógur
114,Hügel::N,hæð,hæð
115,Hügel::N,hæð,hóll
116,Hügel::N,hóll,hæð
117,Hügel::N,hóll,hóll
118,Anhöhe::N,hæð,hæð
119,Anhöhe::N,hæð,hóll
120,Anhöhe::N,hóll,hæð
121,Anhöhe::N,hóll,hóll
122,Berg::N,fell,fell
123,Berg::N,fell,fjall
124,Berg::N,fjall,fell
125,Berg::N,fjall,fjall
126,Gipfel::N,tindur,tindur
127,Höhle::N,hellir,hellir
128,Abhang::N,hlíð,hlíð
129,Abhang::N,hlíð,brekka
130,Abhang::N,brekka,hlíð
131,Abhang::N,brekka,brekka
132,Quelle::N,lind,lind
133,Quelle::N,lind,uppspretta
134,Quelle::N,uppspretta,lind
135,Quelle::N,uppspretta,uppspretta
136,Bach::N,lækur,lækur
137,Fluss::N,á,á
138,Fluss::N,á,fljót
139,Fluss::N,fljót,á
140,Fluss::N,fljót,fljót
141,Ufer::N,árbakki,árbakki
142,Ufer::N,árbakki,sjávarbakki
143,Ufer::N,sjávarbakki,árbakki
144,Ufer::N,sjávarbakki,sjávarbakki
145,Küste::N,strönd,strönd
146,Festland::N,meginland,meginland
147,Meer::N,haf,haf
148,Meer::N,haf,sjór
149,Meer::N,sjór,haf
150,Meer::N,sjór,sjór
151,Bucht::N,vík,vík
152,Insel::N,eyja,eyja
153,Blume::N,blóm,blóm
154,Gras::N,gras,gras
155,Wurzel::N,rót,rót
156,Baum::N,tré,tré
157,Stamm::N,stofn,stofn
158,Rinde::N,börkur,börkur
159,Ast::N,grein,grein
160,Zweig::N,angi,angi
161,Zweig::N,angi,kvistur
162,Zweig::N,kvistur,angi
163,Zweig::N,kvistur,kvistur
164,Blatt::N,blað,blað
165,Birke::N,birki,birki
166,Kiefer[Baum]::N,fura,fura
167,Weide[Baum]::N,víðir,víðir
168,Tanne::N,greni,greni
169,Horn::N,horn,horn
170,Feder::N,fjöður,fjöður
171,Fell::N,skinn,skinn
172,Flügel::N,vængur,vængur
173,Klaue::N,kló,kló
174,Kralle::N,kló,kló
175,Schwanz::N,rófa,rófa
176,Schwanz::N,rófa,skott
177,Schwanz::N,skott,rófa
178,Schwanz::N,skott,skott
179,Ei::N,egg,egg
180,Nest::N,hreiður,hreiður
181,Bau::N,greni,greni
182,Bau::N,greni,bæli
183,Bau::N,bæli,greni
184,Bau::N,bæli,bæli
185,Tier::N,dýr,dýr
186,Herde::N,hjörð,hjörð
187,Kuh::N,kýr,kýr
188,Bulle::N,boli,boli
189,Pferd::N,hestur,hestur
190,Schaf::N,kind,kind
191,Schwein::N,svín,svín
192,Hund::N,hundur,hundur
193,Katze::N,köttur,köttur
194,Bär::N,björn,björn
195,Eichhörnchen::N,íkorni,íkorni
196,Elch::N,elgur,elgur
197,Fuchs::N,refur,refur
198,Hase::N,héri,héri
199,Maus::N,mús,mús
200,Wolf::N,úlfur,úlfur
201,Vogel::N,fugl,fugl
202,Schwarm::N,sægur,sægur
203,Huhn::N,hæna,hæna
204,Hahn::N,hani,hani
205,Gans::N,gæs,gæs
206,Adler::N,örn,örn
207,Ente::N,önd,önd
208,Eule::N,uggla,uggla
209,Kranich::N,trana,trana
210,Krähe::N,kráka,kráka
211,Kuckuck::N,gaukur,gaukur
212,Schwan::N,svanur,svanur
213,Fisch::N,fiskur,fiskur
214,Barsch::N,aborri,aborri
215,Hecht::N,gedda,gedda
216,Schlange[Tier]::N,naðra,naðra
