,Concept_ID,kl,eu
0,Auge::N,isi,begi
1,Ohr::N,siut,belarri
2,Mund::N,paaq,aho
3,Mund::N,qaneq,aho
4,Zahn::N,kigut,hortz
5,Zunge::N,oqaq,mihi
6,Lippe::N,qarloq,ezpain
7,Wange::N,ersaq,masail
8,Gesicht::N,kiinaq,aurpegi
9,Stirn::N,qaaq,bekoki
10,Haar::N,meqqoq,ile
11,Haar::N,meqqoq,bilo
12,Bart::N,umik,bizar
13,Kinn::N,talloq,kokots
14,Kiefer[Anatomie]::N,alleroq,masailezur
15,Kehle::N,malaq,eztarri
16,Hals::N,qungaseq,sama
17,Genick::N,pukusuk,garondo
18,Kopf::N,niaqoq,buru
19,Rücken::N,qimerlut,bizkar
20,Bauch::N,naaq,sabel
21,Nabel::N,qalaseq,zilbor
22,Busen::N,iviangeq,titi
23,Busen::N,iviangeq,ugatz
24,Brust::N,iviangeq,bular
25,Schulter::N,ersik,besaburu
26,Schulter::N,assaqqoq,besaburu
27,Arm::N,taleq,beso
28,Ellenbogen::N,ikusik,ukondo
29,Hand::N,assak,esku
30,Handfläche::N,itumak,ahur
31,Finger::N,inuak,hatz
32,Fingernagel::N,kikiak,azazkal
33,Nagel[Anatomie]::N,kukik,azazkal
34,Zeh::N,isigak,behatz
35,Ferse::N,kimmik,orpo
36,Ferse::N,kimmik,oinburu
37,Knie::N,seeqqoq,belaun
38,Oberschenkel::N,uppat,izter
39,Oberschenkel::N,quttoraq,izter
40,Bein::N,isigak,zango
41,Körper::N,timi,soin
42,Haut::N,mattak,azal
43,Blut::N,aak,odol
44,Ader::N,taqaq,zain
45,Sehne::N,ujalu,gihar-zain
46,Sehne::N,ujaloq,gihar-zain
47,Knochen::N,saanikut,hezur
48,Gehirn::N,qarasaq,garun
49,Gehirn::N,qarasaq,burmuin
50,Herz::N,uummat,bihotz
51,Magen::N,aqajaroq,urdail
52,Leber::N,tinguk,gibel
53,Atem::N,anerneq,hats
54,Atem::N,anerneq,arnasa
55,Hunger::N,kaanneq,gose
56,Träne::N,qia,malko
57,Träne::N,qiak,malko
58,Geschmack::N,qilanaartuut,dasta
59,Geruch::N,tipi,usain
60,Geruch::N,tipik,usain
61,Traum::N,sinnattoq,amets
