,Concept_ID,az,ca
0,Auge::N,göz,ull
1,Ohr::N,qulaq,orella
2,Nase::N,burun,nas
3,Mund::N,ağız,boca
4,Zahn::N,diş,dent
5,Zunge::N,dil,llēngua
6,Lippe::N,dodaq,llavi
7,Wange::N,yanaq,galta
8,Gesicht::N,üz,cara
9,Stirn::N,alın,front
10,Haar::N,saç,cabēll
11,Schnurrbart::N,bığ,bigoti
12,Bart::N,saqqal,barba
13,Kinn::N,çənə,mentó
14,Kinn::N,çənə,barbeta
15,Kiefer[Anatomie]::N,çənə,queix
16,Kiefer[Anatomie]::N,çənə,mandíbula
17,Kehle::N,boğaz,gola
18,Kehle::N,boğaz,gorja
19,Hals::N,boyun,coll
20,Genick::N,ənsə,nuca
21,Kopf::N,baş,cap
22,Rücken::N,bel,esquena
23,Bauch::N,qarın,panxa
24,Nabel::N,göbək,llombrígol
25,Busen::N,məmə,pit
26,Busen::N,məmə,mama
27,Brust::N,döş,pit
28,Schulter::N,çiyin,espatlla
29,Arm::N,qol,braç
30,Ellenbogen::N,dirsək,colze
31,Hand::N,əl,mà
32,Handfläche::N,ovuc,palma
33,Finger::N,barmaq,dit
34,Fingernagel::N,barmaq dırnağı,ungla
35,Nagel[Anatomie]::N,dırnak,ungla
36,Zeh::N,ayaq barmağı,dit del peu
37,Fuß::N,ayaq,peu
38,Ferse::N,daban,taló
39,Knie::N,diz,genoll
40,Oberschenkel::N,bud,cuixa
41,Bein::N,qıç,cama
42,Körper::N,əndam,cos
43,Haut::N,dəri,pell
44,Blut::N,qan,sang
45,Ader::N,damar,vena
46,Sehne::N,vətər,tendó
47,Knochen::N,sümük,os
48,Gehirn::N,beyin,cervell
49,Herz::N,ürək,cor
50,Magen::N,mədə,estómac
51,Leber::N,qara ciyər,fetge
52,Atem::N,nəfəs,alè
53,Atem::N,nəfəs,hàlit
54,Hunger::N,aclıq,fam
55,Hunger::N,aclıq,gana
56,Träne::N,göz yaşı,llàgrima
57,Geschmack::N,tam,gust
58,Geschmack::N,tam,sabor
59,Geschmack::N,ləzzət,gust
60,Geschmack::N,ləzzət,sabor
61,Geruch::N,qoxu,olor
62,Schlaf::N,yuxu,son
63,Traum::N,röya,somni
64,Himmel::N,göy,celm
65,Himmel::N,səma,celm
66,Sonne::N,günəş,sol
67,Mond::N,ay,lluna
68,Stern::N,ulduz,estel
69,Stern::N,ulduz,estrella
70,Luft::N,hava,aire
71,Wind::N,yel,vent
72,Wind::N,külək,vent
73,Welle::N,dalğa,ona
74,Wasser::N,su,āigua
75,Stein::N,daş,pedra
76,Boden::N,yer,sòl
77,Boden::N,zəmin,sòl
78,Erde::N,yer torpaq,terra
79,Staub::N,toz,pols
80,Rauch::N,tüstü,fum
81,Funke::N,qığılcım,guspira
82,Funke::N,qığılcım,centella
83,Feuer::N,od,foc
84,Licht::N,işıq,llum
85,Schatten::N,kölgə,ombra
86,Wetter::N,hava,temps
87,Nebel::N,duman,boira
88,Wolke::N,bulud,núvol
89,Regen::N,yağış,pluja
90,Regen::N,yağmur,pluja
91,Schnee::N,qar,neu
92,Eis::N,buz,gel
93,Eis::N,buz,glaç
94,Frost::N,ayaz,glaçada
95,Kälte::N,soyuq,fred
96,Hitze::N,coşğunluq,calor
97,Raureif::N,qırov,gebre
98,Regenbogen::N,göy qurşağı,arc iris
99,Donner::N,göy gurultusu,tro
100,Strömung::N,axın,corrent
101,Tropfen::N,damcı,gota
102,Schaum::N,köpük,escuma
103,Schmutz::N,çamır,brutícia
104,See::N,göl,llac
105,Sumpf::N,bataqlıq,pantà
106,Moor::N,bataqlıq,pantà
107,Wiese::N,çəmən,prat
108,Wiese::N,çəmən,prada
109,Wald::N,meşə,bosc
110,Hügel::N,təpə,puig
111,Hügel::N,təpə,pujol
112,Anhöhe::N,təpə,turó
113,Berg::N,dağ,muntanya
114,Gipfel::N,zirvə,cim
115,Höhle::N,mağara,cova
116,Abhang::N,yamac,coster
117,Quelle::N,bulaq,font
118,Bach::N,kiçik çay,riera
119,Fluss::N,çay,riu
120,Ufer::N,kənar,riba
121,Küste::N,sahil,costa
122,Festland::N,materik,terra ferma
123,Meer::N,dəniz,mar
124,Bucht::N,körfəz,cala
125,Bucht::N,körfəz,badia
126,Insel::N,ada,illa
127,Blume::N,çiçək,flor
128,Gras::N,ot,herba
129,Wurzel::N,kök,rel
130,Wurzel::N,kök,arrel
131,Baum::N,ağac,arbre
132,Stamm::N,gövdə,tronc
133,Rinde::N,qabıq,escorça
134,Ast::N,şax,branca
135,Zweig::N,budaq,ram
136,Blatt::N,yarpaq,fulla
137,Birke::N,tozağacı,bedoll
138,Kiefer[Baum]::N,şam,pi
139,Weide[Baum]::N,söyüd,salze
140,Tanne::N,küknar,avet
141,Horn::N,buynuz,corn
142,Horn::N,buynuz,banya
143,Feder::N,tük,ploma
144,Feder::N,lələk,ploma
145,Fell::N,xəz,pell
146,Flügel::N,qanad,ala
147,Klaue::N,pəncə,urpa
148,Kralle::N,dırnaq,grapa
149,Schwanz::N,quyruq,cua
150,Ei::N,yumurta,ou
151,Nest::N,yuva,niu
152,Bau::N,yuva,cau
153,Tier::N,heyvan,animāl
154,Herde::N,sürü,ramat
155,Kuh::N,inək,vaca
156,Bulle::N,öküz,toro
157,Pferd::N,at,cavāll
158,Schaf::N,qoyun,be
159,Schaf::N,qoyun,ovella
160,Schwein::N,donuz,bacó
161,Hund::N,it,ca
162,Hund::N,it,gos
163,Hund::N,köpək,ca
164,Hund::N,köpək,gos
165,Katze::N,pişik,gat
166,Bär::N,ayı,ós
167,Eichhörnchen::N,dələ,esquirol
168,Elch::N,sığın,ant
169,Fuchs::N,tülkü,guilla
170,Hase::N,dovşan,llebre
171,Maus::N,siçan,ratolí
172,Wolf::N,qurd,llop
173,Vogel::N,quş,au
174,Vogel::N,quş,ocēll
175,Schwarm::N,sürü,bandada
176,Huhn::N,toyuq,gallina
177,Hahn::N,xoruz,gall
178,Gans::N,qaz,oca
179,Adler::N,qartal,àguila
180,Adler::N,qaraquş,àguila
181,Ente::N,ördək,ànec
182,Eule::N,bayquş,òliba
183,Eule::N,bayquş,mussol
184,Kranich::N,durna,grua
185,Krähe::N,qarğa,cornella
186,Kuckuck::N,ququ,cucut
187,Schwan::N,qu quşu,cigne
188,Fisch::N,balıq,peix
189,Barsch::N,tar,perca
190,Hecht::N,durnabalığı,lluç
191,Schlange[Tier]::N,ilan,serp
192,Wurm::N,qurd,cuc
193,Spinne::N,hörümçək,aranya
194,Ameise::N,qarışqa,formiga
195,Laus::N,bit,poll
196,Mücke::N,ağcaqanad,mosquit
197,Fliege::N,milçək,mosca
198,Schmetterling::N,kəpənək,papallona
199,Beere::N,gilə,baia
200,Apfel::N,alma,poma
201,Pilz::N,göbələk,bolet
202,Zwiebel::N,soğan,ceba
203,Saat::N,əkin,sembra
204,Korn::N,taxıl,gra
205,Heu::N,quru ot,fenc
206,Schale::N,qabıq,closca
207,Grube::N,çuxur,sot
208,Grube::N,çuxur,clot
209,Falle::N,tələ,trampa
210,Falle::N,duzaq,trampa
211,Schlinge::N,ilmək,baga
212,Spur::N,iz,traça
213,Asche::N,kül,cendra
214,Dreck::N,kir,llot
215,Eisen::N,dəmir,ferro
216,Gold::N,altun,or
217,Silber::N,gümüş,plata
218,Kohle::N,kömür,carbó
219,Glas::N,şüşə,vidre
220,Lehm::N,gil,fang
221,Lehm::N,gil,argila
222,Lehm::N,palçıq,fang
223,Lehm::N,palçıq,argila
224,Sand::N,qum,arena
225,Mensch::N,adam,humà
226,Mensch::N,adam,persona
227,Mensch::N,insan,humà
228,Mensch::N,insan,persona
229,Mann::N,kişi,home
230,Frau::N,qadın,dona
