,Concept_ID,sl,ab
0,Auge::N,okó,ала
1,Ohr::N,uhó,алымҳа
2,Nase::N,nós,аҧынҵа
3,Mund::N,ústa,аҧышə
4,Zahn::N,zób,ахаҧыц
5,Zunge::N,jêzik,абз
6,Lippe::N,ústnica,ақьышə
7,Wange::N,líce,аӡамҩа
8,Gesicht::N,oblíčje,аҿы
9,Stirn::N,čêlo,алахь
10,Haar::N,lás,ахəыц
11,Schnurrbart::N,bŕki,аҧаҵа
12,Bart::N,bráda,ажакьа
13,Kinn::N,bráda,ацламкəыгə
14,Kiefer[Anatomie]::N,čeljúst,ацламҳəа
15,Kehle::N,gŕlo,ахəда
16,Hals::N,vrát,ахəда
17,Genick::N,zatílnik,ахəдаџьал
18,Kopf::N,gláva,ахы
19,Rücken::N,hrbèt,азқəа
20,Bauch::N,trébuh,амгəа
21,Nabel::N,pópek,аҷапан
22,Busen::N,nédrja,агəыҧҳəы
23,Brust::N,pŕsi,агəышҧы
24,Schulter::N,ráma,ажəҩахыр
25,Schulter::N,plêče,ажəҩахыр
26,Arm::N,rôka,амахəар
27,Ellenbogen::N,komólec,амашьхəылҵ
28,Hand::N,rôka,анапы
29,Handfläche::N,dlán,анапсаргəыҵа
30,Finger::N,pŕst,анацəа
31,Fingernagel::N,nóht na rôki,анапхыц
32,Nagel[Anatomie]::N,nóht,ашьапхыц
33,Zeh::N,pŕst na nôgi,ашьацəа
34,Fuß::N,nôga,ашьапсыргəыҵа
35,Ferse::N,pêta,ашьхəа
36,Knie::N,koléno,ашьамхы
37,Oberschenkel::N,stêgno,ауаҭəа
38,Bein::N,nôga,ашьапы
39,Körper::N,teló,ацəеижь
40,Haut::N,kóža,ацəа
41,Blut::N,krí,ашьа
42,Ader::N,žíla,ада
43,Sehne::N,kíta,адаш
44,Knochen::N,kóst,абаҩ
45,Gehirn::N,možgáni,ахшлыбаҩ
46,Gehirn::N,možgáni,ахшыбаҩ
47,Herz::N,srcé,агəы
48,Magen::N,želódec,аца
49,Magen::N,želódec,ацар
50,Leber::N,jétra,агəаҵəа
51,Atem::N,díh,аҧсыҧлагаҩгара
52,Hunger::N,glád,амла
53,Träne::N,sólza,алабжыш
54,Geschmack::N,okús,агьама
55,Geruch::N,vónj,афҩы
56,Schlaf::N,sèn,ацəа
57,Schlaf::N,spánec,ацəа
58,Traum::N,sánje,аҧхыӡ
59,Himmel::N,nebó,ажəҩан
60,Sonne::N,sónce,амра
61,Mond::N,lúna,амза
62,Mond::N,mésec,амза
63,Stern::N,zvézda,аеҵəа
64,Luft::N,zràk,аҳаир
65,Wind::N,véter,аҧша
66,Welle::N,vál,ацəқəырҧа
