,Concept_ID,sk,ar
0,Auge::N,oko,عين
1,Ohr::N,ucho,أذن
2,Nase::N,nos,أنف
3,Mund::N,ústa,فم
4,Zahn::N,zub,سن
5,Zunge::N,jazyk,لسان
6,Lippe::N,pera,شفة
7,Wange::N,líce,خد
8,Wange::N,líce,وجنة
9,Gesicht::N,tvár,وجه
10,Gesicht::N,obličaj,وجه
11,Stirn::N,čelo,جبين
12,Haar::N,vlas,شعر
13,Schnurrbart::N,fúzy,شارب
14,Bart::N,brada,لحية
15,Kinn::N,brada,ذقن
16,Kiefer[Anatomie]::N,čeľusť,فك
17,Kehle::N,hrdlo,حلق
18,Hals::N,krk,عنق
19,Hals::N,krk,رقبة
20,Genick::N,väzy,قفا
21,Kopf::N,hlava,رأس
22,Rücken::N,chrbát,ظهر
23,Bauch::N,brucho,بطن
24,Nabel::N,pupok,سرة
25,Busen::N,prsia,ثدي
26,Brust::N,hruď,صدر
27,Schulter::N,plece,كتف
28,Arm::N,rameno,ذراع
29,Ellenbogen::N,lakeť,كوع
30,Hand::N,ruka,يد
31,Handfläche::N,dlaň,كف
32,Finger::N,prst,إصبع
33,Fingernagel::N,necht,ظفر
34,Nagel[Anatomie]::N,necht,ظفر
35,Zeh::N,prst na nohe,إصبع القدم
36,Fuß::N,noha,قدم
37,Ferse::N,päta,كعب
38,Knie::N,koleno,ركبة
39,Oberschenkel::N,stehno,فخذ
40,Bein::N,noha,ساق
41,Körper::N,telo,جسم
42,Haut::N,koža,بشرة
43,Blut::N,krv,دم
44,Ader::N,žila,عرق
45,Sehne::N,šľacha,طنب
46,Knochen::N,kosť,عظم
47,Gehirn::N,mozog,دماغ
48,Herz::N,srdce,قلب
49,Magen::N,žalúdok,معدة
50,Leber::N,pečeň,كبد
51,Atem::N,dych,نفس
52,Hunger::N,hlad,جوع
53,Träne::N,slza,دمعة
54,Geschmack::N,chuť,طعم
55,Geschmack::N,chuť,مذاق
56,Geruch::N,pach,رائحة
57,Schlaf::N,spánok,نوم
58,Schlaf::N,spánok,منام
59,Traum::N,sen,حلم
60,Himmel::N,nebo,سماء
61,Sonne::N,slnko,شمس
62,Mond::N,mesiac,قمر
63,Stern::N,hviezda,نجم
64,Stern::N,hviezda,كوكب
65,Luft::N,vzduch,هواء
66,Wind::N,vietor,ريح
67,Welle::N,vlna,موجة
68,Wasser::N,voda,ماء
69,Stein::N,kameň,حجر
70,Boden::N,zem,تراب
71,Boden::N,pôda,تراب
72,Erde::N,zem,أرض
73,Staub::N,prach,غبار
74,Rauch::N,dym,دخان
75,Funke::N,iskra,شرارة
76,Feuer::N,oheň,نار
77,Licht::N,svetlo,نور
78,Licht::N,svetlo,ضوء
