,Concept_ID,pt,az
0,Auge::N,olho,göz
1,Ohr::N,orelha,qulaq
2,Nase::N,nariz,burun
3,Mund::N,boca,ağız
4,Zahn::N,dente,diş
5,Zunge::N,língua,dil
6,Lippe::N,lábio,dodaq
7,Wange::N,face,yanaq
8,Gesicht::N,cara,üz
9,Gesicht::N,rosto,üz
10,Stirn::N,testa,alın
11,Haar::N,cabelo,saç
12,Schnurrbart::N,bigode,bığ
13,Bart::N,barba,saqqal
14,Kinn::N,queixo,çənə
15,Kiefer[Anatomie]::N,maxila,çənə
16,Kiefer[Anatomie]::N,mandíbula,çənə
17,Kehle::N,garganta,boğaz
18,Hals::N,colo,boyun
19,Hals::N,pescoço,boyun
20,Genick::N,nuca,ənsə
21,Kopf::N,cabeça,baş
22,Rücken::N,dorso,bel
23,Rücken::N,costas,bel
24,Bauch::N,ventre,qarın
25,Bauch::N,barriga,qarın
26,Nabel::N,umbigo,göbək
27,Busen::N,seio,məmə
28,Brust::N,peito,döş
29,Schulter::N,ombro,çiyin
30,Arm::N,braço,qol
31,Ellenbogen::N,cotovelo,dirsək
32,Hand::N,mão,əl
33,Handfläche::N,palma,ovuc
34,Handfläche::N,palma da mão,ovuc
35,Finger::N,dedo,barmaq
36,Fingernagel::N,unha,barmaq dırnağı
37,Nagel[Anatomie]::N,unha,dırnak
38,Zeh::N,dedo do pé,ayaq barmağı
39,Fuß::N,pé,ayaq
40,Ferse::N,calcanhar,daban
41,Knie::N,joelho,diz
42,Oberschenkel::N,coxa,bud
43,Bein::N,perna,qıç
44,Körper::N,corpo,əndam
45,Haut::N,pele,dəri
46,Blut::N,sangue,qan
47,Ader::N,veia,damar
48,Sehne::N,tendão,vətər
49,Knochen::N,osso,sümük
50,Gehirn::N,cérebro,beyin
51,Herz::N,coração,ürək
52,Magen::N,estômago,mədə
53,Leber::N,fígado,qara ciyər
54,Atem::N,fôlego,nəfəs
55,Hunger::N,fome,aclıq
56,Träne::N,lágrima,göz yaşı
57,Geschmack::N,gosto,tam
58,Geschmack::N,gosto,ləzzət
59,Geruch::N,odor,qoxu
60,Geruch::N,cheiro,qoxu
61,Schlaf::N,sono,yuxu
62,Traum::N,sonho,röya
63,Himmel::N,céu,göy
64,Himmel::N,céu,səma
65,Sonne::N,sol,günəş
66,Mond::N,lua,ay
67,Stern::N,estrela,ulduz
68,Luft::N,ar,hava
69,Wind::N,vento,yel
70,Wind::N,vento,külək
71,Welle::N,onda,dalğa
72,Wasser::N,água,su
73,Stein::N,pedra,daş
74,Boden::N,solo,yer
75,Boden::N,solo,zəmin
76,Erde::N,terra,yer torpaq
77,Staub::N,pó,toz
78,Rauch::N,fumo,tüstü
79,Funke::N,faísca,qığılcım
80,Funke::N,centelha,qığılcım
81,Feuer::N,fogo,od
82,Licht::N,luz,işıq
83,Schatten::N,sombra,kölgə
84,Wetter::N,tempo,hava
85,Nebel::N,nevoeiro,duman
86,Wolke::N,nuvem,bulud
87,Regen::N,chuva,yağış
88,Regen::N,chuva,yağmur
89,Schnee::N,neve,qar
90,Eis::N,gelo,buz
91,Frost::N,gelo,ayaz
92,Frost::N,geada,ayaz
93,Kälte::N,frio,soyuq
94,Hitze::N,ardor,coşğunluq
95,Raureif::N,geada,qırov
96,Regenbogen::N,arco-iris,göy qurşağı
97,Donner::N,trovão,göy gurultusu
98,Strömung::N,corrente,axın
99,Tropfen::N,gota,damcı
100,Schaum::N,espuma,köpük
101,Schmutz::N,sujidade,çamır
102,Schmutz::N,imundície,çamır
103,See::N,lago,göl
104,Sumpf::N,charco,bataqlıq
105,Sumpf::N,pântano,bataqlıq
106,Moor::N,pântano,bataqlıq
107,Wiese::N,prado,çəmən
108,Wald::N,bosque,meşə
109,Wald::N,floresta,meşə
110,Hügel::N,colina,təpə
111,Anhöhe::N,alto,təpə
112,Anhöhe::N,outeiro,təpə
113,Berg::N,monte,dağ
114,Berg::N,montanha,dağ
115,Gipfel::N,pico,zirvə
116,Höhle::N,caverna,mağara
117,Abhang::N,encosta,yamac
118,Quelle::N,fonte,bulaq
119,Bach::N,regato,kiçik çay
120,Bach::N,ribeiro,kiçik çay
121,Fluss::N,rio,çay
122,Ufer::N,beira,kənar
123,Küste::N,costa,sahil
124,Festland::N,terra firme,materik
125,Meer::N,mar,dəniz
