,Concept_ID,en,la
0,Auge::N,eye,oculus
1,Ohr::N,ear,auris
2,Nase::N,nose,nasus
3,Mund::N,mouth,os
4,Zahn::N,tooth,dens
5,Zunge::N,tongue,lingua
6,Lippe::N,lip,labrum
7,Wange::N,cheek,gena
8,Gesicht::N,face,vultus
9,Stirn::N,forehead,frons
10,Haar::N,hair,capillus
11,Schnurrbart::N,moustache,barba labri superioris
12,Bart::N,beard,barba
13,Kinn::N,chin,mentum
14,Kiefer[Anatomie]::N,jaw,mala
15,Kehle::N,throat,iugulums
16,Hals::N,neck,collum
17,Genick::N,nape,cervices
18,Kopf::N,head,caput
19,Rücken::N,back,tergum
20,Rücken::N,spine,tergum
21,Bauch::N,belly,venter
22,Nabel::N,navel,umbilicus
23,Busen::N,bosom,sinus
24,Brust::N,chest,pectus
25,Brust::N,breast,pectus
26,Schulter::N,shoulder,umerus
27,Arm::N,arm,bracchium
28,Ellenbogen::N,elbow,cubitum
29,Hand::N,hand,manus
30,Handfläche::N,palm,palma
31,Finger::N,finger,digitus
32,Fingernagel::N,fingernail,unguiculus
33,Nagel[Anatomie]::N,nail,unguis
34,Zeh::N,toe,digitus
35,Fuß::N,foot,pes
36,Ferse::N,heel,calx
37,Knie::N,knee,genu
38,Oberschenkel::N,thigh,femur
39,Bein::N,leg,crus
40,Körper::N,body,corpus
41,Haut::N,skin,cutis
42,Haut::N,skin,pellis
43,Blut::N,blood,sanguis
44,Ader::N,vein,vena
45,Sehne::N,sinew,nervus
46,Knochen::N,bone,os
47,Gehirn::N,brain,cerebrum
48,Herz::N,heart,cor
49,Herz::N,heart,animus
50,Magen::N,stomach,stomachus
51,Leber::N,liver,iecur
52,Atem::N,breath,spiritus
53,Hunger::N,hunger,fames
54,Träne::N,tear,lacrima
55,Geschmack::N,flavour,sapor
56,Geschmack::N,flavour,gustus
57,Geschmack::N,flavor,sapor
58,Geschmack::N,flavor,gustus
59,Geruch::N,odour,odor
60,Geruch::N,odor,odor
61,Schlaf::N,sleep,somnus
62,Traum::N,dream,somnium
63,Himmel::N,sky,caelum
64,Sonne::N,sun,sol
65,Mond::N,moon,luna
66,Stern::N,star,sidus
67,Stern::N,star,stella
68,Luft::N,air,aer
69,Wind::N,wind,ventus
70,Welle::N,wave,unda
71,Wasser::N,water,aqua
72,Stein::N,stone,lapis
73,Boden::N,soil,solum
74,Boden::N,ground,solum
75,Erde::N,earth,terra
76,Staub::N,dust,pulvis
77,Rauch::N,smoke,fumus
78,Funke::N,spark,scintilla
79,Feuer::N,fire,ignis
80,Licht::N,light,lux
81,Licht::N,light,lumen
82,Schatten::N,shadow,umbra
83,Wetter::N,weather,caelum
84,Wetter::N,weather,tempestas
85,Nebel::N,fog,nebula
86,Wolke::N,cloud,nubes
87,Regen::N,rain,imber
88,Regen::N,rain,pluvia
89,Schnee::N,snow,nix
90,Eis::N,ice,glacies
91,Frost::N,frost,gelu
92,Kälte::N,chill,frigus
93,Hitze::N,heat,calor
94,Hitze::N,heat,aestus
95,Raureif::N,hoarfrost,pruina
96,Regenbogen::N,rainbow,arcus
97,Donner::N,thunder,tonitrus
98,Strömung::N,current,fluctus
99,Tropfen::N,drop,gutta
100,Schaum::N,foam,spuma
101,Schmutz::N,dirt,sordes
102,Schmutz::N,dirt,squalor
103,See::N,lake,lacus
104,Sumpf::N,swamp,palus
105,Moor::N,moor,palus
106,Wiese::N,meadow,pratum
107,Wald::N,forest,silva
108,Hügel::N,hill,collis
109,Anhöhe::N,elevation,specula
110,Berg::N,mountain,mons
111,Gipfel::N,summit,vertex
112,Höhle::N,cave,caverna
113,Höhle::N,cave,spelunca
114,Abhang::N,slope,declivum
115,Quelle::N,source,fons
116,Bach::N,brook,rivus
117,Fluss::N,river,flumen
118,Ufer::N,shore,ripa
119,Küste::N,coast,litus
120,Festland::N,land,continens
121,Meer::N,sea,mare
122,Bucht::N,cove,sinus
123,Insel::N,island,insula
124,Blume::N,flower,flos
125,Gras::N,grass,herba
126,Gras::N,grass,gramen
127,Wurzel::N,root,radix
128,Baum::N,tree,arbor
129,Stamm::N,trunk,truncus
130,Rinde::N,bark,cortex
131,Ast::N,limb,ramus
132,Zweig::N,branch,ramus
133,Blatt::N,leaf,folium
134,Birke::N,birch,betulla
