,Concept_ID,eu,lbe
0,Auge::N,begi,я
1,Ohr::N,belarri,вичӏи
2,Nase::N,sudur,май
3,Mund::N,aho,кьацӏ
4,Zahn::N,hortz,ккарччи
5,Zunge::N,mihi,маз
6,Lippe::N,ezpain,мурччи
7,Wange::N,masail,чӏав
8,Gesicht::N,aurpegi,лажин
9,Stirn::N,bekoki,ненттабакӏ
10,Haar::N,ile,чӏара
11,Haar::N,bilo,чӏара
12,Schnurrbart::N,bibote,ссирссилтту
13,Schnurrbart::N,sudurpeko,ссирссилтту
14,Bart::N,bizar,чӏири
15,Kinn::N,kokots,лунттубакӏ
16,Kiefer[Anatomie]::N,masailezur,ххинчулул
17,Kehle::N,eztarri,кьакьари
18,Hals::N,sama,ссурссу
19,Genick::N,garondo,махъабакӏ
20,Kopf::N,buru,бакӏ
21,Rücken::N,bizkar,ттиликӏ
22,Bauch::N,sabel,лякьа
23,Nabel::N,zilbor,цӏумуккутӏ
24,Busen::N,titi,ккукку
25,Busen::N,ugatz,ккукку
26,Brust::N,bular,хъазам
27,Schulter::N,besaburu,хъачӏ
28,Arm::N,beso,ка
29,Ellenbogen::N,ukondo,ссюрхъ
30,Hand::N,esku,бартка
31,Handfläche::N,ahur,хъат
32,Handfläche::N,ahur,битӏянхъ
33,Finger::N,hatz,кӏисса
34,Fingernagel::N,azazkal,михь
35,Nagel[Anatomie]::N,azazkal,михь
36,Zeh::N,behatz,кӏисса
37,Fuß::N,oin,чӏанччан
38,Ferse::N,orpo,никъа
39,Ferse::N,oinburu,никъа
40,Knie::N,belaun,ник
41,Oberschenkel::N,izter,жира
42,Bein::N,zango,ччан
43,Körper::N,soin,чурх
44,Haut::N,azal,бурчу
45,Blut::N,odol,оь
46,Ader::N,zain,тунну
47,Sehne::N,gihar-zain,хьхьа
48,Knochen::N,hezur,ттаркӏ
49,Gehirn::N,garun,ня
50,Gehirn::N,burmuin,ня
51,Herz::N,bihotz,дакӏ
52,Herz::N,bihotz,къюкӏ
53,Magen::N,urdail,лякьа
54,Leber::N,gibel,
55,Atem::N,hats,ссихӏ ласаву
56,Atem::N,hats,ссихӏ бигьаву
57,Atem::N,arnasa,ссихӏ ласаву
58,Atem::N,arnasa,ссихӏ бигьаву
59,Hunger::N,gose,ккаши
60,Träne::N,malko,макь
61,Geschmack::N,dasta,тӏин
62,Geschmack::N,dasta,тӏааьн
63,Geruch::N,usain,кьанкь
64,Schlaf::N,lo,шану
65,Traum::N,amets,макӏру
66,Himmel::N,zeru,ссав
67,Sonne::N,eguzki,баргъ
68,Mond::N,ilargi,барз
69,Stern::N,izar,цӏуку
70,Luft::N,aire,гьава
71,Wind::N,haize,марч
72,Welle::N,uhin,щатӏи
73,Welle::N,olatu,щатӏи
74,Wasser::N,ur,щин
75,Stein::N,harri,чару
76,Boden::N,lur,аьрщи
77,Boden::N,zoru,аьрщи
78,Erde::N,lur,аьрщи
79,Staub::N,hauts,ххит
80,Rauch::N,ke,пуркӏу
81,Funke::N,zirta,пиягь
82,Funke::N,txinparta,пиягь
83,Feuer::N,su,цӏу
84,Licht::N,argi,чани
85,Schatten::N,itzal,ххют
86,Schatten::N,geriza,ххют
87,Wetter::N,eguraldi,гьава
88,Nebel::N,laino,шархь ттурлу
89,Wolke::N,hodei,ттурлу
90,Regen::N,euri,гъарал
91,Schnee::N,elur,марххала
92,Eis::N,horma,микӏ
93,Frost::N,izotzaldi,дяркъу
94,Frost::N,izotzaldi,замгьар
95,Kälte::N,hotz,дяркъу
96,Hitze::N,bero,кӏиришиву
97,Raureif::N,antzigar,сил
98,Raureif::N,antzigar,бурса
99,Regenbogen::N,ostadar,ссурул ккуртта
100,Regenbogen::N,ortzadar,ссурул ккуртта
101,Donner::N,ostots,къув
102,Donner::N,ihurtzuri,къув
103,Strömung::N,laster,экьинанаву
104,Tropfen::N,xorta,кӏунтӏ
105,Schaum::N,bits,хьама
106,Schmutz::N,lohi,кьяркьи
107,Schmutz::N,zikin,кьяркьи
108,See::N,laku,бяр
109,See::N,aintzira,бяр
110,Sumpf::N,zingira,кунцӏа
111,Moor::N,zohikaztegi,
112,Wiese::N,larre,кьан
113,Wiese::N,belardi,кьан
114,Wald::N,baso,вацӏа
115,Wald::N,oihan,вацӏа
116,Hügel::N,muino,бакӏу
117,Hügel::N,pentoka,бакӏу
118,Anhöhe::N,garai,
119,Anhöhe::N,goragune,
120,Berg::N,mendi,зунтту
121,Gipfel::N,gain,мицӏ
122,Gipfel::N,tontor,мицӏ
123,Höhle::N,kobazulo,нух
124,Abhang::N,aldapa,сун
125,Quelle::N,iturri,дайдихьу
126,Quelle::N,iturri,бакӏ
127,Quelle::N,iturbegi,дайдихьу
128,Quelle::N,iturbegi,бакӏ
129,Bach::N,lats,чӏрир нех
130,Bach::N,erreka,чӏрир нех
131,Fluss::N,ibai,нех
132,Fluss::N,uhaitz,нех
133,Ufer::N,bazter,зума
134,Küste::N,itsasalde,зумаинхалу
135,Küste::N,itsasalde,зуманицӏалу
136,Festland::N,lehor,кьири
137,Meer::N,itsaso,хьхьири
138,Bucht::N,golko,
139,Insel::N,irla,жазира
140,Insel::N,uharte,жазира
141,Blume::N,lili,тӏутӏи
142,Gras::N,belar,уртту
143,Wurzel::N,zuztar,мархха
144,Wurzel::N,sustrai,мархха
145,Baum::N,zuhaitz,мурхь
146,Stamm::N,enbor,ттарцӏ
147,Rinde::N,azal,ккамара
148,Ast::N,adar,матӏи
149,Zweig::N,abar,къяртта
150,Blatt::N,hosto,чӏапӏи
151,Birke::N,urki,кӏялахӏи
152,Birke::N,urki,кӏялахӏилул мурхь
153,Kiefer[Baum]::N,ler,ттар
154,Kiefer[Baum]::N,ler,ттарлил мурхь
155,Weide[Baum]::N,zume,щавщи
156,Weide[Baum]::N,sahats,щавщи
157,Tanne::N,izei,ттарлил мурхь
158,Horn::N,adar,хъи
159,Feder::N,luma,лелуххул тӏиму
160,Feder::N,hegaki,лелуххул тӏиму
161,Fell::N,ile,бурчу
162,Fell::N,larru,бурчу
163,Flügel::N,hego,хъа
164,Flügel::N,hego,ххурупӏайрал тӏиму
165,Klaue::N,atzapar,михь
166,Kralle::N,erpe,ххяппа
167,Kralle::N,atzapar,ххяппа
168,Schwanz::N,isats,магъ
169,Schwanz::N,buztan,магъ
170,Ei::N,arrautza,ккунук
171,Nest::N,habia,кюру
172,Bau::N,ohantze,цукъуккутӏ
173,Tier::N,abere,хӏайван
174,Tier::N,piztia,хӏайван
175,Herde::N,saldo,газу
176,Herde::N,abere talde,газу
177,Kuh::N,behi,оьл
178,Bulle::N,zezen,ниц
179,Pferd::N,zaldi,чу
180,Schaf::N,ardi,тта
181,Schwein::N,urde,дунгъуз
182,Schwein::N,txerri,дунгъуз
183,Hund::N,txakur,ккаччи
184,Katze::N,katu,ччиту
185,Bär::N,hartz,цуша
186,Eichhörnchen::N,urtxintxa,бюрхттукку
187,Elch::N,altze,ниц-бюрин
188,Fuchs::N,azeri,цулчӏа
189,Fuchs::N,azeri,куча цулчӏа
190,Hase::N,erbi,бюрх
191,Maus::N,sagu,кӏулу
192,Wolf::N,otso,барцӏ
193,Vogel::N,txori,лелуххи
194,Vogel::N,hegazti,лелуххи
195,Schwarm::N,aldra,гьухъала
196,Huhn::N,oilo,аьнакӏи
197,Hahn::N,oilar,ажари
198,Gans::N,antzara,къаз
199,Adler::N,arrano,барзу
200,Ente::N,ahate,урдак
201,Eule::N,hontza,ису
202,Eule::N,hontza,ччиккумяв
203,Kranich::N,kurrilo,кьурукь
204,Krähe::N,bele,хъатӏу
205,Kuckuck::N,kuku,ччикку
206,Schwan::N,beltxarga,урттил къаз
207,Fisch::N,arrain,чавахъ
208,Barsch::N,perka,
209,Hecht::N,lutxo,
210,Schlange[Tier]::N,suge,шатта
211,Wurm::N,har,кьюнукьай шатта
212,Spinne::N,armiarma,ххялцу
213,Ameise::N,inurri,митӏикьукьу
214,Laus::N,zorri,
215,Mücke::N,eltxo,мичӏак
216,Fliege::N,euli,зимиз
217,Schmetterling::N,pinpirin,чӏимучӏали
218,Schmetterling::N,tximeleta,чӏимучӏали
219,Beere::N,baia,хӏаллил ахъулсса
220,Apfel::N,sagar,гьивч
221,Pilz::N,onddo,ттуккул иис
222,Pilz::N,perretxiko,ттуккул иис
223,Zwiebel::N,tipula,лаччул чсмусул бакӏ
224,Saat::N,haziak,гьанна
225,Korn::N,ale,къама
226,Korn::N,pikor,къама
227,Heu::N,belar ondu,ххулув
228,Schale::N,azal,ккиртту
229,Grube::N,hobi,кӏаланг
230,Falle::N,harrapagailu,къатӏа
231,Schlinge::N,bilur,хӏатӏ
