,Concept_ID,it,kn
0,Auge::N,occhio,ಕಣ್ಣು
1,Ohr::N,orecchio,ಕಿವಿ
2,Nase::N,naso,ಮೂಗು
3,Mund::N,bocca,ಬಾಯಿ
4,Zahn::N,dente,ಹಲ್ಲು
5,Zunge::N,lingua,ನಾಲಿಗೆ
6,Lippe::N,labbro,ತುಟಿ
7,Wange::N,guancia,ಗಲ್ಲ
8,Gesicht::N,viso,ಮುಖ
9,Gesicht::N,faccia,ಮುಖ
10,Stirn::N,fronte,ಹಣೆ
11,Haar::N,capello,ಕೂದಲು
12,Schnurrbart::N,baffi,ಮೀಸೆ
13,Schnurrbart::N,mustacchi,ಮೀಸೆ
14,Bart::N,barba,ಗಡ್ಡ
15,Kinn::N,mento,ಗದ್ದ
16,Kiefer[Anatomie]::N,mascella,ದವಡೆ
17,Kehle::N,gola,ಗಂಟಲು
18,Hals::N,collo,ಕೊರಳು
19,Genick::N,nuca,ಹಿಂಗತ್ತು
20,Kopf::N,capo,ತಲೆ
21,Kopf::N,testa,ತಲೆ
22,Rücken::N,dorso,ಬೆನ್ನು
23,Rücken::N,schiena,ಬೆನ್ನು
24,Bauch::N,ventre,ಹೊಟ್ಟೆ
25,Nabel::N,ombelico,ಹೊಕ್ಕುಳು
26,Busen::N,seno,ಸ್ತನ
27,Brust::N,petto,ಎದೆ
28,Schulter::N,spalla,ಭುಜ
29,Arm::N,braccio,ತೋಳು
30,Ellenbogen::N,gomito,ಮೊಣಕೈ
31,Hand::N,mano,ಕೈ
32,Handfläche::N,palma,ಅಂಗೈ
33,Finger::N,dito,ಕೈಬೆರಳು
34,Fingernagel::N,unghia,ಉಗುರು
35,Nagel[Anatomie]::N,unghia,ಉಗುರು
36,Zeh::N,dito del piede,ಕಾಲ್ಬೆರಳು
37,Fuß::N,piede,ಪಾದ
38,Ferse::N,tallone,ಹಿಮ್ಮಡಿ
39,Ferse::N,calcagno,ಹಿಮ್ಮಡಿ
40,Knie::N,ginocchio,ಮಂಡಿ
41,Oberschenkel::N,fèmore,ತೊಡೆ
42,Bein::N,gamba,ಕಾಲು
43,Körper::N,corpo,ದೇಹ
44,Haut::N,pelle,ಚರ್ಮ
45,Blut::N,sangue,ರಕ್ತ
46,Ader::N,vena,ನರ
47,Sehne::N,tèndine,ನರ
48,Knochen::N,osso,ಮೂಳೆ
49,Gehirn::N,cervello,ಮಿದುಳು
50,Herz::N,cuore,ಹೃದಯ
51,Magen::N,stòmaco,ಉದರ
52,Leber::N,fegato,ಯಕೃತ್ತು
53,Atem::N,fiato,ಉಸಿರು
54,Atem::N,respiro,ಉಸಿರು
55,Hunger::N,fame,ಹಸಿವು
56,Träne::N,làcrima,ಕಣ್ಣೀರು
57,Geschmack::N,gusto,ರುಚಿ
58,Geschmack::N,sapore,ರುಚಿ
59,Geruch::N,odore,ವಾಸನೆ
60,Schlaf::N,sonno,ನಿದ್ರೆ
61,Traum::N,sogno,ಕನಸು
62,Himmel::N,cielo,ಬಾನು
63,Sonne::N,sole,ಸೂರ್ಯ
64,Mond::N,luna,ಚಂದ್ರ
65,Stern::N,stella,ಚುಕ್ಕಿ
66,Luft::N,aria,ವಾಯು
67,Wind::N,vento,ಗಾಳಿ
68,Welle::N,onda,ಅಲೆ
69,Wasser::N,acqua,ನೀರು
70,Stein::N,sasso,ಕಲ್ಲು
71,Stein::N,pietra,ಕಲ್ಲು
72,Boden::N,suolo,ನೆಲ
73,Boden::N,terreno,ನೆಲ
74,Erde::N,terra,ಭೂಮಿ
75,Staub::N,polvere,ದೂಳು
76,Rauch::N,fumo,ಹೊಗೆ
77,Funke::N,scintilla,ಕಿಡಿ
78,Feuer::N,fuoco,ಬೆಂಕಿ
79,Licht::N,luce,ಬೆಳಕು
80,Schatten::N,ombra,ನೆರಳು
81,Wetter::N,tempo,ಹವ
82,Nebel::N,nebbia,ಮಂಜು
83,Wolke::N,nube,ಮೋಡ
84,Wolke::N,nùvola,ಮೋಡ
85,Regen::N,pioggia,ಮಳೆ
86,Schnee::N,neve,ಹಿಮ
87,Eis::N,ghiaccio,ಮಂಜುಗಡ್ಡೆ
88,Frost::N,gelo,ಮಂಜು
89,Kälte::N,freddo,ಹಿಮ
90,Hitze::N,caldo,ಉಷ್ಣ
91,Hitze::N,calura,ಉಷ್ಣ
92,Raureif::N,brina,ಇಬ್ಬನಿ
93,Regenbogen::N,arcobaleno,ಇಂದ್ರಚಾಪ
94,Donner::N,tuono,ಗುಡುಗು
95,Strömung::N,corrente,ಪ್ರವಾಹ
96,Tropfen::N,goccia,ತೊಟ್ಟು
97,Schaum::N,spuma,ನೊರೆ
98,Schaum::N,schiuma,ನೊರೆ
