,Concept_ID,no,ca
0,Auge::N,øye,ull
1,Ohr::N,øre,orella
2,Nase::N,nese,nas
3,Mund::N,munn,boca
4,Zahn::N,tann,dent
5,Zunge::N,tunge,llēngua
6,Lippe::N,leppe,llavi
7,Wange::N,kinn,galta
8,Gesicht::N,fjes,cara
9,Gesicht::N,ansikt,cara
10,Stirn::N,panne,front
11,Haar::N,hår,cabēll
12,Schnurrbart::N,bart,bigoti
13,Bart::N,skjegg,barba
14,Kinn::N,hake,mentó
15,Kinn::N,hake,barbeta
16,Kiefer[Anatomie]::N,kjeve,queix
17,Kiefer[Anatomie]::N,kjeve,mandíbula
18,Kehle::N,strupe,gola
19,Kehle::N,strupe,gorja
20,Hals::N,hals,coll
21,Genick::N,nakke,nuca
22,Kopf::N,hode,cap
23,Rücken::N,rygg,esquena
24,Bauch::N,buk,panxa
25,Bauch::N,mage,panxa
26,Nabel::N,navle,llombrígol
27,Busen::N,barm,pit
28,Busen::N,barm,mama
29,Brust::N,bryst,pit
30,Schulter::N,skulder,espatlla
31,Arm::N,arm,braç
32,Ellenbogen::N,albue,colze
33,Hand::N,hånd,mà
34,Handfläche::N,håndflate,palma
35,Finger::N,finger,dit
36,Fingernagel::N,fingernegl,ungla
37,Nagel[Anatomie]::N,negl,ungla
38,Zeh::N,tå,dit del peu
39,Fuß::N,fot,peu
40,Ferse::N,hæl,taló
41,Knie::N,kne,genoll
42,Oberschenkel::N,lår,cuixa
43,Bein::N,bein,cama
44,Körper::N,kropp,cos
45,Körper::N,legeme,cos
46,Haut::N,hud,pell
47,Haut::N,skinn,pell
48,Blut::N,blod,sang
49,Ader::N,åre,vena
50,Sehne::N,sene,tendó
51,Knochen::N,bein,os
52,Knochen::N,knokkel,os
53,Gehirn::N,hjerne,cervell
54,Herz::N,hjerte,cor
55,Magen::N,mage,estómac
56,Leber::N,lever,fetge
57,Atem::N,pust,alè
58,Atem::N,pust,hàlit
59,Hunger::N,sult,fam
60,Hunger::N,sult,gana
61,Träne::N,tåre,llàgrima
62,Geschmack::N,smak,gust
63,Geschmack::N,smak,sabor
64,Geruch::N,lukt,olor
65,Schlaf::N,søvn,son
66,Traum::N,drøm,somni
67,Himmel::N,himmel,celm
68,Sonne::N,sol,sol
69,Mond::N,måne,lluna
70,Stern::N,stjerne,estel
71,Stern::N,stjerne,estrella
72,Luft::N,luft,aire
73,Wind::N,vind,vent
74,Welle::N,bølge,ona
75,Wasser::N,vann,āigua
76,Stein::N,stein,pedra
77,Boden::N,bakke,sòl
78,Erde::N,jord,terra
79,Staub::N,støv,pols
80,Rauch::N,røyk,fum
