,Concept_ID,ml,ba
0,Auge::N,കണ്ണ്,күҙ
1,Ohr::N,ചെവി,ҡолаҡ
2,Nase::N,മൂക്ക്,танау
3,Mund::N,വായ,ауыҙ
4,Zahn::N,പല്ല്,теш
5,Zunge::N,നാക്ക്,тел
6,Lippe::N,ചുണ്ട്,ирен
7,Wange::N,കവിൾത്തടം,яцаҡтар
8,Gesicht::N,മുഖം,бит
9,Stirn::N,നെറ്റി,маңлай
10,Haar::N,തലമുടി,сәс
11,Schnurrbart::N,മീശ,мылтыҡ
12,Bart::N,താടിരോമം,һаҡал
13,Kinn::N,താടി,эйэк
14,Kiefer[Anatomie]::N,താടിയെല്ല്,яңаҡ һөйәге
15,Kehle::N,കണ്ഠനാളം,тамаҡ
16,Hals::N,കഴുത്ത്,муйын
17,Genick::N,പിടലി,соңҡа
18,Kopf::N,തല,баш
19,Rücken::N,മുതുക്,арҡа
20,Bauch::N,നയറ്,ҡорһаҡ
21,Nabel::N,നാഭി,кендек
22,Busen::N,സ്തനം,күкрәк
23,Brust::N,സ്തനം,түш
24,Schulter::N,തോൾ,яурын
25,Arm::N,കൈ,ҡул
26,Ellenbogen::N,കൈമുട്ട്,терһәк
27,Hand::N,കൈ,ҡул
28,Hand::N,കൈ,ҡул суғы
29,Handfläche::N,ഉള്ളം കൈ,ус төбө
30,Finger::N,വിരൽ,бармаҡ
31,Fingernagel::N,നഖം,тырнаҡ
32,Nagel[Anatomie]::N,നഖം,тырнаҡ
33,Zeh::N,കാൽവിരൽ,бармаҡ
34,Fuß::N,കാൽപ്പാദം,табан
35,Ferse::N,ഉപ്പൂറ്റി,үксә
36,Knie::N,കാൽമുട്ട്,тубыҡ
37,Oberschenkel::N,തുട,сандыр
38,Bein::N,കാൽ,аяҡ
39,Körper::N,ശരീരം,тән
40,Haut::N,ചർമ്മം,тире
41,Blut::N,രക്തം,ҡан
42,Ader::N,ഞരമ്പ്,тамыр
43,Sehne::N,സ്നായു,һеңер
44,Sehne::N,സ്നായു,тарамыш
45,Knochen::N,അസ്ഥി,һойәк
46,Gehirn::N,തലച്ചോറ്,мейе
47,Herz::N,ഹൃദയം,йорәк
48,Magen::N,വയർ,ашҡаҙан
49,Leber::N,കരൾ,бауыр
50,Atem::N,ശ്വാസം,һулыш
51,Hunger::N,വിശപ്പ്,аслыҡ
52,Träne::N,കണ്ണീർ,күҙ иәше
53,Geschmack::N,രുചി,тәм
54,Geruch::N,ഗന്ധം,еҫ
55,Schlaf::N,ഉറകും,йоҡлау
56,Traum::N,സ്വപ്നം,төш
57,Himmel::N,ആകാശം,күк
58,Sonne::N,സൂര്യൻ,ҡояш
59,Mond::N,ചന്ദ്രൻ,ай
60,Stern::N,നക്ഷത്രം,йондоҙ
61,Luft::N,കാറ്റ്,һауа
62,Wind::N,കാറ്റ്,ел
63,Welle::N,തിരമാല,тулҡын
64,Wasser::N,വെള്ളം,һыу
65,Stein::N,ശില,таш
66,Stein::N,കല്ല്,таш
67,Boden::N,തറ,тупраҡ
68,Boden::N,നിലം,тупраҡ
69,Erde::N,മണ്ണ്,балсҡ
70,Staub::N,പൊടി,туҙан
71,Rauch::N,പുക,төтөн
72,Funke::N,തീപ്പൊരി,осҡон
73,Feuer::N,തീ,ут
74,Licht::N,വിളക്ക്,яҡтылыҡ
75,Licht::N,സൂര്യപ്രകാശം,яҡтылыҡ
76,Schatten::N,തണൽ,күләгә
77,Wetter::N,കാലാവസ്ഥ,һауа торошо
78,Nebel::N,മൂടൽമഞ്ഞ്,төман
79,Wolke::N,മേഘം,болот
80,Regen::N,മഴ,ямғыр
81,Schnee::N,മഞ്ഞ്,ҡар
82,Eis::N,ഐസ്,боҙ
83,Frost::N,മൂടൽമഞ്ഞ്,һалҡын
84,Kälte::N,തണുപ്പ്,һыуыҡ
85,Hitze::N,ചൂട്,томра
