,Concept_ID,ml,ro
0,Auge::N,കണ്ണ്,ochi
1,Ohr::N,ചെവി,ureche
2,Nase::N,മൂക്ക്,nas
3,Mund::N,വായ,gură
4,Zahn::N,പല്ല്,dinte
5,Zunge::N,നാക്ക്,limbă
6,Lippe::N,ചുണ്ട്,buză
7,Wange::N,കവിൾത്തടം,bucă
8,Wange::N,കവിൾത്തടം,obraz
9,Gesicht::N,മുഖം,față
10,Gesicht::N,മുഖം,figură
11,Stirn::N,നെറ്റി,frunte
12,Haar::N,തലമുടി,păr
13,Schnurrbart::N,മീശ,mustață
14,Bart::N,താടിരോമം,barbă
15,Kinn::N,താടി,bărbie
16,Kiefer[Anatomie]::N,താടിയെല്ല്,falcă
17,Kehle::N,കണ്ഠനാളം,beregată
18,Hals::N,കഴുത്ത്,gât
19,Genick::N,പിടലി,ceafă
20,Kopf::N,തല,cap
21,Rücken::N,മുതുക്,dos
22,Rücken::N,മുതുക്,spate
23,Rücken::N,മുതുക്,spinare
24,Bauch::N,നയറ്,burtă
25,Bauch::N,നയറ്,pântece
26,Nabel::N,നാഭി,buric
27,Busen::N,സ്തനം,sân
28,Brust::N,സ്തനം,piept
29,Schulter::N,തോൾ,umăr
30,Schulter::N,തോൾ,spate
31,Arm::N,കൈ,braț
32,Ellenbogen::N,കൈമുട്ട്,cot
33,Hand::N,കൈ,mână
34,Handfläche::N,ഉള്ളം കൈ,palmă
35,Finger::N,വിരൽ,deget
36,Fingernagel::N,നഖം,unghie
37,Nagel[Anatomie]::N,നഖം,unghie
38,Zeh::N,കാൽവിരൽ,deget de la picior
39,Fuß::N,കാൽപ്പാദം,picior
40,Ferse::N,ഉപ്പൂറ്റി,călcâi
41,Knie::N,കാൽമുട്ട്,genunchi
42,Oberschenkel::N,തുട,coapsă
43,Bein::N,കാൽ,picior
44,Körper::N,ശരീരം,corp
45,Haut::N,ചർമ്മം,piele
46,Blut::N,രക്തം,sânge
47,Ader::N,ഞരമ്പ്,vână
48,Ader::N,ഞരമ്പ്,arteră
49,Sehne::N,സ്നായു,tendon
50,Knochen::N,അസ്ഥി,os
51,Gehirn::N,തലച്ചോറ്,creier
52,Herz::N,ഹൃദയം,inimă
53,Magen::N,വയർ,stomac
54,Leber::N,കരൾ,ficat
55,Atem::N,ശ്വാസം,răsuflare
56,Atem::N,ശ്വാസം,respirație
57,Hunger::N,വിശപ്പ്,foame
58,Träne::N,കണ്ണീർ,lacrimă
59,Geschmack::N,രുചി,gust
60,Geruch::N,ഗന്ധം,miros
61,Schlaf::N,ഉറകും,somn
62,Traum::N,സ്വപ്നം,vis
63,Himmel::N,ആകാശം,cer
64,Sonne::N,സൂര്യൻ,soare
65,Mond::N,ചന്ദ്രൻ,lună
66,Stern::N,നക്ഷത്രം,stea
67,Luft::N,കാറ്റ്,aer
68,Wind::N,കാറ്റ്,vânt
69,Welle::N,തിരമാല,val
70,Welle::N,തിരമാല,undă
71,Wasser::N,വെള്ളം,apă
72,Stein::N,ശില,piatră
73,Stein::N,കല്ല്,piatră
74,Boden::N,തറ,sol
75,Boden::N,തറ,pământ
76,Boden::N,നിലം,sol
77,Boden::N,നിലം,pământ
78,Erde::N,മണ്ണ്,pământ
79,Staub::N,പൊടി,praf
80,Rauch::N,പുക,fum
81,Funke::N,തീപ്പൊരി,scânteie
82,Feuer::N,തീ,foc
83,Licht::N,വിളക്ക്,lumină
84,Licht::N,സൂര്യപ്രകാശം,lumină
85,Schatten::N,തണൽ,umbră
86,Wetter::N,കാലാവസ്ഥ,timp
87,Wetter::N,കാലാവസ്ഥ,vreme
88,Nebel::N,മൂടൽമഞ്ഞ്,ceață
89,Nebel::N,മൂടൽമഞ്ഞ്,negură
90,Wolke::N,മേഘം,nor
91,Regen::N,മഴ,ploaie
92,Schnee::N,മഞ്ഞ്,zăpadă
93,Eis::N,ഐസ്,gheață
94,Frost::N,മൂടൽമഞ്ഞ്,ger
95,Kälte::N,തണുപ്പ്,frig
96,Hitze::N,ചൂട്,arșiță
97,Hitze::N,ചൂട്,căldură
98,Raureif::N,കോടമഞ്ഞ്,chiciură
99,Regenbogen::N,മഴവില്ല്,curcubeu
100,Donner::N,ഇടി,tunet
101,Strömung::N,പ്രവാഹം,curent
102,Tropfen::N,തുള്ളി,picătură
103,Schaum::N,നുര,spumă
104,Schmutz::N,അഴുക്ക്,murdărie
105,See::N,തടാകം,lac
106,Sumpf::N,ചതുപ്പുനിലം,mlaștină
107,Moor::N,പാഴ്നിലം,bărăgan
108,Wiese::N,പുൽത്തകിടി,fânaț
109,Wiese::N,പുൽത്തകിടി,livadă
110,Wald::N,വനം,codru
111,Wald::N,വനം,pădure
112,Wald::N,കാട്,codru
113,Wald::N,കാട്,pădure
114,Hügel::N,കുന്ന്,deal
115,Hügel::N,കുന്ന്,movilă
116,Anhöhe::N,ഉയർന്ന ഭൂമി,deal
117,Anhöhe::N,ഉയർന്ന ഭൂമി,ridicătură
118,Berg::N,പർവ്വതം,munte
119,Gipfel::N,ഉച്ചകോടി,pisc
120,Höhle::N,ഗുഹ,peșteră
121,Abhang::N,ചരിവ്,pantă
122,Abhang::N,ചരിവ്,versant
123,Quelle::N,ഉറവിടം,izvor
124,Bach::N,അരുവി,gârlă
125,Fluss::N,നദി,râu
126,Fluss::N,നദി,fluviu
127,Ufer::N,തീരം,mal
128,Ufer::N,തീരം,țărm
129,Küste::N,കടൽത്തീരം,coastă
130,Festland::N,കര,uscat
131,Meer::N,കടൽ,mare
132,Bucht::N,ഉൾക്കടല്,golf
133,Insel::N,ദ്വീപ്,insulă
134,Blume::N,പൂവ്,floare
135,Gras::N,പുല്ല്,iarbă
136,Wurzel::N,വേര്,rădăcină
137,Baum::N,മരം,copac
138,Baum::N,മരം,arbore
139,Stamm::N,തായ്ത്തടി,tulpină
140,Rinde::N,പട്ട,scoarță
141,Ast::N,ശാഖ,cracă
142,Ast::N,ശാഖ,creangă
143,Zweig::N,ശാഖ,ramură
144,Zweig::N,ശാഖ,creangă
145,Blatt::N,ഇല,frunză
146,Birke::N,പൂവരശ്,mesteacăn
147,Kiefer[Baum]::N,പൈൻമരം,pin
148,Weide[Baum]::N,വില്ലോ,salcie
149,Weide[Baum]::N,വില്ലോ,răchită
150,Tanne::N,ദേവദാരു,brad
151,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,corn
152,Feder::N,തൂവൽ,pană
153,Fell::N,മൃദുരോമം,piele
154,Flügel::N,ചിറക്,aripă
155,Klaue::N,നഖം,gheară
156,Kralle::N,നഖം,labă
157,Kralle::N,നഖം,gheară
158,Schwanz::N,വാൽ,coadă
159,Ei::N,മുട്ട,ou
160,Nest::N,കൂട്,cuib
161,Bau::N,മാളം,bârlog
162,Bau::N,മാളം,vizuină
163,Tier::N,മൃഗം,animal
164,Herde::N,കൂട്ടം,turmă
165,Herde::N,കൂട്ടം,cireadă
166,Kuh::N,പശു,vacă
167,Bulle::N,കാള,taur
168,Pferd::N,കുതിര,cal
169,Schaf::N,ആട്,oaie
170,Schwein::N,പന്നി,porc
171,Hund::N,നായ്,câine
172,Katze::N,പൂച്ച,pisică
173,Bär::N,കരടി,urs
174,Eichhörnchen::N,അണ്ണാൻ,veveriță
175,Elch::N,കടമാന്,elan
176,Fuchs::N,കുറുക്കൻ,vulpe
177,Hase::N,മുയൽ,iepure
178,Maus::N,ചുണ്ടലി,șoarece
179,Wolf::N,ചെന്നായ,lup
180,Vogel::N,പക്ഷി,pasăre
181,Schwarm::N,കൂട്ടം,cârd
182,Huhn::N,കോഴി,găină
183,Hahn::N,പൂവൻകോഴി,cocoș
184,Gans::N,അരയന്നം,gâscă
185,Adler::N,കഴുകൻ,vultur
186,Ente::N,താറാവ്,rață
187,Eule::N,മൂങ്ങ,bufniță
188,Kranich::N,കൊക്ക്,cocor
189,Krähe::N,കാക്ക,cioară
190,Kuckuck::N,കുയിൽ,cuc
191,Schwan::N,അരയന്നം,lebădă
192,Fisch::N,മത്സ്യം,pește
193,Barsch::N,ഒരിനം മത്സ്യം,biban
194,Hecht::N,ഒരു മത്സ്യം,știucă
195,Schlange[Tier]::N,പാമ്പ്,șarpe
196,Wurm::N,വിര,vierme
197,Spinne::N,ചിലന്തി,păianjen
198,Ameise::N,ഉറുമ്പ്,furnică
199,Laus::N,പേന്,păduche
200,Mücke::N,മശകം,țânțar
201,Fliege::N,ഈച്ച,muscă
202,Schmetterling::N,ചിത്രശലഭം,fluture
203,Beere::N,ബെറി,boabă
204,Apfel::N,ആപ്പിൾ,măr
205,Pilz::N,കൂൺ,burete
206,Pilz::N,കൂൺ,ciupercă
207,Zwiebel::N,സവാള,ceapă
208,Saat::N,വിത്ത്,semănătură
209,Korn::N,ധാന്യം,grâu
210,Heu::N,വയ്ക്കോൽ,fân
211,Schale::N,തൊലി,coajă
212,Grube::N,കുഴി,groapă
213,Falle::N,കെണി,cursă
214,Falle::N,കെണി,capcană
215,Schlinge::N,കുടുക്ക്,laț
216,Spur::N,ചുവട്,dâră
217,Asche::N,ചാരം,cenușă
218,Dreck::N,അഴുക്ക്,noroi
219,Dreck::N,അഴുക്ക്,murdărie
220,Eisen::N,ഇരുമ്പ്,fier
221,Gold::N,സ്വർണ്ണം,aur
222,Silber::N,വെള്ളി,argint
223,Kohle::N,കൽക്കരി,cărbune
224,Glas::N,ഗ്ലാസ്,sticlă
225,Lehm::N,കളിമണ്ണ്,lut
226,Lehm::N,കളിമണ്ണ്,humă
227,Sand::N,മണൽ,nisip
228,Mensch::N,മനുഷ്യർ,om
229,Mensch::N,മനുഷ്യർ,persoană
230,Mann::N,പുരുഷൻ,om
231,Mann::N,പുരുഷൻ,bărbat
232,Frau::N,സ്ത്രീ,femeie
233,Kind::N,കുഞ്ഞ്,copil
234,Junge::N,ആൺകുട്ടി,băiat
235,Junge::N,ആൺകുട്ടി,flăcău
236,Mädchen::N,പെൺകുട്ടി,fată
237,Familie::N,കുടുംബം,familie
238,Großvater::N,അപ്പൂപ്പൻ,bunic
239,Großvater::N,അപ്പൂപ്പൻ,tată mare
240,Großmutter::N,അമ്മുമ്മ,bunică
241,Großmutter::N,അമ്മുമ്മ,mamă mare
242,Eltern::N,മാതാപിതാക്കള്,părinți
243,Vater::N,അച്ഛൻ,tată
244,Vater::N,അച്ഛൻ,părinte
245,Mutter::N,അമ്മ,mamă
246,Sohn::N,മകൻ,fiu
247,Sohn::N,മകൻ,fecior
248,Tochter::N,മകൾ,fiică
249,Bruder::N,ചേട്ടൻ,frate
250,Bruder::N,അനിയൻ,frate
251,Schwester::N,ചേച്ചി,soră
252,Schwester::N,അനിയത്തി,soră
253,Onkel::N,അമ്മാവൻ,unchi
254,Tante::N,മാമി,mătușă
255,Ehemann::N,ഭർത്താവ്,soț
256,Ehemann::N,ഭർത്താവ്,bărbat
257,Ehefrau::N,ഭാര്യ,soție
258,Freude::N,ആഹ്ലാദം,bucurie
259,Gelächter::N,ചിരിയുടെ ശബ്ദം,râset
260,Glück::N,സന്തോഷം,fericire
261,Glück::N,സന്തുഷ്ടി,fericire
262,Kummer::N,ശോകം,mâhnire
263,Wunsch::N,ആഗ്രഹം,dorință
264,Wunsch::N,ആഗ്രഹം,deziderat
265,Lust::N,ആഗ്രഹം,poftă
266,Lust::N,ആഗ്രഹം,înclinare
267,Geist::N,ചുറുചുറുക്ക്,duh
268,Geist::N,ചുറുചുറുക്ക്,minte
269,Geist::N,ചുറുചുറുക്ക്,suflet
270,Gedanke::N,ചിന്ത,gând
271,Gedanke::N,ചിന്ത,cuget
272,Gedächtnis::N,ഓർമ്മശക്തി,memorie
273,Verstand::N,മനസ്സ്,minte
274,Verstand::N,മനസ്സ്,intelect
275,Sinn::N,അർത്ഥം,sens
276,Sinn::N,അർത്ഥം,înțeles
277,Grund::N,കാരണം,cauză
278,Grund::N,കാരണം,pricină
279,Wahrheit::N,സത്യം,adevăr
280,Gespräch::N,സല്ലാപം,convorbire
281,Gespräch::N,സല്ലാപം,conversație
282,Märchen::N,യക്ഷിക്കഥ,basm
283,Märchen::N,യക്ഷിക്കഥ,poveste
284,Erzählung::N,കഥ,poveste
285,Nachricht::N,സന്ദേശം,veste
286,Neuigkeit::N,വാർത്ത,noutate
287,Neuigkeit::N,വാർത്ത,actualitate
288,Name::N,പേര്,nume
289,Rätsel::N,പ്രഹേളിക,ghicitoare
290,Rede::N,സംസാരം,discurs
291,Sprache::N,ഭാഷ,limbă
292,Sprache::N,ഭാഷ,limbaj
293,Stimme::N,സ്വരം,glas
294,Wort::N,വാക്ക്,cuvânt
295,Zeichen::N,സംജ്ഞ,semn
296,Zeichen::N,സംജ്ഞ,semnal
297,Ruf::N,വിളി,chemare
298,Lärm::N,ആരവം,zgomot
299,Lärm::N,ആരവം,tărăboi
300,Laut::N,ശബ്ദം,sunet
301,Ton::N,സ്വരഭേദം,ton
302,Lied::N,പാട്ട്,cântec
303,Ruhe::N,നിശ്ചലത,odihnă
304,Ruhe::N,നിശ്ചലത,liniște
305,Leute::N,ജനങ്ങൾ,lume
306,Leute::N,ജനങ്ങൾ,oameni
307,Volk::N,രാഷ്ടം,popor
308,Volk::N,രാഷ്ടം,națiune
309,Arbeit::N,ജോലി,lucru
310,Gast::N,അതിലി,musafir
311,Geschenk::N,സമ്മാനം,dar
312,Geschenk::N,സമ്മാനം,cadou
313,Spiel::N,കളി,joc
314,Gesellschaft::N,കൂട്ടായ്മ,societate
315,Hilfe::N,സഹായം,ajutor
316,Freund::N,സുഹൃത്ത്,amic
317,Freund::N,സുഹൃത്ത്,prieten
318,Kamerad::N,കൂട്ടാളി,tovarăș
319,Angelegenheit::N,കാര്യം,afacere
320,Anzahl::N,എണ്ണം,număr
321,Anzahl::N,എണ്ണം,cantitate
322,Art::N,തരം,fel
323,Art::N,തരം,specie
324,Stück::N,കഷണം,bucată
325,Teil::N,ഭാഗം,parte
326,Teil::N,ഭാഗം,porție
327,Hälfte::N,പകുതി,jumătate
328,Kreis::N,വൃത്തം,cerc
329,Kreuz::N,കുരിശടയാളം,cruce
330,Linie::N,വര,linie
331,Linie::N,രേഖ,linie
332,Strich::N,പക്ഷാഘാതം,linie
333,Strich::N,പക്ഷാഘാതം,trăsătură
334,Abstand::N,വിടവ്,distanță
335,Abstand::N,വിടവ്,depărtare
336,Entfernung::N,അകലം,distanță
337,Entfernung::N,അകലം,depărtare
338,Gegend::N,പ്രദേശം,regiune
339,Platz::N,ഇടം,loc
340,Ort::N,സ്ഥലം,loc
341,Seite::N,വശം,latură
342,Mitte::N,മധ്യസ്ഥാനം,centru
343,Gegenstand::N,സാധനം,obiect
344,Sache::N,വസ്തു,lucru
345,Sache::N,വസ്തു,chestie
346,Rand::N,തൊങ്ങൽ,bordură
347,Kante::N,അറ്റം,muchie
348,Kante::N,അറ്റം,bordură
349,Ecke::N,മൂല,colț
350,Spitze::N,അഗ്രം,vârf
351,Spitze::N,അഗ്രം,creștet
352,Ende::N,അവസാനം,capăt
353,Loch::N,ദ്വാരം,gaură
354,Winkel::N,കോൺ,colț
355,Muster::N,ക്രമം,desen
356,Größe::N,വലുപ്പം,mărime
357,Länge::N,നീളം,lungime
358,Höhe::N,ഉയരം,înălțime
359,Gewicht::N,കട്ടി,greutate
360,Menge::N,അളവ്,cantitate
361,Haufen::N,കൂമ്പാരം,grămadă
362,Reihe::N,വരി,șir
363,Reihe::N,വരി,rând
364,Boot::N,ബോട്ട്,barcă
365,Boot::N,ബോട്ട്,luntre
366,Ruder::N,പങ്കായം,vâslă
367,Ruder::N,പങ്കായം,lopată
368,Schlitten::N,ഉരുളില്ലാവണ്ടി,sanie
369,Ski::N,ഹിമപാദുകം,schi
370,Lagerfeuer::N,തീ,foc de tabără
