,Concept_ID,tt,cv
0,Auge::N,күз,куҫ
1,Ohr::N,колак,хӑлха
2,Nase::N,борын,сӑмса
3,Mund::N,авыз,ҫӑвар
4,Mund::N,тамак,ҫӑвар
5,Zahn::N,теш,шӑл
6,Zunge::N,тел,чӗлхе
7,Lippe::N,ирен,тута
8,Wange::N,яңак,пит ҫӑмарти
9,Gesicht::N,йөз,пит
10,Gesicht::N,йөз,пит-куҫ
11,Stirn::N,маңгай,ҫамка
12,Haar::N,чәч,ҫӳҫ
13,Schnurrbart::N,мыек,усси
14,Bart::N,сакал,сухал
15,Kinn::N,ияк,янах
16,Kiefer[Anatomie]::N,казналык,янах
17,Kehle::N,тамак,пыр
18,Kehle::N,тамак,карланкӑ
19,Hals::N,бугаз,пыр
20,Genick::N,җилкә,ӗнсе
21,Kopf::N,баш,пуҫ
22,Rücken::N,сырт,ҫурӑм
23,Bauch::N,корсак,
24,Nabel::N,кендек,кӑвапа
25,Busen::N,түш,кӑкӑр
26,Brust::N,имчәк,умӗ
27,Brust::N,күкрәк,умӗ
28,Schulter::N,иңбаш,хул пуҫҫи
29,Schulter::N,кулбаш,хул пуҫҫи
30,Arm::N,кул,алӑ
31,Ellenbogen::N,терсәк,чавса
32,Hand::N,кул,алӑ сыппи
33,Handfläche::N,уч,ал лаппи
34,Finger::N,бармак,пӳрне
35,Fingernagel::N,тырнак,чӗрне
36,Nagel[Anatomie]::N,тырнак,чӗрне
37,Zeh::N,бармак,пӳрне
38,Fuß::N,табан,ура лаппи
39,Ferse::N,үкчә,кӗле
40,Knie::N,тез,чӗркуҫҫи
41,Oberschenkel::N,бот,пӗҫӗ
42,Bein::N,аяк,ура
43,Körper::N,тән,ӳт
44,Körper::N,тән,ӳт-пӳ
45,Körper::N,җисем,ӳт
46,Körper::N,җисем,ӳт-пӳ
47,Haut::N,тире,тир
48,Blut::N,кан,юн
49,Ader::N,тамыр,вена
50,Sehne::N,сеңер,шӑнӑр
51,Knochen::N,сөяк,шӑмӑ
52,Gehirn::N,ми,миме
53,Herz::N,йөрәк,чӗре
54,Magen::N,ашказаны,хырӑмлӑх
55,Leber::N,бавыр,пӗвер
56,Atem::N,сулыш,сывлав
57,Hunger::N,ачлык,выҫлӑх
58,Träne::N,яшь,куҫҫуль
59,Geschmack::N,тәм,техӗм
60,Geschmack::N,зәвык,техӗм
61,Geruch::N,ис,шӑршӑ
62,Schlaf::N,йокы,ыйхӑ
63,Traum::N,төш,тӗлӗк
64,Himmel::N,күк,пӗлӗт
65,Sonne::N,кояш,хӗвел
66,Mond::N,ай,уйӑх
67,Stern::N,йолдыз,ҫӑлтӑр
68,Luft::N,һава,сывлӑш
69,Wind::N,җил,ҫил
70,Welle::N,дулкын,хум
71,Wasser::N,су,шыв
72,Wasser::N,су,шыв-шур
73,Stein::N,таш,чул
74,Boden::N,туфрак,тӑпра
75,Erde::N,җир,ҫӗр
76,Staub::N,тузан,тусан
77,Rauch::N,төтен,тӗтӗм
78,Funke::N,очкын,хӗм
79,Feuer::N,ут,вут
80,Feuer::N,ут,ҫулӑм
81,Licht::N,якты,ҫутӑ
82,Schatten::N,күләгә,сулхӑн
83,Wetter::N,һава,ҫанталӑк
84,Nebel::N,томан,тӗтре
85,Wolke::N,болыт,пӗлӗт
86,Regen::N,яңгыр,ҫумӑр
87,Schnee::N,кар,юр
88,Eis::N,боз,пӑр
89,Frost::N,суык,сивӗ
90,Frost::N,салкын,сивӗ
91,Kälte::N,суык,сивӗ
92,Kälte::N,салкын,сивӗ
93,Hitze::N,эсселек,вӗри
94,Hitze::N,эсселек,шӑрӑх
95,Raureif::N,бәс,пас
96,Raureif::N,сыкы,пас
97,Regenbogen::N,салават күпере,асамат кӗперӗ
98,Donner::N,күкрәү,аслати
99,Strömung::N,агыш'агым,юхӑ
100,Tropfen::N,тамчы,тумлам
101,Schaum::N,күбек,кӑпӑк
102,Schmutz::N,пычрак,пылчӑк
103,See::N,күл,кӳлӗ
104,Sumpf::N,саз,шур
105,Sumpf::N,саз,шурлӑх
106,Moor::N,торфлык,торфлӑ шурлӑх
107,Wiese::N,болын,улӑх
108,Wiese::N,болын,ҫаран
109,Wald::N,урман,вӑрман
110,Hügel::N,калку,сӑрт
111,Hügel::N,калку,тӗмеске
112,Anhöhe::N,үр,сӑрт
113,Berg::N,тау,ту
114,Gipfel::N,оч,тӳпе
115,Höhle::N,мәгарә,ҫӗр хӑвӑлӗ
116,Abhang::N,кабырга,тӑвайкки
117,Quelle::N,чишмә,ҫӑл куҫ
118,Bach::N,елга,пӗчӗк шыв
119,Fluss::N,дәрья,юхан шыв
120,Ufer::N,су кырые,ҫыран
121,Küste::N,яр буе,тинӗс ҫыранӗ
122,Festland::N,коры җир,тип ҫӗр
123,Meer::N,диңгез,тинӗс
124,Bucht::N,бухта,тинӗс кукӑрӗ
125,Bucht::N,култык,тинӗс кукӑрӗ
126,Insel::N,атау,утрав
127,Insel::N,утрау,утрав
128,Blume::N,чәчкә,чечек
129,Gras::N,үлән,курӑк
130,Wurzel::N,тамыр,тымар
131,Baum::N,агач,йывӑҫ
132,Stamm::N,кәүсә,вулӑ
133,Rinde::N,кабык,хуйӑр
134,Ast::N,ботак,турат
135,Zweig::N,ботак,турат
136,Zweig::N,тармак,турат
137,Blatt::N,яфрак,ҫулҫӑ
138,Birke::N,каен,хурӑн
139,Kiefer[Baum]::N,нарат,хыр
140,Weide[Baum]::N,тал,хӑва
141,Tanne::N,чыршы,чӑрӑш
142,Horn::N,мөгез,мӑйрака
143,Feder::N,йон,тӗк
144,Fell::N,тире,ҫӑм
145,Flügel::N,канат,ҫунат
146,Klaue::N,тырнак,чӗрне
147,Kralle::N,тырнак,ура
148,Schwanz::N,койрык,хӳре
149,Ei::N,күкәй,ҫӑмарта
150,Ei::N,йомырка,ҫӑмарта
151,Nest::N,оя,йӑва
152,Bau::N,өн,йӗнӗ
153,Tier::N,хайван,выльӑх
154,Herde::N,көтү,кӗтӳ
155,Kuh::N,сыер,ӗне
156,Bulle::N,үгез,вӑкӑр
157,Pferd::N,ат,лаша
158,Schaf::N,сарык,сурӑх
159,Schwein::N,дуңгыз,сысна
160,Hund::N,эт,йытӑ
161,Katze::N,песи,кушак
162,Bär::N,аю,упа
163,Eichhörnchen::N,тиен,пакша
164,Elch::N,поши,пӑши
165,Fuchs::N,төлке,тилӗ
166,Hase::N,куян,куян
167,Hase::N,куян,мулкач
168,Maus::N,тычкан,шӑши
169,Wolf::N,бүре,кашкӑр
170,Vogel::N,кош,кайӑк
171,Vogel::N,кош,вӗҫен кайӑк
172,Schwarm::N,көтү,ушкӑн
173,Huhn::N,тавык,чӑх
174,Huhn::N,тавык,чӑхӑ
175,Hahn::N,әтәч,автан
176,Gans::N,каз,хур
177,Adler::N,каракош,ӑмӑрт кайӑк
178,Ente::N,үрдәк,кӑвакал
179,Eule::N,ябалак,тӑмана
180,Kranich::N,торна,тӑрна
181,Krähe::N,карга,ула курак
182,Kuckuck::N,күке,куккук
183,Kuckuck::N,кәккүк,куккук
184,Schwan::N,аккош,акӑш
185,Fisch::N,балык,пулӑ
186,Barsch::N,алабуга,уланкӑ
187,Hecht::N,чуртан,ҫӑрттан
188,Schlange[Tier]::N,елан,ҫӗлен
189,Wurm::N,корт,ӑман
190,Spinne::N,үрмәкүч,эрешмен
191,Ameise::N,кырмыска,кӑткӑ
192,Laus::N,бет,пыйтӑ
193,Mücke::N,черки,вӑрӑм туна
194,Mücke::N,озынборын,вӑрӑм туна
195,Fliege::N,чебен,шӑна
196,Schmetterling::N,күбәләк,лӗпӗш
197,Beere::N,җиләк,ҫырла
198,Apfel::N,алма,улма
199,Apfel::N,алма,пан улми
200,Pilz::N,гөмбә,кӑмпа
201,Zwiebel::N,суган,сухан
202,Zwiebel::N,суганбаш,сухан
203,Saat::N,орлык,вӑрӑ
204,Korn::N,иген,тӗшӗ
205,Korn::N,иген,пӗрчӗ
206,Korn::N,орлык,тӗшӗ
207,Korn::N,орлык,пӗрчӗ
208,Heu::N,печән,утӑ
209,Schale::N,кабык,хупӑ
210,Grube::N,баз,шӑтӑк
211,Grube::N,чокыр,шӑтӑк
212,Falle::N,тозак,тапӑ
213,Falle::N,тозак,капкӑн
214,Falle::N,капкын,тапӑ
215,Falle::N,капкын,капкӑн
216,Schlinge::N,элмәк,йӑлӑ
217,Spur::N,эз,йӗр
218,Asche::N,көл,кӗл
219,Dreck::N,пычрак,пылчӑк
220,Eisen::N,тимер,тимӗр
221,Gold::N,алтын,ылтӑн
222,Silber::N,көмеш,кӗмӗл
223,Kohle::N,күмер,кӑмрӑк
224,Glas::N,пыяла,кӗленче
225,Lehm::N,балчык,тӑм
226,Sand::N,ком,хӑйӑр
227,Mensch::N,адәм,ҫын
228,Mensch::N,адәм,этем
229,Mensch::N,инсан,ҫын
230,Mensch::N,инсан,этем
231,Mann::N,ир,ар
232,Frau::N,хатын,хӗрарӑм
233,Kind::N,бала,ача
234,Junge::N,малай,ача
235,Junge::N,малай,ар ҫын ача
236,Mädchen::N,кыз,хӗр ача
237,Familie::N,гаилә,ҫемье
238,Familie::N,гаилә,кил-йыш
239,Großvater::N,бабай,кукаҫи
240,Großmutter::N,әби,кукамай
241,Eltern::N,ата-ана,аҫа-ама
242,Vater::N,ата,атте
243,Mutter::N,ана,анне
244,Sohn::N,ул,ывӑл
245,Tochter::N,кыз,хӗр
246,Bruder::N,кардәш,ар тӑван
247,Schwester::N,апа,аппа
248,Schwester::N,апа,йӑмӑк
249,Schwester::N,сеңел,аппа
250,Schwester::N,сеңел,йӑмӑк
251,Onkel::N,дәдә,мучи
252,Onkel::N,дәдә,пичче
253,Onkel::N,дәдәй,мучи
254,Onkel::N,дәдәй,пичче
255,Tante::N,түти,аппа
256,Tante::N,тәтәй,аппа
257,Ehemann::N,ир,упӑшка
258,Ehefrau::N,хатын,арӑм
259,Freude::N,сөенеч,савӑнӑҫ
260,Freude::N,сөенеч,хаваслӑх
261,Gelächter::N,көлү,кулӑ
262,Gelächter::N,көлеш,кулӑ
263,Glück::N,бәхет,телей
264,Glück::N,бәхет,ӑраскал
265,Kummer::N,хәсрәт,хурлӑх
266,Wunsch::N,теләк,ӗмӗт
267,Wunsch::N,теләк,кӑмӑл
268,Lust::N,теләк,кӑмӑл
269,Lust::N,теләү,кӑмӑл
270,Geist::N,рух,чун-чӗм
271,Geist::N,рух,ыр-усал
272,Geist::N,рух,чун хавалӗ
273,Gedanke::N,уй,шухӑш
274,Gedanke::N,фикер,шухӑш
275,Gedächtnis::N,хәтер,ас
276,Verstand::N,акыл,ӑс
277,Verstand::N,акыл,ӑс-тӑн
278,Verstand::N,акыл,ӑс-хакӑл
279,Sinn::N,мәгънә,тупсӑм
280,Sinn::N,мәгънә,пӗлтерӗш
281,Grund::N,сәбәп,сӑлтав
282,Wahrheit::N,хак,чӑнлӑх
283,Gespräch::N,әңгәмә,калаҫу
284,Märchen::N,әкият,юмах
285,Erzählung::N,хикәя,акалав
286,Erzählung::N,хикәя,каласа пани
287,Nachricht::N,хәбәр,хыпар
288,Neuigkeit::N,яңалык,ҫӗнӗ хыпар
289,Name::N,исем,ят
290,Rätsel::N,табышмак,сутмалли юмах
291,Rede::N,нотык,сӑмах
292,Sprache::N,тел,чӗлхе
293,Stimme::N,тавыш,сасӑ
294,Wort::N,сүз,сӑмах
295,Zeichen::N,ишарә,паллӑ
296,Ruf::N,дәшү,йыхрав
297,Ruf::N,дәшү,чӗнӳ
298,Lärm::N,шау,шав
299,Laut::N,аваз,сасӑ
300,Ton::N,шалтырату,сасӑ
301,Lied::N,җыр,юрӑ
302,Ruhe::N,тынлык,канӑҫлӑх
303,Ruhe::N,тынлык,лӑпкӑлӑх
304,Leute::N,халык,ҫамрӑксем
305,Leute::N,халык,ҫамрӑк ҫынсем
306,Volk::N,халык,халӑх
307,Arbeit::N,эш,ӗҫхӗл
308,Arbeit::N,эш,ӗҫлев
309,Arbeit::N,хезмәт,ӗҫхӗл
310,Arbeit::N,хезмәт,ӗҫлев
311,Gast::N,кунак,хӑна
312,Geschenk::N,бүләк,парне
313,Geschenk::N,бүләк,кучченеҫ
314,Spiel::N,уен,вӑйӑ
315,Gesellschaft::N,җәмгыять,общество
316,Hilfe::N,ярдәм,пулӑшу
317,Hilfe::N,булышлык,пулӑшу
318,Freund::N,дус,тус
319,Kamerad::N,иптәш,юлташ
320,Kamerad::N,иптәш,тус
321,Angelegenheit::N,эш,ӗҫ
322,Anzahl::N,микъдар,йыш
323,Anzahl::N,микъдар,хисеп
324,Art::N,төр,тӗс
325,Stück::N,кисәк,татӑк
326,Teil::N,өлеш,пай
327,Hälfte::N,ярым,ҫурӑ
328,Kreis::N,түгәрәк,ункӑ
329,Kreis::N,түгәрәк,ҫавракӑш
330,Kreuz::N,хач,хӗрес
331,Kreuz::N,тәре,хӗрес
332,Linie::N,сызык,йӗр
333,Strich::N,сызык,йӗр
334,Abstand::N,ара,хушӑ
335,Entfernung::N,ераклык,хушӑ
336,Gegend::N,урын,вырӑн
