,Concept_ID,he,kk
0,Auge::N,עין,көз
1,Ohr::N,אזן,құлақ
2,Nase::N,אף,мұрын
3,Nase::N,חטם,мұрын
4,Mund::N,פה,ауыз
5,Zahn::N,שן,тіс
6,Zunge::N,לשון,тіл
7,Lippe::N,שפה,ерін
8,Wange::N,לחי,ұрт
9,Gesicht::N,פנים,бет-аузы
10,Stirn::N,מצח,маңдай
11,Haar::N,שערה,қыл
12,Schnurrbart::N,שפם,мұрт
13,Bart::N,זקן,сақал
14,Kinn::N,סנטר,иек
15,Kiefer[Anatomie]::N,לסת,жақ
16,Kehle::N,גרון,алқым
17,Hals::N,צואר,мойын
18,Genick::N,ערף,желке
19,Kopf::N,ראש,кәллә
20,Rücken::N,גב,арқа
21,Bauch::N,בטן,қарын
22,Nabel::N,טבור,кіндік
23,Busen::N,שד,омырау
24,Brust::N,חזה,кеуде
25,Schulter::N,כתף,иық
26,Arm::N,זרוע,қол
27,Ellenbogen::N,מרפק,шынтақ
28,Hand::N,יד,қол
29,Handfläche::N,כף יד,алақан
30,Finger::N,אצבע,саусақ
31,Fingernagel::N,צפרן,тырнақ
32,Nagel[Anatomie]::N,צפרן,тырнақ
33,Zeh::N,אצבע,тырнақ
34,Zeh::N,אצבע,тұяқ
35,Fuß::N,רגל,аяқ-басы
36,Ferse::N,עקב,өкше
37,Ferse::N,עקב,өкшелік
38,Knie::N,ברך,тізе
39,Oberschenkel::N,ירך,жамбас
40,Bein::N,רגל,аяқ
41,Körper::N,גוף,дене
42,Haut::N,עור,тері
43,Blut::N,דם,қан
44,Ader::N,וריד,көктамыр
45,Ader::N,וריד,күретамыр
46,Sehne::N,גיד,сіңір
47,Knochen::N,עצם,жілік
48,Gehirn::N,מוח,ми
49,Herz::N,לב,жүрек
50,Magen::N,קבה,асқазан
51,Leber::N,כבד,бауыр
52,Atem::N,נשימה,леп
53,Hunger::N,רעב,ашаршылық
54,Träne::N,דמעה,жас
55,Geschmack::N,טעם,дәм
56,Geschmack::N,טעם,татым
57,Geschmack::N,טעם,талғам
58,Geruch::N,ריח,иіс
59,Schlaf::N,שנה,ұйқы
60,Schlaf::N,שנה,ұйықтау
61,Traum::N,חלום,түс
62,Himmel::N,שמים,аспан
63,Himmel::N,שמים,көқ
64,Himmel::N,שמים,таңдай
65,Sonne::N,שמש,күн
66,Mond::N,ירח,ай
67,Stern::N,כוכב,жұлдыз
68,Luft::N,אויר,әуе
69,Wind::N,רוח,жел
70,Welle::N,גל,толқын
71,Wasser::N,מים,су
72,Stein::N,אבן,тас
73,Boden::N,קרקע,қыртыс
74,Erde::N,אדמה,топырақ
75,Staub::N,אבק,шаң
76,Rauch::N,עשן,түтін
77,Funke::N,ניצוץ,ұшқын
78,Feuer::N,אש,алау
79,Licht::N,אור,шұғыла
80,Schatten::N,צל,көлеңке
81,Wetter::N,מזג אויר,ауа райы
82,Nebel::N,ערפל,тұман
83,Wolke::N,ענן,бұлт
84,Regen::N,גשם,жаңбыр
85,Schnee::N,שלג,қар
86,Eis::N,קרח,мұз
87,Frost::N,צנה,суық
88,Kälte::N,קר,ызғар
89,Kälte::N,קר,суықтық
90,Hitze::N,חם,аптап
91,Raureif::N,כפור,қырау
92,Regenbogen::N,קשת,кемпірқосақ
93,Donner::N,רעם,күн күркіреу
94,Strömung::N,זרימה,ағын
95,Tropfen::N,טפה,тамшы
