,Concept_ID,mn,fa
0,Auge::N,нүд,چشم
1,Ohr::N,чих,گوش
2,Nase::N,хамар,بینی
3,Mund::N,ам,دهان
4,Zahn::N,шүд,دندان
5,Zunge::N,хэл,زبان
6,Lippe::N,уруул,لب
7,Wange::N,хацар,لپ
8,Gesicht::N,царай,رو
9,Gesicht::N,царай,چهره
10,Gesicht::N,нүүр,رو
11,Gesicht::N,нүүр,چهره
12,Stirn::N,дух,پیشانی
13,Haar::N,үс,مو
14,Schnurrbart::N,дээд сахал,سبیل
15,Schnurrbart::N,живэр сахал,سبیل
16,Bart::N,сахал,ریش
17,Kinn::N,эрүү,چانه
18,Kiefer[Anatomie]::N,эрүү,فک
19,Kiefer[Anatomie]::N,эрүү,آرواره
20,Kehle::N,хоолой,حلق
21,Hals::N,хүзүү,گردن
22,Genick::N,шил,پشت گردن
23,Genick::N,хүзүү,پشت گردن
24,Kopf::N,толгой,سر
25,Kopf::N,толгой,کله
26,Rücken::N,ар,پشت
27,Rücken::N,нуруу,پشت
28,Bauch::N,хэвлий,شکم
29,Bauch::N,гэдэс,شکم
30,Nabel::N,хүйс,ناف
31,Busen::N,хөх,پستان
32,Brust::N,цээж,سینه
33,Schulter::N,мөр,دوش
34,Schulter::N,мөр,شانه
35,Schulter::N,бугалга,دوش
36,Schulter::N,бугалга,شانه
37,Arm::N,гар,بازو
38,Ellenbogen::N,тохой,آرنج
39,Hand::N,гар,دست
40,Hand::N,алга,دست
41,Handfläche::N,алга,کف دست
42,Finger::N,хуруу,انگشت
43,Fingernagel::N,хурууны хумс,ناخن دست
44,Nagel[Anatomie]::N,хумс,ناخن
45,Zeh::N,хуруу,انگشت پا
46,Fuß::N,хөл,پا
47,Ferse::N,өсгий,پاشنه
48,Knie::N,өвдөг,زانو
49,Oberschenkel::N,гуя,ران
50,Bein::N,хөл,پا
51,Bein::N,хөл,لنگ
52,Körper::N,бие,تن
53,Körper::N,бие,بدن
54,Haut::N,арьс,پوست
55,Blut::N,цус,خون
56,Ader::N,судас,رگ
57,Sehne::N,бүлх,زردپی
58,Sehne::N,шандас,زردپی
59,Knochen::N,яс,استخوان
60,Gehirn::N,тархи,مخ
61,Gehirn::N,тархи,مغز
62,Herz::N,зүрх,دل
63,Herz::N,зүрх,قلب
64,Magen::N,ходоод,معده
65,Leber::N,элэг,کبد
66,Atem::N,амьсгаа,نفس
67,Hunger::N,өлсгөлөн,گرسنگی
68,Träne::N,нулимс,اشک
69,Geschmack::N,амт,مزه
70,Geruch::N,үнэр,بو
71,Schlaf::N,нойр,خواب
72,Traum::N,зүүд,رؤیا
73,Himmel::N,тэнгэр,فلک
74,Himmel::N,тэнгэр,آسمان
75,Himmel::N,огторгуй,فلک
76,Himmel::N,огторгуй,آسمان
77,Sonne::N,нар,آفتاب
78,Sonne::N,нар,خورشید
79,Mond::N,сар,ماه
80,Stern::N,од,ستاره
81,Luft::N,агаар,هوا
82,Wind::N,салхи,باد
83,Welle::N,долгио,موج
84,Welle::N,давалгаа,موج
85,Wasser::N,ус,آب
86,Stein::N,чулуу,سنگ
