,Concept_ID,sq,kk
0,Auge::N,sy,көз
1,Ohr::N,vesh,құлақ
2,Nase::N,hundë,мұрын
3,Mund::N,gojë,ауыз
4,Zahn::N,dhëmb,тіс
5,Zunge::N,gjuhë,тіл
6,Lippe::N,buzë,ерін
7,Wange::N,faqe,ұрт
8,Wange::N,mollëz,ұрт
9,Gesicht::N,fytyrë,бет-аузы
10,Stirn::N,ballë,маңдай
11,Haar::N,flokë,қыл
12,Schnurrbart::N,mustaqe,мұрт
13,Bart::N,mjekër,сақал
14,Kinn::N,mjekër,иек
15,Kiefer[Anatomie]::N,nofull,жақ
16,Kehle::N,fyt,алқым
17,Kehle::N,grykë,алқым
18,Hals::N,qafë,мойын
19,Genick::N,arrëz,желке
20,Kopf::N,kokë,кәллә
21,Rücken::N,kurriz,арқа
22,Bauch::N,bark,қарын
23,Nabel::N,kërthizë,кіндік
24,Busen::N,gji,омырау
25,Brust::N,gjoks,кеуде
26,Brust::N,kraharor,кеуде
27,Schulter::N,sup,иық
28,Schulter::N,krah,иық
29,Arm::N,krah,қол
30,Ellenbogen::N,bërryl,шынтақ
31,Hand::N,dorë,қол
32,Handfläche::N,pëllëmbë,алақан
33,Finger::N,gisht,саусақ
34,Fingernagel::N,thua,тырнақ
35,Nagel[Anatomie]::N,thua,тырнақ
36,Zeh::N,gisht i këmbës,тырнақ
37,Zeh::N,gisht i këmbës,тұяқ
38,Fuß::N,këmbë,аяқ-басы
39,Ferse::N,thembër,өкше
40,Ferse::N,thembër,өкшелік
41,Knie::N,gju,тізе
42,Oberschenkel::N,kofshë,жамбас
43,Bein::N,këmbë,аяқ
44,Körper::N,trup,дене
45,Haut::N,lëkurë,тері
46,Blut::N,gjak,қан
47,Ader::N,venë,көктамыр
48,Ader::N,venë,күретамыр
49,Sehne::N,dell,сіңір
50,Knochen::N,asht,жілік
51,Knochen::N,kockë,жілік
52,Gehirn::N,tru,ми
53,Herz::N,zemër,жүрек
54,Magen::N,stomak,асқазан
55,Leber::N,mëlçi,бауыр
56,Atem::N,frymë,леп
57,Hunger::N,uri,ашаршылық
58,Träne::N,lot,жас
59,Geschmack::N,shije,дәм
60,Geschmack::N,shije,татым
61,Geschmack::N,shije,талғам
62,Geruch::N,erë,иіс
63,Schlaf::N,gjumë,ұйқы
64,Schlaf::N,gjumë,ұйықтау
65,Traum::N,ëndërr,түс
66,Himmel::N,qiell,аспан
67,Himmel::N,qiell,көқ
68,Himmel::N,qiell,таңдай
69,Sonne::N,diell,күн
70,Mond::N,hënë,ай
71,Stern::N,yll,жұлдыз
72,Luft::N,ajër,әуе
73,Wind::N,erë,жел
74,Welle::N,valë,толқын
75,Welle::N,dallgë,толқын
76,Wasser::N,ujë,су
77,Stein::N,gur,тас
78,Boden::N,tokë,қыртыс
79,Boden::N,truall,қыртыс
80,Erde::N,dhe,топырақ
81,Erde::N,baltë,топырақ
82,Staub::N,pluhur,шаң
83,Rauch::N,tym,түтін
84,Funke::N,xixë,ұшқын
85,Funke::N,shkëndijë,ұшқын
86,Feuer::N,zjarr,алау
87,Licht::N,dritë,шұғыла
88,Schatten::N,hije,көлеңке
89,Wetter::N,mot,ауа райы
90,Nebel::N,mjegull,тұман
91,Wolke::N,re,бұлт
92,Regen::N,shi,жаңбыр
93,Schnee::N,borë,қар
94,Eis::N,akull,мұз
95,Frost::N,ngricë,суық
96,Kälte::N,të ftohtë,ызғар
97,Kälte::N,të ftohtë,суықтық
98,Hitze::N,vapë,аптап
99,Hitze::N,nxehtësi,аптап
100,Raureif::N,cikmë,қырау
101,Regenbogen::N,ylber,кемпірқосақ
102,Donner::N,gjëmim,күн күркіреу
103,Donner::N,bubullimë,күн күркіреу
104,Strömung::N,rrymë,ағын
105,Tropfen::N,pikë,тамшы
106,Schaum::N,shkumë,көбік
107,Schmutz::N,baltë,кір
108,See::N,liqen,көл
109,Sumpf::N,batak,саз
110,Moor::N,kënetë,саз
111,Wiese::N,livadh,шалғын
112,Wald::N,pyll,орман
113,Hügel::N,kodër,төбе
114,Hügel::N,kodër,белес
115,Hügel::N,kodër,белес-белес
116,Anhöhe::N,bregore,дөң
117,Anhöhe::N,bregore,адыр
118,Anhöhe::N,bregore,қырат
119,Berg::N,mal,тау
120,Gipfel::N,kulm,төбе
121,Höhle::N,shpellë,үңгір
122,Höhle::N,zgafelle,үңгір
