,Concept_ID,fi,no
779,zurück::ADV,takaisin,tilbake
780,unten::ADV,alhaalla,nede
781,hinab::ADV,alas,ned
782,hinab::ADV,alas,nedover
783,oben::ADV,ylhäällä,oppe
784,oben::ADV,ylhäällä,ovenpå
785,hinauf::ADV,ylös,opp
786,hinauf::ADV,ylös,oppover
787,überall::ADV,kaikkialla,overalt
788,nicht::ADV,ei,ikke
789,ein wenig::ADV,vähän,litt
790,kaum::ADV,tuskin,neppe
791,sehr::ADV,kovin,svært
792,sehr::ADV,oikein,svært
793,so::ADV,näin,så
794,noch::ADV,vielä,enda
795,nur::ADV,vain,bare
796,nur::ADV,ainoastaan,bare
797,schon::ADV,jo,alt
798,schon::ADV,jo,allerede
799,wieder::ADV,taas,igjen
800,wieder::ADV,jälleen,igjen
801,vergebens::ADV,turhaan,forgjeves
802,vor::PRP,edessä,foran
803,vor::PRP,edessä,utenfor
804,hinter::PRP,takana,bak
805,hinter::PRP,takana,bakom
806,unter::PRP,alla,under
807,durch::PRP,läpi,gjennom
808,durch::PRP,läpi,igjennom
809,durch::PRP,kautta,gjennom
810,durch::PRP,kautta,igjennom
811,neben::PRP,vieressä,ved siden av
812,zwischen::PRP,välillä,mellom
813,wegen::PRP,takia,på grunn av
814,wegen::PRP,vuoksi,på grunn av
815,dies::PRN,tämä,dette
816,das::PRN,se,det
817,alles::PRN,kaikki,alt
818,ich::PRN,minä,jeg
819,du::PRN,sinä,du
820,er::PRN,hän,han
821,wir::PRN,me,vi
822,ihr::PRN,te,dere
823,sie::PRN,he,de
824,was::FPRN,mikä,hva
825,wer::FPRN,ken,hvem
826,wer::FPRN,kuka,hvem
827,wo::FADV,missä,hvor
828,wohin::FADV,mihin,hvor ... hen
829,wie::FADV,miten,hvordan
830,wie::FADV,kuinka,hvordan
831,warum::FADV,miksi,hvorfor
832,wieviel::FNUM,paljonko,hvor mye
833,wieviel::FNUM,kuinka paljon,hvor mye
834,eins::NUM,yksi,en
835,eins::NUM,yksi,ett
836,zwei::NUM,kaksi,to
837,drei::NUM,kolme,tre
838,vier::NUM,neljä,fire
839,fünf::NUM,viisi,fem
840,sechs::NUM,kuusi,seks
841,sieben::NUM,seitsemän,sju
842,acht::NUM,kahdeksan,åtte
843,neun::NUM,yhdeksän,ni
844,zehn::NUM,kymmenen,ti
845,elf::NUM,yksitoista,elleve
846,zwölf::NUM,kaksitoista,tolv
847,zwanzig::NUM,kaksikymmentä,tjue
848,dreißig::NUM,kolmekymmentä,tretti
849,vierzig::NUM,neljäkymmentä,førti
850,fünfzig::NUM,viisikymmentä,femti
851,sechzig::NUM,kuusikymmentä,seksti
852,siebzig::NUM,seitsemänkymmentä,sytti
853,achtzig::NUM,kahdeksankymmentä,åtti
854,neunzig::NUM,yhdeksänkymmentä,nitti
855,hundert::NUM,sata,hundre
856,tausend::NUM,tuhat,tusen
857,und::CNJ,ja,og
858,oder::CNJ,tai,eller
859,stehen::V,seisoa,stå
860,sitzen::V,istua,sitte
861,liegen::V,maata,ligge
862,hängen::V,riippua,henge
863,werden::V,tulla,bli
864,werden::V,joutua,bli
865,passieren::V,sattua,skje
866,passieren::V,sattua,hende
867,passieren::V,tapahtua,skje
868,passieren::V,tapahtua,hende
869,beginnen::V,alkaa,begynne
870,enden::V,loppua,ende
871,enden::V,loppua,slutte
872,enden::V,päättyä,ende
873,enden::V,päättyä,slutte
874,wechseln::V,vaihtua,veksle
875,wechseln::V,vaihdella,veksle
876,aufgehen[Sonne]::V,nousta,stå opp
877,untergehen[Sonne]::V,laskea,gå ned
878,scheinen[Sonne]::V,paistaa,skinne
879,donnern::V,jyristä,tordne
880,wehen::V,tuulla,blåse
881,wehen::V,puhaltaa,blåse
882,strömen::V,virrata,strømme
883,fließen::V,valua,flyte
884,fließen::V,juosta,flyte
885,sich drehen::V,pyöriä,dreie seg
886,schwanken::V,horjua,svaie
887,schwingen::V,heilua,svinge
888,schwingen::V,värähdellä,svinge
889,fallen::V,pudota,falle
890,fallen::V,langeta,falle
891,brennen::V,palaa,brenne
892,rauchen::V,savuta,ryke
893,regnen::V,sataa,regne
894,gefrieren::V,jäätyä,fryse
895,tauen::V,sulaa,tine
896,schmelzen::V,sulaa,smelte
897,trocknen::V,kuivua,tørre
898,sieden::V,kiehua,koke
899,faulen::V,mädätä,råtne
900,verfaulen::V,mädätä,råtne
901,verfaulen::V,mädäntyä,råtne
902,reißen::V,revetä,briste
903,versinken::V,upota,synke
904,versinken::V,upota,synke ned
905,versinken::V,vajota,synke
906,versinken::V,vajota,synke ned
907,vergehen::V,kulua,forløpe
908,erscheinen::V,ilmestyä,synes
909,verschwinden::V,kadota,forsvinne
910,sinken::V,vajota,synke
911,abnehmen::V,vähetä,avta
912,abnehmen::V,vähetä,minske
913,zunehmen::V,kasvaa,tilta
914,zunehmen::V,lisääntyä,tilta
915,steigen::V,nousta,stige
916,wachsen::V,kasvaa,gro
917,wachsen::V,kasvaa,vokse
918,glänzen::V,kiiltää,skinne
919,funkeln::V,kipinöidä,tindre
920,lärmen::V,meluta,bråke
921,läuten::V,soida,ringe
922,klingeln::V,soida,ringe
923,klirren::V,kalista,klirre
924,brausen::V,kohista,bruse
925,rauschen::V,kohista,suse
926,klingen::V,soida,lyde
927,klingen::V,soida,klinge
928,bellen::V,haukkua,gjø
929,bellen::V,haukkua,bjeffe
930,heulen::V,ulvoa,ule
931,blasen::V,puhaltaa,blåse
932,pfeifen::V,viheltää,plystre
933,schreien::V,kirkua,skrike
934,stöhnen::V,voihkia,stønne
935,zittern::V,vapista,dirre
936,zittern::V,vapista,skjelve
937,leben::V,elää,leve
938,geboren werden::V,syntyä,fødes
939,atmen::V,hengittää,ånde
940,atmen::V,hengittää,puste
941,trinken::V,juoda,drikke
942,essen::V,syödä,spise
943,schlucken::V,niellä,svelge
944,müde werden::V,uupua,bli trett
945,einschlafen::V,uinahtaa,sovne
946,schlafen::V,maata,sove
947,schlafen::V,nukkua,sove
948,aufwachen::V,herätä,våkne
949,aufstehen::V,nousta,stå opp
950,aufstehen::V,nousta ylös,stå opp
951,sich erholen::V,levätä,bli bra
952,sich erholen::V,levätä,komme seg
953,krank werden::V,sairastua,bli syk
954,krank sein::V,potea,være syk
955,krank sein::V,sairastaa,være syk
956,schmerzen::V,särkeä,gjøre vondt
957,schmerzen::V,kivistää,gjøre vondt
958,husten::V,yskiä,hoste
959,genesen::V,toipua,komme seg
960,sterben::V,kuolla,dø
961,umkommen::V,saada surmansa,omkomme
962,umkommen::V,kuolla,omkomme
963,sich bewegen::V,liikkua,bevege seg
964,sich rühren::V,liikahtaa,røre på seg
965,sich erheben::V,nousta,reise seg
966,sich setzen::V,istuutua,sette sig
967,hinfallen::V,kaatua,falle over ende
968,laufen::V,kävellä,løpe
969,schreiten::V,astua,skride
970,schreiten::V,astella,skride
971,spazierengehen::V,kävellä,spasere
972,spazierengehen::V,kävellä,gå en tur
973,eilen::V,kiirehtiä,ile
974,sich beeilen::V,kiirehtiä,skynde seg
975,sich beeilen::V,olla kiireissään,skynde seg
976,sausen::V,rynnätä,suse
977,sausen::V,viilettää,suse
978,rennen::V,juosta,løpe
979,springen::V,hypätä,hoppe
980,springen::V,hypätä,springe
981,klettern::V,kiivetä,klatre
982,schaukeln::V,kiikkua,huske
983,kriechen::V,ryömiä,krype
984,schwimmen::V,uida,svømme
985,tauchen::V,sukeltaa,dykke
986,rudern::V,soutaa,ro
987,fahren::V,ajaa,kjøre
988,fahren::V,kulkea,kjøre
989,fliegen::V,lentää,fly
990,gehen::V,käydä,gå
991,weggehen::V,lähteä,gå bort
992,weggehen::V,poistua,gå bort
993,abfahren::V,lähteä,reise
994,anhalten::V,pysähtyä,stanse
995,anhalten::V,seisahtua,stanse
996,hineingehen::V,mennä sisään,gå inn
997,eintreten::V,astua sisään,tre inn
998,kommen::V,tulla,komme
999,ankommen::V,saapua,ankomme
1000,ankommen::V,saapua,komme til
1001,zurückkommen::V,palata,komme tilbake
1002,bleiben::V,jäädä,bli
1003,bleiben::V,jäädä,forbli
1004,bleiben::V,viipyä,bli
1005,bleiben::V,viipyä,forbli
1006,warten::V,odottaa,vente
1007,erwarten::V,odottaa,vente
1008,suchen::V,etsiä,søke
1009,finden::V,löytää,finne
1010,versuchen::V,yrittää,prøve
1011,versuchen::V,yrittää,forsøke
1012,vorbereiten::V,valmistaa,forberede
1013,lieben::V,pitää,elske
1014,lieben::V,rakastaa,elske
1015,mögen::V,pitää,like
1016,mögen::V,tykätä,like
1017,lachen::V,nauraa,le
1018,rühren::V,liikuttaa,røre
1019,weinen::V,itkeä,gråte
1020,schimpfen::V,haukkua,skjelle
1021,sich ärgern::V,suuttua,ergre seg
1022,sich fürchten::V,pelätä,være redd
1023,fürchten::V,pelätä,være redd for
1024,fliehen::V,paeta,rømme
1025,fliehen::V,paeta,flykte
1026,flüchten::V,paeta,flykte
1027,sehen::V,nähdä,se
1028,anschauen::V,katsoa,se på
1029,anschauen::V,katsoa,betrakte
1030,ansehen::V,katsoa,anse
1031,hören::V,kuulla,høre
1032,zuhören::V,kuunnella,tilhøre
1033,probieren::V,maistaa,smake
1034,probieren::V,maistaa,smake på
1035,riechen::V,haistaa,lukte
1036,fühlen::V,tuntea,føle
1037,scheinen::V,tuntua,se ut
1038,zu sehen sein::V,näkyä,synes
1039,vernehmen::V,kuulla,få vite
1040,frieren::V,palella,fryse
1041,tun::V,tehdä,gjøre
1042,können::V,osata,kunne
1043,wollen::V,tahtoa,ville
1044,anfangen::V,ruveta,begynne
1045,anfangen::V,aloittaa,begynne
1046,beenden::V,lopettaa,avslutte
1047,aufhören::V,loppua,slutte
1048,aufhören::V,loppua,holde opp
1049,gelingen::V,onnistua,lykkes
1050,geraten::V,sujua,bli
1051,geraten::V,joutua,bli
1052,öffnen::V,avata,åpne
1053,öffnen::V,aukaista,åpne
1054,schließen::V,sulkea,lukke
1055,schließen::V,sulkea,stenge
1056,stellen::V,panna,stille
1057,stellen::V,asettaa,stille
1058,setzen::V,panna,sette
1059,setzen::V,istuttaa,sette
1060,legen::V,panna,legge
1061,legen::V,asettaa,legge
1062,berühren::V,koskea,berøre
1063,berühren::V,koskettaa,berøre
1064,verbinden::V,liittää,forbinde
1065,verbinden::V,yhdistää,forbinde
1066,bedecken::V,kattaa,dekke
1067,bedecken::V,peittää,dekke
1068,aufhängen::V,ripustaa,henge
1069,aufhängen::V,ripustaa,henge opp
1070,anzünden::V,sytyttää,tenne
1071,anzünden::V,sytyttää,antenne
1072,anzünden::V,sytyttää,tenne på
1073,aufheben::V,ylös nostaa,løfte
1074,aufheben::V,ylös nostaa,ta opp
1075,aufheben::V,nostaa,løfte
1076,aufheben::V,nostaa,ta opp
1077,zurücklassen::V,jättää,slippe tilbake
1078,verlieren::V,kadottaa,miste
1079,fallen lassen::V,pudottaa,droppe
1080,fallen lassen::V,pudottaa,la falle
1081,machen::V,tehdä,lage
1082,machen::V,tehdä,gjøre
1083,herstellen::V,tuottaa,fremstille
1084,herstellen::V,valmistaa,fremstille
1085,bauen::V,rakentaa,bygge
1086,reparieren::V,korjata,reparere
1087,verbessern::V,parantaa,rette
1088,verbessern::V,parantaa,forbedre
1089,ändern::V,muuttaa,forandre
1090,graben::V,kaivaa,grave
1091,beugen::V,taivuttaa,bøye
1092,biegen::V,taivuttaa,bøye
1093,drehen::V,kääntää,dreie
1094,wenden::V,kääntää,vende
1095,umdrehen::V,kääntää,snu
1096,heben::V,nostaa,heve
1097,heben::V,kohottaa,heve
1098,hochheben::V,nostaa,løfte
1099,ergreifen::V,tarttua,gripe
1100,ergreifen::V,tarttua,få tak i
1101,halten::V,pitää,holde
1102,drücken::V,painaa,trykke
1103,drücken::V,puristaa,trykke
1104,schieben::V,työntää,skyve
1105,kratzen::V,raapia,klø
1106,kratzen::V,raapia,klore
1107,lecken::V,nuolla,slikke
1108,beißen::V,purra,bite
1109,abreißen::V,repiä,rive av
1110,abschneiden::V,leikata poikki,skjære av
1111,abschneiden::V,leikata,skjære av
1112,binden::V,sitoa,binde
1113,stecken::V,pistää,stikke
1114,brechen::V,murtaa,bryte
1115,brechen::V,murtaa,briste
1116,klopfen::V,koputtaa,banke
1117,klopfen::V,kolkuttaa,banke
1118,hauen::V,lyödä,hogge
1119,kleben::V,liimata,klistre
1120,reiben::V,hieroa,gni
1121,reiben::V,hangata,gni
1122,streichen::V,sivellä,stryke
1123,schleifen::V,hioa,slipe
1124,schneiden::V,leikata,klippe
1125,rütteln::V,ravistaa,ruske
1126,schütteln::V,pudistaa,riste
1127,schwenken::V,heiluttaa,svinge
1128,schütten::V,kaataa,helle
1129,füllen::V,täyttää,fylle
1130,einwickeln::V,kääriä,vikle inn
1131,tragen::V,kantaa,bære
1132,schleppen::V,raahata,slepe
1133,ziehen::V,vetää,dra
1134,ziehen::V,vetää,trekke
1135,aufbewahren::V,säilyttää,oppbevare
1136,aufbewahren::V,säilyttää,ta vare på
1137,werfen::V,viskata,kaste
1138,fangen::V,napata,fange
1139,fangen::V,ottaa kiinni,fange
1140,packen::V,tarttua,gripe
1141,packen::V,tarttua,gripe tak i
1142,verstecken::V,kätkeä,gjemme
1143,verstecken::V,piilottaa,gjemme
1144,teilen::V,jakaa,dele
1145,schicken::V,lähettää,sende
1146,bringen::V,viedä,bringe
1147,hinzufügen::V,lisätä,tilføye
1148,bekommen::V,saada,få
1149,erhalten::V,saada,få
1150,nehmen::V,ottaa,ta
1151,wählen::V,valita,velge
1152,auswählen::V,valikoida,velge ut
1153,bewahren::V,säilyttää,bevare
1154,behindern::V,estää,hindre
1155,behindern::V,estää,forhindre
1156,verderben::V,pilata,ødelegge
1157,verderben::V,turmella,ødelegge
1158,beschädigen::V,vioittaa,skade
1159,beschädigen::V,vahingoittaa,skade
1160,zerbrechen::V,rikkoa,brekke i stykker
1161,zerreißen::V,repiä rikki,rive i stykker
1162,zerreißen::V,repiä palasiksi,rive i stykker
1163,zerstören::V,hävittää,ødelegge
1164,verbrennen::V,polttaa,brenne
1165,verbrennen::V,polttaa,brenne opp
1166,geben::V,antaa,gi
1167,reichen::V,ojentaa,rekke
1168,schenken::V,lahjoittaa,forære
1169,schenken::V,lahjoittaa,skjenke
1170,versprechen::V,luvata,love
1171,wünschen::V,toivottaa,ønske
1172,loben::V,ylistää,rose
1173,küssen::V,suudella,kysse
1174,wiegen::V,tuudittaa,vogge
1175,wiegen::V,keinuttaa,vogge
1176,zudecken::V,peittää,dekke til
1177,wecken::V,herättää,vekke
1178,zeigen::V,näyttää,vise
1179,zeigen::V,osoittaa,vise
1180,führen::V,johdattaa,føre
1181,lehren::V,opettaa,lære
1182,unterrichten::V,opettaa,undervise
1183,aufziehen::V,kasvattaa,oppdra
1184,leiten::V,johtaa,lede
1185,antreiben::V,hoputtaa,drive på
1186,lassen::V,antaa,få til å
1187,einladen::V,kutsua,be
1188,einladen::V,kutsua,invitere
1189,vereinigen::V,yhdistää,forene
1190,besuchen::V,vierailla,besøke
1191,treffen::V,tavata,møte
1192,treffen::V,tavata,treffe
1193,sich versammeln::V,kokoontua,forsamles
1194,spielen::V,pelata,leke
1195,spielen::V,pelata,spille
1196,spielen::V,leikkiä,leke
1197,spielen::V,leikkiä,spille
1198,singen::V,laulaa,synge
1199,tanzen::V,tanssia,danse
1200,sich trennen::V,erota,skilles
1201,verlassen::V,jättää,forlate
1202,retten::V,pelastaa,redde
1203,bewachen::V,vartioida,bevokte
1204,schützen::V,suojella,verne
1205,schützen::V,suojella,beskytte
1206,verteidigen::V,puolustaa,forsvare
1207,sich schlagen::V,tapella,slåss
1208,schießen::V,ampua,skyte
1209,siegen::V,voittaa,seire
1210,ärgern::V,ärsyttää,ergre
1211,schlagen::V,lyödä,
1212,treten::V,potkaista,sparke
1213,stechen::V,pistää,stikke
1214,stoßen::V,sysätä,støte
1215,stoßen::V,työntää,støte
1216,stehlen::V,varastaa,stjele
1217,stören::V,häiritä,forstyrre
1218,belästigen::V,häiritä,plage
1219,belästigen::V,häiritä,sjenere
1220,verbergen::V,kätkeä,gjemme
1221,täuschen::V,harhauttaa,villede
1222,betrügen::V,pettää,bedra
1223,betrügen::V,petkuttaa,bedra
1224,töten::V,tappaa,drepe
1225,wohnen::V,asua,bo
1226,arbeiten::V,tehdä työtä,arbeide
1227,arbeiten::V,työskennellä,arbeide
1228,sammeln::V,koota,samle
1229,sammeln::V,kerätä,samle
1230,pflücken::V,poimia,plukke
1231,jagen::V,metsästää,jage
