,Concept_ID,uz,ab
0,Auge::N,ko'z,ала
1,Ohr::N,quloq,алымҳа
2,Nase::N,burun,аҧынҵа
3,Mund::N,og'iz,аҧышə
4,Zahn::N,tish,ахаҧыц
5,Zunge::N,til,абз
6,Lippe::N,dudoq,ақьышə
7,Wange::N,bet,аӡамҩа
8,Gesicht::N,yuz,аҿы
9,Stirn::N,manglay,алахь
10,Haar::N,soch,ахəыц
11,Schnurrbart::N,mo'ylov,аҧаҵа
12,Bart::N,soqol,ажакьа
13,Kinn::N,ängak,ацламкəыгə
14,Kiefer[Anatomie]::N,iyak,ацламҳəа
15,Kehle::N,bo'g'iz,ахəда
16,Hals::N,bo'yin,ахəда
17,Genick::N,gardan,ахəдаџьал
18,Kopf::N,bosh,ахы
19,Rücken::N,orqa,азқəа
20,Bauch::N,qorin,амгəа
21,Nabel::N,kindik,аҷапан
22,Busen::N,ämchak,агəыҧҳəы
23,Brust::N,ko'krak,агəышҧы
24,Schulter::N,elka,ажəҩахыр
25,Arm::N,bilak,амахəар
26,Ellenbogen::N,tirsak,амашьхəылҵ
27,Hand::N,qo'l,анапы
28,Handfläche::N,kaft,анапсаргəыҵа
29,Finger::N,barmoq,анацəа
30,Fingernagel::N,tirnoq,анапхыц
31,Nagel[Anatomie]::N,tirnoq,ашьапхыц
32,Zeh::N,oyoq barmog'i,ашьацəа
33,Fuß::N,oyoq,ашьапсыргəыҵа
34,Ferse::N,tovon,ашьхəа
35,Knie::N,tiz,ашьамхы
36,Oberschenkel::N,son,ауаҭəа
37,Bein::N,oyoq,ашьапы
38,Körper::N,badna,ацəеижь
39,Haut::N,teri,ацəа
40,Blut::N,qon,ашьа
41,Ader::N,qon tomir,ада
42,Sehne::N,tomir,адаш
43,Knochen::N,suyak,абаҩ
44,Gehirn::N,miya,ахшлыбаҩ
45,Gehirn::N,miya,ахшыбаҩ
46,Herz::N,qalb,агəы
47,Magen::N,oshqozon,аца
48,Magen::N,oshqozon,ацар
49,Leber::N,bag'ir,агəаҵəа
50,Atem::N,dam,аҧсыҧлагаҩгара
51,Hunger::N,ochlik,амла
52,Träne::N,yosh,алабжыш
53,Geschmack::N,tam,агьама
54,Geruch::N,jid,афҩы
55,Schlaf::N,uyqu,ацəа
56,Traum::N,tush,аҧхыӡ
57,Himmel::N,osmon,ажəҩан
58,Sonne::N,quyosh,амра
59,Mond::N,oy,амза
60,Stern::N,yulduz,аеҵəа
61,Luft::N,havo,аҳаир
62,Wind::N,el,аҧша
63,Welle::N,to'lqin,ацəқəырҧа
64,Wasser::N,suv,аӡы
65,Stein::N,tosh,ахаҳə
66,Boden::N,tuproq,адгьыл
67,Erde::N,er,адгьыл
68,Staub::N,chang,асаба
69,Rauch::N,tutun,алҩа
70,Funke::N,yalt,акəиц
71,Funke::N,yalt,ацҧхь
72,Feuer::N,o't,амца
73,Licht::N,yorug',алашара
74,Schatten::N,soya,ашəшьыра
75,Wetter::N,havo,амш
76,Nebel::N,tuman,анаҟəа
77,Wolke::N,bulut,аҧсҭҳəа
78,Regen::N,yomg'ir,ақəа
79,Schnee::N,qor,асы
80,Eis::N,muz,аҵаа
81,Frost::N,ajoz,аҵаа
82,Kälte::N,ajoz,ахьҭа
83,Hitze::N,issiq,ашоура
84,Raureif::N,qirov,аҵааҧшқа
85,Regenbogen::N,kamalak,ацəаҟəа
86,Donner::N,guldur,адыд
87,Strömung::N,oqim,аиасра
88,Strömung::N,oqim,амҩасра
89,Tropfen::N,tomchi,ацəыкəбар
90,Schaum::N,ko'pik,ашəах
91,Schmutz::N,gard,алымт
92,See::N,ko'l,аӡиа
93,Sumpf::N,botqoq,аӡмах
94,Moor::N,qir-adir,
95,Wiese::N,o'tzor,адəы
96,Wald::N,o'rmon,абна
97,Hügel::N,tepa,ахəы
98,Anhöhe::N,adir,аҳаракыра
99,Berg::N,tog',ашьха
100,Gipfel::N,cho'qqi,ацəқəа
101,Höhle::N,kavak,аҳаҧы
102,Abhang::N,to'sh,анаара
103,Quelle::N,buloq,аҵҵырҭа
104,Bach::N,o'zan,акəараҷҷа
105,Fluss::N,daryo,аӡиас
106,Ufer::N,sohil,ахықə
107,Küste::N,qirg'oq,ахықə
108,Festland::N,materik,абарра
109,Meer::N,dengiz,амшын
110,Bucht::N,qo'ltiq,аӡбжьахала
111,Insel::N,orol,адгьылбжьаха
112,Blume::N,gul,ашəҭ
113,Gras::N,sabza,аҳасакьын
114,Wurzel::N,tub,адац
115,Wurzel::N,tomir,адац
116,Baum::N,daraxt,аҵла
117,Stamm::N,o'simta,ашьапы
118,Rinde::N,qobiq,ацəа
119,Ast::N,shox,амахə
120,Ast::N,shox,амахəҭа
121,Zweig::N,butoq,амахə
122,Zweig::N,butoq,амахəҭа
123,Blatt::N,barg,абҕьы
124,Birke::N,qayin,аҵааҵла
125,Kiefer[Baum]::N,qarag'ay,амза
126,Weide[Baum]::N,shum,аҧслыш
127,Tanne::N,archa,аҧсаӡ
128,Horn::N,mugiz,атəыҩа
129,Feder::N,par,ахӡы
130,Fell::N,mo'yna,ацəа
131,Flügel::N,qanot,амҵəыжəа
132,Klaue::N,tirnoq,ашьапхыц
133,Kralle::N,tirnoq,
134,Schwanz::N,quyruq,аҵыхəа
135,Ei::N,tuxum,акəтаӷь
136,Nest::N,oshyon,аҭра
137,Nest::N,oshyon,аҵысҭра
138,Bau::N,o'pqon,аҭыҩра
139,Tier::N,hayvon,аҧстəы
140,Tier::N,hayvon,агыгшəыг
141,Herde::N,gala,агəарҭа
142,Kuh::N,inak,ажə
143,Bulle::N,ho'kiz,ацə
144,Pferd::N,ot,аҽы
145,Schaf::N,qo'y,ауаса
146,Schwein::N,cho'chqa,аҳəа
147,Hund::N,it,ала
148,Katze::N,mushuk,ацгəы
149,Bär::N,ayiq,амшə
150,Eichhörnchen::N,tiyin,аеш
151,Elch::N,los,аҽаҩа
152,Fuchs::N,tulki,абгахəыҷы
153,Hase::N,kuyon,ажьа
154,Maus::N,sichqon,аҳəынаҧ
155,Wolf::N,bo'ri,абгаду
156,Vogel::N,qush,аҧсаатə
157,Schwarm::N,to'da,
158,Huhn::N,tovuq,акəты
159,Hahn::N,xo'roz,арбаҕь
160,Gans::N,g'oz,аҟыз
161,Adler::N,burgut,ауарба
162,Ente::N,o'rdak,акəата
163,Eule::N,boyo'g'li,аты
164,Kranich::N,turna,апҟа
165,Krähe::N,qarg'a,аҟəараан
166,Kuckuck::N,kakku,акəыкəу
167,Schwan::N,oqkush,агьад
168,Fisch::N,baliq,аҧсыӡ
169,Barsch::N,olabug'a,ацəыбла
170,Hecht::N,cho'rtan,ахиаала
171,Schlange[Tier]::N,ilon,амаҭ
172,Wurm::N,qurt,ахəа
173,Wurm::N,qurt,ахəац
174,Spinne::N,o'rgimchak,абызкаҭаҳа
175,Ameise::N,chumoli,ашышкамс
176,Laus::N,bit,аҵа
177,Mücke::N,chivin,акəыбры
178,Fliege::N,pashsha,амҵ
179,Schmetterling::N,kapalak,аҧарҧалыкь
180,Beere::N,meva,аргуц
181,Apfel::N,olma,аҵəа
182,Pilz::N,qo'ziqorin,акəкəбаа
183,Zwiebel::N,piyoz,аџьымшьы
184,Zwiebel::N,piyoz,аџьымшьхы
185,Saat::N,äkin,ажəла
186,Korn::N,zarra,арыц
187,Heu::N,xashak,аҭəа
188,Schale::N,po'choq,ацəа
189,Grube::N,co'ra,ажра
190,Grube::N,co'ra,атыша
191,Falle::N,qopqon,арыҧҟьа
192,Schlinge::N,sirtmoq,аҟəараҟəантə
193,Spur::N,iz,ашьҭа
194,Asche::N,kul,ахəа
195,Dreck::N,kir,аҳəынҵəа
196,Dreck::N,kir,аҟьамсар
197,Eisen::N,temir,аиха
198,Gold::N,tilla,ахьы
199,Silber::N,kumush,аразны
200,Kohle::N,ko'mir,арацəа
201,Glas::N,oyna,асаркьа
202,Lehm::N,loy,анышəаҧшь
203,Sand::N,qum,аҧслымӡ
204,Mensch::N,odam,ауаҩы
205,Mann::N,ärkak,ахаҵа
206,Frau::N,ayol,аҧҳəыс
207,Kind::N,bola,ахəыҷы
208,Kind::N,kichkintoy,ахəыҷы
209,Junge::N,bola,аҷкəын
210,Junge::N,bola,ахаҵарҧыс
211,Mädchen::N,qiz,аӡӷаб
212,Familie::N,oila,аҭаацəа
213,Großvater::N,buva,абду
214,Großvater::N,katta ota,абду
215,Großmutter::N,buvi,анду
216,Großmutter::N,katta oyi,анду
217,Eltern::N,ota-ona,ани аби
218,Vater::N,ota,аб
219,Mutter::N,ona,ан
220,Sohn::N,o'g'il,аҧа
221,Tochter::N,qiz,аҧҳа
222,Bruder::N,og'a,аиашьа
223,Bruder::N,uka,аиашьа
224,Schwester::N,opa,Аҳəшьа
225,Schwester::N,singil,Аҳəшьа
226,Onkel::N,amaki,абиашьа
227,Onkel::N,amaki,аншьа
228,Tante::N,amma,абиаҳəшьа
229,Tante::N,xola,абиаҳəшьа
230,Ehemann::N,är,ахаҵа
231,Ehemann::N,är,аҧшəма
232,Ehefrau::N,rafiqa,аҧҳəыс
233,Freude::N,ayish,агəырӷьара
234,Gelächter::N,kulgi,ачча
235,Gelächter::N,kulgi,аччара
236,Glück::N,saodat,аразҟы
237,Kummer::N,g'am,агəырҩа
238,Wunsch::N,orzu,агəхəтəы
239,Wunsch::N,orzu,аҭахра
240,Lust::N,rag'bat,агəазыҳəара
241,Geist::N,ruh,аҧсы
242,Gedanke::N,fikr,ахəыцырҭа
243,Gedächtnis::N,äs,агəынкылара
244,Verstand::N,aql,ахшыҩ
245,Sinn::N,ma'ni,аҵакы
246,Grund::N,sabab,амзыз
247,Wahrheit::N,haq,аиаша
248,Gespräch::N,gap,аиҿцәажәара
249,Märchen::N,ärtak,алакə
250,Erzählung::N,rivoyat,ажәабжь
251,Nachricht::N,xabar,адырраҭара
252,Neuigkeit::N,yangilik,ажәабжь ҿыц
253,Name::N,ot,ахьӡ
254,Rätsel::N,topishmoq,ацуфара
255,Rede::N,nutq,ажәа
256,Sprache::N,til,абызшəа
257,Stimme::N,ovoz,абжьы
258,Wort::N,so'z,ажәа
259,Zeichen::N,alomat,адырга
260,Ruf::N,chaqiriq,аҿҭы
261,Lärm::N,taraq,ашьҭыбжь
262,Laut::N,tovush,ашьҭыбжь
263,Ton::N,un,атон
264,Lied::N,ashula,ашəа
265,Ruhe::N,tinchlik,аҭынчра
266,Leute::N,xaloyiq,ауаа
267,Volk::N,xalq,ажəлар
268,Arbeit::N,ish,аусура
269,Gast::N,mehmon,асас
270,Geschenk::N,hadya,аҳамҭа
271,Geschenk::N,hadya,аҿанҵа
272,Spiel::N,o'yin,ахəмарра
273,Gesellschaft::N,jamiyat,агəыҧ
274,Hilfe::N,yordam,ацхыраара
275,Freund::N,do'st,аҩыза
276,Kamerad::N,yo'ldosh,Аҧхнагьла
277,Angelegenheit::N,daxl,аус
278,Anzahl::N,son,ахыҧхьаӡара
279,Art::N,tur,ахкы
280,Stück::N,parcha,аҽыҭ
281,Teil::N,bo'lak,ахəҭа
282,Hälfte::N,yarim,абжа
283,Kreis::N,aylana,агьагьа
284,Kreuz::N,xoch,аџьар
285,Linie::N,liniya,аицтәар
286,Strich::N,chiziq,ацəаҳəа
287,Abstand::N,oralik,абжьара
288,Entfernung::N,uzoqlik,абжьара
289,Gegend::N,yer,аҭыҧ
290,Platz::N,oralig,аҭыҧ
291,Ort::N,joy,аҭыҧ
292,Seite::N,yon,аган
293,Mitte::N,o'rta,агəҭа
294,Gegenstand::N,ashyo,амаҭəар
295,Sache::N,buyum,
296,Rand::N,chek,аҵкар
297,Kante::N,tig',авардым
298,Ecke::N,burchak,акəакь
299,Spitze::N,uch,аҧынҵа
300,Ende::N,oxir,анаӡара
301,Loch::N,teshik,акылҵəара
302,Winkel::N,go'sha,агҿаҩра
303,Winkel::N,go'sha,акəындхə
304,Winkel::N,go'sha,акəакь
305,Muster::N,nusha,аҟҟа
306,Größe::N,kattalik,изаҟароу
307,Länge::N,uzunlik,аура
308,Höhe::N,yuksaklik,агылара
309,Gewicht::N,solmoq,акапан
310,Menge::N,miqdor,
311,Haufen::N,uyum,ачаҟəа
312,Reihe::N,saf,ацəаҳəа
313,Boot::N,qayiq,анышь
314,Ruder::N,äshkak,ажəҩа
315,Schlitten::N,chana,ашəаҩауардын
316,Ski::N,chang'i,ашəаҩа
317,Ski::N,chang'i,ашьахаха
318,Lagerfeuer::N,gulxan,еиқуу амца
319,Last::N,yuk,ахьанҭара
320,Gang::N,yurish,аныҟəара
321,Schritt::N,qadam,ашьаҿа
322,Norden::N,shimol,аҩада
323,Süden::N,janub,алада
324,Westen::N,g'arb,амраҭашəара
325,Osten::N,sharq,амрагылара
326,Holz::N,yog'och,амҿымаҭəахə
327,Brett::N,taxta,аӷəы
328,Platte::N,tabaqa,ахаҳәцәы
329,Stütze::N,tayanchi,аҵаргəа
330,Stütze::N,tayanchi,агəышьаҟа
331,Stange::N,qo'noq,акьат
332,Stock::N,tayoq,алаба
333,Stab::N,gavron,акьат
334,Rohr::N,tarnov,абыкь
335,Haus::N,uy,аҩны
336,Heim::N,makon,аҭаацəа
337,Ofen::N,pechka,аҳақə
338,Ofen::N,pechka,ауаџьаҟ
339,Ofen::N,pechka,афрына
340,Fußboden::N,pol,адашьма
341,Tisch::N,mosa,аишәа
342,Stuhl::N,o'rindiq,аҟəардə
343,Wiege::N,beshik,агара
344,Bett::N,yotoq,акаруаҭ
345,Regal::N,tokcha,акыӷəра
346,Kiste::N,sandiq,аидчаҧала
347,Fenster::N,deraza,аҧенџьыр
348,Tür::N,äshik,ашə
349,Tor::N,darvoza,агəашə
350,Zaun::N,panjara,аанда
351,Dach::N,tom,ахыб
352,Leiter::N,narvon,амардуан
353,Besen::N,supurgi,аҧссага
354,Spaten::N,bel,ажыга
355,Schaufel::N,kurak,аҭəарӷəы
356,Gabel::N,bilka,ачқьыҧ
357,Löffel::N,qoshiq,амҳаҵə
358,Messer::N,pichoq,аҳəызба
359,Nagel::N,mix,аҵəымӷ
360,Netz::N,to'r,акаҭа
361,Haken::N,ilgak,аҵəаҳə
362,Griff::N,sop,амаа
363,Griff::N,tutqich,амаа
