,Concept_ID,bn,az
0,Auge::N,চক্ষু,göz
1,Ohr::N,কর্ণ,qulaq
2,Nase::N,নাক,burun
3,Mund::N,মুখ,ağız
4,Zahn::N,দাঁত,diş
5,Zunge::N,জিহবা,dil
6,Lippe::N,অধর,dodaq
7,Wange::N,গণ্ড,yanaq
8,Gesicht::N,মুখমণ্ডল,üz
9,Stirn::N,কপাল,alın
10,Haar::N,চুল,saç
11,Schnurrbart::N,গোঁফ,bığ
12,Bart::N,শ্মশ্রু,saqqal
13,Kinn::N,চিবুক,çənə
14,Kiefer[Anatomie]::N,চোয়াল,çənə
15,Kehle::N,কণ্ঠ,boğaz
16,Hals::N,গল,boyun
17,Genick::N,ঘাড়,ənsə
18,Kopf::N,মাথা,baş
19,Rücken::N,পৃষ্ঠ,bel
20,Bauch::N,উদর,qarın
21,Nabel::N,নাভি,göbək
22,Busen::N,স্তন,məmə
23,Brust::N,বুক,döş
24,Schulter::N,স্কন্ধ,çiyin
25,Arm::N,বাহু,qol
26,Ellenbogen::N,কনুই,dirsək
27,Hand::N,হাত,əl
28,Handfläche::N,করতল,ovuc
29,Finger::N,আঙ্গুল,barmaq
30,Fingernagel::N,হাতের নখ,barmaq dırnağı
31,Nagel[Anatomie]::N,নখ,dırnak
32,Zeh::N,আঙ্গুল,ayaq barmağı
33,Fuß::N,পা,ayaq
34,Ferse::N,গোড়ালি,daban
35,Knie::N,হাঁটু,diz
36,Oberschenkel::N,ঊরু,bud
37,Bein::N,পা,qıç
38,Körper::N,দেহ,əndam
39,Haut::N,ত্বক,dəri
40,Blut::N,রক্ত,qan
41,Ader::N,শিরা,damar
42,Sehne::N,কণ্ডরা,vətər
43,Knochen::N,অস্থি,sümük
44,Gehirn::N,মস্তিষ্ক,beyin
45,Herz::N,হৃৎপিণ্ড,ürək
46,Magen::N,পাকস্থলী,mədə
47,Leber::N,যকৃৎ,qara ciyər
48,Atem::N,শ্বাস,nəfəs
49,Hunger::N,ক্ষুধা,aclıq
50,Träne::N,অশ্রু,göz yaşı
51,Geschmack::N,স্বাদ,tam
52,Geschmack::N,স্বাদ,ləzzət
53,Geruch::N,গন্ধ,qoxu
54,Schlaf::N,ঘুম,yuxu
55,Traum::N,স্বপ্ন,röya
56,Himmel::N,আকাশ,göy
57,Himmel::N,আকাশ,səma
58,Sonne::N,সূর্য,günəş
59,Mond::N,চন্দ্র,ay
60,Stern::N,নক্ষত্র,ulduz
61,Luft::N,বায়ু,hava
