,Concept_ID,ady,ar
0,Auge::N,нэ,عين
1,Ohr::N,тхьакӏу́м,أذن
2,Nase::N,пэ,أنف
3,Mund::N,жэ,فم
4,Zahn::N,цэ,سن
5,Zunge::N,бзэгу,لسان
6,Lippe::N,ӏупшӏэ́,شفة
7,Wange::N,нэкӏу́шъу,خد
8,Wange::N,нэкӏу́шъу,وجنة
9,Gesicht::N,нэ́гу,وجه
10,Stirn::N,натӏэ́,جبين
11,Haar::N,шъхьацы́,شعر
12,Bart::N,жакӏэ́,لحية
13,Kinn::N,жэкӏэпэпкъ,ذقن
14,Kiefer[Anatomie]::N,жэпкъы́,فك
15,Kehle::N,чый,حلق
16,Hals::N,пшъэ,عنق
17,Hals::N,пшъэ,رقبة
18,Genick::N,шъхьэпхэтыку,قفا
19,Kopf::N,шъхьэ́,رأس
20,Rücken::N,кӏыбы́,ظهر
21,Bauch::N,ныбэ́,بطن
22,Busen::N,бгъэ́,ثدي
23,Brust::N,бгъэ́,صدر
24,Schulter::N,блыпкъ,كتف
25,Arm::N,ӏэ,ذراع
26,Ellenbogen::N,ӏэнтэ́гъу,كوع
27,Hand::N,ӏэтхьэцу,يد
28,Handfläche::N,ӏэ́гу,كف
29,Finger::N,ӏэхъуа́мб,إصبع
30,Fingernagel::N,ӏэбжъа́н,ظفر
31,Nagel[Anatomie]::N,ӏэбжъа́н,ظفر
32,Zeh::N,ӏэхъуа́мб,إصبع القدم
33,Fuß::N,лъэгу,قدم
34,Ferse::N,лъэдакъэ,كعب
35,Knie::N,лъагуа́ндж,ركبة
36,Oberschenkel::N,ко,فخذ
37,Bein::N,лъакъо́,ساق
38,Körper::N,пкъышъол,جسم
39,Haut::N,кӏы́шъу,بشرة
40,Blut::N,лъы,دم
41,Ader::N,льытф,عرق
42,Sehne::N,фэ,طنب
43,Knochen::N,къупшъхьэ́,عظم
44,Gehirn::N,куцӏы,دماغ
45,Herz::N,гу,قلب
46,Magen::N,мышкӏу,معدة
47,Leber::N,шӏу,كبد
48,Atem::N,къэщэныр,نفس
49,Hunger::N,гъаблэ́,جوع
50,Träne::N,нэпсы,دمعة
51,Geschmack::N,ӏэшӏугъа́кӏ,طعم
52,Geschmack::N,ӏэшӏугъа́кӏ,مذاق
53,Geruch::N,мэ,رائحة
54,Schlaf::N,пчыхьы́пӏ,نوم
