,Concept_ID,br,eu
0,Auge::N,lagad,begi
1,Ohr::N,skouarn,belarri
2,Nase::N,fri,sudur
3,Mund::N,genoù,aho
4,Zahn::N,dant,hortz
5,Zunge::N,teod,mihi
6,Lippe::N,muzell,ezpain
7,Wange::N,chot,masail
8,Gesicht::N,dremm,aurpegi
9,Stirn::N,tal,bekoki
10,Haar::N,blev,ile
11,Haar::N,blev,bilo
12,Schnurrbart::N,mourenn,bibote
13,Schnurrbart::N,mourenn,sudurpeko
14,Bart::N,barv,bizar
15,Kinn::N,groñj,kokots
16,Kiefer[Anatomie]::N,javed,masailezur
17,Kehle::N,gouzoug,eztarri
18,Hals::N,gouzoug,sama
19,Genick::N,choug,garondo
20,Kopf::N,penn,buru
21,Rücken::N,kein,bizkar
22,Bauch::N,kof,sabel
23,Nabel::N,begel,zilbor
24,Busen::N,bronn,titi
25,Busen::N,bronn,ugatz
26,Brust::N,bruched,bular
27,Schulter::N,skoaz,besaburu
28,Arm::N,brec'h,beso
29,Ellenbogen::N,ilin,ukondo
30,Hand::N,dorn,esku
31,Handfläche::N,palv,ahur
32,Finger::N,biz,hatz
33,Fingernagel::N,ivin,azazkal
34,Nagel[Anatomie]::N,ivin,azazkal
35,Zeh::N,biz-troad,behatz
36,Fuß::N,troad,oin
37,Ferse::N,seul,orpo
38,Ferse::N,seul,oinburu
39,Knie::N,glin,belaun
40,Oberschenkel::N,morzhed,izter
41,Bein::N,gar,zango
42,Körper::N,korf,soin
43,Haut::N,kroc'hen,azal
44,Blut::N,gwad,odol
45,Ader::N,gwazhi,zain
46,Sehne::N,stir,gihar-zain
47,Knochen::N,askorn,hezur
48,Gehirn::N,empenn,garun
49,Gehirn::N,empenn,burmuin
50,Herz::N,kalon,bihotz
51,Magen::N,stomog,urdail
52,Leber::N,avu,gibel
53,Atem::N,anal,hats
54,Atem::N,anal,arnasa
55,Hunger::N,naon,gose
56,Träne::N,daer,malko
57,Geschmack::N,blaz,dasta
58,Geruch::N,c'hwezh,usain
59,Schlaf::N,kousked,lo
60,Traum::N,hune,amets
61,Himmel::N,oabl,zeru
62,Sonne::N,heol,eguzki
63,Mond::N,loar,ilargi
64,Stern::N,steredenn,izar
65,Luft::N,aer,aire
66,Wind::N,avel,haize
67,Welle::N,houlenn,uhin
68,Welle::N,houlenn,olatu
69,Wasser::N,dour,ur
70,Stein::N,maen,harri
71,Boden::N,tachenn,lur
72,Boden::N,tachenn,zoru
73,Erde::N,douar,lur
74,Staub::N,poultr,hauts
75,Rauch::N,moged,ke
76,Funke::N,ful,zirta
77,Funke::N,ful,txinparta
78,Feuer::N,tan,su
79,Licht::N,gouloù,argi
80,Schatten::N,disheol,itzal
81,Schatten::N,disheol,geriza
82,Wetter::N,amzer,eguraldi
83,Nebel::N,brumenn,laino
84,Wolke::N,koumoulenn,hodei
85,Regen::N,glav,euri
86,Schnee::N,erc'h,elur
87,Eis::N,skorn,horma
88,Frost::N,rev,izotzaldi
89,Kälte::N,yen,hotz
90,Hitze::N,tommder,bero
91,Raureif::N,frim,antzigar
92,Regenbogen::N,gwareg-ar-glav,ostadar
93,Regenbogen::N,gwareg-ar-glav,ortzadar
94,Donner::N,kurun,ostots
95,Donner::N,kurun,ihurtzuri
96,Strömung::N,red,laster
97,Tropfen::N,bannac'h,xorta
98,Tropfen::N,takenn,xorta
99,Schaum::N,spoum,bits
100,Schmutz::N,fank,lohi
101,Schmutz::N,fank,zikin
102,See::N,lenn,laku
103,See::N,lenn,aintzira
104,Sumpf::N,gwern,zingira
105,Moor::N,taouarc'heg,zohikaztegi
106,Wiese::N,prad,larre
107,Wiese::N,prad,belardi
108,Wald::N,koad,baso
109,Wald::N,koad,oihan
110,Hügel::N,torgenn,muino
111,Hügel::N,torgenn,pentoka
112,Anhöhe::N,run,garai
113,Anhöhe::N,run,goragune
114,Berg::N,menez,mendi
115,Gipfel::N,barr,gain
116,Gipfel::N,barr,tontor
117,Höhle::N,kav,kobazulo
118,Abhang::N,naou,aldapa
119,Quelle::N,feunteun,iturri
120,Quelle::N,feunteun,iturbegi
121,Bach::N,gwazh,lats
122,Bach::N,gwazh,erreka
123,Fluss::N,stêr,ibai
124,Fluss::N,stêr,uhaitz
125,Ufer::N,ribl,bazter
126,Küste::N,aod,itsasalde
127,Festland::N,douar,lehor
128,Meer::N,mor,itsaso
129,Bucht::N,mor-bihan,golko
130,Insel::N,enez,irla
131,Insel::N,enez,uharte
132,Blume::N,bleunienn,lili
133,Gras::N,geot,belar
134,Wurzel::N,gwrizienn,zuztar
135,Wurzel::N,gwrizienn,sustrai
136,Baum::N,gwezenn,zuhaitz
137,Stamm::N,kef,enbor
138,Rinde::N,rusk,azal
139,Ast::N,barr,adar
140,Zweig::N,bod,abar
141,Blatt::N,delienn,hosto
142,Birke::N,bezvenn,urki
143,Kiefer[Baum]::N,pinenn,ler
144,Weide[Baum]::N,halegenn,zume
145,Weide[Baum]::N,halegenn,sahats
146,Tanne::N,sapenn,izei
147,Horn::N,korn,adar
148,Feder::N,pluñv,luma
149,Feder::N,pluñv,hegaki
