,Concept_ID,mn,hi
0,Auge::N,нүд,आँख
1,Auge::N,нүд,चक्षु
2,Ohr::N,чих,कान
3,Ohr::N,чих,कर्ण
4,Nase::N,хамар,नाक
5,Nase::N,хамар,नासा
6,Mund::N,ам,मुख
7,Mund::N,ам,मुँह
8,Zahn::N,шүд,दंत
9,Zahn::N,шүд,दाँत
10,Zunge::N,хэл,जीभ
11,Zunge::N,хэл,ज़बान
12,Zunge::N,хэл,जिह्वा
13,Lippe::N,уруул,ओंठ
14,Lippe::N,уруул,होंठ
15,Wange::N,хацар,गाल
16,Wange::N,хацар,कपोल
17,Gesicht::N,царай,मुँह
18,Gesicht::N,царай,चेहरा
19,Gesicht::N,нүүр,मुँह
20,Gesicht::N,нүүр,चेहरा
21,Stirn::N,дух,माथा
22,Stirn::N,дух,मस्तक
23,Haar::N,үс,बाल
24,Schnurrbart::N,дээд сахал,मूँछें
25,Schnurrbart::N,живэр сахал,मूँछें
26,Bart::N,сахал,दाढ़ी
27,Kinn::N,эрүү,चिबुक
28,Kiefer[Anatomie]::N,эрүү,जबड़ा
29,Kehle::N,хоолой,गला
30,Hals::N,хүзүү,गला
31,Hals::N,хүзүү,गरदन
32,Genick::N,шил,गरदन
33,Genick::N,шил,ग्रीवा
34,Genick::N,хүзүү,गरदन
35,Genick::N,хүзүү,ग्रीवा
36,Kopf::N,толгой,सिर
37,Kopf::N,толгой,शीर्ष
38,Rücken::N,ар,पीठ
39,Rücken::N,нуруу,पीठ
40,Bauch::N,хэвлий,उदर
41,Bauch::N,гэдэс,उदर
42,Nabel::N,хүйс,नाभि
43,Nabel::N,хүйс,ढोंढी
44,Busen::N,хөх,कुच
45,Busen::N,хөх,स्तन
46,Brust::N,цээж,वक्ष
47,Schulter::N,мөр,कंधा
48,Schulter::N,мөр,स्कंध
49,Schulter::N,бугалга,कंधा
50,Schulter::N,бугалга,स्कंध
51,Arm::N,гар,बाँह
52,Arm::N,гар,बाज़ू
53,Ellenbogen::N,тохой,कुहनी
54,Hand::N,гар,हाथ
55,Hand::N,гар,हस्त
56,Hand::N,алга,हाथ
57,Hand::N,алга,हस्त
58,Handfläche::N,алга,हथेली
59,Finger::N,хуруу,उँगली
60,Finger::N,хуруу,अँगुली
61,Fingernagel::N,хурууны хумс,नख
62,Fingernagel::N,хурууны хумс,नाख़ून
63,Nagel[Anatomie]::N,хумс,नख
64,Nagel[Anatomie]::N,хумс,नाख़ून
65,Zeh::N,хуруу,उँगली
66,Zeh::N,хуруу,पाँव की उँगली
67,Fuß::N,хөл,चरण
68,Fuß::N,хөл,पाँव
69,Ferse::N,өсгий,एड़ी
70,Knie::N,өвдөг,जानु
71,Knie::N,өвдөг,घुटना
72,Oberschenkel::N,гуя,उरु
73,Bein::N,хөл,टाँग
74,Körper::N,бие,तन
75,Körper::N,бие,देह
76,Körper::N,бие,शरीर
77,Haut::N,арьс,चर्म
78,Haut::N,арьс,त्वचा
79,Blut::N,цус,लहू
80,Blut::N,цус,ख़ून
81,Ader::N,судас,रग
82,Ader::N,судас,शिरा
83,Sehne::N,бүлх,कंडरा
84,Sehne::N,бүлх,स्नायु
85,Sehne::N,шандас,कंडरा
86,Sehne::N,шандас,स्नायु
87,Knochen::N,яс,अस्थि
88,Gehirn::N,тархи,दिमाग़
89,Gehirn::N,тархи,मस्तिष्क
90,Herz::N,зүрх,दिल
91,Herz::N,зүрх,हृदय
92,Magen::N,ходоод,मेदा
93,Magen::N,ходоод,अमाशय
94,Leber::N,элэг,जिगर
95,Leber::N,элэг,यकृत्
96,Atem::N,амьсгаа,दम
97,Atem::N,амьсгаа,साँस
98,Atem::N,амьсгаа,श्वास
99,Hunger::N,өлсгөлөн,भूख
100,Hunger::N,өлсгөлөн,क्षुधा
101,Träne::N,нулимс,आँसू
102,Träne::N,нулимс,अश्रु
103,Geschmack::N,амт,स्वाद
104,Geschmack::N,амт,ज़ायक़ा
105,Geruch::N,үнэр,बू
106,Geruch::N,үнэр,गंध
107,Schlaf::N,нойр,नींद
108,Schlaf::N,нойр,निद्रा
109,Traum::N,зүүд,सपना
110,Traum::N,зүүд,स्वप्न
111,Himmel::N,тэнгэр,आकाश
112,Himmel::N,тэнгэр,आसमान
113,Himmel::N,огторгуй,आकाश
114,Himmel::N,огторгуй,आसमान
115,Sonne::N,нар,रवि
116,Sonne::N,нар,सूरज
117,Sonne::N,нар,सूर्य
118,Mond::N,сар,चाँद
119,Mond::N,сар,चंद्र
120,Stern::N,од,तारा
121,Stern::N,од,सितारा
122,Luft::N,агаар,हवा
123,Luft::N,агаар,वायु
124,Wind::N,салхи,पाद
125,Welle::N,долгио,लहर
126,Welle::N,долгио,तरंग
127,Welle::N,давалгаа,लहर
128,Welle::N,давалгаа,तरंग
129,Wasser::N,ус,जल
130,Wasser::N,ус,पानी
131,Stein::N,чулуу,पत्थर
132,Boden::N,хөрс,मिट्टी
133,Erde::N,газар,भूमि
134,Erde::N,газар,ज़मीन
135,Erde::N,шороо,भूमि
136,Erde::N,шороо,ज़मीन
137,Staub::N,тоос,धूल
138,Rauch::N,утаа,धूआँ
139,Rauch::N,утаа,धुम्र
140,Funke::N,оч,चिनगारी
141,Funke::N,оч,स्फुलिंग
142,Feuer::N,гал,आग
143,Feuer::N,гал,आतिश
