,Concept_ID,ru,es
0,Auge::N,глаз,ojo
1,Ohr::N,ухо,oreja
2,Nase::N,нос,nariz
3,Mund::N,рот,boca
4,Zahn::N,зуб,diente
5,Zunge::N,язык,lengua
6,Lippe::N,губа,labio
7,Wange::N,щека,mejilla
8,Gesicht::N,лицо,cara
9,Stirn::N,лоб,frente
10,Haar::N,волос,cabello
11,Haar::N,волосы,cabello
12,Schnurrbart::N,ус,bigote
13,Schnurrbart::N,усы,bigote
14,Bart::N,борода,barba
15,Kinn::N,подбородок,barbilla
16,Kiefer[Anatomie]::N,челюсть,mandíbula
17,Kehle::N,горло,garganta
18,Hals::N,шея,cuello
19,Genick::N,затылок,nuca
20,Genick::N,затылок,cerviz
21,Kopf::N,голова,cabeza
22,Rücken::N,спина,espalda
23,Bauch::N,живот,vientre
24,Nabel::N,пупок,ombligo
25,Busen::N,женская грудь,pecho
26,Brust::N,грудь,pecho
27,Schulter::N,плечо,hombro
28,Arm::N,рука,brazo
29,Ellenbogen::N,локоть,codo
30,Hand::N,кисть,mano
31,Handfläche::N,ладонь,palma
32,Finger::N,палец,dedo
33,Fingernagel::N,ноготь,uña
34,Nagel[Anatomie]::N,ноготь,uña
35,Zeh::N,палец,dedo del pie
36,Fuß::N,ступня,pie
37,Ferse::N,пята,talón
38,Ferse::N,пятка,talón
39,Knie::N,колено,rodilla
40,Oberschenkel::N,бедро,muslo
41,Bein::N,нога,pierna
42,Körper::N,тело,cuerpo
43,Haut::N,кожа,piel
44,Blut::N,кровь,sangre
45,Ader::N,вена,vena
46,Ader::N,сосуд,vena
47,Sehne::N,жила,tendón
48,Sehne::N,тетива,tendón
49,Sehne::N,сухожилие,tendón
50,Knochen::N,кость,hueso
51,Gehirn::N,мозг,cerebro
52,Gehirn::N,мозг,encéfalo
53,Herz::N,сердце,corazón
54,Magen::N,желудок,estómago
55,Leber::N,печень,hígado
56,Atem::N,дух,aliento
57,Atem::N,дыхание,aliento
58,Hunger::N,голод,hambre
59,Träne::N,слеза,lágrima
60,Geschmack::N,вкус,gusto
61,Geruch::N,запах,olor
62,Schlaf::N,сон,sueño
63,Traum::N,сновидение,sueño
64,Traum::N,сновидение,ensueño
65,Himmel::N,небо,cielo
66,Sonne::N,солнце,sol
67,Mond::N,луна,luna
68,Stern::N,звезда,estrella
69,Luft::N,воздух,aire
70,Wind::N,ветер,viento
71,Welle::N,волна,ola
72,Welle::N,волна,onda
73,Wasser::N,вода,agua
74,Stein::N,камень,piedra
75,Boden::N,почва,suelo
76,Erde::N,земля,tierra
77,Staub::N,пыль,polvo
78,Rauch::N,дым,humo
79,Funke::N,искра,chispa
80,Feuer::N,огонь,fuego
81,Licht::N,свет,luz
82,Schatten::N,тень,sombra
83,Wetter::N,погода,tiempo
84,Nebel::N,туман,niebla
85,Wolke::N,облако,nube
86,Regen::N,дождь,lluvia
87,Schnee::N,снег,nieve
88,Eis::N,лед,hielo
89,Frost::N,мороз,helada
90,Kälte::N,холод,frío
91,Hitze::N,жара,calor
92,Raureif::N,иней,escarcha
93,Regenbogen::N,радуга,arco iris
94,Donner::N,гром,trueno
95,Strömung::N,течение,corriente
96,Tropfen::N,капля,gota
97,Schaum::N,пена,espuma
98,Schmutz::N,грязь,suciedad
99,See::N,озеро,lago
100,Sumpf::N,топь,pantano
101,Moor::N,болото,turbera
102,Wiese::N,луг,prado
103,Wiese::N,луг,pradera
104,Wald::N,лес,bosque
105,Hügel::N,холм,colina
106,Anhöhe::N,возвышенность,cerro
107,Berg::N,гора,monte
108,Berg::N,гора,montaña
109,Gipfel::N,вершина,cima
110,Gipfel::N,вершина,cumbre
111,Höhle::N,пещера,cueva
112,Höhle::N,пещера,caverna
113,Abhang::N,склон,cuesta
114,Abhang::N,склон,declive
115,Quelle::N,источник,fuente
116,Quelle::N,источник,manantial
117,Bach::N,ручей,arroyo
118,Fluss::N,река,río
119,Ufer::N,берег,orilla
120,Küste::N,побережье,costa
121,Festland::N,суша,tierra firme
122,Meer::N,море,mar
123,Bucht::N,бухта,cala
124,Bucht::N,бухта,bahía
125,Insel::N,остров,isla
126,Blume::N,цветок,flor
127,Gras::N,трава,hierba
128,Wurzel::N,корень,raíz
129,Baum::N,дерево,árbol
130,Stamm::N,ствол,tronco
131,Rinde::N,кора,corteza
132,Ast::N,сук,rama
133,Zweig::N,ветвь,ramo
134,Blatt::N,лист,hoja
135,Birke::N,береза,abedul
136,Kiefer[Baum]::N,сосна,pino
137,Weide[Baum]::N,ива,sauce
138,Tanne::N,ель,abeto
139,Horn::N,рог,asta
140,Horn::N,рог,cuerno
141,Feder::N,перо,pluma
142,Fell::N,шкура,piel
143,Flügel::N,крыло,ala
144,Klaue::N,коготь,garra
145,Kralle::N,лапа,uña
146,Kralle::N,лапа,garra
147,Schwanz::N,хвост,cola
148,Ei::N,яйцо,huevo
149,Nest::N,гнездо,nido
150,Bau::N,нора,madriguera
151,Tier::N,животное,animal
152,Herde::N,стадо,rebaño
153,Kuh::N,корова,vaca
154,Bulle::N,бык,toro
155,Pferd::N,лошадь,caballo
156,Schaf::N,овца,oveja
157,Schwein::N,свинья,cerdo
158,Hund::N,собака,perro
159,Katze::N,кошка,gato
