,Concept_ID,sl,mn
0,Auge::N,okó,нүд
1,Ohr::N,uhó,чих
2,Nase::N,nós,хамар
3,Mund::N,ústa,ам
4,Zahn::N,zób,шүд
5,Zunge::N,jêzik,хэл
6,Lippe::N,ústnica,уруул
7,Wange::N,líce,хацар
8,Gesicht::N,oblíčje,царай
9,Gesicht::N,oblíčje,нүүр
10,Stirn::N,čêlo,дух
11,Haar::N,lás,үс
12,Schnurrbart::N,bŕki,дээд сахал
13,Schnurrbart::N,bŕki,живэр сахал
14,Bart::N,bráda,сахал
15,Kinn::N,bráda,эрүү
16,Kiefer[Anatomie]::N,čeljúst,эрүү
17,Kehle::N,gŕlo,хоолой
18,Hals::N,vrát,хүзүү
19,Genick::N,zatílnik,шил
20,Genick::N,zatílnik,хүзүү
21,Kopf::N,gláva,толгой
22,Rücken::N,hrbèt,ар
23,Rücken::N,hrbèt,нуруу
24,Bauch::N,trébuh,хэвлий
25,Bauch::N,trébuh,гэдэс
26,Nabel::N,pópek,хүйс
27,Busen::N,nédrja,хөх
28,Brust::N,pŕsi,цээж
29,Schulter::N,ráma,мөр
30,Schulter::N,ráma,бугалга
31,Schulter::N,plêče,мөр
32,Schulter::N,plêče,бугалга
33,Arm::N,rôka,гар
34,Ellenbogen::N,komólec,тохой
35,Hand::N,rôka,гар
36,Hand::N,rôka,алга
37,Handfläche::N,dlán,алга
38,Finger::N,pŕst,хуруу
39,Fingernagel::N,nóht na rôki,хурууны хумс
40,Nagel[Anatomie]::N,nóht,хумс
41,Zeh::N,pŕst na nôgi,хуруу
42,Fuß::N,nôga,хөл
43,Ferse::N,pêta,өсгий
44,Knie::N,koléno,өвдөг
45,Oberschenkel::N,stêgno,гуя
46,Bein::N,nôga,хөл
47,Körper::N,teló,бие
48,Haut::N,kóža,арьс
49,Blut::N,krí,цус
50,Ader::N,žíla,судас
51,Sehne::N,kíta,бүлх
52,Sehne::N,kíta,шандас
53,Knochen::N,kóst,яс
54,Gehirn::N,možgáni,тархи
55,Herz::N,srcé,зүрх
56,Magen::N,želódec,ходоод
57,Leber::N,jétra,элэг
58,Atem::N,díh,амьсгаа
59,Hunger::N,glád,өлсгөлөн
60,Träne::N,sólza,нулимс
61,Geschmack::N,okús,амт
62,Geruch::N,vónj,үнэр
63,Schlaf::N,sèn,нойр
64,Schlaf::N,spánec,нойр
65,Traum::N,sánje,зүүд
66,Himmel::N,nebó,тэнгэр
67,Himmel::N,nebó,огторгуй
68,Sonne::N,sónce,нар
69,Mond::N,lúna,сар
70,Mond::N,mésec,сар
71,Stern::N,zvézda,од
72,Luft::N,zràk,агаар
73,Wind::N,véter,салхи
74,Welle::N,vál,долгио
75,Welle::N,vál,давалгаа
76,Wasser::N,vôda,ус
77,Stein::N,kámen,чулуу
78,Boden::N,tlà,хөрс
79,Erde::N,pŕst,газар
80,Erde::N,pŕst,шороо
81,Erde::N,zêmlja,газар
82,Erde::N,zêmlja,шороо
83,Staub::N,práh,тоос
84,Rauch::N,dìm,утаа
85,Funke::N,ískra,оч
86,Feuer::N,ôgenj,гал
87,Licht::N,lúč,гэрэл
88,Licht::N,lúč,гэгээ
89,Schatten::N,sénca,сүүдэр
90,Wetter::N,vrême,тэнгэр
91,Wetter::N,vrême,цаг уур
92,Nebel::N,meglà,будан
93,Wolke::N,oblák,үүл
94,Regen::N,dèž,бороо
95,Schnee::N,snég,цас
96,Eis::N,léd,мөс
97,Frost::N,zmrzál,хүйт
98,Kälte::N,mràz,хүйт
99,Hitze::N,pripéka,халуун
100,Raureif::N,ívje,цан
101,Raureif::N,ívje,хяруу
102,Raureif::N,slána,цан
103,Raureif::N,slána,хяруу
104,Regenbogen::N,mávrica,солонго
105,Donner::N,gròm,тэнгэрийн дуу
106,Strömung::N,strúja,урсгал
107,Tropfen::N,káplja,дусал
108,Schaum::N,péna,хөөс
109,Schmutz::N,nesnága,хир
110,Schmutz::N,nesnága,шавхай
111,See::N,jézero,нуур
112,Sumpf::N,močvírje,намаг
113,Sumpf::N,močvírje,балчиг
114,Moor::N,bárje,хүлрийн намаг
115,Wiese::N,trávnik,нуга
116,Wald::N,lés,ой
117,Wald::N,gòzd,ой
118,Hügel::N,brég,болдог
119,Hügel::N,goríca,болдог
120,Anhöhe::N,gríč,гүвээ
121,Anhöhe::N,višína,гүвээ
122,Berg::N,gôra,уул
123,Berg::N,planína,уул
124,Gipfel::N,vŕh,орой
125,Gipfel::N,vŕh,оргил
126,Höhle::N,jáma,агуй
127,Höhle::N,votlína,агуй
128,Abhang::N,pobóčje,хүр
129,Quelle::N,izvír,булаг
130,Bach::N,pôtok,горхи
131,Fluss::N,réka,гол
132,Fluss::N,réka,мөрөн
133,Ufer::N,brég,эрэг
134,Küste::N,obála,эрэг
135,Küste::N,obréžje,эрэг
136,Festland::N,celína,хуурай газар
137,Festland::N,kopnína,хуурай газар
138,Meer::N,mórje,далай
139,Meer::N,mórje,тэнгис
140,Bucht::N,zalív,булан
141,Bucht::N,zalív,далайн тохой
142,Insel::N,ôtok,арал
143,Blume::N,cvetlíca,цэцэг
144,Gras::N,tráva,өвс
145,Gras::N,tráva,ногоо
146,Wurzel::N,korenína,үндэс
147,Baum::N,drevó,мод
148,Stamm::N,dêblo,иш
149,Stamm::N,dêblo,гуалин
150,Rinde::N,lúbje,холтос
151,Rinde::N,skórja,холтос
152,Ast::N,véja,гишүү
153,Zweig::N,véja,салаа
154,Blatt::N,líst,навч
155,Birke::N,bréza,хус
156,Kiefer[Baum]::N,bòr,нарс
157,Weide[Baum]::N,vŕba,уд
158,Weide[Baum]::N,vŕba,бургас
159,Tanne::N,hója,гачуур
160,Horn::N,róg,эвэр
161,Feder::N,peró,өд
162,Fell::N,kŕzno,арьс
163,Flügel::N,krílo,жигүүр
164,Flügel::N,krílo,далавч
165,Klaue::N,párkelj,савар
166,Klaue::N,párkelj,хумс
167,Kralle::N,krémpelj,савар
168,Schwanz::N,rèp,сүүл
169,Ei::N,jájce,өндөг
170,Nest::N,gnézdo,үүр
171,Bau::N,brlòg,нүх
172,Bau::N,brlòg,элүү
173,Tier::N,živál,амьтан
174,Tier::N,živál,адгуус
