,Concept_ID,cv,lt
0,Auge::N,куҫ,akis
1,Ohr::N,хӑлха,ausis
2,Nase::N,сӑмса,nosis
3,Mund::N,ҫӑвар,burna
4,Zahn::N,шӑл,dantis
5,Zunge::N,чӗлхе,liežuvis
6,Lippe::N,тута,lūpa
7,Wange::N,пит ҫӑмарти,žandas
8,Wange::N,пит ҫӑмарти,skruostas
9,Gesicht::N,пит,veidas
10,Gesicht::N,пит-куҫ,veidas
11,Stirn::N,ҫамка,kakta
12,Haar::N,ҫӳҫ,plaukai
13,Schnurrbart::N,усси,ūsai
14,Bart::N,сухал,barzda
15,Kinn::N,янах,smakras
16,Kiefer[Anatomie]::N,янах,žandikaulis
17,Kehle::N,пыр,gerklė
18,Kehle::N,карланкӑ,gerklė
19,Hals::N,пыр,kaklas
20,Genick::N,ӗнсе,sprandas
21,Kopf::N,пуҫ,galva
22,Rücken::N,ҫурӑм,nugara
23,Nabel::N,кӑвапа,bamba
24,Busen::N,кӑкӑр,krūtinė
25,Brust::N,умӗ,krūtis
26,Schulter::N,хул пуҫҫи,petys
27,Arm::N,алӑ,ranka
28,Ellenbogen::N,чавса,alkūnė
29,Hand::N,алӑ сыппи,ranka
30,Hand::N,алӑ сыппи,plaštaka
31,Handfläche::N,ал лаппи,delnas
32,Handfläche::N,ал лаппи,plaštaka
33,Finger::N,пӳрне,pirštas
34,Fingernagel::N,чӗрне,nagas
35,Nagel[Anatomie]::N,чӗрне,nagas
36,Zeh::N,пӳрне,pirštas
37,Fuß::N,ура лаппи,pėda
38,Ferse::N,кӗле,kulnas
39,Knie::N,чӗркуҫҫи,kelis
40,Oberschenkel::N,пӗҫӗ,kulšis
41,Oberschenkel::N,пӗҫӗ,šlaunis
42,Bein::N,ура,koja
43,Körper::N,ӳт,kūnas
44,Körper::N,ӳт-пӳ,kūnas
45,Haut::N,тир,oda
46,Blut::N,юн,kraujas
47,Ader::N,вена,kraujagyslė
48,Sehne::N,шӑнӑр,sausgyslė
49,Knochen::N,шӑмӑ,kaulas
50,Gehirn::N,миме,smegenys
51,Herz::N,чӗре,širdis
52,Magen::N,хырӑмлӑх,skrandis
53,Leber::N,пӗвер,kepenys
54,Atem::N,сывлав,kvapas
55,Hunger::N,выҫлӑх,badas
56,Hunger::N,выҫлӑх,alkis
57,Träne::N,куҫҫуль,ašara
58,Geschmack::N,техӗм,skonis
59,Geruch::N,шӑршӑ,kvapas
60,Schlaf::N,ыйхӑ,miegas
61,Traum::N,тӗлӗк,sapnas
62,Himmel::N,пӗлӗт,dangus
63,Sonne::N,хӗвел,saulė
64,Mond::N,уйӑх,mėnulis
65,Stern::N,ҫӑлтӑр,žvaigždė
66,Luft::N,сывлӑш,oras
67,Wind::N,ҫил,vėjas
68,Welle::N,хум,banga
69,Welle::N,хум,vilnis
70,Wasser::N,шыв,vanduo
71,Wasser::N,шыв-шур,vanduo
72,Stein::N,чул,akmuo
73,Boden::N,тӑпра,žemė
74,Boden::N,тӑпра,dugnas
75,Erde::N,ҫӗр,žemė
76,Staub::N,тусан,dulkės
77,Rauch::N,тӗтӗм,dūmai
78,Funke::N,хӗм,kibirkštis
79,Feuer::N,вут,ugnis
80,Feuer::N,ҫулӑм,ugnis
81,Licht::N,ҫутӑ,šviesa
82,Schatten::N,сулхӑн,paūksmė
83,Wetter::N,ҫанталӑк,oras
84,Nebel::N,тӗтре,migla
85,Nebel::N,тӗтре,rūkas
86,Wolke::N,пӗлӗт,debesis
87,Regen::N,ҫумӑр,lietus
88,Schnee::N,юр,sniegas
89,Eis::N,пӑр,ledas
90,Frost::N,сивӗ,šalna
91,Kälte::N,сивӗ,šaltis
92,Hitze::N,вӗри,karštis
93,Hitze::N,шӑрӑх,karštis
94,Raureif::N,пас,šerkšnas
95,Regenbogen::N,асамат кӗперӗ,vaivorykštė
96,Donner::N,аслати,perkūnas
97,Donner::N,аслати,griaustinis
98,Strömung::N,юхӑ,tėkmė
99,Tropfen::N,тумлам,lašas
100,Schaum::N,кӑпӑк,putos
101,Schmutz::N,пылчӑк,purvas
102,See::N,кӳлӗ,ežeras
103,Sumpf::N,шур,klampynė
104,Sumpf::N,шур,liūnas
