,Concept_ID,myv,ady
0,Auge::N,сельме,нэ
1,Ohr::N,пиле,тхьакӏу́м
2,Nase::N,судо,пэ
3,Mund::N,курго,жэ
4,Zahn::N,пей,цэ
5,Zunge::N,кель,бзэгу
6,Lippe::N,турва,ӏупшӏэ́
7,Wange::N,чамабока,нэкӏу́шъу
8,Wange::N,чамаумарь,нэкӏу́шъу
9,Gesicht::N,чама,нэ́гу
10,Stirn::N,коня,натӏэ́
11,Haar::N,черь,шъхьацы́
12,Schnurrbart::N,ус,
13,Schnurrbart::N,муюк,
14,Bart::N,сакал,жакӏэ́
15,Kinn::N,уло,жэкӏэпэпкъ
16,Kiefer[Anatomie]::N,пейпакар,жэпкъы́
17,Kiefer[Anatomie]::N,пейловажа,жэпкъы́
18,Kehle::N,кирьгапарь,чый
19,Hals::N,кирьга,пшъэ
20,Genick::N,човонь,шъхьэпхэтыку
21,Kopf::N,пря,шъхьэ́
22,Rücken::N,копорь,кӏыбы́
23,Bauch::N,пеке,ныбэ́
24,Nabel::N,почо,
25,Busen::N,поте,бгъэ́
26,Brust::N,меште,бгъэ́
27,Schulter::N,лавтов,блыпкъ
28,Arm::N,кедь,ӏэ
29,Ellenbogen::N,кенерепакарь,ӏэнтэ́гъу
30,Hand::N,кедь,ӏэтхьэцу
31,Handfläche::N,кедькуншка,ӏэ́гу
32,Handfläche::N,кедьлапушка,ӏэ́гу
33,Finger::N,сур,ӏэхъуа́мб
34,Fingernagel::N,кенже,ӏэбжъа́н
35,Nagel[Anatomie]::N,кенже,ӏэбжъа́н
36,Zeh::N,пильге сур,ӏэхъуа́мб
37,Fuß::N,пильге,лъэгу
38,Ferse::N,кочкаря,лъэдакъэ
39,Knie::N,эле,лъагуа́ндж
40,Knie::N,эзне,лъагуа́ндж
41,Knie::N,кумажа,лъагуа́ндж
42,Oberschenkel::N,качо,ко
43,Bein::N,пильге,лъакъо́
44,Körper::N,рунго,пкъышъол
45,Haut::N,киське,кӏы́шъу
46,Blut::N,верь,лъы
47,Ader::N,сан,льытф
48,Sehne::N,коське сан,фэ
49,Knochen::N,пакарь,къупшъхьэ́
50,Gehirn::N,удем,куцӏы
51,Herz::N,седей,гу
52,Magen::N,пеке,мышкӏу
53,Leber::N,максо,шӏу
54,Atem::N,лексема,къэщэныр
55,Atem::N,оймень таргсема,къэщэныр
56,Hunger::N,вачочи,гъаблэ́
57,Träne::N,селведь,нэпсы
58,Geschmack::N,тансть,ӏэшӏугъа́кӏ
59,Geruch::N,чине,мэ
60,Schlaf::N,удома,пчыхьы́пӏ
61,Traum::N,он,пчыхьы́пӏ
62,Himmel::N,менель,уашъо́
63,Sonne::N,чи,тыгъэ
64,Mond::N,ков,мазэ
65,Stern::N,теште,жъуагъо́
66,Luft::N,кошт,жьы
67,Wind::N,варма,жьыбгъэ́
68,Welle::N,толкун,ор
69,Welle::N,толкун,оры
70,Wasser::N,ведь,псы
71,Stein::N,кев,мыжъо́
72,Boden::N,мода,чӏ́ыгу
73,Erde::N,мастор,чӏ́ыгу
74,Staub::N,пуль,сап
75,Rauch::N,качамо,ӏугъо́
76,Funke::N,сятко,мэшӏуа́ч
77,Feuer::N,тол,машӏо́
78,Licht::N,валдо,нэфы
79,Licht::N,валдо,нэфын
80,Schatten::N,сулей,жьау́
81,Schatten::N,сулей,ныбжьыкъу
82,Schatten::N,сулейкс,жьау́
83,Schatten::N,сулейкс,ныбжьыкъу
84,Wetter::N,ушо,
85,Nebel::N,сув,пща́гъу
86,Wolke::N,пель,ошъуапщэ
87,Regen::N,пиземс,ощхы
88,Schnee::N,лов,осы́
89,Eis::N,эй,мылы
90,Frost::N,кельме,
91,Kälte::N,якшамо,чъыӏэ́
92,Hitze::N,пси,фэба́е
93,Raureif::N,лекш,
94,Regenbogen::N,пурьгинечирьке, лэгъупэкъо́пс
95,Regenbogen::N,пурьгинеёнкс, лэгъупэкъо́пс
96,Donner::N,пурьгине,шыблэ́
97,Strömung::N,чудема,ток
98,Strömung::N,чудевкс,ток
99,Tropfen::N,петнявкс,ткӏопс
100,Tropfen::N,петнявкс,гъуаткӏу
101,Schaum::N,чов,тхъурбэ
102,Schmutz::N,рудаз,псынжъы
103,See::N,эрьке,хыку́м
104,See::N,эрьке,псыхъура́й
105,Sumpf::N,чей,орыжъ
106,Moor::N,чей,орыжъ
107,Wiese::N,луга,хъупӏэ́
108,Wiese::N,луга,мэкъупӏ
109,Wald::N,вирь,мэзы́
110,Hügel::N,губорь,ӏуашъхь
111,Hügel::N,пандыне,ӏуашъхь
112,Anhöhe::N,губорь,чӏыӏэтыгъ
113,Anhöhe::N,пандыне,чӏыӏэтыгъ
114,Berg::N,пандо,къушъхьэ́
115,Gipfel::N,пря,шыгу
116,Höhle::N,пещера,гъочӏэгъ
117,Abhang::N,пандочама,чапэ
118,Quelle::N,ушодкс,псынэчэ́чъ
119,Bach::N,чудикерькс,псышкуашку
120,Fluss::N,лей,псыхъо́
121,Ufer::N,чире,нэпкъы
122,Küste::N,лейчире,ӏушъо
123,Festland::N,мода,чӏл́ыгу
124,Meer::N,моря,хы
125,Bucht::N,усия,хыблыгу
126,Insel::N,усия,хыгъэхъу́н
127,Blume::N,цеця,къэгъа́гь
128,Gras::N,тикше,уцы́
129,Wurzel::N,юр,лъапсэ́
130,Wurzel::N,ундокс,лъапсэ́
131,Baum::N,чувто,чъыгы́
132,Stamm::N,рунго,пкъы
133,Rinde::N,суд,пхъашъо́
134,Rinde::N,керь,пхъашъо́
135,Ast::N,морго,куамэ
136,Zweig::N,тарад,къутамэ́
137,Blatt::N,лопа,тхьап
138,Birke::N,килей,пчэн
139,Kiefer[Baum]::N,пиче,сэснэй
140,Weide[Baum]::N,каль,пце́л
141,Tanne::N,куз,ель
142,Horn::N,сюро,бжъэ
143,Feder::N,толга,къамӏы́й
144,Fell::N,пона,шъо
145,Flügel::N,сёлмо,тамэ́
146,Klaue::N,кенже,лъэбжъа́н
147,Kralle::N,кенже,лъакъо
148,Schwanz::N,пуло,кӏэ
149,Ei::N,ал,кӏэнкӏэ́
150,Nest::N,пизэ,набгъо́
151,Bau::N,варя,гъу
152,Bau::N,варя,бы
153,Bau::N,пизе,гъу
154,Bau::N,пизе,бы
155,Tier::N,ракша,псэу́шъхь
156,Herde::N,стада,ӏэхъогъу
157,Kuh::N,скал,чэмы́
158,Bulle::N,бука,цу
159,Pferd::N,лишме,шы
160,Schaf::N,реве,мэлы́
161,Schwein::N,туво,къо
162,Hund::N,пине,бьэ
163,Hund::N,киска,бьэ
