,Concept_ID,en,ba
181,Fliege::N,fly,себен
182,Schmetterling::N,butterfly,күбәләк
183,Beere::N,berry,еләк
184,Apfel::N,apple,алма
185,Pilz::N,mushroom,бәшмәк
186,Zwiebel::N,onion,һуган
187,Saat::N,seed,орлоҡ
188,Korn::N,grain,иген
189,Heu::N,hay,бесән
190,Schale::N,husk,ҡабыҡ
191,Grube::N,pit,соҡор
192,Falle::N,trap,тоҙак
193,Falle::N,trap,ҡапҡан
194,Schlinge::N,noose,тоҙак
195,Spur::N,track,әҫер
196,Asche::N,ashes,көл
197,Dreck::N,filth,батҡаҡ
198,Eisen::N,iron,тимер
199,Gold::N,gold,алтын
200,Silber::N,silver,көмөш
201,Kohle::N,coal,күмер
202,Glas::N,glass,быяла
203,Lehm::N,clay,балсыҡ
204,Sand::N,sand,ҡом
205,Mensch::N,human,кеше
206,Mann::N,man,ир
207,Frau::N,woman,ҡатын
208,Kind::N,child,бала
209,Junge::N,boy,малай
210,Mädchen::N,girl,ҡыҙ
211,Mädchen::N,girl,ҡыҙыҡай
212,Familie::N,family,ғаилә
213,Großvater::N,grandfather,олатай
214,Großmutter::N,grandmother,әбәй
215,Eltern::N,parents,ата-әсә
216,Vater::N,father,атай
217,Mutter::N,mother,әсә
218,Sohn::N,son,ул
219,Tochter::N,daughter,ҡыҙ
220,Bruder::N,brother,агай
221,Schwester::N,sister,алай
222,Schwester::N,sister,һеңле
223,Onkel::N,uncle,ағай
224,Tante::N,aunt,апай
225,Ehemann::N,husband,ир
226,Ehefrau::N,wife,ҡатын
227,Freude::N,joy,шатлыҡ
228,Freude::N,joy,ҡыуаныс
229,Gelächter::N,laughter,көлөү
230,Glück::N,happiness,бәхет
231,Kummer::N,grief,ҡайғы
232,Wunsch::N,wish,теләк
233,Lust::N,desire,әүәҫлек
234,Geist::N,spirit,аң
235,Geist::N,spirit,рух
236,Gedanke::N,thought,уй
237,Gedanke::N,thought,фекер
238,Gedächtnis::N,memory,хәтер
239,Verstand::N,mind,аҡыл
240,Sinn::N,meaning,мәғәня
241,Grund::N,reason,сәбәп
242,Wahrheit::N,truth,дөрөҫлөк
243,Gespräch::N,talk,әңгәмә
244,Märchen::N,fairy tale,әкиәт
245,Erzählung::N,story,хикәйә
246,Nachricht::N,message,хәбәр
247,Neuigkeit::N,news,яңылыҡ
248,Name::N,name,исем
249,Rätsel::N,puzzle,йомаҡ
250,Rede::N,speech,телмәр
251,Sprache::N,language,тел
252,Sprache::N,language,телмәр
253,Stimme::N,voice,тауыш
254,Wort::N,word,һүҙ
255,Zeichen::N,sign,билдә
256,Ruf::N,call,саҡырыу
257,Lärm::N,noise,шаулау
258,Laut::N,sound,тауыш
259,Ton::N,tone,яңғырау
260,Lied::N,song,йыр
261,Ruhe::N,calm,ял
262,Ruhe::N,calm,тыныслыҡ
263,Leute::N,people,кешеләр
264,Volk::N,nation,халҡ
265,Arbeit::N,work,эш
266,Gast::N,guest,ҡунаҡ
267,Geschenk::N,gift,бүләк
268,Spiel::N,game,уйын
269,Gesellschaft::N,company,йәмғиәт
270,Hilfe::N,help,ярҙам
271,Freund::N,friend,дуҫ
272,Kamerad::N,companion,иптәш
273,Angelegenheit::N,matter,әш
274,Anzahl::N,count,һан
275,Art::N,sort,төр
276,Stück::N,piece,киҫәк
277,Teil::N,part,өлөш
278,Hälfte::N,half,ярты
279,Kreis::N,circle,түңәрәк
280,Kreuz::N,cross,тәре
281,Linie::N,line,һыҙыҡ
282,Strich::N,stroke,һыҙат
283,Abstand::N,gap,ара
284,Entfernung::N,distance,алыҫлыҡ
285,Gegend::N,area,урын
286,Platz::N,space,арауыҡ
287,Ort::N,place,ерҙәр
288,Ort::N,place,урындар
289,Ort::N,place,эш урыны
290,Seite::N,side,яҡ
291,Mitte::N,middle,урталыҡ
292,Gegenstand::N,item,нәмә
293,Sache::N,thing,нәмә
294,Sache::N,thing,әйбер
295,Rand::N,fringe,сит
296,Kante::N,edge,ҡабырға
297,Kante::N,edge,ян
298,Ecke::N,corner,мөйөш
299,Spitze::N,tip,ос
300,Ende::N,end,аҙаҡ
301,Loch::N,hole,тишек
302,Winkel::N,angle,мөйөш
303,Muster::N,pattern,биҙәк
304,Größe::N,size,ҙурлыҡ
305,Länge::N,length,оҙонлоҡ
306,Höhe::N,height,бейеклек
307,Gewicht::N,weight,үлсәү
308,Menge::N,amount,һан
309,Haufen::N,heap,өйөм
310,Reihe::N,row,рәт
311,Boot::N,boat,кәмә
312,Ruder::N,oar,ишкәк
313,Schlitten::N,sleigh,сана
314,Ski::N,ski,саңгы
315,Lagerfeuer::N,campfire,костер
316,Last::N,load,ауырлыҡ
317,Gang::N,walk,барыу
318,Schritt::N,step,аҙым
319,Norden::N,north,төньяҡ
320,Süden::N,south,көньяҡ
321,Westen::N,west,көнбайыш
322,Osten::N,east,көнсығыш
323,Holz::N,wood,үағас
324,Brett::N,board,таҡта
325,Platte::N,slab,плита
326,Stütze::N,bracket,терәк
327,Stange::N,pole,кәртә
328,Stock::N,stick,таяҡ
329,Stab::N,staff,ҡолға
330,Rohr::N,pipe,торба
331,Haus::N,house,өй
332,Haus::N,house,йорт
333,Heim::N,home,өй
334,Ofen::N,stove,мейес
335,Fußboden::N,floor,енес
336,Tisch::N,table,өҫтәл
337,Stuhl::N,chair,ултырғыс
338,Wiege::N,cradle,бишек
339,Bett::N,bed,карауат
340,Regal::N,shelf,кәштә
341,Kiste::N,box,йәшинк
342,Fenster::N,window,тәҙрә
343,Tür::N,door,ишек
344,Tor::N,gate,ҡапҡа
345,Zaun::N,fence,ҡойма
346,Dach::N,roof,түбә
347,Dach::N,roof,ҡыйыҡ
348,Leiter::N,ladder,баҫҡыс
349,Besen::N,broom,һепертке
350,Spaten::N,spade,көрәк
351,Schaufel::N,shovel,көрәк
352,Gabel::N,fork,сәнске
353,Löffel::N,spoon,ҡалаҡ
354,Messer::N,knife,бысаҡ
355,Nagel::N,nail,сөй
356,Netz::N,net,ау
357,Haken::N,hook,ыргаҡ
358,Griff::N,handle,тотҡа
359,Schloss::N,lock,йоҙаҡ
360,Bild::N,picture,картина
361,Figur::N,figure,һын
362,Puppe::N,doll,ҡурсаҡ
363,Beutel::N,pouch,тоҡ
364,Bündel::N,bundle,төргәк
365,Tasche::N,bag,сумка
366,Eimer::N,bucket,биҙрә
367,Deckel::N,cover,ҡапҡас
368,Geschirr::N,dishes,һауыт-һаба
369,Sack::N,sack,тоҡ
370,Tasse::N,cup,сынаяҡ
371,Topf::N,pot,кәстрүл
372,Kessel::N,kettle,ҡаҙан
373,Essen::N,meal,ашау
374,Nahrung::N,food,аҙыҡ
375,Speise::N,dish,аш
376,Fleisch::N,meat,ит
377,Getreide::N,corn,иген
378,Getreide::N,corn,ашлыҡ
379,Brei::N,mush,бутҡа
380,Brot::N,bread,икмәк
381,Scheibe::N,slice,телем
382,Fett::N,fat,май
383,Butter::N,butter,май
384,Öl::N,oil,май буяуы
385,Salz::N,salt,тоҙ
386,Suppe::N,soup,һурпа
387,Honig::N,honey,бал
388,Milch::N,milk,һөт
389,Tee::N,tea,сәй
390,Leder::N,leather,күн
391,Wolle::N,wool,йөн
392,Stoff::N,cloth,туҡыма
393,Nadel::N,needle,энә
394,Faden::N,thread,еп
395,Knopf::N,button,төймә
396,Knoten::N,knot,төйөн
397,Farbe::N,paint,буяу
398,Kleidung::N,clothes,кейем
399,Hemd::N,shirt,күлдәк
400,Kragen::N,collar,яға
401,Ärmel::N,sleeve,ең
402,Hose::N,trousers,салбар
403,Gürtel::N,belt,ҡайыш
404,Mütze::N,cap,бүрк
405,Schuh::N,shoe,туфли
406,Stiefel::N,boot,итек
407,Ring::N,ring,йөҙөк
408,Ring::N,ring,балдаҡ
409,Band::N,ribbon,таҫма
410,Kamm::N,comb,тараҡ
411,Spiegel::N,mirror,көзгө
412,Riemen::N,strap,ҡайыш
413,Schnur::N,string,бау
414,Leine::N,leash,бау
415,Decke::N,blanket,одеяд
416,Kissen::N,pillow,мендәр
417,Tuch::N,scarf,яулыҡ
418,Handtuch::N,towel,таҫтамал
419,Kraft::N,force,көс
420,Stärke::N,strength,көс
421,Gesundheit::N,health,һаулыҡ
422,Krankheit::N,illness,сир
423,Krankheit::N,illness,ауырыу
424,Schmerz::N,pain,һыҙлау
425,Schmerz::N,pain,әрнеү
426,Wunde::N,wound,йәрәхәт
427,Fieber::N,fever,тапма
428,Fieber::N,fever,биҙгәк
429,Arznei::N,medicine,дарыу
430,Brücke::N,bridge,күпер
431,Brunnen::N,well,ҡоҙоҡ
432,Weide::N,pasture,көтөүлек
433,Pfad::N,path,һуҡмаҡ
434,Weg::N,way,юл
435,Straße::N,road,урам
436,Dorf::N,village,ауыл
437,Stadt::N,town,ҡала
438,Brief::N,letter,хат
439,Buch::N,book,китап
440,Buch::N,book,кенәгә
441,Buchstabe::N,character,хәреф
442,Zeitung::N,newspaper,гәзит
443,Leben::N,life,йәшәү
444,Tod::N,death,үлем
445,Grab::N,grave,ҡәбер
446,Kirche::N,church,сиркәү
447,Sünde::N,sin,гөнаһ
448,Gott::N,god,алла
449,Gott::N,god,хоҙай
450,Arbeiter::N,worker,эшсе
451,Chef::N,boss,башлыҡ
452,Meister::N,master,оҫта
453,Arzt::N,doctor,врач
454,Lehrer::N,teacher,уҡытыусы
455,Geld::N,money,аҡса
456,Geschäft::N,business,эш
457,Laden::N,shop,магазин
458,Preis::N,price,хаҡ
459,Ware::N,ware,тауар
460,Nutzen::N,profit,файҙа
461,Reichtum::N,wealth,байлыҡ
462,Welt::N,world,донъя
463,Land::N,country,ил
464,Staat::N,state,дәүләт
465,König::N,king,король
466,Macht::N,power,власть
467,Grenze::N,border,сик
468,Krieg::N,war,һуғыш
469,Feind::N,enemy,йылан
470,Gewalt::N,violence,көслөк
471,Kampf::N,fight,көрәш
472,Bogen[Waffe]::N,bow,йәйә
473,Pfeil::N,arrow,уҡ
474,Gewehr::N,gun,мылтыҡ
475,Fehler::N,mistake,хата
476,Lüge::N,lie,ялған
477,Schaden::N,damage,зыян
478,Schaden::N,damage,зарар
479,Unglück::N,misfortune,ҡаза
480,Schuld::N,fault,ғәйеп
481,Alter::N,age,йәш
482,Schluss::N,conclusion,һуң
483,Schluss::N,conclusion,аҙаҡ
484,Zeit::N,time,мәл
485,Zeit::N,time,заман
486,Tag::N,day,көн
487,Morgen::N,morning,иртә
488,Morgen::N,morning,иртәнсәк
489,Mittag::N,noon,төш
490,Abend::N,evening,кис
491,Nacht::N,night,төн
492,Woche::N,week,аҙна
493,Monat::N,month,ай
494,Jahr::N,year,йыл
495,Frühling::N,spring,яҙ
496,Sommer::N,summer,йәй
497,Herbst::N,autumn,көз
498,Winter::N,winter,ҡыш
499,Januar::N,January,ғинуар
500,Februar::N,February,февраль
501,März::N,March,март
502,April::N,April,апрель
503,Mai::N,May,май
504,Juni::N,June,июнь
505,Juli::N,July,июль
506,August::N,August,август
507,September::N,September,сентябрь
508,Oktober::N,October,октябрь
509,November::N,November,ноябрь
510,Dezember::N,December,декабрь
511,Montag::N,Monday,дүшәмбе
512,Dienstag::N,Tuesday,шишәмбе
513,Mittwoch::N,Wednesday,шаршамбы
514,Donnerstag::N,Thursday,кесаҙна
515,Freitag::N,Friday,йома
516,Samstag::N,Saturday,шәмбе
517,Sonntag::N,Sunday,йәкшәмбе
518,groß::A,big,ҙур
519,klein::A,little,бәләкәс
520,lang::A,long,оҙон
521,kurz::A,short,ҡыҫҡа
522,breit::A,wide,киң
523,schmal::A,narrow,тар
524,dicht::A,dense,йыш
525,dicht::A,dense,ҡуйы
526,dick[Gegenstand]::A,thick,ҡалын
527,dünn::A,thin,йоҡа
528,dünn::A,thin,нәҙек
529,fein::A,delicate,нескә
530,fest::A,firm,ныҡ
531,flach::A,flat,яҫы
532,flach::A,flat,ялпаҡ
533,glatt::A,smooth,шыма
534,hart::A,hard,ҡаты
535,weich::A,soft,йомшаҡ
536,rund::A,round,түңәрәк
537,spitz::A,pointed,осло түбәле
538,scharf::A,sharp,үткер
539,stumpf::A,blunt,утмәҫ
540,schwer::A,heavy,ауыр
541,schön::A,beautiful,матур
542,heiß::A,hot,эҫе
543,warm::A,warm,йылы
544,kalt::A,cold,һыуыҡ
545,kühl::A,cool,һалҡынса
546,frisch::A,fresh,һалҡынса
547,feucht::A,damp,еүеш
548,feucht::A,damp,дымлы
549,nass::A,wet,еүеш
550,trocken::A,dry,кипкән
551,voll::A,full,тулы
552,leer::A,empty,буш
553,offen::A,open,асыҡ
554,geschlossen::A,closed,ябыҡ
555,sauber::A,clean,таҙа
556,schmutzig::A,dirty,бысраҡ
557,roh::A,raw,сей
558,reif::A,ripe,өлгөрғән
559,lecker::A,delicious,тәмле
560,süß::A,sweet,тямле
561,süß::A,sweet,тәм-том
562,bitter::A,bitter,әсе
563,sauer::A,sour,әсе
564,hell::A,bright,яҡты
565,dunkel::A,dark,ҡараңғы
566,schwarz::A,black,ҡара
567,weiß::A,white,аҡ
568,rot::A,red,матур
569,rot::A,red,һылыу
570,rot::A,red,сибәр
571,gelb::A,yellow,һары
572,blau::A,blue,күк
573,grün::A,green,йәшел
574,grau::A,grey,буҙ
575,bunt::A,colourful,сыбар
576,bunt::A,colourful,ала-ҡола
577,bunt::A,colorful,сыбар
578,bunt::A,colorful,ала-ҡола
579,billig::A,cheap,арзан
580,teuer::A,dear,ҡыйбатлы
581,wertvoll::A,precious,ҡиммәтле
582,blind::A,blind,һуҡыр
583,taub::A,deaf,һаңғырау
584,kräftig::A,powerful,көслө
585,kräftig::A,powerful,ҡеүәтле
586,stark::A,strong,көслө
587,stark::A,strong,ҡеүәтле
588,schwach::A,weak,көсһөҙ
589,fett::A,fat,һимеҙ
590,schlank::A,slim,зифа
591,hübsch::A,pretty,матур
592,böse::A,evil,асыулы
593,dumm::A,stupid,иҫәр
594,faul::A,lazy,иренсәк
595,fleißig::A,diligent,тырыш
596,geizig::A,stingy,һаран
597,klug::A,clever,аҡыллы
598,geschickt::A,skilful,оҫта
599,geschickt::A,skillful,оҫта
600,lieb::A,dear,яғымлы
601,lustig::A,merry,күңелле
602,sanft::A,gentle,йыуаш
603,hungrig::A,hungry,ас
604,krank::A,sick,сирле
605,krank::A,sick,ауырыу
606,nackt::A,naked,яланғас
607,traurig::A,sad,яманһыу
608,lebendig::A,living,тере
609,lebendig::A,living,йәнле
610,gut::A,good,яҡшы
611,schlecht::A,bad,хөрт
612,schlecht::A,bad,алама
613,richtig::A,correct,дөрөҫ
614,schlimm::A,nasty,хөрт
615,schlimm::A,nasty,алама
616,wahr::A,true,дөрөҫ
617,alt::A,old,иҫке
618,alt::A,old,боронғо
619,neu::A,new,яңы
620,ehemalig::A,former,элекке
621,alt[Lebewesen]::A,aged,ҡарт
622,jung::A,young,йәш
623,arm::A,poor,фәҡир
624,reich::A,rich,бай
625,bekannt::A,familiar,таныш
626,berühmt::A,famous,атаҡлы
627,berühmt::A,famous,данлыҡлы
628,fremd::A,foreign,ят
