,Concept_ID,hy,ar
0,Auge::N,աչք,عين
1,Ohr::N,ականջ,أذن
2,Nase::N,քիթ,أنف
3,Mund::N,բերան,فم
4,Zahn::N,ատամ,سن
5,Zunge::N,լեզու,لسان
6,Lippe::N,շրթունք,شفة
7,Wange::N,այտ,خد
8,Wange::N,այտ,وجنة
9,Wange::N,թուշ,خد
10,Wange::N,թուշ,وجنة
11,Gesicht::N,դեմք,وجه
12,Stirn::N,ճակատ,جبين
13,Haar::N,մազ,شعر
14,Schnurrbart::N,բեղ,شارب
15,Bart::N,մորուք,لحية
16,Kinn::N,կզակ,ذقن
17,Kiefer[Anatomie]::N,ծնոտ,فك
18,Kehle::N,կոկորդ,حلق
19,Hals::N,վիզ,عنق
20,Hals::N,վիզ,رقبة
21,Hals::N,պարանոց,عنق
22,Hals::N,պարանոց,رقبة
23,Genick::N,ծոծրակ,قفا
24,Kopf::N,գլուխ,رأس
25,Rücken::N,մեջք,ظهر
26,Bauch::N,փոր,بطن
27,Bauch::N,որովայն,بطن
28,Nabel::N,պորտ,سرة
29,Busen::N,ծոց,ثدي
30,Brust::N,կուրծք,صدر
31,Schulter::N,ուս,كتف
32,Arm::N,թեւ,ذراع
33,Arm::N,բազուկ,ذراع
34,Ellenbogen::N,արմունկ,كوع
35,Hand::N,ձեռք,يد
36,Handfläche::N,ափ,كف
37,Finger::N,մատ,إصبع
38,Fingernagel::N,եղունգ,ظفر
39,Nagel[Anatomie]::N,եղունգ,ظفر
40,Zeh::N,ոտքի մատ,إصبع القدم
41,Fuß::N,ոտք,قدم
42,Ferse::N,գարշապար,كعب
43,Knie::N,ծունկ,ركبة
44,Oberschenkel::N,ազդր,فخذ
45,Bein::N,ոտք,ساق
46,Körper::N,մարմին,جسم
47,Haut::N,մաշկ,بشرة
48,Blut::N,արյուն,دم
49,Ader::N,երակ,عرق
50,Sehne::N,ջիղ,طنب
51,Sehne::N,ձգտան,طنب
52,Knochen::N,ոսկոր,عظم
53,Gehirn::N,խելք,دماغ
54,Herz::N,սիրտ,قلب
55,Magen::N,ստամոքս,معدة
56,Leber::N,լյարդ,كبد
57,Atem::N,շունչ,نفس
58,Hunger::N,քաղց,جوع
59,Träne::N,արտասուք,دمعة
60,Geschmack::N,համ,طعم
61,Geschmack::N,համ,مذاق
62,Geschmack::N,բուրմունք,طعم
63,Geschmack::N,բուրմունք,مذاق
64,Geruch::N,հոտ,رائحة
65,Geruch::N,բուրում,رائحة
66,Schlaf::N,քուն,نوم
67,Schlaf::N,քուն,منام
68,Traum::N,երազ,حلم
69,Himmel::N,երկինք,سماء
70,Sonne::N,արեւ,شمس
71,Mond::N,լուսին,قمر
72,Stern::N,աստղ,نجم
73,Stern::N,աստղ,كوكب
74,Luft::N,օդ,هواء
75,Wind::N,քամի,ريح
76,Welle::N,ալիք,موجة
77,Wasser::N,ջուր,ماء
78,Stein::N,քար,حجر
79,Boden::N,գետին,تراب
80,Erde::N,հող,أرض
81,Staub::N,փոշի,غبار
82,Rauch::N,ծուխ,دخان
83,Funke::N,կայծ,شرارة
84,Feuer::N,կրակ,نار
85,Feuer::N,հրդեհ,نار
86,Licht::N,լույս,نور
87,Licht::N,լույս,ضوء
88,Schatten::N,ստվեր,ظل
89,Schatten::N,ստվեր,فيء
90,Wetter::N,եղանակ,جو
91,Wetter::N,եղանակ,طقس
92,Nebel::N,մեգ,ضباب
93,Nebel::N,մառախուղ,ضباب
94,Wolke::N,ամպ,غيمة
95,Wolke::N,ամպ,سحابة
96,Regen::N,անձրև,مطر
97,Schnee::N,ձյուն,ثلج
98,Eis::N,սառույց,جليد
99,Frost::N,սառնամանիք,صقيع
100,Kälte::N,դող,برد
101,Hitze::N,շոգ,حر
102,Hitze::N,շոգ,حرارة
103,Raureif::N,ցօղեղեամ,صقيع
104,Regenbogen::N,ծիածան,قوس قزح
105,Donner::N,որոտ,رعد
106,Strömung::N,հոսանք,تيار
107,Tropfen::N,կաթիլ,قطرة
108,Schaum::N,փրփուր,زبد
109,Schaum::N,փրփուր,رغوة
110,Schmutz::N,կեղտ,وسخ
111,See::N,լիճ,بحيرة
112,Sumpf::N,ճահիճ,مستنقع
113,Moor::N,ճահիճ,مستنقع
114,Wiese::N,մարգագետին,مرج
115,Wald::N,անտառ,غابة
116,Hügel::N,բլուր,تل
117,Anhöhe::N,բարձունք,تل
118,Berg::N,լեռ,جبل
119,Gipfel::N,գագաթ,قمة
120,Gipfel::N,կատար,قمة
121,Höhle::N,քարայր,كهف
122,Abhang::N,լանջ,منحدر
123,Abhang::N,զառիվայր,منحدر
124,Quelle::N,աղբյուր,منبع
125,Bach::N,վտակ,مجرى
126,Fluss::N,գետ,نهر
127,Ufer::N,ծովափ,ضفة
128,Küste::N,ափ,ساحل
129,Küste::N,ծովափ,ساحل
130,Festland::N,ցամաք,بر
131,Meer::N,ծով,بحر
132,Bucht::N,հաչիւն,خليج
133,Insel::N,վղզի,جزيرة
134,Blume::N,ծաղիկ,زهرة
135,Gras::N,խոտ,حشيش
136,Wurzel::N,արմատ,أصل
137,Baum::N,ծառ,شجرة
138,Stamm::N,իրան,جذع
139,Rinde::N,կեղեւ,قشرة
140,Rinde::N,հաչոց,قشرة
141,Ast::N,ճյուղ,فرع
142,Zweig::N,ճյուղ,غصن
143,Blatt::N,տերեւ,ورقة
144,Birke::N,ցարասի,قضبان
145,Kiefer[Baum]::N,սոճի,صنوبرة
146,Weide[Baum]::N,ուռենի,صفصاف
147,Tanne::N,եղեւին,شوح
148,Tanne::N,եղեւին,تبوب
149,Feder::N,փետուր,ريشة
150,Fell::N,մորթի,فرو
151,Flügel::N,թեւ,جناح
152,Klaue::N,չանչ,مخلب
153,Kralle::N,ճանկ,مخلب
154,Schwanz::N,պոչ,ذيل
155,Ei::N,ձու,بيض
156,Nest::N,բույն,عش
157,Bau::N,որջ,جحر
158,Bau::N,բայոց,جحر
159,Tier::N,կենդանի,حيوان
160,Herde::N,հոտ,قطيع
161,Kuh::N,կով,بقرة
162,Bulle::N,ցուլ,ثور
163,Pferd::N,ձի,خيل
164,Schaf::N,ոչխար,شاة
165,Schwein::N,խոզ,خنزير
166,Hund::N,շուն,كلب
167,Katze::N,կատու,قطة
168,Bär::N,արջ,دب
169,Eichhörnchen::N,սկյուռ,سنجاب
170,Elch::N,հիւսիսային եղջերու,موظ
171,Fuchs::N,աղվես,ثعلب
172,Hase::N,նապաստակ,أرنب
173,Maus::N,մուկ,فأرة
174,Wolf::N,գայլ,ذئب
175,Vogel::N,թռչուն,طير
176,Schwarm::N,երամ,سرب
177,Huhn::N,հավ,دجاجة
178,Hahn::N,աքաղաղ,ديك
179,Gans::N,սագ,وزة
180,Adler::N,արծիվ,نسر
181,Ente::N,բադ,بطة
182,Eule::N,բու,بوم
183,Kranich::N,կռունկ,كركي
184,Krähe::N,ագռավ,غراب
185,Kuckuck::N,կուկու,وقواق
186,Schwan::N,կարապ,إوز عراقي
187,Fisch::N,ձուկ,سمك
188,Barsch::N,պերկես,فرخ أوربي
189,Hecht::N,գայլաձուկ,سمك الكراكي
190,Schlange[Tier]::N,օձ,حية
191,Schlange[Tier]::N,օձ,ثعبان
192,Wurm::N,որդ,دودة
193,Wurm::N,ճիճու,دودة
194,Spinne::N,սարդ,عنكبوت
195,Ameise::N,միջյուն,نملة
196,Laus::N,ոջիլ,قملة
197,Mücke::N,մժղուկ,ناموسة
198,Fliege::N,ճանճ,ذبابة
199,Schmetterling::N,թիթեռ,فراشة
200,Beere::N,հատապտուղ,حبة
201,Apfel::N,խնձոր,تفاح
202,Pilz::N,սունկ,فطر
203,Zwiebel::N,սոխ,بصل
204,Saat::N,սերմ,زرع
205,Korn::N,հատիկ,حبة
206,Heu::N,խոտ,دريس
207,Schale::N,կեղեւ,قشرة
208,Grube::N,փոս,نقرة
