,Concept_ID,pt,hi
0,Auge::N,olho,आँख
1,Auge::N,olho,चक्षु
2,Ohr::N,orelha,कान
3,Ohr::N,orelha,कर्ण
4,Nase::N,nariz,नाक
5,Nase::N,nariz,नासा
6,Mund::N,boca,मुख
7,Mund::N,boca,मुँह
8,Zahn::N,dente,दंत
9,Zahn::N,dente,दाँत
10,Zunge::N,língua,जीभ
11,Zunge::N,língua,ज़बान
12,Zunge::N,língua,जिह्वा
13,Lippe::N,lábio,ओंठ
14,Lippe::N,lábio,होंठ
15,Wange::N,face,गाल
16,Wange::N,face,कपोल
17,Gesicht::N,cara,मुँह
18,Gesicht::N,cara,चेहरा
19,Gesicht::N,rosto,मुँह
20,Gesicht::N,rosto,चेहरा
21,Stirn::N,testa,माथा
22,Stirn::N,testa,मस्तक
23,Haar::N,cabelo,बाल
24,Schnurrbart::N,bigode,मूँछें
25,Bart::N,barba,दाढ़ी
26,Kinn::N,queixo,चिबुक
27,Kiefer[Anatomie]::N,maxila,जबड़ा
28,Kiefer[Anatomie]::N,mandíbula,जबड़ा
29,Kehle::N,garganta,गला
30,Hals::N,colo,गला
31,Hals::N,colo,गरदन
32,Hals::N,pescoço,गला
33,Hals::N,pescoço,गरदन
34,Genick::N,nuca,गरदन
35,Genick::N,nuca,ग्रीवा
36,Kopf::N,cabeça,सिर
37,Kopf::N,cabeça,शीर्ष
38,Rücken::N,dorso,पीठ
39,Rücken::N,costas,पीठ
40,Bauch::N,ventre,उदर
41,Bauch::N,barriga,उदर
42,Nabel::N,umbigo,नाभि
43,Nabel::N,umbigo,ढोंढी
44,Busen::N,seio,कुच
45,Busen::N,seio,स्तन
46,Brust::N,peito,वक्ष
47,Schulter::N,ombro,कंधा
48,Schulter::N,ombro,स्कंध
49,Arm::N,braço,बाँह
50,Arm::N,braço,बाज़ू
51,Ellenbogen::N,cotovelo,कुहनी
52,Hand::N,mão,हाथ
53,Hand::N,mão,हस्त
54,Handfläche::N,palma,हथेली
55,Handfläche::N,palma da mão,हथेली
56,Finger::N,dedo,उँगली
57,Finger::N,dedo,अँगुली
58,Fingernagel::N,unha,नख
59,Fingernagel::N,unha,नाख़ून
60,Nagel[Anatomie]::N,unha,नख
61,Nagel[Anatomie]::N,unha,नाख़ून
62,Zeh::N,dedo do pé,उँगली
63,Zeh::N,dedo do pé,पाँव की उँगली
64,Fuß::N,pé,चरण
65,Fuß::N,pé,पाँव
66,Ferse::N,calcanhar,एड़ी
67,Knie::N,joelho,जानु
68,Knie::N,joelho,घुटना
69,Oberschenkel::N,coxa,उरु
70,Bein::N,perna,टाँग
71,Körper::N,corpo,तन
72,Körper::N,corpo,देह
73,Körper::N,corpo,शरीर
74,Haut::N,pele,चर्म
75,Haut::N,pele,त्वचा
76,Blut::N,sangue,लहू
77,Blut::N,sangue,ख़ून
78,Ader::N,veia,रग
79,Ader::N,veia,शिरा
80,Sehne::N,tendão,कंडरा
81,Sehne::N,tendão,स्नायु
82,Knochen::N,osso,अस्थि
83,Gehirn::N,cérebro,दिमाग़
84,Gehirn::N,cérebro,मस्तिष्क
85,Herz::N,coração,दिल
86,Herz::N,coração,हृदय
87,Magen::N,estômago,मेदा
88,Magen::N,estômago,अमाशय
89,Leber::N,fígado,जिगर
90,Leber::N,fígado,यकृत्
91,Atem::N,fôlego,दम
92,Atem::N,fôlego,साँस
93,Atem::N,fôlego,श्वास
94,Hunger::N,fome,भूख
95,Hunger::N,fome,क्षुधा
96,Träne::N,lágrima,आँसू
97,Träne::N,lágrima,अश्रु
98,Geschmack::N,gosto,स्वाद
99,Geschmack::N,gosto,ज़ायक़ा
100,Geruch::N,odor,बू
101,Geruch::N,odor,गंध
102,Geruch::N,cheiro,बू
103,Geruch::N,cheiro,गंध
104,Schlaf::N,sono,नींद
105,Schlaf::N,sono,निद्रा
106,Traum::N,sonho,सपना
107,Traum::N,sonho,स्वप्न
108,Himmel::N,céu,आकाश
