,Concept_ID,zh,bg
195,Zwiebel::N,洋葱,кромид
196,Saat::N,种子,семе
197,Korn::N,谷粒,зърно
198,Heu::N,干草,сено
199,Schale::N,壳,кора
200,Grube::N,坑,яма
201,Grube::N,坑,дупка
202,Falle::N,圈套,примка
203,Schlinge::N,活扣,клуп
204,Spur::N,踪迹,диря
205,Spur::N,踪迹,следа
206,Asche::N,灰烬,пепел
207,Dreck::N,污垢,кал
208,Eisen::N,铁,желязо
209,Gold::N,金子,злато
210,Silber::N,银,сребро
211,Kohle::N,煤,въглища
212,Glas::N,玻璃,стъкло
213,Lehm::N,粘土,глина
214,Sand::N,沙,пясък
215,Mensch::N,人,човек
216,Mann::N,男子,мъж
217,Frau::N,妇女,жена
218,Kind::N,小孩,дете
219,Junge::N,男孩,момче
220,Mädchen::N,女孩,момиче
221,Familie::N,家庭,фамилия
222,Familie::N,家庭,семейство
223,Großvater::N,祖父,дядо
224,Großmutter::N,祖母,баба
225,Eltern::N,父母,родители
226,Vater::N,父亲,баща
227,Mutter::N,母亲,майка
228,Sohn::N,儿子,син
229,Tochter::N,女儿,дъщеря
230,Bruder::N,兄弟,брат
231,Schwester::N,姐妹,сестра
232,Onkel::N,伯父,чичо
233,Onkel::N,伯父,вуйчо
234,Tante::N,阿姨,леля
235,Ehemann::N,丈夫,съпруг
236,Ehefrau::N,妻子,съпруга
237,Freude::N,愉快,радост
238,Gelächter::N,大笑,смях
239,Glück::N,运气,щастие
240,Kummer::N,苦恼,тъга
241,Wunsch::N,愿望,желание
242,Lust::N,乐趣,желание
243,Geist::N,精神,дух
244,Gedanke::N,思想,мисъл
245,Gedächtnis::N,记性,памет
246,Verstand::N,理智,ум
247,Verstand::N,理智,разум
248,Sinn::N,感觉,смисъл
249,Grund::N,理由,причина
250,Wahrheit::N,真理,правда
251,Gespräch::N,谈话,разговор
252,Märchen::N,童话,приказка
253,Erzählung::N,故事,разказ
254,Nachricht::N,消息,вест
255,Nachricht::N,消息,известие
256,Neuigkeit::N,新闻,новина
257,Name::N,名字,име
258,Rätsel::N,谜语,гатанка
259,Rede::N,讲话,реч
260,Rede::N,讲话,слово
261,Sprache::N,语言,език
262,Stimme::N,声音,глас
263,Wort::N,词,дума
264,Zeichen::N,标记,знак
265,Ruf::N,呼喊,зов
266,Lärm::N,噪音,шум
267,Lärm::N,噪音,глъчка
268,Laut::N,响声,звук
269,Ton::N,声音,тон
270,Lied::N,歌曲,песен
271,Ruhe::N,安静,тишина
272,Ruhe::N,安静,спокойствие
273,Leute::N,人们,хора
274,Volk::N,人民,народ
275,Arbeit::N,劳动,труд
276,Arbeit::N,劳动,работа
277,Gast::N,客人,гост
278,Geschenk::N,礼物,дар
279,Geschenk::N,礼物,подарък
280,Spiel::N,游戏,игра
281,Gesellschaft::N,陪同,общество
282,Hilfe::N,帮助,помощ
283,Freund::N,朋友,приятел
284,Kamerad::N,同志,другар
285,Angelegenheit::N,事情,работа
286,Anzahl::N,数目,брой
287,Anzahl::N,数目,количество
288,Art::N,种类,вид
289,Stück::N,块,къс
290,Stück::N,块,парче
291,Teil::N,部分,дял
292,Teil::N,部分,част
293,Hälfte::N,一半,половина
294,Kreis::N,圆,кръг
295,Kreuz::N,十字架,кръст
296,Linie::N,线条,черта
297,Strich::N,划,щрих
298,Strich::N,划,черта
299,Abstand::N,距离,дистанция
300,Abstand::N,距离,разстояние
301,Entfernung::N,距离,разстояние
302,Gegend::N,地区,местност
303,Platz::N,场所,място
304,Ort::N,地点,място
305,Seite::N,面,страна
306,Mitte::N,中间,среда
307,Gegenstand::N,物品,предмет
308,Sache::N,物,вещ
309,Rand::N,边,ръб
310,Kante::N,棱,ръб
311,Kante::N,棱,кант
312,Ecke::N,角,ъгъл
313,Spitze::N,尖,връх
314,Spitze::N,尖,острие
315,Ende::N,结尾,край
316,Loch::N,洞,дупка
317,Winkel::N,角度,кът
318,Winkel::N,角度,ъгъл
319,Muster::N,模型,десен
320,Muster::N,模型,образец
321,Größe::N,大小,големина
322,Länge::N,长度,дължина
323,Höhe::N,高度,висота
324,Höhe::N,高度,височина
325,Gewicht::N,重量,тегло
326,Gewicht::N,重量,тежест
327,Menge::N,数量,количество
328,Haufen::N,堆,куп
329,Haufen::N,堆,грамада
330,Reihe::N,行,ред
331,Reihe::N,行,редица
332,Boot::N,小船,лодка
333,Ruder::N,奖,весло
334,Ruder::N,奖,гребло
335,Schlitten::N,雪橇,шейна
336,Ski::N,雪板,ски
337,Lagerfeuer::N,营火,огнище
338,Last::N,负担,товар
339,Gang::N,行走,ход
340,Gang::N,行走,вървеж
341,Schritt::N,步伐,стъпка
342,Norden::N,北,север
343,Süden::N,南,юг
344,Westen::N,西,запад
345,Osten::N,东,изток
346,Holz::N,木材,дърво
347,Brett::N,木板,дъска
348,Platte::N,平板,
349,Stütze::N,支架,
350,Stange::N,杆,прът
351,Stange::N,杆,върлина
352,Stock::N,棒,прът
353,Stock::N,棒,тояга
354,Stab::N,棍,прът
355,Rohr::N,管子,цев
356,Rohr::N,管子,тръба
357,Haus::N,房屋,къща
358,Heim::N,家,дом
359,Ofen::N,炉子,печка
360,Fußboden::N,地板,под
361,Tisch::N,桌子,маса
362,Stuhl::N,椅子,стол
363,Wiege::N,摇蓝,люлка
364,Bett::N,床,легло
365,Bett::N,床,креват
366,Regal::N,架子,рафт
367,Regal::N,架子,етажерка
368,Kiste::N,箱子,кутия
369,Kiste::N,箱子,сандък
370,Fenster::N,窗户,прозорец
371,Tür::N,门,врата
372,Tor::N,大门,врата
373,Zaun::N,篱笆,ограда
374,Dach::N,屋顶,покрив
375,Leiter::N,梯子,стълба
376,Besen::N,扫帚,метла
377,Spaten::N,铁锹,лопата
378,Schaufel::N,铁锹,лопата
379,Gabel::N,叉,вилица
380,Löffel::N,食匙,лъжица
381,Messer::N,刀,нож
382,Nagel::N,钉子,гвоздей
383,Netz::N,网,мрежа
384,Haken::N,钩子,кука
385,Haken::N,钩子,закачалка
386,Griff::N,把柄,ръчка
387,Griff::N,把柄,дръжка
388,Schloss::N,锁,брава
389,Schloss::N,锁,ключалка
390,Bild::N,图画,картина
391,Figur::N,人像,фигура
392,Puppe::N,娃娃,кукла
393,Beutel::N,袋子,кесия
394,Bündel::N,捆,връзка
395,Tasche::N,手提包,чанта
396,Eimer::N,桶,кофа
397,Deckel::N,盖子,капак
398,Deckel::N,盖子,похлупак
399,Geschirr::N,餐具,съдове
400,Sack::N,袋子,чувал
401,Tasse::N,杯子,чаша
402,Topf::N,锅,гърне
403,Topf::N,锅,тенджера
404,Kessel::N,水壶,котел
405,Essen::N,进餐,ядене
406,Nahrung::N,食物,храна
407,Speise::N,菜肴,ястие
408,Fleisch::N,肉,месо
409,Getreide::N,谷物,зърнено храни
410,Brei::N,粥,каша
411,Brot::N,面包,хляб
412,Scheibe::N,片,резен
413,Fett::N,脂肪,мазнина
414,Butter::N,黄油,масло
415,Öl::N,油,олио
416,Öl::N,油,оливия
417,Salz::N,盐,сол
418,Suppe::N,汤,супа
419,Honig::N,蜂蜜,мед
420,Milch::N,奶,мляко
421,Tee::N,茶,чай
422,Leder::N,皮革,кожа
423,Wolle::N,毛线,вълна
424,Stoff::N,织物,плат
425,Stoff::N,织物,материал
426,Nadel::N,针,игла
427,Faden::N,线,конец
428,Knopf::N,纽扣,копче
429,Knoten::N,结,възел
430,Farbe::N,颜色,боя
431,Kleidung::N,衣服,дрехи
432,Kleidung::N,衣服,облекло
433,Hemd::N,衬衫,риза
434,Kragen::N,领子,яка
435,Ärmel::N,袖子,ръкав
436,Hose::N,裤子,панталони
437,Gürtel::N,腰带,пояс
438,Gürtel::N,腰带,колан
439,Mütze::N,帽子,каскет
440,Mütze::N,帽子,фуражка
441,Schuh::N,鞋,обувка
442,Stiefel::N,靴子,ботуш
443,Ring::N,戒指,пръстен
444,Band::N,带子,лента
445,Band::N,带子,връзка
446,Kamm::N,梳子,гребен
447,Spiegel::N,镜子,огледало
448,Riemen::N,皮带,каиш
449,Riemen::N,皮带,ремък
450,Schnur::N,绳子,връв
451,Leine::N,皮带,връв
452,Leine::N,皮带,въже
453,Decke::N,被子,покривка
454,Kissen::N,软垫,възглавница
455,Tuch::N,巾,сукно
456,Handtuch::N,手巾,пешкир
457,Handtuch::N,手巾,кърпа за лице
458,Kraft::N,力,мощ
459,Kraft::N,力,сила
460,Stärke::N,力量,сила
461,Gesundheit::N,健康,здраве
462,Krankheit::N,病,болест
463,Schmerz::N,痛,болка
464,Wunde::N,伤口,рана
465,Fieber::N,发烧,треска
466,Fieber::N,发烧,температура
467,Arznei::N,药,лек
468,Arznei::N,药,лекарство
469,Brücke::N,桥,мост
470,Brunnen::N,井,чешма
471,Brunnen::N,井,кладенец
472,Weide::N,牧场,паша
473,Weide::N,牧场,пасище
474,Pfad::N,小路,пътека
475,Weg::N,路,път
476,Straße::N,街,шосе
477,Dorf::N,村庄,село
478,Stadt::N,城市,град
479,Brief::N,信,писмо
480,Buch::N,书,книга
481,Buchstabe::N,字母,буква
482,Zeitung::N,报纸,вестник
483,Leben::N,生命,живот
484,Tod::N,死亡,смърт
485,Grab::N,坟墓,гроб
486,Kirche::N,教堂,църква
487,Sünde::N,罪,грях
488,Gott::N,上帝,бог
489,Arbeiter::N,工人,работник
490,Chef::N,上司,шеф
491,Chef::N,上司,началник
492,Meister::N,师傅,майстор
493,Arzt::N,医生,лекар
494,Lehrer::N,教师,учител
495,Geld::N,钱,пари
496,Geschäft::N,交易,сделка
497,Laden::N,商店,дюкян
498,Laden::N,商店,магазин
499,Preis::N,价格,цена
500,Ware::N,商品,стока
501,Nutzen::N,好处,полза
502,Nutzen::N,好处,облага
503,Reichtum::N,财富,богатство
504,Welt::N,世界,свят
505,Land::N,国家,страна
506,Staat::N,国家,щат
507,Staat::N,国家,държава
508,König::N,国王,крал
509,Macht::N,权力,мощ
510,Macht::N,权力,власт
511,Grenze::N,边界,граница
512,Krieg::N,战争,война
513,Feind::N,敌人,враг
514,Feind::N,敌人,неприятел
515,Gewalt::N,暴力,сила
516,Gewalt::N,暴力,насилие
517,Kampf::N,战斗,борба
518,Kampf::N,战斗,сражение
519,Bogen[Waffe]::N,弓,лък
520,Pfeil::N,箭,стрела
521,Gewehr::N,枪,пушка
522,Fehler::N,错误,грешка
523,Lüge::N,谎话,лъжа
524,Schaden::N,损失,повреда
525,Unglück::N,不幸,нещастие
526,Schuld::N,过错,вина
527,Alter::N,年龄,възраст
528,Schluss::N,结束,край
529,Zeit::N,时间,време
530,Tag::N,天,ден
531,Morgen::N,早晨,утро
532,Morgen::N,早晨,сутрин
533,Mittag::N,中午,обед
534,Mittag::N,中午,пладне
535,Abend::N,晚上,вечер
536,Nacht::N,夜,нощ
537,Woche::N,星期,седмица
538,Monat::N,月,месец
539,Jahr::N,年,година
540,Frühling::N,春天,пролет
541,Sommer::N,夏天,лято
542,Herbst::N,秋天,есен
543,Winter::N,冬天,зима
544,Januar::N,一月,януари
545,Februar::N,二月,февруари
546,März::N,三月,март
547,April::N,四月,април
548,Mai::N,五月,май
549,Juni::N,六月,юни
550,Juli::N,七月,юли
551,August::N,八月,август
552,September::N,九月,септември
553,Oktober::N,十月,октомври
554,November::N,十一月,ноември
555,Dezember::N,十二月,декември
556,Montag::N,星期一,понеделник
557,Dienstag::N,星期二,вторник
558,Mittwoch::N,星期三,сряда
559,Donnerstag::N,星期四,четвъртък
560,Freitag::N,星期五,петък
561,Samstag::N,星期六,събота
562,Sonntag::N,星期日,неделя
563,groß::A,大,едър
564,groß::A,大,голям
565,klein::A,小,малък
566,klein::A,小,дребен
567,lang::A,长,дълъг
568,kurz::A,短,къс
569,breit::A,宽,широк
570,schmal::A,细长的,тесен
571,dicht::A,密,гъст
572,dick[Gegenstand]::A,厚,дебел
573,dünn::A,薄,тънък
574,fein::A,细小,фин
575,fein::A,细小,тънък
576,fest::A,固体,твърд
577,fest::A,固体,плътен
578,flach::A,平坦,равен
579,flach::A,平坦,плосък
580,glatt::A,光滑,гладък
581,hart::A,硬,твърд
582,hart::A,硬,корав
583,weich::A,软,мек
584,rund::A,圆,кръгъл
585,spitz::A,尖,островръх
586,scharf::A,锋利,остър
587,stumpf::A,钝,тъп
588,schwer::A,重,тежък
589,schön::A,美丽,хубав
590,schön::A,美丽,красив
591,heiß::A,烫,жарък
592,warm::A,暖和,топъл
593,kalt::A,冷,студен
594,kühl::A,凉,хладен
595,frisch::A,新鲜,свеж
596,feucht::A,潮湿,влажен
597,nass::A,湿,мокър
598,trocken::A,干,сух
599,voll::A,满,пълен
600,leer::A,空,празен
601,offen::A,敞开,откровен
602,geschlossen::A,关闭,закрит
603,geschlossen::A,关闭,затворен
604,sauber::A,干净,чист
605,schmutzig::A,肮脏,мръсен
606,roh::A,生,суров
607,reif::A,成熟,зрял
608,lecker::A,好吃,вкусен
609,süß::A,甜,сладък
610,bitter::A,苦,горчив
611,sauer::A,酸,кисел
612,hell::A,亮,ясен
613,hell::A,亮,светъл
614,dunkel::A,阴暗,тъмен
615,schwarz::A,黑,черен
616,weiß::A,白,бял
617,rot::A,红,червен
618,gelb::A,黄,жълт
619,blau::A,蓝,син
620,grün::A,绿,зелен
621,grau::A,灰色,сив
622,bunt::A,五彩,шарен
623,bunt::A,五彩,пъстър
624,billig::A,便宜,евтин
625,teuer::A,贵,скъп
626,wertvoll::A,贵重,ценен
627,blind::A,瞎,сляп
628,taub::A,聋,глух
629,kräftig::A,强壮,силен
630,stark::A,强壮,здрав
631,stark::A,强壮,силен
632,schwach::A,弱,слаб
633,fett::A,胖,тлъст
634,schlank::A,苗条,тънък
635,schlank::A,苗条,строен
636,hübsch::A,漂亮,хубав
637,böse::A,邪恶,зъл
638,dumm::A,笨,глупав
639,faul::A,懒惰,ленив
640,faul::A,懒惰,мързелив
641,fleißig::A,勤奋,прилежен
