,Concept_ID,br,de
0,Auge::N,lagad,Auge
1,Ohr::N,skouarn,Ohr
2,Nase::N,fri,Nase
3,Mund::N,genoù,Mund
4,Zahn::N,dant,Zahn
5,Zunge::N,teod,Zunge
6,Lippe::N,muzell,Lippe
7,Wange::N,chot,Wange
8,Gesicht::N,dremm,Gesicht
9,Stirn::N,tal,Stirn
10,Haar::N,blev,Haar
11,Schnurrbart::N,mourenn,Schnurrbart
12,Bart::N,barv,Bart
13,Kinn::N,groñj,Kinn
14,Kiefer[Anatomie]::N,javed,Kiefer
15,Kehle::N,gouzoug,Kehle
16,Hals::N,gouzoug,Hals
17,Genick::N,choug,Genick
18,Kopf::N,penn,Kopf
19,Rücken::N,kein,Rücken
20,Bauch::N,kof,Bauch
21,Nabel::N,begel,Nabel
22,Busen::N,bronn,Busen
23,Brust::N,bruched,Brust
24,Schulter::N,skoaz,Schulter
25,Arm::N,brec'h,Arm
26,Ellenbogen::N,ilin,Ellenbogen
27,Hand::N,dorn,Hand
28,Handfläche::N,palv,Handfläche
29,Finger::N,biz,Finger
30,Fingernagel::N,ivin,Fingernagel
31,Nagel[Anatomie]::N,ivin,Nagel
32,Zeh::N,biz-troad,Zeh
33,Fuß::N,troad,Fuß
34,Ferse::N,seul,Ferse
35,Knie::N,glin,Knie
36,Oberschenkel::N,morzhed,Oberschenkel
37,Bein::N,gar,Bein
38,Körper::N,korf,Körper
39,Haut::N,kroc'hen,Haut
40,Blut::N,gwad,Blut
41,Ader::N,gwazhi,Ader
42,Sehne::N,stir,Sehne
43,Knochen::N,askorn,Knochen
44,Gehirn::N,empenn,Gehirn
45,Herz::N,kalon,Herz
46,Magen::N,stomog,Magen
47,Leber::N,avu,Leber
48,Atem::N,anal,Atem
49,Hunger::N,naon,Hunger
50,Träne::N,daer,Träne
51,Geschmack::N,blaz,Geschmack
52,Geruch::N,c'hwezh,Geruch
53,Schlaf::N,kousked,Schlaf
54,Traum::N,hune,Traum
55,Himmel::N,oabl,Himmel
56,Sonne::N,heol,Sonne
57,Mond::N,loar,Mond
58,Stern::N,steredenn,Stern
59,Luft::N,aer,Luft
60,Wind::N,avel,Wind
61,Welle::N,houlenn,Welle
62,Wasser::N,dour,Wasser
63,Stein::N,maen,Stein
64,Boden::N,tachenn,Boden
65,Erde::N,douar,Erde
66,Staub::N,poultr,Staub
67,Rauch::N,moged,Rauch
68,Funke::N,ful,Funke
69,Feuer::N,tan,Feuer
70,Licht::N,gouloù,Licht
71,Schatten::N,disheol,Schatten
72,Wetter::N,amzer,Wetter
73,Nebel::N,brumenn,Nebel
74,Wolke::N,koumoulenn,Wolke
75,Regen::N,glav,Regen
76,Schnee::N,erc'h,Schnee
77,Eis::N,skorn,Eis
78,Frost::N,rev,Frost
79,Kälte::N,yen,Kälte
80,Hitze::N,tommder,Hitze
81,Raureif::N,frim,Raureif
82,Regenbogen::N,gwareg-ar-glav,Regenbogen
83,Donner::N,kurun,Donner
84,Strömung::N,red,Strömung
85,Tropfen::N,bannac'h,Tropfen
86,Tropfen::N,takenn,Tropfen
87,Schaum::N,spoum,Schaum
88,Schmutz::N,fank,Schmutz
89,See::N,lenn,See
90,Sumpf::N,gwern,Sumpf
91,Moor::N,taouarc'heg,Moor
92,Wiese::N,prad,Wiese
93,Wald::N,koad,Wald
94,Hügel::N,torgenn,Hügel
95,Anhöhe::N,run,Anhöhe
96,Berg::N,menez,Berg
97,Gipfel::N,barr,Gipfel
98,Höhle::N,kav,Höhle
99,Abhang::N,naou,Abhang
100,Quelle::N,feunteun,Quelle
101,Bach::N,gwazh,Bach
102,Fluss::N,stêr,Fluss
103,Ufer::N,ribl,Ufer
104,Küste::N,aod,Küste
105,Festland::N,douar,Festland
106,Meer::N,mor,Meer
107,Bucht::N,mor-bihan,Bucht
108,Insel::N,enez,Insel
109,Blume::N,bleunienn,Blume
110,Gras::N,geot,Gras
111,Wurzel::N,gwrizienn,Wurzel
112,Baum::N,gwezenn,Baum
113,Stamm::N,kef,Stamm
114,Rinde::N,rusk,Rinde
115,Ast::N,barr,Ast
116,Zweig::N,bod,Zweig
117,Blatt::N,delienn,Blatt
118,Birke::N,bezvenn,Birke
119,Kiefer[Baum]::N,pinenn,Kiefer
120,Weide[Baum]::N,halegenn,Weide
121,Tanne::N,sapenn,Tanne
122,Horn::N,korn,Horn
123,Feder::N,pluñv,Feder
124,Fell::N,kreoñ,Fell
125,Flügel::N,askell,Flügel
126,Klaue::N,skilf,Klaue
127,Kralle::N,skilf,Kralle
128,Schwanz::N,lost,Schwanz
129,Ei::N,vi,Ei
130,Nest::N,neizh,Nest
131,Bau::N,douarenn,Bau
132,Tier::N,loen,Tier
133,Herde::N,tropell,Herde
134,Kuh::N,buoc'h,Kuh
135,Bulle::N,tarv,Bulle
136,Pferd::N,marc'h,Pferd
137,Schaf::N,dañvad,Schaf
138,Schwein::N,pemoc'h,Schwein
139,Hund::N,ki,Hund
140,Katze::N,kazh,Katze
141,Bär::N,arzh,Bär
142,Eichhörnchen::N,gwiñver,Eichhörnchen
143,Elch::N,karv-dour,Elch
144,Fuchs::N,louarn,Fuchs
145,Hase::N,gad,Hase
146,Maus::N,logodenn,Maus
147,Wolf::N,bleiz,Wolf
148,Vogel::N,labous,Vogel
149,Schwarm::N,nijad,Schwarm
150,Huhn::N,yar,Huhn
151,Hahn::N,kilhog,Hahn
152,Gans::N,gwazenn,Gans
153,Adler::N,erer,Adler
154,Ente::N,houad,Ente
155,Eule::N,toud,Eule
156,Kranich::N,garan,Kranich
157,Krähe::N,bran,Krähe
158,Kuckuck::N,koukoug,Kuckuck
159,Schwan::N,alarc'h,Schwan
160,Fisch::N,pesk,Fisch
161,Barsch::N,brell,Barsch
162,Hecht::N,beked,Hecht
163,Schlange[Tier]::N,naer,Schlange
164,Wurm::N,preñv,Wurm
165,Spinne::N,kevnidenn,Spinne
166,Ameise::N,merion,Ameise
167,Laus::N,laouenn,Laus
168,Mücke::N,moustik,Mücke
169,Fliege::N,kelienenn,Fliege
170,Schmetterling::N,balafenn,Schmetterling
171,Beere::N,hog,Beere
172,Apfel::N,aval,Apfel
173,Pilz::N,kabell-touseg,Pilz
174,Zwiebel::N,ognonenn,Zwiebel
175,Saat::N,had,Saat
176,Korn::N,ed,Korn
177,Heu::N,foenn,Heu
178,Schale::N,peliadur,Schale
179,Falle::N,pech,Falle
180,Schlinge::N,krouglas,Schlinge
181,Asche::N,ludu,Asche
182,Dreck::N,fank,Dreck
183,Eisen::N,houarn,Eisen
184,Gold::N,aour,Gold
185,Silber::N,arc'hant,Silber
186,Kohle::N,glaou,Kohle
187,Glas::N,gwer,Glas
188,Sand::N,traezh,Sand
189,Mensch::N,den,Mensch
190,Mann::N,den,Mann
191,Frau::N,maouez,Frau
192,Kind::N,bugel,Kind
193,Junge::N,paotr,Junge
194,Mädchen::N,plac'h,Mädchen
195,Familie::N,familh,Familie
196,Großvater::N,tad-kozh,Großvater
197,Großmutter::N,mamm-gozh,Großmutter
198,Eltern::N,kerent,Eltern
199,Vater::N,tad,Vater
200,Mutter::N,mamm,Mutter
201,Sohn::N,mab,Sohn
202,Tochter::N,merc'h,Tochter
203,Bruder::N,breur,Bruder
204,Schwester::N,c'hoar,Schwester
205,Onkel::N,eontr,Onkel
206,Tante::N,moereb,Tante
207,Ehemann::N,gwaz,Ehemann
208,Ehefrau::N,gwreg,Ehefrau
209,Freude::N,levenez,Freude
210,Gelächter::N,c'hoarzherezh,Gelächter
211,Glück::N,chañs,Glück
212,Kummer::N,doan,Kummer
213,Wunsch::N,c'hoant,Wunsch
214,Lust::N,c'hoant,Lust
215,Geist::N,spered,Geist
216,Gedanke::N,soñj,Gedanke
217,Gedächtnis::N,eñvor,Gedächtnis
218,Verstand::N,skiant,Verstand
219,Sinn::N,ster,Sinn
220,Grund::N,kaoz,Grund
221,Wahrheit::N,gwirionez,Wahrheit
222,Gespräch::N,kaozeadenn,Gespräch
223,Märchen::N,kaoz korriganez,Märchen
224,Erzählung::N,kontadenn,Erzählung
225,Nachricht::N,keloù,Nachricht
226,Neuigkeit::N,kelaouenn,Neuigkeit
227,Name::N,anv,Name
228,Rätsel::N,divinatez,Rätsel
229,Rede::N,diskour,Rede
230,Sprache::N,yezh,Sprache
231,Stimme::N,mouezh,Stimme
232,Wort::N,ger,Wort
233,Zeichen::N,sin,Zeichen
234,Ruf::N,galv,Ruf
235,Lärm::N,trouz,Lärm
236,Ton::N,ton,Ton
237,Lied::N,kanaouenn,Lied
238,Ruhe::N,sioulded,Ruhe
239,Leute::N,tud,Leute
240,Volk::N,pobl,Volk
241,Arbeit::N,labour,Arbeit
242,Gast::N,kouviad,Gast
243,Geschenk::N,prof,Geschenk
244,Spiel::N,c'hoari,Spiel
245,Gesellschaft::N,kompagnunezh,Gesellschaft
246,Gesellschaft::N,kavandad,Gesellschaft
247,Hilfe::N,sikour,Hilfe
248,Freund::N,mignon,Freund
249,Kamerad::N,kamarad,Kamerad
250,Angelegenheit::N,afer,Angelegenheit
251,Anzahl::N,niver,Anzahl
252,Art::N,sort,Art
253,Stück::N,tamm,Stück
254,Teil::N,pezh,Teil
255,Hälfte::N,hanterenn,Hälfte
256,Kreis::N,kelc'h,Kreis
257,Kreuz::N,kroaz,Kreuz
258,Linie::N,linenn,Linie
259,Strich::N,tenn,Strich
260,Abstand::N,distok,Abstand
261,Entfernung::N,keid,Entfernung
262,Entfernung::N,kehid,Entfernung
263,Gegend::N,korn-bro,Gegend
264,Platz::N,plasenn,Platz
265,Ort::N,lec'h,Ort
266,Seite::N,tu,Seite
267,Mitte::N,kreiz,Mitte
268,Gegenstand::N,tra,Gegenstand
269,Sache::N,tra,Sache
270,Rand::N,kantenn,Rand
271,Kante::N,kantenn,Kante
272,Ecke::N,korn,Ecke
273,Spitze::N,begell,Spitze
274,Ende::N,dibenn,Ende
275,Loch::N,toull,Loch
276,Muster::N,tresadenn,Muster
