,Concept_ID,ku,et
0,Auge::N,çav,silm
1,Ohr::N,guh,kõrv
2,Nase::N,bêvil,nina
3,Mund::N,dev,suu
4,Zahn::N,didan,hammas
5,Zunge::N,ziman,keel
6,Lippe::N,lêv,huul
7,Wange::N,dêm,põsk
8,Wange::N,hinarik,põsk
9,Gesicht::N,rû,nägu
10,Stirn::N,enî,otsmik
11,Haar::N,por,juus
12,Schnurrbart::N,simbêl,vurrud
13,Schnurrbart::N,simbêl,vuntsid
14,Bart::N,rih,habe
15,Kinn::N,zenî,lõug
16,Kiefer[Anatomie]::N,arguşk,lõualuu
17,Kehle::N,qirik,kõri
18,Hals::N,stû,kael
19,Hals::N,qirik,kael
20,Genick::N,stû,kukal
21,Kopf::N,serî,pea
22,Rücken::N,pişt,selg
23,Bauch::N,ûr,kõht
24,Bauch::N,zik,kõht
25,Nabel::N,navik,naba
26,Busen::N,sîng,rind
27,Brust::N,sîng,rind
28,Schulter::N,mil,õlg
29,Arm::N,çepil,käsivars
30,Ellenbogen::N,enîşk,küünarnukk
31,Hand::N,dest,käsi
32,Handfläche::N,kefadest,pihk
33,Finger::N,tilî,sõrm
34,Fingernagel::N,neynuk,küüs
35,Nagel[Anatomie]::N,bizmar,küüs
36,Zeh::N,tilî linga,varvas
37,Fuß::N,ling,jalg
38,Ferse::N,pahnî,kand
39,Knie::N,kabok,põlv
40,Oberschenkel::N,rahn,reis
41,Bein::N,çip,jalg
42,Körper::N,laş,ihu
43,Körper::N,laş,keha
44,Körper::N,gowde,ihu
45,Körper::N,gowde,keha
46,Haut::N,çerm,nahk
47,Blut::N,xwîn,veri
48,Ader::N,reh,veen
49,Sehne::N,reh,kõõlus
50,Knochen::N,hestî,luu
51,Gehirn::N,mêjî,aju
52,Herz::N,dil,süda
53,Magen::N,navêş,magu
54,Leber::N,kezeb,maks
55,Atem::N,hilm,hingeõhk
56,Atem::N,hilm,hingamine
57,Hunger::N,birçîtî,nälg
58,Träne::N,hêstir,pisar
59,Geschmack::N,tam,maitse
60,Geruch::N,bêhn,lõhn
61,Schlaf::N,xew,uni
62,Traum::N,xewn,unenägu
63,Himmel::N,ezman,taevas
64,Sonne::N,roj,päike
65,Mond::N,heyv,kuu
66,Stern::N,stêrk,täht
67,Luft::N,ba,õhk
68,Wind::N,ba,tuul
69,Welle::N,şewl,laine
70,Wasser::N,av,vesi
71,Stein::N,kevir,kivi
72,Boden::N,herd,maa
73,Boden::N,herd,pinnas
74,Erde::N,ax,maa
75,Staub::N,toz,põrm
76,Rauch::N,dû,suits
77,Funke::N,çirûşk,säde
78,Feuer::N,agir,tuli
79,Licht::N,ronahî,valgus
80,Schatten::N,sî,vari
81,Wetter::N,hewa,ilm
82,Nebel::N,mij,udu
83,Wolke::N,ewr,pilv
84,Regen::N,baran,sadu
85,Schnee::N,berf,lumi
86,Eis::N,qeşa,jää
87,Frost::N,xûsik,pakane
88,Kälte::N,serma,külm
89,Kälte::N,serma,külmus
90,Hitze::N,germayî,kuumus
91,Hitze::N,germayî,palavus
92,Raureif::N,şext,härmatis
93,Regenbogen::N,heftreng,vikerkaar
94,Donner::N,gire-gir,kõu
95,Donner::N,gire-gir,müristamine
96,Strömung::N,şewl,voolus
97,Strömung::N,şewl,jõevool
98,Tropfen::N,dilop,tilk
99,Schaum::N,kef,vaht
100,Schmutz::N,gemar,pori
101,Schmutz::N,gemar,mustus
102,See::N,gol,järv
103,Sumpf::N,hezek,soo
104,Moor::N,mafêl,raba
105,Wiese::N,sûrik,aas
106,Wiese::N,sûrik,nurm
107,Wald::N,çiya,mets
108,Wald::N,daristan,mets
109,Hügel::N,gir,küngas
110,Anhöhe::N,sere gir,küngas
111,Berg::N,kaş,mägi
112,Gipfel::N,sere gir,mäetipp
113,Höhle::N,şikeft,koobas
114,Abhang::N,kaş,nõlvak
115,Quelle::N,kanî,allikas
116,Bach::N,çem,oja
117,Fluss::N,çem,jõgi
118,Fluss::N,rûbar,jõgi
119,Ufer::N,kevî,kallas
120,Küste::N,berav,rannik
121,Festland::N,bejahî,mander
122,Festland::N,bejahî,maismaa
123,Meer::N,behr,meri
124,Bucht::N,derav,laht
125,Insel::N,girav,saar
126,Blume::N,kulînk,lill
127,Gras::N,giha,rohi
128,Wurzel::N,reh,juur
129,Baum::N,dar,puu
130,Stamm::N,bavik,tüvi
131,Rinde::N,qaqil,koor
132,Ast::N,gulî,oks
133,Zweig::N,şax,oks
134,Blatt::N,pel,leht
135,Birke::N,dara sipî,kask
136,Kiefer[Baum]::N,dara bî,mänd
137,Weide[Baum]::N,dara belalûk,paju
138,Tanne::N,merx,nulg
139,Horn::N,strô,sarv
140,Feder::N,pîrtîk,sulg
141,Fell::N,heyar,karvkate
142,Fell::N,heyar,karusnahk
143,Flügel::N,per,tiib
144,Flügel::N,per,tiivik
145,Klaue::N,napîk,küüs
146,Kralle::N,dinik,küünis
147,Kralle::N,dirnax,küünis
148,Schwanz::N,dûv,saba
149,Ei::N,hêk,muna
150,Nest::N,hêlîn,pesa
151,Bau::N,avahî,urg
152,Tier::N,heywan,loom
