,Concept_ID,hu,mhr
0,Auge::N,szem,шинча́
1,Ohr::N,fül,пы́лыш
2,Nase::N,orr,нер
3,Mund::N,száj,умша́
4,Zahn::N,fog,пӱй
5,Zunge::N,nyelv,йы́лме
6,Lippe::N,ajak,тӱ́рвӧ
7,Wange::N,orca,шӱ́ргӧ
8,Gesicht::N,arc,чури́й
9,Stirn::N,homlok,саҥга́
10,Haar::N,haj,ӱп
11,Schnurrbart::N,bajusz,ӧ́рыш
12,Bart::N,szakáll,понда́ш
13,Kinn::N,áll,оҥыла́ш
14,Kiefer[Anatomie]::N,állkapocs,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,állkapocs,пӱйората́
16,Kehle::N,gége,лога́р
17,Kehle::N,torok,лога́р
18,Hals::N,nyak,шӱй
19,Genick::N,tarkó,шӱйло́дыш
20,Kopf::N,fő,вуй
21,Kopf::N,fej,вуй
22,Rücken::N,hát,туп
23,Bauch::N,has,мӱ́шкыр
24,Nabel::N,köldök,кы́лымде
25,Busen::N,mell,чы́зе
26,Busen::N,kebel,чы́зе
27,Brust::N,mell,оҥ
28,Schulter::N,váll,ва́че
29,Arm::N,kar,кид
30,Ellenbogen::N,könyök,кынерву́й
31,Hand::N,kéz,кид
32,Hand::N,kéz,копа́
33,Handfläche::N,tenyér,со́во
34,Finger::N,ujj,парня́
35,Fingernagel::N,köröm,кидкӱ́ч
36,Fingernagel::N,köröm,парнягӱ́ч
37,Nagel[Anatomie]::N,köröm,кӱч
38,Zeh::N,lábujj,йолварня́
39,Fuß::N,láb,йол
40,Fuß::N,láb,йолкопа́
41,Ferse::N,sarok,тага́н
42,Knie::N,térd,пулву́й
43,Oberschenkel::N,comb,э́рде
44,Bein::N,láb,йол
45,Bein::N,lábszár,йол
46,Körper::N,test,кап
47,Haut::N,bőr,кова́ште
48,Blut::N,vér,вӱр
49,Ader::N,ér,шӧн
50,Sehne::N,ín,шӧн
51,Sehne::N,ín,кӱсе́н
52,Knochen::N,csont,лу
53,Gehirn::N,agy,вем
54,Gehirn::N,agy,вуйве́м
55,Gehirn::N,agyvelő,вем
56,Gehirn::N,agyvelő,вуйве́м
57,Herz::N,szív,шӱм
58,Magen::N,gyomor,пага́р
59,Leber::N,máj,мокш
60,Atem::N,lehelet,шӱ́лыш
61,Atem::N,lélegzet,шӱ́лыш
62,Hunger::N,éhség,шужыма́ш
63,Träne::N,könny,шинчавӱ́д
64,Geschmack::N,íz,там
65,Geruch::N,szag,пуш
66,Schlaf::N,álom,о́мо
67,Schlaf::N,alvás,о́мо
68,Traum::N,álom,йӱдо́мо
69,Himmel::N,ég,кава́
70,Himmel::N,menny,кава́
71,Sonne::N,nap,ке́че
72,Mond::N,hold,ты́лзе
73,Stern::N,csillag,шӱ́дыр
74,Luft::N,levegő,юж
75,Wind::N,szél,марде́ж
76,Welle::N,hullám,то́лкын
77,Wasser::N,víz,вӱд
78,Stein::N,kő,кӱ
79,Boden::N,föld,рок
80,Boden::N,talaj,рок
81,Erde::N,föld,мла́нде
82,Staub::N,por,пура́к
83,Rauch::N,füst,шикш
84,Funke::N,szikra,сеске́м
85,Funke::N,szikra,тулйы́п
86,Feuer::N,tűz,тул
87,Licht::N,fény,со́то
88,Schatten::N,árnyék,ӱ́мыл
89,Wetter::N,idő,иге́че
90,Wetter::N,időjárás,иге́че
91,Nebel::N,köd,тӱтыра́
92,Wolke::N,felhő,пыл
93,Regen::N,eső,йӱр
94,Schnee::N,hó,лум
95,Eis::N,jég,ий
96,Frost::N,fagy,чатлама́
97,Kälte::N,hideg,йӱ́штӧ
98,Hitze::N,hő,шо́кшо
99,Hitze::N,hőség,шо́кшо
100,Raureif::N,zúzmara,пӧрш
101,Raureif::N,zúzmara,по́кшым
102,Regenbogen::N,szivárvány,шонанпы́л
103,Donner::N,dörgés,кӱ́дырчӧ
104,Donner::N,mennydörgés,кӱ́дырчӧ
105,Strömung::N,áramlat,йо́гын
106,Tropfen::N,csepp,чӱча́лтыш
107,Schaum::N,hab,шоҥ
108,Schaum::N,tajték,шоҥ
109,Schmutz::N,piszok,лавыра́
110,See::N,tó,ер
111,Sumpf::N,mocsár,лӱ́кӧ
112,Moor::N,láp,куп
113,Wiese::N,rét,о́лык
114,Wiese::N,mező,о́лык
115,Wald::N,erdő,чодыра́
116,Hügel::N,domb,арка́
117,Anhöhe::N,magaslat,тӧва́
118,Anhöhe::N,magaslat,кӱкшака́
119,Berg::N,hegy,ку́рык
120,Gipfel::N,csúcs,чаҥга́
121,Gipfel::N,csúcs,курыкву́й
122,Höhle::N,barlang,пеще́р
123,Höhle::N,barlang,курыкпо́мыш
124,Abhang::N,lejtő,та́йыл
125,Quelle::N,forrás,важ
126,Quelle::N,forrás,вӱдшинча́
127,Bach::N,patak,изэҥе́р
128,Fluss::N,folyó,эҥе́р
129,Ufer::N,part,сер
130,Küste::N,tengerpart,вӱдтӱ́р
131,Festland::N,szárazföld,мла́нде
132,Meer::N,tenger,те́ҥыз
133,Bucht::N,öböl,икса́
134,Insel::N,sziget,отро́
135,Blume::N,virág,пеле́дыш
136,Gras::N,fű,шу́до
137,Wurzel::N,gyökér,вож
138,Baum::N,fa,пуше́ҥге
139,Stamm::N,tő,йы́тыр
140,Stamm::N,törzs,йы́тыр
141,Rinde::N,kéreg,шӱм
142,Ast::N,ág,укш
143,Zweig::N,gally,торма́к
144,Blatt::N,levél,лышта́ш
145,Birke::N,nyír,куэ́
146,Kiefer[Baum]::N,fenyő,пӱ́нчӧ
147,Weide[Baum]::N,fűz,уа́
148,Tanne::N,fenyő,кож
149,Horn::N,szarv,шур
150,Feder::N,toll,пы́стыл
151,Fell::N,szőr,кова́ште
152,Fell::N,bunda,кова́ште
153,Flügel::N,szárny,шу́лдыр
154,Klaue::N,köröm,кӱч
155,Kralle::N,karom,ла́па
156,Kralle::N,karom,копа́
157,Schwanz::N,farok,поч
158,Ei::N,tojás,му́но
159,Nest::N,fészek,пыжа́ш
160,Bau::N,odú,пыжа́ш
161,Tier::N,állat,я́нлык
162,Tier::N,állat,живо́тный
163,Herde::N,nyáj,кӱ́тӱ
164,Herde::N,nyáj,тӱшка́
165,Herde::N,csorda,кӱ́тӱ
166,Herde::N,csorda,тӱшка́
167,Kuh::N,tehén,ушка́л
168,Bulle::N,bika,ӱ́шкыж
169,Pferd::N,ló,и́мне
170,Schaf::N,juh,шо́рык
171,Schaf::N,birka,шо́рык
172,Schwein::N,sertés,сӧсна́
173,Hund::N,eb,пий
174,Hund::N,kutya,пий
175,Katze::N,macska,пы́рыс
176,Bär::N,medve,маска́
