,Concept_ID,mhr,no
0,Auge::N,шинча́,øye
1,Ohr::N,пы́лыш,øre
2,Nase::N,нер,nese
3,Mund::N,умша́,munn
4,Zahn::N,пӱй,tann
5,Zunge::N,йы́лме,tunge
6,Lippe::N,тӱ́рвӧ,leppe
7,Wange::N,шӱ́ргӧ,kinn
8,Gesicht::N,чури́й,fjes
9,Gesicht::N,чури́й,ansikt
10,Stirn::N,саҥга́,panne
11,Haar::N,ӱп,hår
12,Schnurrbart::N,ӧ́рыш,bart
13,Bart::N,понда́ш,skjegg
14,Kinn::N,оҥыла́ш,hake
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,kjeve
16,Kiefer[Anatomie]::N,пӱйората́,kjeve
17,Kehle::N,лога́р,strupe
18,Hals::N,шӱй,hals
19,Genick::N,шӱйло́дыш,nakke
20,Kopf::N,вуй,hode
21,Rücken::N,туп,rygg
22,Bauch::N,мӱ́шкыр,buk
23,Bauch::N,мӱ́шкыр,mage
24,Nabel::N,кы́лымде,navle
25,Busen::N,чы́зе,barm
26,Brust::N,оҥ,bryst
27,Schulter::N,ва́че,skulder
28,Arm::N,кид,arm
29,Ellenbogen::N,кынерву́й,albue
30,Hand::N,кид,hånd
31,Hand::N,копа́,hånd
32,Handfläche::N,со́во,håndflate
33,Finger::N,парня́,finger
34,Fingernagel::N,кидкӱ́ч,fingernegl
35,Fingernagel::N,парнягӱ́ч,fingernegl
36,Nagel[Anatomie]::N,кӱч,negl
37,Zeh::N,йолварня́,tå
38,Fuß::N,йол,fot
39,Fuß::N,йолкопа́,fot
40,Ferse::N,тага́н,hæl
41,Knie::N,пулву́й,kne
42,Oberschenkel::N,э́рде,lår
43,Bein::N,йол,bein
44,Körper::N,кап,kropp
45,Körper::N,кап,legeme
46,Haut::N,кова́ште,hud
47,Haut::N,кова́ште,skinn
48,Blut::N,вӱр,blod
49,Ader::N,шӧн,åre
50,Sehne::N,шӧн,sene
51,Sehne::N,кӱсе́н,sene
52,Knochen::N,лу,bein
53,Knochen::N,лу,knokkel
54,Gehirn::N,вем,hjerne
55,Gehirn::N,вуйве́м,hjerne
56,Herz::N,шӱм,hjerte
57,Magen::N,пага́р,mage
58,Leber::N,мокш,lever
59,Atem::N,шӱ́лыш,pust
60,Hunger::N,шужыма́ш,sult
61,Träne::N,шинчавӱ́д,tåre
62,Geschmack::N,там,smak
63,Geruch::N,пуш,lukt
64,Schlaf::N,о́мо,søvn
65,Traum::N,йӱдо́мо,drøm
66,Himmel::N,кава́,himmel
67,Sonne::N,ке́че,sol
68,Mond::N,ты́лзе,måne
69,Stern::N,шӱ́дыр,stjerne
70,Luft::N,юж,luft
71,Wind::N,марде́ж,vind
72,Welle::N,то́лкын,bølge
73,Wasser::N,вӱд,vann
74,Stein::N,кӱ,stein
75,Boden::N,рок,bakke
76,Erde::N,мла́нде,jord
77,Staub::N,пура́к,støv
78,Rauch::N,шикш,røyk
79,Funke::N,сеске́м,gnist
80,Funke::N,тулйы́п,gnist
81,Feuer::N,тул,ild
82,Licht::N,со́то,lys
83,Schatten::N,ӱ́мыл,skygge
84,Wetter::N,иге́че,vær
85,Nebel::N,тӱтыра́,tåke
86,Wolke::N,пыл,sky
87,Regen::N,йӱр,regn
88,Schnee::N,лум,snø
89,Eis::N,ий,is
90,Frost::N,чатлама́,frost
91,Kälte::N,йӱ́штӧ,kulde
92,Hitze::N,шо́кшо,hete
93,Raureif::N,пӧрш,rimfrost
94,Raureif::N,по́кшым,rimfrost
95,Regenbogen::N,шонанпы́л,regnbue
96,Donner::N,кӱ́дырчӧ,torden
97,Strömung::N,йо́гын,strømning
98,Tropfen::N,чӱча́лтыш,dråpe
99,Schaum::N,шоҥ,skum
100,Schmutz::N,лавыра́,søl
101,Schmutz::N,лавыра́,skitt
102,See::N,ер,sjø
103,Sumpf::N,лӱ́кӧ,sump
104,Sumpf::N,лӱ́кӧ,myrlende
105,Moor::N,куп,myr
106,Moor::N,куп,myrhei
107,Wiese::N,о́лык,eng
108,Wald::N,чодыра́,skog
109,Hügel::N,арка́,haug
110,Hügel::N,арка́,bakke
111,Anhöhe::N,тӧва́,haug
112,Anhöhe::N,тӧва́,bakke
113,Anhöhe::N,кӱкшака́,haug
114,Anhöhe::N,кӱкшака́,bakke
115,Berg::N,ку́рык,berg
116,Berg::N,ку́рык,fjell
117,Gipfel::N,чаҥга́,topp
118,Gipfel::N,курыкву́й,topp
119,Höhle::N,пеще́р,hule
120,Höhle::N,курыкпо́мыш,hule
121,Abhang::N,та́йыл,li
122,Abhang::N,та́йыл,skråning
123,Quelle::N,важ,kilde
124,Quelle::N,вӱдшинча́,kilde
125,Bach::N,изэҥе́р,bekk
126,Fluss::N,эҥе́р,elv
127,Ufer::N,сер,bredd
128,Küste::N,вӱдтӱ́р,kyst
129,Festland::N,мла́нде,fastland
130,Meer::N,те́ҥыз,hav
