,Concept_ID,en,ab
0,Auge::N,eye,ала
1,Ohr::N,ear,алымҳа
2,Nase::N,nose,аҧынҵа
3,Mund::N,mouth,аҧышə
4,Zahn::N,tooth,ахаҧыц
5,Zunge::N,tongue,абз
6,Lippe::N,lip,ақьышə
7,Wange::N,cheek,аӡамҩа
8,Gesicht::N,face,аҿы
9,Stirn::N,forehead,алахь
10,Haar::N,hair,ахəыц
11,Schnurrbart::N,moustache,аҧаҵа
12,Bart::N,beard,ажакьа
13,Kinn::N,chin,ацламкəыгə
14,Kiefer[Anatomie]::N,jaw,ацламҳəа
15,Kehle::N,throat,ахəда
16,Hals::N,neck,ахəда
17,Genick::N,nape,ахəдаџьал
18,Kopf::N,head,ахы
19,Rücken::N,back,азқəа
20,Rücken::N,spine,азқəа
21,Bauch::N,belly,амгəа
22,Nabel::N,navel,аҷапан
23,Busen::N,bosom,агəыҧҳəы
24,Brust::N,chest,агəышҧы
25,Brust::N,breast,агəышҧы
26,Schulter::N,shoulder,ажəҩахыр
27,Arm::N,arm,амахəар
28,Ellenbogen::N,elbow,амашьхəылҵ
29,Hand::N,hand,анапы
30,Handfläche::N,palm,анапсаргəыҵа
31,Finger::N,finger,анацəа
32,Fingernagel::N,fingernail,анапхыц
33,Nagel[Anatomie]::N,nail,ашьапхыц
34,Zeh::N,toe,ашьацəа
35,Fuß::N,foot,ашьапсыргəыҵа
36,Ferse::N,heel,ашьхəа
37,Knie::N,knee,ашьамхы
38,Oberschenkel::N,thigh,ауаҭəа
39,Bein::N,leg,ашьапы
40,Körper::N,body,ацəеижь
41,Haut::N,skin,ацəа
42,Blut::N,blood,ашьа
43,Ader::N,vein,ада
44,Sehne::N,sinew,адаш
45,Knochen::N,bone,абаҩ
46,Gehirn::N,brain,ахшлыбаҩ
47,Gehirn::N,brain,ахшыбаҩ
48,Herz::N,heart,агəы
49,Magen::N,stomach,аца
50,Magen::N,stomach,ацар
51,Leber::N,liver,агəаҵəа
52,Atem::N,breath,аҧсыҧлагаҩгара
53,Hunger::N,hunger,амла
54,Träne::N,tear,алабжыш
55,Geschmack::N,flavour,агьама
56,Geschmack::N,flavor,агьама
57,Geruch::N,odour,афҩы
58,Geruch::N,odor,афҩы
59,Schlaf::N,sleep,ацəа
60,Traum::N,dream,аҧхыӡ
61,Himmel::N,sky,ажəҩан
62,Sonne::N,sun,амра
63,Mond::N,moon,амза
64,Stern::N,star,аеҵəа
65,Luft::N,air,аҳаир
66,Wind::N,wind,аҧша
67,Welle::N,wave,ацəқəырҧа
68,Wasser::N,water,аӡы
69,Stein::N,stone,ахаҳə
70,Boden::N,soil,адгьыл
71,Boden::N,ground,адгьыл
72,Erde::N,earth,адгьыл
73,Staub::N,dust,асаба
74,Rauch::N,smoke,алҩа
75,Funke::N,spark,акəиц
76,Funke::N,spark,ацҧхь
77,Feuer::N,fire,амца
