,Concept_ID,el,mdf
0,Auge::N,μάτι,сельме
1,Auge::N,οφθαλμός,сельме
2,Ohr::N,αυτί,пиле
3,Nase::N,μύτη,шалхка
4,Mund::N,στόμα,курга
5,Zahn::N,δόντι,пей
6,Zunge::N,γλώσσα,кяль
7,Lippe::N,χείλος,търва́
8,Wange::N,παρειά,щёка
9,Wange::N,μάγουλο,щёка
10,Gesicht::N,πρόσωπο,шама
11,Stirn::N,μέτωπο,коня
12,Haar::N,μαλλιά,шя́ярь
13,Schnurrbart::N,μουστάκι,уса́
14,Bart::N,γένια,сакал
15,Kinn::N,πιγούνι,ула
16,Kiefer[Anatomie]::N,σαγόνι,саласка
17,Kehle::N,λαρύγγι,кълдома
18,Kehle::N,λαρύγγι,кърга́парь
19,Hals::N,λαιμός,сялдаз
20,Genick::N,σβέρκος,шовонь
21,Kopf::N,κεφάλι,пря
22,Rücken::N,ράχη,копорь
23,Bauch::N,κοιλιά,пеке
24,Nabel::N,αφαλός,по́кон
25,Busen::N,στήθος,потя
26,Brust::N,στήθος,мяште
27,Schulter::N,ώμος,лафту
28,Arm::N,χέρι,кядь
29,Arm::N,μπράτςο,кядь
30,Ellenbogen::N,αγκώνας,кенерьба́карь
31,Hand::N,χέρι,кядь
32,Handfläche::N,παλάμη,кядьлапш
33,Finger::N,δάχτυλο,сур
34,Fingernagel::N,νύχι,кенже
35,Nagel[Anatomie]::N,νύχι,кенже
36,Zeh::N,δάχτυλο του ποδιού,пильгосу́р
37,Fuß::N,πόδι,пильге
38,Fuß::N,πόδι,пильгелапа
39,Ferse::N,φτέρνα,кочкяря
40,Knie::N,γόνατο,эль
41,Knie::N,γόνατο,пълма́нжа
42,Oberschenkel::N,μηρός,пильгепукша
43,Bein::N,πόδι,пильге
44,Körper::N,σώμα,ро́нга
45,Körper::N,σώμα,по́нда
46,Körper::N,κορμί,ро́нга
47,Körper::N,κορμί,по́нда
48,Haut::N,πετσί,киське
49,Blut::N,αίμα,вер
50,Ader::N,φλέβα,сан
51,Ader::N,φλέβα,верза́н
52,Sehne::N,νεύρο,коське сан
53,Sehne::N,τένοντας,коське сан
54,Knochen::N,οστό,пакарь
55,Knochen::N,κόκκαλο,пакарь
56,Gehirn::N,μυαλό,уй
57,Gehirn::N,εγκέφαλος,уй
58,Herz::N,καρδιά,седи
59,Magen::N,στομάχι,коткърдазь
60,Leber::N,ήπαρ,макса
61,Leber::N,συκωτί,макса
62,Atem::N,αναπνοή,лекома
63,Atem::N,αναπνοή,ваймонь тарксема
64,Hunger::N,πείνα,вачеши
65,Träne::N,δάκρυ,сельмове́дь
66,Geschmack::N,γεύση,таньф
67,Geruch::N,οσμή,шине
68,Geruch::N,μυρωδία,шине
69,Schlaf::N,ύπνος,удома́
70,Traum::N,όνειρο,он
71,Himmel::N,ουρανός,менель
72,Sonne::N,ήλιος,ши
73,Mond::N,σελήνη,ков
74,Mond::N,φεγγάρι,ков
75,Stern::N,άστρο,тяште
76,Stern::N,αστέρι,тяште
77,Luft::N,αέρας,кожф
78,Wind::N,αέρας,варма
79,Wind::N,άνεμος,варма
80,Welle::N,κύμα,тавла
81,Wasser::N,νερό,ведь
82,Stein::N,πέτρα,кев
83,Boden::N,χώμα,мода
84,Boden::N,χώμα,потмакс
85,Erde::N,γη,мода
86,Erde::N,γη,мастор
87,Staub::N,σκόνη,пуль
88,Rauch::N,καπνός,качам
89,Funke::N,σπίθα,ця́тка
90,Funke::N,σπινθήρας,ця́тка
91,Feuer::N,φωτιά,тол
92,Licht::N,φως,ва́лда
93,Schatten::N,σκιά,цильф
94,Schatten::N,ίσκιος,цильф
95,Wetter::N,καιρός,уша
96,Nebel::N,ομίχλη,тума́н
97,Wolke::N,σύννεφο,ковол
98,Regen::N,βροχή,пизем
