,Concept_ID,tt,ml
0,Auge::N,күз,കണ്ണ്
1,Ohr::N,колак,ചെവി
2,Nase::N,борын,മൂക്ക്
3,Mund::N,авыз,വായ
4,Mund::N,тамак,വായ
5,Zahn::N,теш,പല്ല്
6,Zunge::N,тел,നാക്ക്
7,Lippe::N,ирен,ചുണ്ട്
8,Wange::N,яңак,കവിൾത്തടം
9,Gesicht::N,йөз,മുഖം
10,Stirn::N,маңгай,നെറ്റി
11,Haar::N,чәч,തലമുടി
12,Schnurrbart::N,мыек,മീശ
13,Bart::N,сакал,താടിരോമം
14,Kinn::N,ияк,താടി
15,Kiefer[Anatomie]::N,казналык,താടിയെല്ല്
16,Kehle::N,тамак,കണ്ഠനാളം
17,Hals::N,бугаз,കഴുത്ത്
18,Genick::N,җилкә,പിടലി
19,Kopf::N,баш,തല
20,Rücken::N,сырт,മുതുക്
21,Bauch::N,корсак,നയറ്
22,Nabel::N,кендек,നാഭി
23,Busen::N,түш,സ്തനം
24,Brust::N,имчәк,സ്തനം
25,Brust::N,күкрәк,സ്തനം
26,Schulter::N,иңбаш,തോൾ
27,Schulter::N,кулбаш,തോൾ
28,Arm::N,кул,കൈ
29,Ellenbogen::N,терсәк,കൈമുട്ട്
30,Hand::N,кул,കൈ
31,Handfläche::N,уч,ഉള്ളം കൈ
32,Finger::N,бармак,വിരൽ
33,Fingernagel::N,тырнак,നഖം
34,Nagel[Anatomie]::N,тырнак,നഖം
35,Zeh::N,бармак,കാൽവിരൽ
36,Fuß::N,табан,കാൽപ്പാദം
37,Ferse::N,үкчә,ഉപ്പൂറ്റി
38,Knie::N,тез,കാൽമുട്ട്
39,Oberschenkel::N,бот,തുട
40,Bein::N,аяк,കാൽ
41,Körper::N,тән,ശരീരം
42,Körper::N,җисем,ശരീരം
43,Haut::N,тире,ചർമ്മം
44,Blut::N,кан,രക്തം
45,Ader::N,тамыр,ഞരമ്പ്
46,Sehne::N,сеңер,സ്നായു
47,Knochen::N,сөяк,അസ്ഥി
48,Gehirn::N,ми,തലച്ചോറ്
49,Herz::N,йөрәк,ഹൃദയം
50,Magen::N,ашказаны,വയർ
51,Leber::N,бавыр,കരൾ
52,Atem::N,сулыш,ശ്വാസം
53,Hunger::N,ачлык,വിശപ്പ്
54,Träne::N,яшь,കണ്ണീർ
55,Geschmack::N,тәм,രുചി
56,Geschmack::N,зәвык,രുചി
57,Geruch::N,ис,ഗന്ധം
58,Schlaf::N,йокы,ഉറകും
59,Traum::N,төш,സ്വപ്നം
60,Himmel::N,күк,ആകാശം
61,Sonne::N,кояш,സൂര്യൻ
62,Mond::N,ай,ചന്ദ്രൻ
63,Stern::N,йолдыз,നക്ഷത്രം
64,Luft::N,һава,കാറ്റ്
65,Wind::N,җил,കാറ്റ്
66,Welle::N,дулкын,തിരമാല
67,Wasser::N,су,വെള്ളം
68,Stein::N,таш,ശില
69,Stein::N,таш,കല്ല്
70,Boden::N,туфрак,തറ
71,Boden::N,туфрак,നിലം
72,Erde::N,җир,മണ്ണ്
73,Staub::N,тузан,പൊടി
74,Rauch::N,төтен,പുക
75,Funke::N,очкын,തീപ്പൊരി
76,Feuer::N,ут,തീ
77,Licht::N,якты,വിളക്ക്
78,Licht::N,якты,സൂര്യപ്രകാശം
79,Schatten::N,күләгә,തണൽ
80,Wetter::N,һава,കാലാവസ്ഥ
81,Nebel::N,томан,മൂടൽമഞ്ഞ്
82,Wolke::N,болыт,മേഘം
83,Regen::N,яңгыр,മഴ
84,Schnee::N,кар,മഞ്ഞ്
