,Concept_ID,es,sl
0,Auge::N,ojo,okó
1,Ohr::N,oreja,uhó
2,Nase::N,nariz,nós
3,Mund::N,boca,ústa
4,Zahn::N,diente,zób
5,Zunge::N,lengua,jêzik
6,Lippe::N,labio,ústnica
7,Wange::N,mejilla,líce
8,Gesicht::N,cara,oblíčje
9,Stirn::N,frente,čêlo
10,Haar::N,cabello,lás
11,Schnurrbart::N,bigote,bŕki
12,Bart::N,barba,bráda
13,Kinn::N,barbilla,bráda
14,Kiefer[Anatomie]::N,mandíbula,čeljúst
15,Kehle::N,garganta,gŕlo
16,Hals::N,cuello,vrát
17,Genick::N,nuca,zatílnik
18,Genick::N,cerviz,zatílnik
19,Kopf::N,cabeza,gláva
20,Rücken::N,espalda,hrbèt
21,Bauch::N,vientre,trébuh
22,Nabel::N,ombligo,pópek
23,Busen::N,pecho,nédrja
24,Brust::N,pecho,pŕsi
25,Schulter::N,hombro,ráma
26,Schulter::N,hombro,plêče
27,Arm::N,brazo,rôka
28,Ellenbogen::N,codo,komólec
29,Hand::N,mano,rôka
30,Handfläche::N,palma,dlán
31,Finger::N,dedo,pŕst
32,Fingernagel::N,uña,nóht na rôki
33,Nagel[Anatomie]::N,uña,nóht
34,Zeh::N,dedo del pie,pŕst na nôgi
35,Fuß::N,pie,nôga
36,Ferse::N,talón,pêta
37,Knie::N,rodilla,koléno
38,Oberschenkel::N,muslo,stêgno
39,Bein::N,pierna,nôga
40,Körper::N,cuerpo,teló
41,Haut::N,piel,kóža
42,Blut::N,sangre,krí
43,Ader::N,vena,žíla
44,Sehne::N,tendón,kíta
45,Knochen::N,hueso,kóst
46,Gehirn::N,cerebro,možgáni
47,Gehirn::N,encéfalo,možgáni
48,Herz::N,corazón,srcé
49,Magen::N,estómago,želódec
50,Leber::N,hígado,jétra
51,Atem::N,aliento,díh
52,Hunger::N,hambre,glád
53,Träne::N,lágrima,sólza
54,Geschmack::N,gusto,okús
55,Geruch::N,olor,vónj
56,Schlaf::N,sueño,sèn
57,Schlaf::N,sueño,spánec
58,Traum::N,sueño,sánje
59,Traum::N,ensueño,sánje
60,Himmel::N,cielo,nebó
