,Concept_ID,he,tr
0,Auge::N,עין,göz
1,Ohr::N,אזן,kulak
2,Nase::N,אף,burun
3,Nase::N,חטם,burun
4,Mund::N,פה,ağız
5,Zahn::N,שן,diş
6,Zunge::N,לשון,dil
7,Lippe::N,שפה,dudak
8,Wange::N,לחי,yanak
9,Gesicht::N,פנים,yüz
10,Stirn::N,מצח,alın
11,Haar::N,שערה,saç
12,Schnurrbart::N,שפם,bıyık
13,Bart::N,זקן,sakal
14,Kinn::N,סנטר,çene
15,Kiefer[Anatomie]::N,לסת,çene
16,Kehle::N,גרון,boğaz
17,Hals::N,צואר,boyun
18,Hals::N,צואר,gerdan
19,Genick::N,ערף,ense
20,Kopf::N,ראש,baş
21,Kopf::N,ראש,kafa
22,Rücken::N,גב,arka
23,Bauch::N,בטן,karın
24,Nabel::N,טבור,göbek
25,Busen::N,שד,koyun
26,Brust::N,חזה,göğüs
27,Schulter::N,כתף,omuz
28,Arm::N,זרוע,kol
29,Ellenbogen::N,מרפק,dirsek
30,Hand::N,יד,el
31,Handfläche::N,כף יד,avuç
32,Handfläche::N,כף יד,el ayası
33,Finger::N,אצבע,parmak
34,Fingernagel::N,צפרן,el tırnağı
35,Nagel[Anatomie]::N,צפרן,tırnak
36,Zeh::N,אצבע,ayak parmağı
37,Fuß::N,רגל,ayak
38,Ferse::N,עקב,topuk
39,Knie::N,ברך,diz
40,Oberschenkel::N,ירך,uyluk
41,Bein::N,רגל,bacak
42,Körper::N,גוף,vücut
43,Haut::N,עור,cilt
44,Blut::N,דם,kan
45,Ader::N,וריד,damar
46,Sehne::N,גיד,kiriş
47,Knochen::N,עצם,kemik
48,Gehirn::N,מוח,beyin
49,Herz::N,לב,kalp
50,Herz::N,לב,yürek
51,Magen::N,קבה,mide
52,Leber::N,כבד,karaciğer
53,Atem::N,נשימה,nefes
54,Hunger::N,רעב,açlık
55,Träne::N,דמעה,gözyaşı
56,Geschmack::N,טעם,tat
57,Geschmack::N,טעם,lezzet
58,Geruch::N,ריח,koku
59,Schlaf::N,שנה,uyku
60,Traum::N,חלום,düş
61,Traum::N,חלום,rüya
62,Himmel::N,שמים,gök
63,Sonne::N,שמש,güneş
64,Mond::N,ירח,ay
65,Stern::N,כוכב,yıldız
66,Luft::N,אויר,hava
67,Wind::N,רוח,yel
68,Wind::N,רוח,rüzgâr
69,Welle::N,גל,dalga
70,Wasser::N,מים,su
71,Stein::N,אבן,taş
72,Boden::N,קרקע,yer
73,Boden::N,קרקע,zemin
74,Erde::N,אדמה,toprak
75,Staub::N,אבק,toz
76,Rauch::N,עשן,duman
77,Funke::N,ניצוץ,kıvılcım
78,Feuer::N,אש,ateş
79,Licht::N,אור,ışık
80,Schatten::N,צל,gölge
81,Wetter::N,מזג אויר,hava
82,Nebel::N,ערפל,pus
83,Wolke::N,ענן,bulut
84,Regen::N,גשם,yağmur
85,Schnee::N,שלג,kar
86,Eis::N,קרח,buz
87,Frost::N,צנה,don
88,Kälte::N,קר,soğukluk
89,Hitze::N,חם,sıcaklık
90,Raureif::N,כפור,kırç
91,Regenbogen::N,קשת,gökkuşağı
92,Donner::N,רעם,gök gürlemesi
93,Strömung::N,זרימה,akıntı
94,Strömung::N,זרימה,cereyan
95,Tropfen::N,טפה,damla
96,Schaum::N,קצף,köpük
97,Schmutz::N,לכלוך,çamur
98,Schmutz::N,לכלוך,pislik
99,See::N,אגם,göl
100,Sumpf::N,בצה,batak
101,Moor::N,בצה,cılgıt
102,Wiese::N,מרעה,çimen
103,Wald::N,יער,koru
104,Wald::N,יער,orman
105,Hügel::N,תל,tepe
106,Anhöhe::N,מעלה,tümsek
107,Anhöhe::N,מעלה,yükseklik
108,Berg::N,הר,dağ
109,Gipfel::N,פסגה,zirve
110,Höhle::N,מערה,in
111,Höhle::N,מערה,mağara
112,Abhang::N,מדרון,bayır
113,Abhang::N,שפוע,bayır
114,Quelle::N,מעין,pınar
115,Quelle::N,מעין,kaynak
116,Bach::N,נחל,çay
117,Bach::N,נחל,dere
118,Fluss::N,נהר,nehir
119,Ufer::N,גדה,kıyı
120,Ufer::N,גדה,sahil
121,Küste::N,חוף,kıyı
122,Küste::N,חוף,sahil
123,Festland::N,יבשה,kara
124,Meer::N,ים,deniz
125,Bucht::N,מפרץ,koy
126,Bucht::N,מפרץ,körfez
127,Insel::N,אי,ada
128,Blume::N,פרח,çiçek
129,Gras::N,דשא,ot
130,Gras::N,דשא,çim
131,Wurzel::N,שרש,kök
132,Baum::N,עץ,ağaç
133,Stamm::N,גזע,gövde
134,Rinde::N,קלפת עץ,kabuk
135,Ast::N,ענף,dal
136,Ast::N,ענף,budak
137,Zweig::N,ענף,dal
138,Blatt::N,עלה,yaprak
139,Birke::N,שדר,huş
140,Kiefer[Baum]::N,ארן,çam
141,Weide[Baum]::N,ערבה,söğüt
142,Tanne::N,אשוח,çam
143,Tanne::N,אשוח,köknar
144,Horn::N,קרן,boynuz
145,Feder::N,נוצה,tüy
146,Fell::N,פרוה,post
147,Flügel::N,כנף,kanat
148,Klaue::N,טלף,pençe
149,Kralle::N,טפר,tırnak
150,Schwanz::N,זנב,kuyruk
151,Ei::N,ביצה,yumurta
