,Concept_ID,os,ca
0,Auge::N,цӕст,ull
1,Ohr::N,хъус,orella
2,Nase::N,фындз,nas
3,Mund::N,дзых,boca
4,Zahn::N,дӕндаг,dent
5,Zunge::N,ӕвзаг,llēngua
6,Lippe::N,был,llavi
7,Wange::N,рус,galta
8,Wange::N,уадул,galta
9,Wange::N,ӕхсӕрфарс,galta
10,Gesicht::N,цӕсгом,cara
11,Stirn::N,ных,front
12,Haar::N,хил,cabēll
13,Schnurrbart::N,рихи,bigoti
14,Bart::N,зачъе,barba
15,Kinn::N,роцъо,mentó
16,Kinn::N,роцъо,barbeta
17,Kiefer[Anatomie]::N,ӕфсӕр,queix
18,Kiefer[Anatomie]::N,ӕфсӕр,mandíbula
19,Kehle::N,хъуыр,gola
20,Kehle::N,хъуыр,gorja
21,Hals::N,къубал,coll
22,Genick::N,къӕбут,nuca
23,Kopf::N,сӕр,cap
24,Rücken::N,фӕсонтӕ,esquena
25,Bauch::N,гуыбын,panxa
26,Nabel::N,бикъ,llombrígol
27,Busen::N,дзидзи,pit
28,Busen::N,дзидзи,mama
29,Brust::N,риу,pit
30,Schulter::N,уӕхск,espatlla
31,Arm::N,цонг,braç
32,Ellenbogen::N,рæмбын,colze
33,Hand::N,къух,mà
34,Handfläche::N,армытъӕпӕн,palma
35,Finger::N,ӕнруылдз,dit
36,Fingernagel::N,ных,ungla
37,Nagel[Anatomie]::N,ных,ungla
38,Zeh::N,къух,dit del peu
39,Fuß::N,фад,peu
40,Ferse::N,зӕвӕт,taló
41,Knie::N,уӕраг,genoll
42,Oberschenkel::N,агъд,cuixa
43,Bein::N,зӕнг,cama
44,Körper::N,буар,cos
45,Haut::N,царм,pell
46,Blut::N,туг,sang
47,Ader::N,дадзин,vena
48,Ader::N,тугдадзин,vena
49,Sehne::N,хъиутæ,tendó
50,Sehne::N,нуар,tendó
51,Knochen::N,стӕг,os
52,Gehirn::N,магъз,cervell
53,Herz::N,зӕрдӕ,cor
54,Magen::N,ахсӕн,estómac
55,Leber::N,игæр,fetge
56,Atem::N,улӕфт,alè
57,Atem::N,улӕфт,hàlit
58,Hunger::N,стонг,fam
59,Hunger::N,стонг,gana
60,Träne::N,цæссыг,llàgrima
61,Geschmack::N,ад,gust
62,Geschmack::N,ад,sabor
63,Geruch::N,смаг,olor
