,Concept_ID,fr,xal
457,Getreide::N,blé,хот болҗ эдлгддг цецгүдтә урһмл
458,Getreide::N,céréales,хот болҗ эдлгддг цецгүдтә урһмл
459,Brei::N,purée,хаш
460,Brei::N,bouillie,хаш
461,Brot::N,pain,өдмг
462,Scheibe::N,tranche,зүсм
463,Fett::N,graisse,өөкн
464,Butter::N,beurre,тосн
465,Öl::N,huile,тосн
466,Salz::N,sel,давсн
467,Suppe::N,soupe,шөлн
468,Suppe::N,potage,шөлн
469,Honig::N,miel,бал
470,Milch::N,lait,үсн
471,Tee::N,thé,цә
472,Leder::N,cuir,арсн
473,Wolle::N,laine,утцн
474,Wolle::N,laine,эд
475,Stoff::N,tissu,эд
476,Stoff::N,étoffe,эд
477,Nadel::N,aiguille,зүн
478,Faden::N,fil,утцн
479,Knopf::N,bouton,товч
480,Knoten::N,nœud,зәңгдә
481,Farbe::N,peinture,будг
482,Kleidung::N,vêtements,хувцн
483,Kleidung::N,vêtements,хувц-хунр
484,Kleidung::N,habillement,хувцн
485,Kleidung::N,habillement,хувц-хунр
486,Hemd::N,chemise,киилг
487,Kragen::N,col,зах
488,Ärmel::N,manche,ханцн
489,Hose::N,pantalon,шалвур
490,Gürtel::N,ceinture,бүс
491,Mütze::N,bonnet,махла
492,Mütze::N,casquette,махла
493,Schuh::N,soulier,башмгуд
494,Schuh::N,chaussure,башмгуд
495,Stiefel::N,botte,һосн
496,Ring::N,bague,билцг
497,Band::N,ruban,лент
498,Kamm::N,peigne,сам
499,Spiegel::N,glace,толь
500,Spiegel::N,miroir,толь
501,Riemen::N,lanière,бүс
502,Riemen::N,courroie,бүс
503,Schnur::N,corde,деесн
504,Schnur::N,ficelle,деесн
505,Leine::N,laisse,бурнтг
506,Leine::N,laisse,нохан көтлвр
507,Decke::N,couverture,көнҗл
508,Kissen::N,oreiller,дер
509,Tuch::N,drap,альчур
510,Tuch::N,fichu,альчур
511,Handtuch::N,serviette,полотенц
512,Handtuch::N,serviette,һар-нүүрин альчур
513,Handtuch::N,essuie-mains,полотенц
514,Handtuch::N,essuie-mains,һар-нүүрин альчур
515,Kraft::N,force,күчн
516,Stärke::N,vigueur,чидл
517,Gesundheit::N,santé,эрүл-менд
518,Krankheit::N,maladie,өвчн
519,Schmerz::N,douleur,өвдлһн
520,Wunde::N,plaie,шав
521,Wunde::N,blessure,шав
522,Fieber::N,fièvre,безг
523,Arznei::N,remède,эм
524,Arznei::N,médecine,эм
525,Brücke::N,pont,тагт
526,Brunnen::N,puits,худг
527,Weide::N,pâturage,малын идг
528,Pfad::N,sentier,цувг
529,Weg::N,voie,хаалһ
530,Weg::N,chemin,хаалһ
531,Straße::N,route,зам
532,Dorf::N,village,хотн
533,Stadt::N,cité,балһсн
534,Stadt::N,ville,балһсн
535,Brief::N,lettre,бичг
536,Buch::N,livre,дегтр
537,Buchstabe::N,lettre,үзг
538,Buchstabe::N,caractère,үзг
539,Zeitung::N,journal,газет
540,Leben::N,vie,җирһл
541,Tod::N,mort,үкл
542,Tod::N,mort,өңгрлһн
543,Grab::N,tombe,оршалһна нүкн
544,Kirche::N,église,чонҗ
545,Sünde::N,péché,нүл
546,Sünde::N,péché,килнц
547,Gott::N,dieu,бурхн
548,Arbeiter::N,ouvrier,көдлмшч
549,Arbeiter::N,travailleur,көдлмшч
550,Chef::N,chef,толһач
551,Chef::N,patron,толһач
552,Meister::N,maître,урн
553,Arzt::N,médecin,эмч
554,Lehrer::N,professeur,багш
555,Lehrer::N,instituteur,багш
556,Geld::N,argent,мөңгн
557,Geschäft::N,affaire,көдлмш
558,Geschäft::N,commerce,көдлмш
559,Laden::N,magasin,лавк
560,Laden::N,boutique,лавк
561,Preis::N,prix,үн
562,Ware::N,marchandise,эд-тавр
563,Nutzen::N,profit,олз
564,Reichtum::N,richesse,зөөр
565,Welt::N,monde,орчлң
566,Welt::N,monde,делкә
567,Land::N,pays,орн-нутг
568,Staat::N,État,государств
569,König::N,roi,хан
570,Macht::N,pouvoir,йосн
571,Macht::N,puissance,йосн
572,Grenze::N,frontière,меҗә
573,Krieg::N,guerre,дән
574,Feind::N,ennemi,дәәсн
575,Gewalt::N,violence,күч һарһлһн
576,Kampf::N,lutte,ноолдан
577,Kampf::N,lutte,бәрлдлһн
578,Kampf::N,combat,ноолдан
579,Kampf::N,combat,бәрлдлһн
580,Bogen[Waffe]::N,arc,саадг
581,Pfeil::N,flèche,сумн
582,Gewehr::N,fusil,бу
583,Fehler::N,faute,алдг
584,Fehler::N,erreur,алдг
585,Lüge::N,mensonge,худл
586,Schaden::N,dégât,хорлт
587,Schaden::N,dommage,хорлт
588,Unglück::N,malheur,гүрм
589,Schuld::N,faute,гем
590,Schuld::N,faute,буру
591,Schuld::N,culpabilité,гем
592,Schuld::N,culpabilité,буру
593,Alter::N,âge,насн
594,Schluss::N,fin,чилгч
595,Zeit::N,temps,цаг
596,Tag::N,jour,өдр
597,Tag::N,journée,өдр
598,Morgen::N,matin,өрүн
599,Morgen::N,matinée,өрүн
600,Mittag::N,midi,үд
601,Abend::N,soir,асхн
602,Abend::N,soirée,асхн
603,Nacht::N,nuit,сө
604,Woche::N,semaine,долан хонг
605,Monat::N,mois,сар
606,Jahr::N,an,җил
607,Jahr::N,année,җил
608,Frühling::N,printemps,хавр
609,Sommer::N,été,зун
610,Herbst::N,automne,намр
611,Winter::N,hiver,үвл
612,Januar::N,janvier,январь
613,Februar::N,février,февраль
614,März::N,mars,март
615,März::N,mars,моһа сар
616,April::N,avril,апрель
617,Mai::N,mai,май
618,Juni::N,juin,июнь
619,Juni::N,juin,мөчн сар
620,Juli::N,juillet,июль
621,August::N,août,август
622,September::N,septembre,һаха сар
623,Oktober::N,octobre,октябрь
624,November::N,novembre,ноябрь
625,November::N,novembre,үкр сар
626,Dezember::N,décembre,бар сар
627,Montag::N,lundi,понедельник
628,Dienstag::N,mardi,вторник
629,Mittwoch::N,mercredi,среда
630,Mittwoch::N,mercredi,үлмҗ өдр
631,Donnerstag::N,jeudi,четверг
632,Donnerstag::N,jeudi,пүрвә өдр
633,Freitag::N,vendredi,пятниц
634,Samstag::N,samedi,суббот
635,Sonntag::N,dimanche,нарн өдр
636,Sonntag::N,dimanche,воскресень
637,groß::A,grand,ик
638,klein::A,petit,бичкн
639,lang::A,long,ут
640,kurz::A,court,оһтр
641,breit::A,large,өргн
642,schmal::A,étroit,уутьхн
643,dicht::A,dense,нигт
644,dick[Gegenstand]::A,épais,зузан
645,dünn::A,mince,нимгн
646,fein::A,fin,нәрхн
647,fein::A,menu,нәрхн
648,fest::A,ferme,бат
649,fest::A,solide,бат
650,flach::A,plat,хавтха
651,glatt::A,poli,тегш
652,glatt::A,poli,тиньгр
653,glatt::A,lisse,тегш
654,glatt::A,lisse,тиньгр
655,hart::A,dur,хату
656,weich::A,mou,җөөлн
657,weich::A,mou,җөөлкн
658,rund::A,rond,төгрг
659,spitz::A,aigu,шовһр
660,spitz::A,pointu,шовһр
661,scharf::A,tranchant,хурц
662,stumpf::A,mousse,мука
663,stumpf::A,émoussé,мука
664,schwer::A,lourd,күнд
665,schwer::A,pesant,күнд
666,schön::A,beau,сәәхн
667,heiß::A,chaud,халун
668,heiß::A,très chaud,халун
669,warm::A,chaud,дулан
670,kalt::A,froid,киитн
671,kühl::A,frais,серүн
672,frisch::A,frais,серүн
673,feucht::A,humide,чиигтә
674,nass::A,mouillé,чиигтә
675,trocken::A,sec,хагсу
676,voll::A,plein,дүүрң
677,voll::A,rempli,дүүрң
678,leer::A,vide,сул
679,leer::A,vide,хоосн
680,offen::A,ouvert,секәтә
681,geschlossen::A,clos,хаалһата
682,geschlossen::A,fermé,хаалһата
683,sauber::A,net,цевр
684,sauber::A,propre,цевр
685,schmutzig::A,sale,киртә
686,schmutzig::A,crasseux,киртә
687,roh::A,cru,түүкә
688,roh::A,brut,түүкә
689,reif::A,mûr,болсн
690,lecker::A,délicieux,әмтәхн
691,lecker::A,appétissant,әмтәхн
692,süß::A,doux,әмтәхн
693,bitter::A,amer,һашун
694,bitter::A,amer,һашута
695,sauer::A,aigre,ишклң
696,hell::A,clair,герлтә
697,dunkel::A,sombre,харңһу
698,schwarz::A,noir,хар
699,weiß::A,blanc,цаһан
700,rot::A,rouge,улан
701,gelb::A,jaune,шар
702,blau::A,bleu,көк
703,grün::A,vert,көк
704,grau::A,gris,бор
705,bunt::A,multicolore,алг
706,bunt::A,multicolore,эрәтә
707,billig::A,bon marché,кимд
708,teuer::A,cher,үнтә
709,wertvoll::A,précieux,үнтә
710,wertvoll::A,précieux,эрднь
711,blind::A,aveugle,сохр
712,taub::A,sourd,дүлә
713,kräftig::A,fort,күчтә
714,kräftig::A,vigoureux,күчтә
715,stark::A,fort,чаңһ
716,stark::A,puissant,чаңһ
717,schwach::A,faible,күчн тату
718,fett::A,gras,тарһн
719,schlank::A,svelte,эццн
720,hübsch::A,joli,көркхн
721,böse::A,mauvais,уурта
722,dumm::A,sot,тенг
723,dumm::A,bête,тенг
724,faul::A,fainéant,залху
725,faul::A,paresseux,залху
726,fleißig::A,appliqué,кинән
727,fleißig::A,appliqué,кинмһә
728,geizig::A,avare,ховдг
729,klug::A,intelligent,ухата
730,geschickt::A,habile,чадмг
731,lieb::A,cher,эңкр
732,lieb::A,gentil,эңкр
733,lustig::A,gai,сергмҗтә
734,lustig::A,gai,җирһлтә
735,lustig::A,joyeux,сергмҗтә
736,lustig::A,joyeux,җирһлтә
737,sanft::A,doux,номһн
738,hungrig::A,affamé,өлн
739,hungrig::A,affamé,харһнсн
740,krank::A,malade,өвчтә
741,krank::A,malade,шалтгта
742,nackt::A,nu,нүцкн
743,traurig::A,triste,һундлта
744,lebendig::A,vivant,әмд
745,gut::A,bon,сән
746,schlecht::A,mauvais,му
747,richtig::A,juste,зөвтә
748,richtig::A,correct,зөвтә
749,schlimm::A,grave,җигшүртә
750,schlimm::A,mauvais,җигшүртә
751,wahr::A,vrai,үнн
752,wahr::A,vrai,мөн
753,wahr::A,véritable,үнн
754,wahr::A,véritable,мөн
755,alt::A,vieux,хуучн
756,neu::A,neuf,шин
757,neu::A,nouveau,шин
758,ehemalig::A,ancien,хуучн
759,alt[Lebewesen]::A,âgé,көгшн
760,alt[Lebewesen]::A,vieux,көгшн
761,jung::A,jeune,баһ
762,arm::A,pauvre,угатя
763,reich::A,riche,байн
764,bekannt::A,connu,таньл
765,bekannt::A,connu,таньдг
766,berühmt::A,fameux,туурсн
767,berühmt::A,célèbre,туурсн
768,fremd::A,étranger,күүнә
769,verschieden::A,différent,әдл биш
770,verschieden::A,différent,йилһәтә
771,nah::A,lié,өөрхн
772,nah::A,proche,өөрхн
773,fern::A,éloigné,хол
774,fern::A,lointain,хол
775,linker::A,gauche,зүн
776,rechter::A,droit,барун
777,anderer::A,autre,талдан
778,erster::A,premier,негдгч
779,zweiter::A,second,хойрдгч
780,zweiter::A,deuxième,хойрдгч
781,dritter::A,troisième,һурвдгч
782,letzter::A,dernier,отхн
783,allein::ADV,seul,һанцарн
784,auf einmal::ADV,à la fois,нег дәкҗ
785,zusammen::ADV,ensemble,хамдан
786,lange::ADV,longtemps,удан
787,plötzlich::ADV,tout à coup,генткн
788,sofort::ADV,immédiatement,дарунь
789,später::ADV,plus tard,сүүлд
790,jetzt::ADV,maintenant,ода
791,heute::ADV,aujourd'hui,эндр
792,morgen::ADV,demain,маңһдур
793,bald::ADV,bientôt,дарунь
794,dann::ADV,puis,дәкәд
795,dann::ADV,ensuite,дәкәд
