,Concept_ID,uk,ml
0,Auge::N,око,കണ്ണ്
1,Ohr::N,вухо,ചെവി
2,Nase::N,ніс,മൂക്ക്
3,Mund::N,рот,വായ
4,Zahn::N,зуб,പല്ല്
5,Zunge::N,язик,നാക്ക്
6,Lippe::N,губа,ചുണ്ട്
7,Wange::N,щока,കവിൾത്തടം
8,Gesicht::N,обличчя,മുഖം
9,Stirn::N,лоб,നെറ്റി
10,Haar::N,волосся,തലമുടി
11,Schnurrbart::N,вуса,മീശ
12,Bart::N,борода,താടിരോമം
13,Kinn::N,підборіддя,താടി
14,Kiefer[Anatomie]::N,щелепа,താടിയെല്ല്
15,Kehle::N,горло,കണ്ഠനാളം
16,Hals::N,шия,കഴുത്ത്
17,Genick::N,потилиця,പിടലി
18,Kopf::N,голова,തല
19,Rücken::N,спина,മുതുക്
20,Bauch::N,живіт,നയറ്
21,Nabel::N,пупок,നാഭി
22,Busen::N,груди,സ്തനം
23,Brust::N,груди,സ്തനം
24,Schulter::N,плече,തോൾ
25,Arm::N,рука,കൈ
26,Ellenbogen::N,лікоть,കൈമുട്ട്
27,Hand::N,рука,കൈ
28,Handfläche::N,долоня,ഉള്ളം കൈ
29,Finger::N,палець,വിരൽ
30,Fingernagel::N,ніготь,നഖം
31,Nagel[Anatomie]::N,ніготь,നഖം
32,Zeh::N,палець на нозі,കാൽവിരൽ
33,Fuß::N,нога,കാൽപ്പാദം
34,Ferse::N,п’ятка,ഉപ്പൂറ്റി
35,Knie::N,коліно,കാൽമുട്ട്
36,Oberschenkel::N,стегно,തുട
37,Bein::N,нога,കാൽ
38,Körper::N,тіло,ശരീരം
39,Haut::N,шкіра,ചർമ്മം
40,Blut::N,кров,രക്തം
41,Ader::N,вена,ഞരമ്പ്
42,Sehne::N,сухожилля,സ്നായു
43,Knochen::N,кістка,അസ്ഥി
44,Gehirn::N,мозок,തലച്ചോറ്
45,Herz::N,серце,ഹൃദയം
46,Magen::N,шлунок,വയർ
47,Leber::N,печінка,കരൾ
48,Atem::N,дихання,ശ്വാസം
49,Hunger::N,голод,വിശപ്പ്
50,Träne::N,сльоза,കണ്ണീർ
51,Geschmack::N,смак,രുചി
52,Geruch::N,запах,ഗന്ധം
53,Schlaf::N,сон,ഉറകും
54,Schlaf::N,сплячка,ഉറകും
55,Traum::N,сон,സ്വപ്നം
56,Himmel::N,небо,ആകാശം
57,Sonne::N,сонце,സൂര്യൻ
58,Mond::N,місяць,ചന്ദ്രൻ
59,Stern::N,зірка,നക്ഷത്രം
60,Luft::N,повітря,കാറ്റ്
61,Wind::N,вітер,കാറ്റ്
62,Welle::N,хвиля,തിരമാല
63,Wasser::N,вода,വെള്ളം
64,Stein::N,камінь,ശില
65,Stein::N,камінь,കല്ല്
66,Boden::N,ґрунт,തറ
67,Boden::N,ґрунт,നിലം
68,Erde::N,земля,മണ്ണ്
69,Staub::N,пил,പൊടി
70,Rauch::N,дим,പുക
71,Funke::N,іскра,തീപ്പൊരി
72,Feuer::N,вогонь,തീ
73,Licht::N,світло,വിളക്ക്
74,Licht::N,світло,സൂര്യപ്രകാശം
75,Schatten::N,тінь,തണൽ
76,Wetter::N,погода,കാലാവസ്ഥ
77,Nebel::N,туман,മൂടൽമഞ്ഞ്
78,Wolke::N,хмара,മേഘം
79,Regen::N,дощ,മഴ
80,Schnee::N,сніг,മഞ്ഞ്
81,Eis::N,лід,ഐസ്
82,Frost::N,мороз,മൂടൽമഞ്ഞ്
83,Kälte::N,холод,തണുപ്പ്
84,Hitze::N,жар,ചൂട്
85,Raureif::N,іній,കോടമഞ്ഞ്
86,Regenbogen::N,райдуга,മഴവില്ല്
87,Donner::N,грім,ഇടി
88,Strömung::N,струмина,പ്രവാഹം
89,Tropfen::N,крапля,തുള്ളി
90,Schaum::N,піна,നുര
91,Schmutz::N,бруд,അഴുക്ക്
92,See::N,озеро,തടാകം
93,Sumpf::N,драговина,ചതുപ്പുനിലം
94,Moor::N,болото,പാഴ്നിലം
95,Wiese::N,луг,പുൽത്തകിടി
96,Wiese::N,лука,പുൽത്തകിടി
97,Wald::N,ліс,വനം
98,Wald::N,ліс,കാട്
99,Hügel::N,горб,കുന്ന്
100,Anhöhe::N,височина,ഉയർന്ന ഭൂമി
101,Berg::N,гора,പർവ്വതം
102,Gipfel::N,вершина,ഉച്ചകോടി
103,Höhle::N,печера,ഗുഹ
104,Abhang::N,схил,ചരിവ്
105,Quelle::N,джерело,ഉറവിടം
106,Bach::N,струмок,അരുവി
107,Fluss::N,річка,നദി
108,Ufer::N,берег,തീരം
109,Küste::N,узбережжя,കടൽത്തീരം
110,Festland::N,суша,കര
111,Meer::N,море,കടൽ
112,Bucht::N,бухта,ഉൾക്കടല്
113,Bucht::N,затока,ഉൾക്കടല്
114,Insel::N,острів,ദ്വീപ്
115,Blume::N,квітка,പൂവ്
116,Gras::N,трава,പുല്ല്
117,Wurzel::N,корінь,വേര്
118,Baum::N,дерево,മരം
119,Stamm::N,стовбур,തായ്ത്തടി
120,Rinde::N,кора,പട്ട
121,Ast::N,гілка,ശാഖ
122,Zweig::N,галузь,ശാഖ
123,Blatt::N,лист,ഇല
124,Birke::N,береза,പൂവരശ്
125,Kiefer[Baum]::N,сосна,പൈൻമരം
126,Weide[Baum]::N,верба,വില്ലോ
127,Tanne::N,ялиця,ദേവദാരു
128,Horn::N,ріг,മൃഗത്തിൻറെ കൊമ്പ്
129,Feder::N,перо,തൂവൽ
130,Fell::N,хутро,മൃദുരോമം
131,Flügel::N,крило,ചിറക്
132,Klaue::N,кіготь,നഖം
133,Kralle::N,лапа,നഖം
