,Concept_ID,he,hr
0,Auge::N,עין,oko
1,Ohr::N,אזן,uho
2,Nase::N,אף,nos
3,Nase::N,חטם,nos
4,Mund::N,פה,usta
5,Zahn::N,שן,zub
6,Zunge::N,לשון,jezik
7,Lippe::N,שפה,usna
8,Wange::N,לחי,obraz
9,Gesicht::N,פנים,lice
10,Stirn::N,מצח,čelo
11,Haar::N,שערה,kosa
12,Schnurrbart::N,שפם,brkovi
13,Bart::N,זקן,brada
14,Kinn::N,סנטר,brada
15,Kinn::N,סנטר,podbradak
16,Kiefer[Anatomie]::N,לסת,čeljust
17,Kehle::N,גרון,grlo
18,Hals::N,צואר,vrat
19,Genick::N,ערף,zatiljak
20,Kopf::N,ראש,glava
21,Rücken::N,גב,leđa
22,Rücken::N,גב,hrbat
23,Bauch::N,בטן,trbuh
24,Nabel::N,טבור,pupak
25,Busen::N,שד,sisa
26,Busen::N,שד,njedra
27,Brust::N,חזה,prsa
28,Schulter::N,כתף,rame
29,Schulter::N,כתף,pleći
30,Arm::N,זרוע,ruka
31,Ellenbogen::N,מרפק,lakat
32,Hand::N,יד,ruka
33,Handfläche::N,כף יד,dlan
34,Finger::N,אצבע,prst
35,Fingernagel::N,צפרן,nokat
36,Nagel[Anatomie]::N,צפרן,nokat
37,Zeh::N,אצבע,nozni prst
38,Fuß::N,רגל,noga
39,Fuß::N,רגל,stopalo
40,Ferse::N,עקב,peta
41,Knie::N,ברך,koljeno
42,Oberschenkel::N,ירך,bedro
43,Bein::N,רגל,noga
44,Körper::N,גוף,tijelo
45,Haut::N,עור,put
46,Haut::N,עור,koža
47,Blut::N,דם,krv
48,Ader::N,וריד,žila
49,Sehne::N,גיד,tetiva
50,Knochen::N,עצם,kost
51,Gehirn::N,מוח,
52,Herz::N,לב,srce
53,Magen::N,קבה,stomak
54,Magen::N,קבה,želudac
55,Leber::N,כבד,jetra
56,Atem::N,נשימה,dah
57,Hunger::N,רעב,glad
58,Träne::N,דמעה,suza
59,Geschmack::N,טעם,ukus
60,Geruch::N,ריח,njuh
61,Geruch::N,ריח,miris
62,Schlaf::N,שנה,san
63,Traum::N,חלום,san
64,Himmel::N,שמים,nebo
65,Sonne::N,שמש,sunce
66,Mond::N,ירח,mjesec
67,Stern::N,כוכב,zvijezda
68,Luft::N,אויר,zrak
69,Wind::N,רוח,vjetar
70,Welle::N,גל,val
71,Welle::N,גל,talas
72,Wasser::N,מים,voda
73,Stein::N,אבן,kamen
74,Boden::N,קרקע,tlo
75,Boden::N,קרקע,zemlja
76,Erde::N,אדמה,zemlja
77,Staub::N,אבק,prah
78,Staub::N,אבק,prašina
79,Rauch::N,עשן,dim
80,Funke::N,ניצוץ,iskra
81,Funke::N,ניצוץ,varnica
82,Feuer::N,אש,vatra
83,Licht::N,אור,svjetlo
84,Schatten::N,צל,hlad
85,Schatten::N,צל,sjena
86,Wetter::N,מזג אויר,vrijeme
87,Nebel::N,ערפל,magla
88,Wolke::N,ענן,oblak
89,Regen::N,גשם,kiša
90,Schnee::N,שלג,snijeg
91,Eis::N,קרח,led
92,Frost::N,צנה,mraz
93,Kälte::N,קר,studen
94,Kälte::N,קר,hladnoća
95,Hitze::N,חם,vrućina
96,Raureif::N,כפור,inje
97,Regenbogen::N,קשת,duga
98,Donner::N,רעם,grom
99,Donner::N,רעם,grmljavina
100,Strömung::N,זרימה,struja
101,Strömung::N,זרימה,strujanje
102,Tropfen::N,טפה,kap
103,Tropfen::N,טפה,kaplja
104,Schaum::N,קצף,pjena
105,Schmutz::N,לכלוך,nečistoća
106,Schmutz::N,לכלוך,prljavština
107,See::N,אגם,jezero
108,Sumpf::N,בצה,bara
109,Moor::N,בצה,močvara
110,Wiese::N,מרעה,livada
111,Wald::N,יער,šuma
112,Hügel::N,תל,brijeg
113,Hügel::N,תל,brežuljak
114,Anhöhe::N,מעלה,uzvišica
115,Berg::N,הר,brdo
116,Gipfel::N,פסגה,vrh
117,Höhle::N,מערה,pećina
118,Höhle::N,מערה,spilja
119,Abhang::N,מדרון,obronak
120,Abhang::N,מדרון,nizbrdica
121,Abhang::N,שפוע,obronak
122,Abhang::N,שפוע,nizbrdica
123,Quelle::N,מעין,izvor
124,Quelle::N,מעין,vrelo
125,Bach::N,נחל,potok
126,Fluss::N,נהר,rijeka
127,Ufer::N,גדה,obala
128,Küste::N,חוף,obala
129,Küste::N,חוף,morska obala
130,Festland::N,יבשה,kopno
131,Meer::N,ים,more
132,Bucht::N,מפרץ,zaliv
133,Insel::N,אי,ada
134,Insel::N,אי,otok
135,Blume::N,פרח,cvijet
136,Gras::N,דשא,trava
137,Wurzel::N,שרש,korijen
138,Baum::N,עץ,drvo
139,Baum::N,עץ,stablo
140,Stamm::N,גזע,deblo
141,Stamm::N,גזע,stablo
142,Rinde::N,קלפת עץ,kora
