,Concept_ID,ta,mhr
0,Auge::N,கண்,шинча́
1,Ohr::N,காது,пы́лыш
2,Nase::N,மூக்கு,нер
3,Mund::N,வாய்,умша́
4,Zahn::N,பல்,пӱй
5,Zunge::N,நாக்கு,йы́лме
6,Lippe::N,உதடு,тӱ́рвӧ
7,Wange::N,கன்னம்,шӱ́ргӧ
8,Gesicht::N,முகம்,чури́й
9,Stirn::N,முன்னெற்றி,саҥга́
10,Haar::N,முடி,ӱп
11,Schnurrbart::N,மீசை,ӧ́рыш
12,Bart::N,தாடி,понда́ш
13,Kinn::N,கீழதாடை,оҥыла́ш
14,Kiefer[Anatomie]::N,தாடை,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,தாடை,пӱйората́
16,Kehle::N,தொண்டை,лога́р
17,Hals::N,கழுத்து,шӱй
18,Genick::N,கழுத்து,шӱйло́дыш
19,Kopf::N,தலை,вуй
20,Rücken::N,முதுகு,туп
21,Bauch::N,வயிறு,мӱ́шкыр
22,Nabel::N,தொப்புள்,кы́лымде
23,Busen::N,மார்பகம்,чы́зе
24,Brust::N, மார்பு,оҥ
25,Schulter::N,தோள்பட்டை,ва́че
26,Arm::N,கரம்,кид
27,Ellenbogen::N,முழங்கை,кынерву́й
28,Hand::N,கை,кид
29,Hand::N,கை,копа́
30,Handfläche::N,உள்ளங்கை,со́во
31,Finger::N,விரல்,парня́
32,Fingernagel::N,விரல் நகம்,кидкӱ́ч
33,Fingernagel::N,விரல் நகம்,парнягӱ́ч
34,Nagel[Anatomie]::N,நகம்,кӱч
35,Zeh::N,கால்விரல்,йолварня́
36,Fuß::N,கால்,йол
37,Fuß::N,கால்,йолкопа́
38,Ferse::N,குதிகால்,тага́н
39,Knie::N,முழங்கால்,пулву́й
40,Oberschenkel::N,தொடை,э́рде
41,Bein::N,கால்,йол
42,Körper::N,உடல்,кап
43,Haut::N,சருமம்,кова́ште
44,Blut::N,இரத்தம்,вӱр
45,Ader::N,நாளம்,шӧн
46,Sehne::N,தசைநார்,шӧн
47,Sehne::N,தசைநார்,кӱсе́н
48,Knochen::N,எலுமபு,лу
49,Gehirn::N,மூனை,вем
50,Gehirn::N,மூனை,вуйве́м
51,Herz::N,இதயம,шӱм
52,Magen::N,வயிறு,пага́р
53,Leber::N,கல்லீரல்,мокш
54,Atem::N,மூச்சு,шӱ́лыш
55,Hunger::N,பசி,шужыма́ш
56,Träne::N,கண்ணீர்,шинчавӱ́д
57,Geschmack::N,நறுமணம்,там
58,Geruch::N,துர்நாற்றம்,пуш
59,Schlaf::N,தூக்கம்,о́мо
60,Traum::N,கனவு,йӱдо́мо
61,Himmel::N,வானம்,кава́
62,Sonne::N,சூரியன்,ке́че
63,Mond::N,சந்திரன்,ты́лзе
64,Stern::N,நட்சத்திரம்,шӱ́дыр
65,Luft::N,காறறு,юж
66,Wind::N,காற்று,марде́ж
67,Welle::N,அலை,то́лкын
68,Wasser::N,நீர்,вӱд
69,Stein::N,கல்,кӱ
70,Boden::N,தரை,рок
71,Erde::N,மண்,мла́нде
72,Staub::N,தூசி,пура́к
73,Rauch::N,புகை,шикш
74,Funke::N,தீப்பொறி,сеске́м
75,Funke::N,தீப்பொறி,тулйы́п
76,Feuer::N,தீ,тул
77,Licht::N,வெளிச்சம்,со́то
78,Schatten::N,நிழல்,ӱ́мыл
79,Wetter::N,வானிலை,иге́че
80,Nebel::N,பனிமூட்டம்,тӱтыра́
81,Wolke::N,மேகம்,пыл
82,Regen::N,மழை,йӱр
83,Schnee::N,உறைபனி,лум
84,Eis::N,பனிக்கட்டி,ий
85,Frost::N,உறைபனி,чатлама́
86,Kälte::N,குளிர்ந்த,йӱ́штӧ
87,Hitze::N,சூடு,шо́кшо
88,Raureif::N,உறைபனி வெண்திரை,пӧрш
89,Raureif::N,உறைபனி வெண்திரை,по́кшым
90,Regenbogen::N,வானவில்,шонанпы́л
91,Donner::N,இடி,кӱ́дырчӧ
92,Strömung::N,நீரோட்டம்,йо́гын
93,Tropfen::N,துளி,чӱча́лтыш
94,Schaum::N,நுரை,шоҥ
95,Schmutz::N,அழுக்கு,лавыра́
96,See::N,ஏரி,ер
97,Sumpf::N,சதுப்பு நிலம்,лӱ́кӧ
98,Moor::N,முட்புதற்காடு,куп
99,Wiese::N,பசும் புல்தரை,о́лык
100,Wald::N,காடு,чодыра́
101,Hügel::N,குன்று,арка́
102,Anhöhe::N,பதுக்கை,тӧва́
103,Anhöhe::N,பதுக்கை,кӱкшака́
104,Berg::N,மலை,ку́рык
105,Gipfel::N,உச்சி மாநாடு,чаҥга́
106,Gipfel::N,உச்சி மாநாடு,курыкву́й
107,Höhle::N,குகை,пеще́р
108,Höhle::N,குகை,курыкпо́мыш
109,Abhang::N,சரிவு,та́йыл
110,Quelle::N,மூலம்,важ
111,Quelle::N,மூலம்,вӱдшинча́
112,Bach::N,ஓடை,изэҥе́р
113,Fluss::N,ஆறு,эҥе́р
114,Ufer::N,நீர்க்கரை,сер
115,Küste::N,கடற்கரை,вӱдтӱ́р
116,Festland::N,நிலம்,мла́нде
117,Meer::N,கடல்,те́ҥыз
118,Bucht::N,சிறுகுடா,икса́
119,Insel::N,தீவு,отро́
120,Blume::N,பூ,пеле́дыш
121,Gras::N,புல்தரை,шу́до
122,Wurzel::N,வேர்,вож
123,Baum::N,மரம்,пуше́ҥге
124,Stamm::N,அடிமரம்,йы́тыр
125,Rinde::N,பட்டை,шӱм
126,Rinde::N,மரப்பட்டை,шӱм
127,Ast::N,கினை,укш
128,Zweig::N,குச்சி,торма́к
129,Blatt::N,இலை,лышта́ш
130,Birke::N,பிர்ச் மரம்,куэ́
131,Kiefer[Baum]::N,தேவதாரு மரம்,пӱ́нчӧ
132,Weide[Baum]::N,மர வகைகளுள் ஒன்று,уа́
133,Tanne::N,சாதிக்கய்,кож
134,Horn::N,கொம்பு,шур
135,Feder::N,இறகு,пы́стыл
136,Fell::N,மென்முடி,кова́ште
137,Flügel::N,இறக்கை,шу́лдыр
138,Klaue::N,நகம்,кӱч
139,Kralle::N,நகம்,ла́па
140,Kralle::N,நகம்,копа́
141,Schwanz::N,வால்,поч
142,Ei::N,முட்டை,му́но
143,Nest::N,கூடு,пыжа́ш
144,Bau::N,குகை,пыжа́ш
145,Tier::N,விலங்கு,я́нлык
146,Tier::N,விலங்கு,живо́тный
147,Herde::N,கூட்டம்,кӱ́тӱ
148,Herde::N,கூட்டம்,тӱшка́
149,Kuh::N,பசு,ушка́л
150,Bulle::N,காளை,ӱ́шкыж
151,Pferd::N,குதிரை,и́мне
152,Schaf::N,செம்மறிஆடு,шо́рык
153,Schwein::N,பன்றி,сӧсна́
154,Hund::N,நாய்,пий
155,Katze::N,பூனை,пы́рыс
156,Bär::N,கரடி,маска́
157,Eichhörnchen::N,அணில்,ур
158,Elch::N,கடம்பை,шо́рдо
159,Fuchs::N,நரி,ры́выж
160,Hase::N,முயல்,мера́ҥ
161,Maus::N,எலி,коля́
162,Wolf::N,ஓநாய்,пи́ре
163,Vogel::N,பறவை,ка́йык
164,Schwarm::N,தொகுதி,каша́к
165,Huhn::N,கோழிக்குஞசு,чы́ве
166,Hahn::N,சேவல்,агыта́н
167,Gans::N,பெண் வாத்து,ко́мбо
168,Adler::N,பருநது,карагу́ш
169,Ente::N,வாத்து,лу́до
170,Eule::N,ஆந்தை,тумна́
171,Kranich::N,நாரை,турня́
172,Krähe::N,காகம்,кора́к
173,Kuckuck::N,குயில்,куку́
174,Schwan::N,அன்னம்,йӱ́ксӧ
175,Fisch::N,மீன்,кол
176,Barsch::N,பேர்ச்,ола́ҥге
177,Hecht::N,கோலாச்சி மீன்,нуж
178,Hecht::N,கோலாச்சி மீன்,чорта́н
179,Schlange[Tier]::N,பாம்பு,ки́шке
180,Wurm::N,புழு,шукш
181,Spinne::N,சிலந்தி,эҥыре́мыш
182,Ameise::N,எறும்பு,ку́тко
183,Laus::N,பேன்,тий
184,Mücke::N,கொசுவினப்பூச்சி,шыҥа́
185,Fliege::N,ஈ,ка́рме
186,Schmetterling::N,வண்ணத்துப்பூச்சி,лы́ве
187,Beere::N,சதைப்பழம்,мӧр
188,Apfel::N,ஆப்பிள பழம்,олма́
189,Pilz::N,காளான்,по́ҥго
190,Zwiebel::N,வெங்காயம்,шога́н
191,Saat::N,விதை,нӧ́шмӧ
192,Saat::N,விதை,туш
193,Korn::N,தானியம்,шу́рно
194,Heu::N,வைக்கோல்,шу́до
195,Schale::N,தோல்,шӱм
196,Grube::N,குழி,выне́м
197,Falle::N,பொறி,лӧ́дӧ
198,Schlinge::N,கண்ணி,о́птыш
199,Schlinge::N,கண்ணி,шӧрга́лтыш
200,Spur::N,சுவடு,кыша́
201,Asche::N,சாம்பல்,ло́мыж
202,Dreck::N,அழுக்கு,лавыра́
203,Eisen::N,இரும்பு,кӱ́ртньӧ
204,Gold::N,தங்கம்,шӧ́ртньӧ
205,Silber::N,வெள்ளி,ший
206,Kohle::N,நிலக்கரி,мландышӱ́й
207,Glas::N,கண்ணாடி,янда́
208,Lehm::N,களிமண்,шун
209,Sand::N,மணல்,ошма́
210,Mensch::N,மனிதர்கள்,еҥ
211,Mensch::N,மனிதர்கள்,айде́ме
212,Mann::N,மனிதன்,пӧръе́ҥ
213,Frau::N,பெண்,ӱдырама́ш
214,Kind::N,குழந்தை,аза́
215,Junge::N,பையன்,рве́зе
216,Mädchen::N,சிறுமி,ӱдыра́ш
217,Familie::N,குடும்பம்,еш
218,Großvater::N,தாத்தா,коча́
219,Großmutter::N,பாட்டி,кова́
220,Eltern::N,பெற்றோர்,ача́-ава́
221,Vater::N,தந்தை,ача́
222,Mutter::N,தாய்,ава́
223,Sohn::N,மகன்,э́рге
224,Tochter::N,மகள்,ӱ́дыр
225,Bruder::N,சகோதரன்,иза́
226,Bruder::N,சகோதரன்,шо́льо
227,Schwester::N,அக்கா,ака́
228,Onkel::N,தாய் மாமன்,иза́
229,Tante::N,அத்தை,кока́
230,Ehemann::N,கணவன்,мари́й
231,Ehefrau::N,மனைவி,ва́те
232,Freude::N,கொண்டாட்டம்,куа́н
233,Freude::N,கொண்டாட்டம்,куаныма́ш
234,Gelächter::N,சிரிப்பு,во́штылтыш
235,Glück::N,மகிழ்ச்சி,пиа́л
236,Kummer::N,துயரம்,о́йго
237,Wunsch::N,விருப்பம்,ку́мыл
