,Concept_ID,ru,ba
0,Auge::N,глаз,күҙ
1,Ohr::N,ухо,ҡолаҡ
2,Nase::N,нос,танау
3,Mund::N,рот,ауыҙ
4,Zahn::N,зуб,теш
5,Zunge::N,язык,тел
6,Lippe::N,губа,ирен
7,Wange::N,щека,яцаҡтар
8,Gesicht::N,лицо,бит
9,Stirn::N,лоб,маңлай
10,Haar::N,волос,сәс
11,Haar::N,волосы,сәс
12,Schnurrbart::N,ус,мылтыҡ
13,Schnurrbart::N,усы,мылтыҡ
14,Bart::N,борода,һаҡал
15,Kinn::N,подбородок,эйэк
16,Kiefer[Anatomie]::N,челюсть,яңаҡ һөйәге
17,Kehle::N,горло,тамаҡ
18,Hals::N,шея,муйын
19,Genick::N,затылок,соңҡа
20,Kopf::N,голова,баш
21,Rücken::N,спина,арҡа
22,Bauch::N,живот,ҡорһаҡ
23,Nabel::N,пупок,кендек
24,Busen::N,женская грудь,күкрәк
25,Brust::N,грудь,түш
26,Schulter::N,плечо,яурын
27,Arm::N,рука,ҡул
28,Ellenbogen::N,локоть,терһәк
29,Hand::N,кисть,ҡул
30,Hand::N,кисть,ҡул суғы
31,Handfläche::N,ладонь,ус төбө
32,Finger::N,палец,бармаҡ
33,Fingernagel::N,ноготь,тырнаҡ
34,Nagel[Anatomie]::N,ноготь,тырнаҡ
35,Zeh::N,палец,бармаҡ
36,Fuß::N,ступня,табан
37,Ferse::N,пята,үксә
38,Ferse::N,пятка,үксә
39,Knie::N,колено,тубыҡ
40,Oberschenkel::N,бедро,сандыр
41,Bein::N,нога,аяҡ
42,Körper::N,тело,тән
43,Haut::N,кожа,тире
44,Blut::N,кровь,ҡан
45,Ader::N,вена,тамыр
46,Ader::N,сосуд,тамыр
47,Sehne::N,жила,һеңер
48,Sehne::N,жила,тарамыш
49,Sehne::N,тетива,һеңер
50,Sehne::N,тетива,тарамыш
51,Sehne::N,сухожилие,һеңер
52,Sehne::N,сухожилие,тарамыш
53,Knochen::N,кость,һойәк
54,Gehirn::N,мозг,мейе
55,Herz::N,сердце,йорәк
56,Magen::N,желудок,ашҡаҙан
57,Leber::N,печень,бауыр
58,Atem::N,дух,һулыш
59,Atem::N,дыхание,һулыш
60,Hunger::N,голод,аслыҡ
61,Träne::N,слеза,күҙ иәше
62,Geschmack::N,вкус,тәм
63,Geruch::N,запах,еҫ
64,Schlaf::N,сон,йоҡлау
65,Traum::N,сновидение,төш
66,Himmel::N,небо,күк
67,Sonne::N,солнце,ҡояш
68,Mond::N,луна,ай
69,Stern::N,звезда,йондоҙ
70,Luft::N,воздух,һауа
71,Wind::N,ветер,ел
72,Welle::N,волна,тулҡын
73,Wasser::N,вода,һыу
74,Stein::N,камень,таш
75,Boden::N,почва,тупраҡ
76,Erde::N,земля,балсҡ
77,Staub::N,пыль,туҙан
78,Rauch::N,дым,төтөн
79,Funke::N,искра,осҡон
80,Feuer::N,огонь,ут
81,Licht::N,свет,яҡтылыҡ
82,Schatten::N,тень,күләгә
83,Wetter::N,погода,һауа торошо
84,Nebel::N,туман,төман
85,Wolke::N,облако,болот
86,Regen::N,дождь,ямғыр
87,Schnee::N,снег,ҡар
88,Eis::N,лед,боҙ
89,Frost::N,мороз,һалҡын
90,Kälte::N,холод,һыуыҡ
91,Hitze::N,жара,томра
92,Hitze::N,жара,эҫелек
93,Raureif::N,иней,ҡырау
94,Regenbogen::N,радуга,йәйғор
95,Donner::N,гром,күк күкрәү
96,Strömung::N,течение,ағым
97,Tropfen::N,капля,тамсы
98,Schaum::N,пена,күбек
99,Schmutz::N,грязь,батҡаҡ
100,See::N,озеро,күл
101,Sumpf::N,топь,һаҙлык
102,Moor::N,болото,һаҙ
103,Wiese::N,луг,болон
104,Wald::N,лес,урман
105,Hügel::N,холм,түбә
106,Anhöhe::N,возвышенность,түбә
107,Anhöhe::N,возвышенность,ҡалҡыулыҡ
108,Berg::N,гора,тау
109,Gipfel::N,вершина,түбә
110,Höhle::N,пещера,мәмерйә
111,Abhang::N,склон,ипкен
112,Quelle::N,источник,шишмә
113,Bach::N,ручей,шишмә
114,Fluss::N,река,йылға
115,Ufer::N,берег,яр
116,Küste::N,побережье,яр буйы
117,Festland::N,суша,ҡоро ер
118,Meer::N,море,диңгез
119,Bucht::N,бухта,бухта
120,Insel::N,остров,үтрау
121,Blume::N,цветок,сәскә
122,Gras::N,трава,үлән
123,Wurzel::N,корень,тамыр
124,Baum::N,дерево,ағас
125,Stamm::N,ствол,олон
126,Stamm::N,ствол,көбәк
127,Rinde::N,кора,ҡабыҡ
128,Ast::N,сук,ботаҡ
129,Zweig::N,ветвь,ботаҡ
130,Zweig::N,ветвь,тармаҡ
131,Blatt::N,лист,япраҡ
132,Birke::N,береза,ҡайын
133,Kiefer[Baum]::N,сосна,ҡарғай
134,Weide[Baum]::N,ива,тал
135,Tanne::N,ель,шыршы
136,Horn::N,рог,мөғөҙ
137,Feder::N,перо,ҡауырһын
138,Fell::N,шкура,тире
139,Flügel::N,крыло,ҡанат
140,Klaue::N,коготь,тырнаҡ
141,Kralle::N,лапа,аяҡ
142,Schwanz::N,хвост,ҡойроҡ
143,Ei::N,яйцо,йомортҡа
144,Nest::N,гнездо,оя
145,Bau::N,нора,оң
146,Tier::N,животное,жайуан
147,Tier::N,животное,йыртҡыс
148,Herde::N,стадо,көтөү
149,Kuh::N,корова,һыйыр
150,Bulle::N,бык,үгеҙ
151,Pferd::N,лошадь,ат
152,Schaf::N,овца,һарыҡ
153,Schwein::N,свинья,сусҡа
154,Hund::N,собака,эт
155,Katze::N,кошка,бесәй
156,Bär::N,медведь,айыу
157,Eichhörnchen::N,белка,тейен
158,Elch::N,лось,мышы
159,Fuchs::N,лиса,төлкө
160,Hase::N,заяц,ҡуян
161,Maus::N,мышь,сысҡан
162,Wolf::N,волк,бүре
163,Vogel::N,птица,ҡош
164,Schwarm::N,стая,көтөү
165,Huhn::N,курица,тауыҡ
166,Hahn::N,петух,әтәс
