,Concept_ID,ka,myv
140,Gras::N,ბალახი,тикше
141,Wurzel::N,ძირი,юр
142,Wurzel::N,ძირი,ундокс
143,Wurzel::N,ფესვი,юр
144,Wurzel::N,ფესვი,ундокс
145,Baum::N,ხე,чувто
146,Stamm::N,ტანი,рунго
147,Rinde::N,ქერქი,суд
148,Rinde::N,ქერქი,керь
149,Ast::N,ტოტი,морго
150,Zweig::N,შტო,тарад
151,Blatt::N,ფოთოლი,лопа
152,Birke::N,არყი,килей
153,Kiefer[Baum]::N,ფიჭვი,пиче
154,Weide[Baum]::N,ტირიფი,каль
155,Tanne::N,ნაძვი,куз
156,Horn::N,რქა,сюро
157,Feder::N,ფრთა,толга
158,Fell::N,ტყავი,пона
159,Flügel::N,ფრთა,сёлмо
160,Klaue::N,კლანჭი,кенже
161,Kralle::N,ტორი,кенже
162,Schwanz::N,კუდი,пуло
163,Ei::N,კვერცხი,ал
164,Nest::N,ბუდე,пизэ
165,Bau::N,სორო,варя
166,Bau::N,სორო,пизе
167,Tier::N,ნადირი,ракша
168,Tier::N,ცხოველი,ракша
169,Herde::N,ფარა,стада
170,Kuh::N,ფური,скал
171,Kuh::N,ძროხა,скал
172,Bulle::N,ხარი,бука
173,Pferd::N,რაში,лишме
174,Pferd::N,ცხენი,лишме
175,Schaf::N,ცხვარი,реве
176,Schwein::N,ღორი,туво
177,Hund::N,ძაღლი,пине
178,Hund::N,ძაღლი,киска
179,Katze::N,კატა,псака
180,Bär::N,დათვი,овто
181,Eichhörnchen::N,ციყვი,ур
182,Elch::N,ცხენ-ირემი,сярдо
183,Fuchs::N,მელა,ривезь
184,Hase::N,კურდღელი,нумоло
185,Maus::N,თაგვი,чеерь
186,Wolf::N,მგელი,верьгиз
187,Vogel::N,ჩიტი,нармунь
188,Vogel::N,ფრინველი,нармунь
189,Schwarm::N,გუნდი,полк
190,Schwarm::N,გუნდი,стада
191,Huhn::N,დედალი,сараз
192,Hahn::N,მამალი,атякш
193,Gans::N,ბატი,гала
194,Gans::N,ბატი,мацей
195,Adler::N,არწივი,куцькан
196,Adler::N,არწივი,тумоатякш
197,Ente::N,იხვი,яксярго
198,Eule::N,ბუ,корж
199,Kranich::N,წერო,карго
200,Krähe::N,ყვავი,варака
201,Kuckuck::N,გუგული,куко
202,Schwan::N,გედი,локсей
203,Fisch::N,თევზი,кал
204,Barsch::N,ქორჭილა,окунь
205,Hecht::N,ქარიყლაპია,щука
206,Schlange[Tier]::N,გველი,гуй
207,Wurm::N,ჭია,сукс
208,Spinne::N,ობობა,шанжав
209,Ameise::N,ჭიანჭველა,коткудав
210,Laus::N,ტილი,сий
211,Laus::N,მკბენარი,сий
212,Mücke::N,კოღო,сеське
213,Fliege::N,ბუზი,карво
214,Schmetterling::N,პეპელა,нимиляв
215,Beere::N,კენკრა,умарь
216,Apfel::N,ვაშლი,умарь
217,Pilz::N,სოკო,панго
218,Zwiebel::N,ხახვი,чурька
219,Saat::N,თესლი,видьметь
220,Korn::N,მარცვალი,сюро
221,Heu::N,თივა,тикше
222,Schale::N,ჩენჩო,кедь
223,Schale::N,ჩენჩო,ваткавкс
224,Grube::N,ორმო,латко
225,Falle::N,ხაფანგი,тувор
226,Falle::N,ხაფანგი,кундамка
227,Schlinge::N,მახე,килькш
228,Spur::N,კვალი,челькс
229,Spur::N,კვალი,пильгеки
230,Asche::N,ფერფლი,кулов
231,Dreck::N,ტალახი,рудаз
232,Dreck::N,სიბინძურე,рудаз
233,Eisen::N,რკინა,кшни
234,Gold::N,ოქრო,сырне
235,Silber::N,ვერცხლი,сия
236,Kohle::N,ნახშირი,сэдь
237,Kohle::N,ნახშირი,уголия
238,Glas::N,მინა,сулика
239,Lehm::N,თიხა,сёвонь
240,Sand::N,ქვიშა,човар
241,Mensch::N,ადამიანი,ломань
242,Mann::N,კაცი,аля
243,Mann::N,კაცი,цёраломань
244,Frau::N,ქალი,ава
245,Kind::N,ბავშვი,эйкакш
246,Junge::N,ვაჟი,цёрыне
247,Mädchen::N,გოგო,тейтерне
248,Familie::N,ოჯახი,семия
249,Großvater::N,პაპა,покштя
250,Großvater::N,ბაბუა,покштя
251,Großmutter::N,ბებია,баба
252,Großmutter::N,დიდედა,баба
253,Eltern::N,მშობლები,тетят-ават
254,Vater::N,მამა,тетя
255,Mutter::N,დედა,ава
256,Sohn::N,ვაჟიშვილი,цёра
257,Tochter::N,ქალიშვილი,тейтерь
258,Bruder::N,ძმა,леля
259,Bruder::N,ძმა,ялакс
260,Schwester::N,და,сазор
261,Onkel::N,ბიძა,леля
262,Tante::N,დეიდა,патя
263,Tante::N,მამიდა,патя
264,Ehemann::N,ქმარი,мирде
265,Ehefrau::N,ცოლი,ни
266,Freude::N,სიხარული,кеняркс
267,Gelächter::N,სიცილი,ракамо
268,Gelächter::N,სიცილი,пейдема
269,Glück::N,ბედნიერება,уцяска
270,Kummer::N,მწუხარება,рискс
271,Kummer::N,მწუხარება,мелявкс
272,Wunsch::N,წადილი,мель
273,Wunsch::N,წადილი,бажамо
274,Wunsch::N,სურვილი,мель
275,Wunsch::N,სურვილი,бажамо
276,Lust::N,წადილი,бажамо
277,Geist::N,სული,ойме
278,Gedanke::N,ფიქრი,мель
279,Gedächtnis::N,მეხსიერება,мель
280,Verstand::N,ჭკუა,прев
281,Verstand::N,გონება,прев
282,Sinn::N,მნიშვნელობა,толк
283,Sinn::N,მნიშვნელობა,смысла
284,Grund::N,მიზეზი,тувтал
285,Wahrheit::N,სიმართლე,видечи
286,Wahrheit::N,ჭეშმარიტება,видечи
287,Gespräch::N,ბაასი,кортнема
288,Gespräch::N,საუბარი,кортнема
289,Märchen::N,არაკი,ёвкс
290,Märchen::N,ზღაპარი,ёвкс
291,Erzählung::N,თქმულება,ёвтнема
292,Nachricht::N,ცნობა,куля
293,Nachricht::N,ამბავი,куля
294,Neuigkeit::N,სიახლე,куля
295,Name::N,სახელი,лем
296,Rätsel::N,გამოცანა,содамоёвкс
297,Rede::N,სიტყვა,кортамо
298,Sprache::N,ენა,кель
299,Stimme::N,ხმა,ваигель
300,Wort::N,სიტყვა,вал
301,Zeichen::N,ნიშანი,теште
302,Ruf::N,ძახილი,тердема
303,Lärm::N,ხმაური,шалнома
304,Laut::N,ხმა,вайгель
305,Laut::N,ბგერა,вайгель
306,Ton::N,ტონი,гайнема
307,Lied::N,სიმღერა,моро
308,Ruhe::N,სიწყნარე,оймамо
309,Leute::N,ადამიანები,ломанть
310,Volk::N,ერი,народ
311,Volk::N,ხალხი,народ
312,Arbeit::N,მუშაობა,тев
313,Gast::N,სტუმარი,инже
314,Geschenk::N,საჩუქარი,казне
315,Spiel::N,თამაში,налксема
316,Gesellschaft::N,საზოგადოება,община
317,Hilfe::N,შველა,лездамо
318,Hilfe::N,დახმარება,лездамо
319,Freund::N,მეგობარი,оя
320,Freund::N,მეგობარი,ялга
321,Kamerad::N,ამხანაგი,оя
322,Kamerad::N,ამხანაგი,ялга
323,Angelegenheit::N,საქმე,тев
324,Anzahl::N,ოდენობა,ламоксчи
325,Art::N,სახეობა,вид
326,Stück::N,ნატეხი,пакш
327,Stück::N,ნატეხი,пелькс
328,Teil::N,წილი,часть
329,Teil::N,წილი,пелькс
330,Hälfte::N,ნახევარი,пель
331,Hälfte::N,ნახევარი,пелькс
332,Kreis::N,წრე,кирькс
333,Kreuz::N,ჯვარი,крёст
334,Linie::N,ხაზი,кикс
335,Strich::N,შტრიხი,межа
336,Abstand::N,მანძილი,ютко
337,Entfernung::N,სიშორე,ютко
338,Gegend::N,არე,тарка
339,Gegend::N,არე,пертьпелькс
340,Gegend::N,მხარე,тарка
341,Gegend::N,მხარე,пертьпелькс
342,Platz::N,ფართობი,васолкс
343,Ort::N,ადგილი,тарка
344,Seite::N,მხარე,ён
345,Seite::N,მხარე,чире
346,Mitte::N,შუა,куншка
347,Gegenstand::N,საგანი,предмет
348,Sache::N,ნივთი,тев
349,Sache::N,ნივთი,веща
350,Rand::N,კიდე,пе
351,Rand::N,კიდე,чире
352,Kante::N,ნაწიბული,ирдез
353,Ecke::N,კუთხე,ужо
354,Spitze::N,წვეტი,пряне
355,Spitze::N,წვეტი,пе
356,Ende::N,ბოლო,пе
357,Loch::N,ხვრელი,варя
358,Winkel::N,კუთხე,ужо
359,Muster::N,მოხატულობა,сёрма
360,Größe::N,ზომა,сэрь
361,Größe::N,ზომა,покшолма
362,Größe::N,სიდიდე,сэрь
363,Größe::N,სიდიდე,покшолма
364,Länge::N,სიგრძე,кувалмо
365,Höhe::N,სიმაღლე,сэрь
366,Höhe::N,სიმაღლე,пандо
367,Gewicht::N,წონა,сталмо
368,Menge::N,რაოდენობა,лововкс
369,Haufen::N,გროვა,мар
370,Haufen::N,გროვა,валявкс
371,Reihe::N,რიგი,ряд
372,Reihe::N,წყება,ряд
373,Boot::N,გემი,венч
374,Ruder::N,ხოფი,милё
375,Ruder::N,ნიჩაბი,милё
376,Schlitten::N,მარხილი,нурдт
377,Ski::N,თხილამური,сокс
378,Lagerfeuer::N,კოცონი,толбандя
379,Last::N,ტვირთი,сталмо
380,Last::N,ტვირთი,кандома
381,Gang::N,სვლა,молема
382,Gang::N,სვლა,якамо
383,Schritt::N,ბიჯი,эскелькс
384,Norden::N,ჩრდილოეთი,якшамо ёнкс
385,Süden::N,სამხრეთი,лембе ёнкс
386,Westen::N,დასავლეთი,чивалгома
387,Osten::N,აღმოსავლეთი,чилисема
388,Holz::N,ხე,чувто
389,Brett::N,დაფა,лаз
390,Brett::N,ფიცარი,лаз
391,Platte::N,თლილი ქვა,плита
392,Stütze::N,საყრდენი,неже
393,Stange::N,ჭოკი,олга
394,Stock::N,კეტი,мандо
395,Stab::N,ლატანი,олога
396,Rohr::N,მილაკი,турба
397,Haus::N,სახლი,кудо
398,Heim::N,ოჯახის კერა,кудо
399,Ofen::N,ღუმელი,каштомо
400,Fußboden::N,იატაკი,киякс
401,Tisch::N,სუფრა,столь
402,Tisch::N,მაგიდა,столь
403,Stuhl::N,სკამი,стул
404,Wiege::N,აკვანი,лавсь
405,Wiege::N,აკვანი,нурямот
406,Bett::N,საწოლი,ацамо
407,Bett::N,სარეცელი,ацамо
408,Regal::N,თაროები,лався
409,Regal::N,თაროები,лавсяланго
410,Kiste::N,ყუთი,горобия
411,Kiste::N,ყუთი,сундук
412,Kiste::N,სკივრი,горобия
413,Kiste::N,სკივრი,сундук
414,Fenster::N,ფანჯარა,вальма
415,Fenster::N,სარკმელი,вальма
416,Tür::N,ბჭე,кенкш
417,Tür::N,კარი,кенкш
418,Tor::N,ჭიშკარი,ортат
419,Zaun::N,ღობე,пирявт
420,Zaun::N,ღობე,пирвякс
421,Zaun::N,გალავანი,пирявт
422,Zaun::N,გალავანი,пирвякс
423,Dach::N,სახურავი,кудопря
424,Leiter::N,კიბე,кузтема
425,Besen::N,ცოცხი,тенсть
426,Spaten::N,ნიჩაბი,койме
427,Schaufel::N,ბარი,кече
428,Schaufel::N,ბარი,келей койме
429,Gabel::N,ჩანგალი,сянгине
430,Löffel::N,კოვზი,пенч
431,Messer::N,დანა,пеель
432,Nagel::N,ლურსმანი,эске
433,Netz::N,ბადე,алтыма
434,Haken::N,კავი,кечказ
435,Haken::N,კაუჭი,кечказ
436,Griff::N,ტარი,кедне
437,Schloss::N,კლიტე,замок
438,Schloss::N,კლიტე,панжома
439,Schloss::N,საკეტი,замок
440,Schloss::N,საკეტი,панжома
441,Bild::N,სურათი,картина
442,Figur::N,ფიგურა,рунго
443,Puppe::N,თოჯინა,няка
444,Beutel::N,პარკი,кескав
445,Bündel::N,გალა,керькс
446,Bündel::N,ასხმა,керькс
447,Tasche::N,ჩანთა,юдма
448,Eimer::N,ჩამჩა,ведра
449,Deckel::N,ხუფი,велькс
450,Deckel::N,სარქველი,велькс
451,Geschirr::N,ჭურჭელი,кедьге
452,Sack::N,ტომარა,кескав
453,Tasse::N,ფინჯანი,чакш
454,Topf::N,ქოთანი,кастрюля
455,Kessel::N,ქვაბი,котёл
456,Essen::N,ჭამა,ярсамо
457,Nahrung::N,საზრდო,ярсамопель
458,Nahrung::N,საკვები,ярсамопель
459,Speise::N,საჭმელი,ярсамопель
460,Fleisch::N,ხორცი,сывель
461,Getreide::N,მარცვლოვანი,сюро
462,Brei::N,ფაფა,каша
463,Brot::N,პური,кши
464,Scheibe::N,ნაჭერი,кочом
465,Scheibe::N,ნაჭერი,сускомо
466,Fett::N,ქონი,куя
467,Fett::N,ცხიმი,куя
468,Butter::N,კარაქი,ой
469,Öl::N,ზეთი,ой
