,Concept_ID,kn,sah
0,Auge::N,ಕಣ್ಣು,харах
1,Ohr::N,ಕಿವಿ,кулгаах
2,Nase::N,ಮೂಗು,мурун
3,Mund::N,ಬಾಯಿ,айах
4,Zahn::N,ಹಲ್ಲು,тиис
5,Zunge::N,ನಾಲಿಗೆ,тыл
6,Lippe::N,ತುಟಿ,уос
7,Wange::N,ಗಲ್ಲ,иэдэс
8,Gesicht::N,ಮುಖ,сирэй
9,Stirn::N,ಹಣೆ,сүүс
10,Haar::N,ಕೂದಲು,баттах
11,Schnurrbart::N,ಮೀಸೆ,уос бытыга
12,Bart::N,ಗಡ್ಡ,сэҥийэ бытыга
13,Kinn::N,ಗದ್ದ,сэҥийэ
14,Kiefer[Anatomie]::N,ದವಡೆ,сыҥаах
15,Kehle::N,ಗಂಟಲು,тамах
16,Kehle::N,ಗಂಟಲು,күөмэй
17,Hals::N,ಕೊರಳು,моой
18,Genick::N,ಹಿಂಗತ್ತು,кэтэх
19,Kopf::N,ತಲೆ,бас
20,Rücken::N,ಬೆನ್ನು,көҕүс
21,Bauch::N,ಹೊಟ್ಟೆ,ис
22,Nabel::N,ಹೊಕ್ಕುಳು,киин
23,Busen::N,ಸ್ತನ,эмиий
24,Brust::N,ಎದೆ,түөс
25,Schulter::N,ಭುಜ,сарын
26,Arm::N,ತೋಳು,илии
27,Ellenbogen::N,ಮೊಣಕೈ,тоҕонох
28,Hand::N,ಕೈ,илии
29,Handfläche::N,ಅಂಗೈ,ытыс
30,Finger::N,ಕೈಬೆರಳು,тарбах
31,Fingernagel::N,ಉಗುರು,тыҥырах
32,Nagel[Anatomie]::N,ಉಗುರು,тыҥырах
33,Zeh::N,ಕಾಲ್ಬೆರಳು,тарбах
34,Fuß::N,ಪಾದ,уллуҥах
35,Ferse::N,ಹಿಮ್ಮಡಿ,тилэх
36,Knie::N,ಮಂಡಿ,тобук
37,Knie::N,ಮಂಡಿ,дьилбэк
38,Oberschenkel::N,ತೊಡೆ,уллук
39,Oberschenkel::N,ತೊಡೆ,өттүк
40,Bein::N,ಕಾಲು,атах
41,Körper::N,ದೇಹ,бэйэ
42,Haut::N,ಚರ್ಮ,тирии
43,Blut::N,ರಕ್ತ,хаан
44,Ader::N,ನರ,вена
45,Ader::N,ನರ,күөх_тымыр
46,Sehne::N,ನರ,иҥиир
47,Knochen::N,ಮೂಳೆ,уҥуох
48,Knochen::N,ಮೂಳೆ,уҥгуох
49,Gehirn::N,ಮಿದುಳು,мэйии
50,Herz::N,ಹೃದಯ,сүрэх
51,Magen::N,ಉದರ,куртах
52,Leber::N,ಯಕೃತ್ತು,быар
53,Atem::N,ಉಸಿರು,тыын
54,Hunger::N,ಹಸಿವು,аас
55,Träne::N,ಕಣ್ಣೀರು,харах уута
56,Geschmack::N,ರುಚಿ,амтан
57,Geruch::N,ವಾಸನೆ,сыт
58,Schlaf::N,ನಿದ್ರೆ,утуйуу
59,Traum::N,ಕನಸು,түүл
60,Himmel::N,ಬಾನು,халлаан
61,Sonne::N,ಸೂರ್ಯ,күн
62,Mond::N,ಚಂದ್ರ,ый
63,Stern::N,ಚುಕ್ಕಿ,сулус
64,Luft::N,ವಾಯು,салгын
65,Wind::N,ಗಾಳಿ,тыал
66,Welle::N,ಅಲೆ,долгун
67,Welle::N,ಅಲೆ,балхаан
68,Wasser::N,ನೀರು,уу
69,Stein::N,ಕಲ್ಲು,таас
70,Boden::N,ನೆಲ,сир
71,Erde::N,ಭೂಮಿ,буор
72,Staub::N,ದೂಳು,быыл
73,Rauch::N,ಹೊಗೆ,буруо
74,Funke::N,ಕಿಡಿ,кыым
75,Feuer::N,ಬೆಂಕಿ,уот
76,Licht::N,ಬೆಳಕು,уот
77,Schatten::N,ನೆರಳು,күлүк
78,Wetter::N,ಹವ,күн-дьыл
79,Nebel::N,ಮಂಜು,туман
80,Wolke::N,ಮೋಡ,былыт
81,Regen::N,ಮಳೆ,самыыр
82,Schnee::N,ಹಿಮ,хаар
83,Eis::N,ಮಂಜುಗಡ್ಡೆ,муус
84,Frost::N,ಮಂಜು,тымныы
85,Kälte::N,ಹಿಮ,тымныы
86,Hitze::N,ಉಷ್ಣ,куйаас
87,Raureif::N,ಇಬ್ಬನಿ,кырыа
88,Regenbogen::N,ಇಂದ್ರಚಾಪ,кустук
89,Donner::N,ಗುಡುಗು,этиҥ
90,Strömung::N,ಪ್ರವಾಹ,сүүрүк
91,Tropfen::N,ತೊಟ್ಟು,таммах
92,Tropfen::N,ತೊಟ್ಟು,хааппыла
93,Schaum::N,ನೊರೆ,күүгэн
94,Schmutz::N,ಕಸ,кир
95,See::N,ಸರೋವರ,күөл
96,Sumpf::N,ಜೌಗುಸ್ಥಳ,бадараан
97,Moor::N,ಬಂಜರು ಭೂಮಿ,дьэбэрэ
98,Wiese::N,ಹುಲ್ಲುಗಾವಲು,ходуһа
99,Wald::N,ಕಾಡು,ойуур
100,Hügel::N,ಗುಡ್ಡೆ,булгунньах
101,Anhöhe::N,ದಿಬ್ಬ,үрдэл
102,Berg::N,ಮಲೆ,хайа
103,Berg::N,ಪರ್ವತ,хайа
104,Gipfel::N,ಶೃಂಗ,чыпчаал
105,Höhle::N,ಗುಹೆ,хайа_хаспаҕа
106,Höhle::N,ಗುಹೆ,көҥүс
107,Abhang::N,ಇಳಿಜಾರು,эниэ
108,Quelle::N,ಮೂಲ,дьүүктэ
109,Bach::N,ತೊರೆ,үрүйэ
110,Fluss::N,ನದಿ,өрүс
111,Ufer::N,ತೀರ,биэрэк
112,Küste::N,ದಂಡೆ,кытыл
113,Festland::N,ಭೂಮಿ,кураанах сир
114,Meer::N,ಕಡಲು,муора
115,Bucht::N,ಖಾರಿ,хомо
116,Bucht::N,ಖಾರಿ,бухта
117,Insel::N,ದ್ವೀಪ,арыы
118,Blume::N,ಸುಮ,сибэкки
119,Gras::N,ಹುಲ್ಲು,от
120,Wurzel::N,ಬೇರು,силис
121,Baum::N,ಮರ,мас
122,Stamm::N,ಕಾಂಡ,умнас
123,Rinde::N,ತೂಗಟಿ,хатырык
124,Ast::N,ಶಾಖೆ,мутук
125,Zweig::N,ರೆಂಬೆ,лабаа
126,Blatt::N,ಎಲೆ,сэбирдэх
127,Birke::N,ಬರ್ಚ್ ಮರ,хатыҥ
128,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,бэс
129,Weide[Baum]::N,ವಿಲೋಮರ,үөт
130,Weide[Baum]::N,ವಿಲೋಮರ,талах
131,Tanne::N,ಭದ್ರದಾರು,харыйа
132,Horn::N,ಕೊಂಬು,муос
133,Feder::N,ಪುಕ್ಕ,куорсун
134,Fell::N,ರೋಮ,тирии
135,Flügel::N,ರೆಕ್ಕೆ,кынат
136,Klaue::N,ಪಂಜ,тыҥырах
137,Kralle::N,ಉಗುರು,баппаҕай
138,Schwanz::N,ಬಾಲ,кутурук
139,Ei::N,ಮೊಟ್ಟೆ,сымыыт
140,Nest::N,ಗೂಡು,уйа
141,Bau::N,ಅಡಗುದಾಣ,хороон
142,Tier::N,ಪ್ರಾಣಿ,кыыл
143,Tier::N,ಪ್ರಾಣಿ,харамай
144,Herde::N,ಗುಂಪು,үөр
145,Kuh::N,ಹಸು,ынах
146,Bulle::N,ಗೂಳಿ,оҕус
147,Pferd::N,ಕುದುರೆ,сылгы
148,Schaf::N,ಕುರಿ,овца
149,Schwein::N,ಹಂದಿ,сибиинньэ
150,Hund::N,ನಾಯಿ,ыт
151,Katze::N,ಬೆಕ್ಕು,куоска
152,Bär::N,ಕರಡಿ,эһэ
153,Eichhörnchen::N,ಉಡುತೆ,тииҥ
154,Elch::N,ಕಡವೆ,тайах
155,Fuchs::N,ನರಿ,саһыл
156,Hase::N,ಮೊಲ,куобах
157,Maus::N,ಇಲಿ,кутуйах
158,Wolf::N,ತೋಳ,бөрө
159,Vogel::N,ಪಕ್ಷಿ,көтөр
160,Schwarm::N,ಗುಂಪು,бөлөх
161,Huhn::N,ಚಿಕ್,куурусса
162,Hahn::N,ಹುಂಜ,бөтүүк
163,Gans::N,ವರಟೆ,хаас
164,Adler::N,ಗರುಡ,хотой
165,Ente::N,ಬಾತು,кус
166,Eule::N,ಗೂಬೆ,мэкчиргэ
167,Kranich::N,ಕೊಕ್ಕರ,туруйа
168,Krähe::N,ಕಾಗೆ,тураах
169,Kuckuck::N,ಕೋಗಿಲೆ,кэҕэ
170,Schwan::N,ಹಂಸಪಕ್ಷಿ,куба
171,Fisch::N,ಮೀನು,балык
172,Barsch::N,ಪರ್ಚ್ ಮೀನು,алыһар
173,Hecht::N,ಪೈಕ್ ಮೀನು,сордон
174,Schlange[Tier]::N,ಹಾವು,моҕой
175,Schlange[Tier]::N,ಹಾವು,эриэн үөн
176,Wurm::N,ಹುಳು,үөн
177,Spinne::N,ಊರ್ಣನಾಭ,ооҕуй
178,Ameise::N,ಇರುವೆ,кымырдаҕас
179,Laus::N,ಹೇನು,быт
180,Mücke::N,ಸೊಳ್ಳೆ,кумаар
181,Fliege::N,ನೊಣ,сахсырҕа
182,Schmetterling::N,ಪತಂಗ,лыах
183,Schmetterling::N,ಪತಂಗ,үрүмэччи
184,Beere::N,ನಯವಣ್ಣು,отон
185,Apfel::N,ಸೇಬು,яблоко
186,Pilz::N,ಅಣಬೆ,тэллэй
187,Zwiebel::N,ನೀರುಳ್ಳಿ,луук
188,Saat::N,ಬಿತ್ತ,сиэмэ
189,Korn::N,ಬೀಜ,сиэмэ
190,Heu::N,ಕರಡ,от
191,Schale::N,ಹೊಟ್ಟು,хах
192,Grube::N,ಗುಂಡಿ,дьаама
193,Falle::N,ಬೋನು,сохсо
194,Schlinge::N,ಉರುಲು,уктаа
195,Spur::N,ಜಾಡು,суол
196,Asche::N,ಬೂದಿ,күл
197,Dreck::N,ಹೊಲಸು,бадараан
198,Eisen::N,ಕಬ್ಬಿಣ,тимир
199,Gold::N,ಚಿನ್ನ,көмүс
200,Gold::N,ಚಿನ್ನ,кыһыл көмүс
201,Silber::N,ಬೆಳ್ಳಿ,көмүс
202,Silber::N,ಬೆಳ್ಳಿ,үрүҥ көмүс
203,Kohle::N,ಕಲ್ಲಿದ್ದಲು,чох
204,Glas::N,ಗಾಜು,өстүөкүлэ
205,Lehm::N,ಜೇಡಿಮಣ್ಣು,туой
206,Sand::N,ಮರಳು,кумах
207,Mensch::N,ಪುರುಷ,киһи
208,Mann::N,ಆಳು,эр
209,Frau::N,ಹೆಣ್ಣು,дьахтар
210,Kind::N,ಮಗು,оҕо
211,Junge::N,ಹುಡುಗ,уол
212,Mädchen::N,ಹುಡುಗಿ,кыыс оҕо
213,Familie::N,ಕುಟುಂಬ,кэргэн
214,Großvater::N,ಅಜ್ಜ,эһэ
215,Großmutter::N,ಅಮ್ಮ,эбэ
216,Eltern::N,ಹೆತ್ತವರು,аҕа-ийэ
217,Vater::N,ತಂದೆ,аҕа
218,Mutter::N,ಅಮ್ಮ,ийэ
219,Sohn::N,ಮಗ ,уол
220,Tochter::N,ಮಗಳು,кыыс
221,Bruder::N,ತಮ್ಮ,убай
222,Bruder::N,ತಮ್ಮ,быраат
223,Schwester::N,ತಂಗಿ,аҕас
224,Schwester::N,ತಂಗಿ,балыс
225,Onkel::N,ಸೋದರಮಾವ,таай
226,Onkel::N,ಸೋದರಮಾವ,абаҕа
227,Onkel::N,ದೊಡ್ಡಪ್ಪ,таай
228,Onkel::N,ದೊಡ್ಡಪ್ಪ,абаҕа
229,Tante::N,ಚಿಕ್ಕಮ್ಮ,эдьиий
230,Ehemann::N,ಗಂಡ,эр
231,Ehefrau::N,ಹೆಂಡತಿ,ойох
232,Freude::N,ನಲಿವು,үөрүү
233,Gelächter::N,ನಗೆ,күлүү
234,Glück::N,ಆನಂದ,дьол
235,Glück::N,ಆನಂದ,соргу
236,Kummer::N,ದುಃಖ,кутурҕан
237,Wunsch::N,ಬಯಕೆ,баҕарыы
238,Lust::N,ಇಷ್ಟ,баҕа
239,Geist::N,ಆತ್ಮ,тыын
240,Gedanke::N,ಯೋಚನೆ,санаа
241,Gedächtnis::N,ಸ್ಮರಣೆ,өй
242,Verstand::N,ಮನಸ್ಸು,өй
243,Sinn::N,ಅರ್ಥ,суолта
244,Grund::N,ಕಾರಣ,төрүөт
245,Wahrheit::N,ಸತ್ಯ,кырдьык
246,Gespräch::N,ಸಂಭಾಷಣೆ,бэсиэдэ
247,Gespräch::N,ಸಂಭಾಷಣೆ,кэпсэтии
248,Märchen::N,ಸುಳ್ಳು ಕಥೆ,остуоруйа
249,Erzählung::N,ಕಥೆ,кэпсээн
250,Nachricht::N,ಸಂದೇಶ,биллэриллии
251,Neuigkeit::N,ಸುದ್ದಿ,сонун
252,Name::N,ಹೆಸರು,аат
253,Rätsel::N,ಒಗಟು,таабырын
254,Rede::N,ಮಾತು,этии
