,Concept_ID,fr,fa
261,Sohn::N,fils,پسر
262,Tochter::N,fille,دختر
263,Bruder::N,frère,برادر
264,Schwester::N,sœur,خواهر
265,Onkel::N,oncle,عمو
266,Onkel::N,oncle,دایی
267,Tante::N,tante,عمه
268,Tante::N,tante,خاله
269,Ehemann::N,mari,همسر
270,Ehemann::N,époux,همسر
271,Ehefrau::N,femme,همسر
272,Ehefrau::N,épouse,همسر
273,Freude::N,joie,شادی
274,Freude::N,plaisir,شادی
275,Gelächter::N,rires,خنده
276,Gelächter::N,rires,قاه‌قاه
277,Glück::N,bonheur,اقبال
278,Kummer::N,peine,غم
279,Kummer::N,peine,غصه
280,Kummer::N,chagrin,غم
281,Kummer::N,chagrin,غصه
282,Wunsch::N,désir,آرزو
283,Lust::N,envie,هوس
284,Geist::N,esprit,روح
285,Gedanke::N,idée,فکر
286,Gedanke::N,pensée,فکر
287,Gedächtnis::N,mémoire,حافظه
288,Verstand::N,raison,هوش
289,Sinn::N,sens,معنا
290,Sinn::N,sens,مفهوم
291,Grund::N,cause,سبب
292,Grund::N,cause,دلیل
293,Grund::N,raison,سبب
294,Grund::N,raison,دلیل
295,Wahrheit::N,vérité,حقیقت
296,Gespräch::N,conversation,صحبت
297,Gespräch::N,conversation,گفتگو
298,Märchen::N,conte,قصه
299,Märchen::N,conte,افسانه
300,Märchen::N,conte de fées,قصه
301,Märchen::N,conte de fées,افسانه
302,Erzählung::N,conte,داستان
303,Erzählung::N,narration,داستان
304,Nachricht::N,message,خبر
305,Neuigkeit::N,nouvelle,خبر تازه
306,Name::N,nom,اسم
307,Rätsel::N,énigme,معما
308,Rätsel::N,devinette,معما
309,Rede::N,parole,سخن
310,Rede::N,discours,سخن
311,Sprache::N,langue,زبان
312,Sprache::N,langage,زبان
313,Stimme::N,voix,صدا
314,Wort::N,mot,کلمه
315,Zeichen::N,signe,نشان
316,Zeichen::N,signe,علامت
317,Ruf::N,cri,صدا
318,Ruf::N,appel,صدا
319,Lärm::N,bruit,هیاهو
320,Laut::N,son,صدا
321,Ton::N,ton,آهنگ
322,Lied::N,chant,آواز
323,Lied::N,chant,ترانه
324,Lied::N,chanson,آواز
325,Lied::N,chanson,ترانه
326,Ruhe::N,calme,آرامش
327,Ruhe::N,tranquillité,آرامش
328,Leute::N,gens,مردم
329,Volk::N,peuple,خلق
330,Arbeit::N,travail,کار
331,Gast::N,hôte,مهمان
332,Gast::N,invité,مهمان
333,Geschenk::N,cadeau,هدیه
334,Geschenk::N,présent,هدیه
335,Spiel::N,jeu,بازی
336,Gesellschaft::N,compagnie,جمعیت
337,Hilfe::N,aide,کمک
338,Hilfe::N,secours,کمک
339,Freund::N,ami,دوست
340,Kamerad::N,copain,رفیق
341,Kamerad::N,camarade,رفیق
342,Angelegenheit::N,affaire,امر
343,Angelegenheit::N,affaire,قضیه
344,Anzahl::N,nombre,عده
345,Anzahl::N,nombre,شمار
346,Art::N,sorte,نوع
347,Art::N,espèce,نوع
348,Stück::N,morceau,تکه
349,Stück::N,morceau,قطعه
350,Teil::N,part,بخش
351,Teil::N,part,قسمت
352,Teil::N,partie,بخش
353,Teil::N,partie,قسمت
354,Hälfte::N,moitié,نیم
355,Kreis::N,cercle,حلقه
356,Kreis::N,cercle,دایره
357,Kreuz::N,croix,صلیب
358,Linie::N,ligne,خط
359,Linie::N,ligne,سطر
360,Strich::N,trait,خط
361,Abstand::N,écart,فاصله
362,Entfernung::N,distance,مسافت
363,Gegend::N,région,منطقه
364,Gegend::N,contrée,منطقه
365,Platz::N,place,گنجایش
366,Ort::N,lieu,جا
367,Ort::N,lieu,محل
368,Ort::N,lieu,مکان
369,Ort::N,endroit,جا
370,Ort::N,endroit,محل
371,Ort::N,endroit,مکان
372,Seite::N,côté,طرف
373,Mitte::N,milieu,وسط
374,Mitte::N,milieu,میان
375,Gegenstand::N,objet,چیز
376,Sache::N,chose,چیز
377,Rand::N,bord,کنار
378,Rand::N,bord,حاشیه
379,Kante::N,arête,لبه
380,Ecke::N,coin,گوشه
381,Ecke::N,tournant,گوشه
382,Spitze::N,cime,سر
383,Spitze::N,cime,نوک
384,Spitze::N,pointe,سر
385,Spitze::N,pointe,نوک
386,Ende::N,bout,ته
387,Ende::N,bout,آخر
388,Loch::N,trou,سوراخ
389,Winkel::N,coin,کنج
390,Winkel::N,réduit,کنج
391,Muster::N,dessin,نقش
392,Größe::N,grandeur,قد
393,Größe::N,grandeur,بزرگی
394,Länge::N,longueur,طول
395,Höhe::N,hauteur,بلندی
396,Höhe::N,altitude,بلندی
397,Gewicht::N,poids,وزن
398,Menge::N,quantité,مقدار
399,Menge::N,quantité,اندازه
400,Haufen::N,tas,توده
401,Reihe::N,file,ردیف
402,Reihe::N,rangée,ردیف
403,Boot::N,canot,قایق
404,Boot::N,bateau,قایق
405,Ruder::N,rame,پارو
406,Ruder::N,aviron,پارو
407,Schlitten::N,traîneau,سورتمه
408,Ski::N,ski,اسکی
409,Lagerfeuer::N,feu de camp,آتش
410,Last::N,charge,بار
411,Last::N,charge,سنگینی
412,Last::N,fardeau,بار
413,Last::N,fardeau,سنگینی
414,Gang::N,tour,راه رفتن
415,Gang::N,marche,راه رفتن
416,Schritt::N,pas,قدم
417,Norden::N,nord,شمال
418,Süden::N,sud,جنوب
419,Westen::N,ouest,غرب
420,Westen::N,occident,غرب
421,Osten::N,est,شرق
422,Osten::N,orient,شرق
423,Holz::N,bois,چوب
424,Brett::N,planche,تخته
425,Platte::N,plaque,صفحه
426,Stütze::N,appui,تکیه
427,Stütze::N,soutien,تکیه
428,Stange::N,barre,میله
429,Stange::N,perche,میله
430,Stock::N,canne,چوب
431,Stab::N,bâton,عصا
432,Rohr::N,tube,لوله
433,Rohr::N,tuyau,لوله
434,Haus::N,maison,منزل
435,Heim::N,maison,خانه
436,Heim::N,maison,کاشانه
437,Ofen::N,poêle,بخاری
438,Fußboden::N,plancher,کف اتاق
439,Tisch::N,table,میز
440,Stuhl::N,chaise,صندلی
441,Wiege::N,berceau,گهواره
442,Bett::N,lit,تختخواب
443,Regal::N,étagère,قفسه
444,Kiste::N,caisse,صندوق
445,Fenster::N,fenêtre,پنجره
446,Tür::N,porte,در
447,Tür::N,porte,درب
448,Tor::N,porte,دروازه
449,Tor::N,portail,دروازه
450,Zaun::N,clôture,حصار
451,Dach::N,toit,بام
452,Leiter::N,échelle,نردبان
453,Besen::N,balai,جارو
454,Spaten::N,bêche,بیل
455,Schaufel::N,pelle,بیل
456,Schaufel::N,pelle,پارو
457,Gabel::N,fourchette,چنگال
458,Löffel::N,cuiller,قاشق
459,Messer::N,couteau,کارد
460,Nagel::N,clou,میخ
461,Netz::N,filet,تور
462,Netz::N,filet,شبکه
463,Haken::N,croc,قلاب
464,Haken::N,crochet,قلاب
465,Griff::N,prise,دسته
466,Griff::N,manche,دسته
467,Schloss::N,serrure,قفل
468,Bild::N,image,عکس
469,Bild::N,image,تصویر
470,Bild::N,tableau,عکس
471,Bild::N,tableau,تصویر
472,Figur::N,figure,تندیس
473,Puppe::N,poupée,عروسک
474,Beutel::N,sac,کیسه
475,Beutel::N,petit sac,کیسه
476,Bündel::N,paquet,بسته
477,Bündel::N,faisceau,بسته
478,Tasche::N,sac,کیف
479,Eimer::N,seau,سطل
480,Deckel::N,couvercle,در
481,Geschirr::N,vaisselle,ظرف
482,Sack::N,sac,گونی
483,Tasse::N,tasse,فنجان
484,Topf::N,pot,دیگ
485,Topf::N,pot,قابلمه
486,Topf::N,marmite,دیگ
487,Topf::N,marmite,قابلمه
488,Kessel::N,chaudron,دیگ
489,Essen::N,repas,خوراک
490,Essen::N,manger,خوراک
491,Nahrung::N,nourriture,غذا
492,Speise::N,plat,خوراک
493,Fleisch::N,viande,گوشت
494,Getreide::N,blé,غله
495,Getreide::N,céréales,غله
496,Brei::N,purée,فرنی
497,Brei::N,purée,حریره
498,Brei::N,bouillie,فرنی
499,Brei::N,bouillie,حریره
500,Brot::N,pain,نان
501,Scheibe::N,tranche,قاچ
502,Scheibe::N,tranche,لزگه
503,Fett::N,graisse,چربی
504,Butter::N,beurre,کره
505,Öl::N,huile,روغن
506,Salz::N,sel,نمک
507,Suppe::N,soupe,آش
508,Suppe::N,soupe,سوپ
509,Suppe::N,potage,آش
510,Suppe::N,potage,سوپ
511,Honig::N,miel,عسل
512,Milch::N,lait,شیر
513,Tee::N,thé,چای
514,Leder::N,cuir,چرم
515,Wolle::N,laine,پشم
516,Stoff::N,tissu,پارچه
517,Stoff::N,étoffe,پارچه
518,Nadel::N,aiguille,سوزن
519,Faden::N,fil,نخ
520,Knopf::N,bouton,دکمه
521,Knoten::N,nœud,گره
522,Farbe::N,peinture,رنگ
523,Kleidung::N,vêtements,لباس
524,Kleidung::N,vêtements,پوشاک
525,Kleidung::N,habillement,لباس
526,Kleidung::N,habillement,پوشاک
527,Hemd::N,chemise,پیراهن
528,Kragen::N,col,یقه
529,Ärmel::N,manche,آستین
530,Hose::N,pantalon,شلوار
531,Gürtel::N,ceinture,کمر‌بند
532,Mütze::N,bonnet,کلاه
533,Mütze::N,casquette,کلاه
534,Schuh::N,soulier,کفش
535,Schuh::N,chaussure,کفش
536,Stiefel::N,botte,چکمه
537,Ring::N,bague,حلقه
538,Ring::N,bague,انگشتر
539,Band::N,ruban,نوار
540,Band::N,ruban,روبان
541,Kamm::N,peigne,شانه
542,Spiegel::N,glace,آینه
543,Spiegel::N,miroir,آینه
544,Riemen::N,lanière,تسمه
545,Riemen::N,courroie,تسمه
546,Schnur::N,corde,ریسمان
547,Schnur::N,ficelle,ریسمان
548,Leine::N,laisse,قلاده
549,Decke::N,couverture,پتو
550,Kissen::N,oreiller,بالش
551,Tuch::N,drap,شال
552,Tuch::N,fichu,شال
553,Handtuch::N,serviette,حوله
554,Handtuch::N,essuie-mains,حوله
555,Kraft::N,force,نیرو
556,Stärke::N,vigueur,زور
557,Gesundheit::N,santé,سلامتی
558,Gesundheit::N,santé,تندرستی
559,Krankheit::N,maladie,بیماری
